timestamp[s]	latency_value[ms]
1464774792	325.920
1464774863	325.050
1464774934	317.570
1464775005	314.680
1464775076	315.720
1464775146	320.820
1464775217	390.690
1464775288	318.000
1464775359	318.270
1464775430	320.180
1464775501	319.410
1464775572	330.690
1464775643	322.250
1464775714	311.180
1464775785	314.580
1464775856	314.900
1464775927	311.860
1464775998	328.140
1464776068	314.940
1464776139	322.130
1464776210	315.690
1464776281	320.110
1464776352	317.870
1464776423	311.730
1464776494	325.200
1464776564	325.800
1464776635	339.570
1464776706	327.290
1464776777	318.730
1464776848	311.580
1464776919	334.770
1464776990	334.450
1464777061	315.170
1464777132	318.290
1464777202	316.740
1464777273	327.640
1464777344	316.660
1464777415	329.050
1464777487	326.470
1464777557	323.170
1464777628	313.970
1464777699	333.590
1464777770	325.870
1464777841	315.750
1464777912	317.670
1464777983	316.600
1464778054	312.140
1464778125	330.630
1464778196	328.330
1464778267	312.910
1464778338	311.580
1464778409	334.370
1464778480	321.670
1464778551	329.130
1464778621	319.690
1464778692	324.800
1464778763	334.720
1464778834	317.770
1464778905	318.960
1464778976	311.430
1464779047	333.330
1464779118	330.600
1464779189	313.670
1464779260	325.140
1464779331	314.140
1464779402	328.310
1464779473	319.450
1464779544	323.720
1464779615	324.390
1464779685	322.350
1464779756	326.830
1464779828	326.200
1464779898	315.560
1464779969	319.660
1464780040	316.820
1464780111	316.830
1464780182	312.080
1464780253	317.850
1464780324	335.090
1464780395	333.710
1464780466	313.890
1464780536	333.560
1464780607	320.230
1464780678	321.630
1464780749	316.110
1464780820	322.710
1464780891	316.680
1464780962	326.900
1464781033	324.520
1464781104	327.510
1464781175	313.280
1464781246	319.100
1464781316	318.330
1464781387	316.200
1464781458	316.000
1464781529	314.350
1464781600	328.520
1464781671	319.050
1464781741	313.840
1464781813	325.270
1464781884	338.510
1464781955	325.650
1464782026	312.020
1464782097	319.490
1464782168	324.230
1464782239	311.060
1464782310	314.630
1464782380	326.010
1464782451	401.740
1464782523	326.500
1464782593	316.440
1464782664	316.590
1464782735	319.400
1464782806	310.950
1464782877	326.770
1464782948	310.110
1464783019	316.470
1464783090	317.740
1464783161	324.440
1464783232	326.170
1464783303	320.890
1464783374	314.520
1464783445	311.470
1464783515	316.270
1464783586	314.650
1464783657	318.840
1464783728	335.240
1464783799	328.260
1464783870	320.000
1464783941	325.160
1464784012	310.730
1464784083	310.610
1464784154	329.370
1464784225	324.640
1464784296	320.470
1464784366	324.260
1464784437	316.540
1464784508	322.620
1464784579	322.620
1464784650	313.200
1464784721	326.610
1464784792	324.660
1464784863	322.100
1464784934	325.200
1464785005	330.500
1464785076	326.040
1464785147	330.300
1464785218	322.480
1464785289	313.830
1464785359	318.560
1464785430	321.200
1464785501	320.640
1464785572	315.000
1464785643	314.630
1464785715	314.320
1464785785	316.620
1464785857	317.410
1464785928	315.640
1464785998	325.430
1464786069	312.630
1464786140	319.590
1464786211	338.600
1464786282	315.680
1464786353	317.470
1464786424	313.330
1464786495	322.670
1464786566	317.810
1464786637	316.090
1464786708	319.540
1464786778	354.460
1464786849	321.380
1464786920	324.670
1464786991	313.740
1464787062	328.020
1464787133	344.620
1464787204	315.050
1464787275	331.660
1464787346	320.850
1464787417	316.830
1464787488	317.550
1464787559	330.590
1464787630	317.890
1464787701	324.940
1464787771	316.440
1464787842	323.130
1464787913	316.700
1464787984	333.680
1464788055	323.180
1464788126	310.040
1464788197	313.810
1464788268	322.380
1464788339	315.730
1464788410	331.360
1464788481	317.280
1464788552	327.970
1464788623	326.050
1464788694	316.480
1464788765	312.630
1464788835	327.190
1464788906	311.920
1464788977	326.740
1464789048	317.640
1464789119	325.920
1464789190	316.790
1464789261	314.520
1464789332	314.540
1464789403	319.140
1464789474	313.710
1464789545	311.450
1464789616	408.940
1464789687	327.270
1464789758	316.130
1464789829	315.200
1464789900	328.510
1464789970	313.660
1464790041	324.480
1464790112	327.950
1464790183	323.390
1464790254	320.430
1464790325	315.710
1464790396	333.180
1464790467	315.000
1464790537	322.120
1464790608	337.500
1464790679	317.400
1464790750	315.090
1464790821	317.180
1464790892	323.130
1464790963	313.820
1464791034	308.810
1464791105	311.600
1464791176	323.130
1464791246	321.140
1464791317	325.570
1464791388	325.290
1464791459	363.450
1464791530	311.420
1464791601	338.000
1464791672	363.790
1464791743	315.640
1464791814	321.470
1464791884	317.600
1464791955	316.270
1464792026	317.850
1464792097	344.180
1464792168	329.640
1464792239	321.780
1464792310	332.620
1464792381	314.580
1464792452	325.600
1464792523	314.950
1464792594	327.190
1464792664	322.520
1464792735	315.990
1464792806	322.180
1464792877	315.350
1464792948	315.510
1464793019	328.490
1464793090	323.920
1464793161	316.950
1464793231	317.800
1464793302	320.510
1464793373	315.810
1464793444	323.520
1464793515	326.280
1464793586	314.360
1464793657	316.530
1464793728	318.490
1464793799	333.630
1464793870	318.600
1464793940	312.510
1464794011	315.140
1464794082	311.790
1464794153	315.630
1464794224	323.880
1464794295	313.250
1464794366	334.610
1464794437	328.150
1464794508	308.950
1464794579	326.040
1464794650	319.140
1464794721	460.610
1464794792	322.860
1464794863	333.870
1464794934	312.480
1464795005	321.650
1464795075	319.090
1464795146	329.030
1464795217	325.240
1464795288	312.400
1464795359	310.740
1464795430	326.900
1464795501	317.530
1464795572	325.540
1464795643	313.590
1464795714	333.170
1464795785	325.270
1464795856	316.510
1464795927	326.470
1464795997	313.050
1464796068	315.910
1464796139	316.650
1464796210	314.380
1464796281	318.610
1464796352	322.760
1464796423	326.200
1464796494	326.010
1464796565	311.870
1464796636	317.120
1464796707	327.610
1464796778	312.560
1464796849	402.150
1464796920	317.230
1464796991	323.620
1464797062	326.410
1464797133	314.630
1464797204	317.140
1464797274	316.890
1464797345	312.200
1464797416	322.030
1464797487	327.060
1464797558	322.900
1464797629	312.870
1464797700	334.080
1464797771	327.950
1464797841	315.670
1464797912	362.760
1464797983	310.940
1464798054	316.350
1464798125	313.390
1464798196	314.120
1464798267	440.240
1464798338	317.520
1464798409	320.220
1464798480	315.930
1464798551	321.680
1464798622	316.930
1464798692	319.730
1464798763	328.720
1464798834	320.850
1464798905	315.570
1464798976	336.930
1464799047	323.910
1464799118	312.640
1464799189	341.030
1464799260	317.920
1464799331	338.470
1464799402	314.660
1464799473	426.490
1464799544	309.860
1464799614	336.680
1464799685	323.100
1464799756	331.500
1464799827	328.680
1464799898	319.300
1464799969	349.370
1464800040	320.300
1464800111	317.070
1464800182	312.690
1464800253	323.620
1464800324	311.420
1464800395	328.260
1464800466	319.020
1464800537	337.580
1464800608	311.720
1464800679	315.220
1464800750	317.400
1464800821	313.310
1464800892	325.630
1464800963	321.800
1464801033	319.560
1464801104	326.650
1464801175	332.860
1464801246	313.230
1464801317	326.700
1464801388	324.430
