timestamp[s]	latency_value[ms]
1464774787	313.670
1464774857	316.660
1464774927	316.460
1464774997	314.560
1464775066	314.220
1464775136	313.470
1464775206	316.640
1464775275	315.890
1464775345	314.600
1464775415	313.390
1464775484	314.580
1464775554	314.170
1464775624	313.360
1464775693	314.440
1464775763	313.610
1464775833	315.460
1464775902	313.730
1464775972	314.720
1464776042	314.640
1464776111	316.150
1464776181	313.610
1464776251	313.490
1464776320	313.220
1464776390	315.450
1464776460	315.640
1464776529	313.580
1464776599	315.230
1464776669	313.480
1464776738	313.520
1464776808	313.640
1464776878	313.180
1464776947	314.650
1464777017	315.650
1464777087	315.430
1464777157	313.420
1464777226	313.520
1464777296	315.610
1464777366	314.460
1464777435	313.350
1464777505	313.770
1464777575	315.980
1464777645	314.210
1464777715	314.810
1464777784	313.670
1464777854	313.870
1464777924	313.540
1464777993	313.630
1464778063	314.580
1464778133	313.910
1464778202	315.670
1464778272	315.630
1464778342	313.390
1464778412	313.290
1464778482	317.640
1464778551	313.670
1464778621	313.430
1464778691	315.900
1464778760	313.330
1464778830	313.570
1464778900	316.670
1464778970	313.640
1464779039	313.630
1464779109	315.380
1464779179	314.340
1464779249	313.410
1464779318	313.650
1464779389	314.220
1464779458	313.400
1464779528	314.890
1464779598	313.620
1464779667	316.520
1464779737	315.630
1464779807	317.980
1464779876	315.330
1464779946	313.700
1464780016	313.900
1464780085	314.540
1464780155	314.680
1464780225	315.770
1464780294	313.550
1464780364	313.590
1464780434	313.270
1464780503	313.660
1464780573	314.370
1464780643	316.490
1464780713	314.540
1464780782	315.570
1464780852	313.360
1464780922	313.600
1464780991	313.640
1464781061	313.580
1464781131	313.650
1464781200	313.780
1464781270	313.560
1464781340	315.120
1464781409	313.930
1464781479	314.200
1464781549	313.670
1464781618	313.770
1464781688	316.500
1464781758	316.690
1464781827	314.800
1464781897	314.590
1464781967	315.460
1464782037	313.680
1464782106	314.480
1464782176	314.370
1464782246	316.550
1464782315	313.620
1464782385	313.660
1464782455	362.060
1464782525	314.340
1464782594	315.440
1464782664	315.270
1464782734	313.740
1464782803	313.680
1464782873	313.820
1464782942	315.000
1464783012	314.340
1464783082	313.950
1464783151	315.620
1464783221	314.620
1464783291	313.400
1464783361	313.560
1464783430	313.640
1464783500	402.280
1464783570	315.690
1464783639	313.730
1464783709	314.420
1464783778	313.430
1464783848	313.550
1464783918	314.060
1464783988	315.650
1464784057	315.630
1464784127	319.020
1464784197	315.390
1464784266	315.700
1464784336	313.480
1464784406	313.410
1464784475	313.570
1464784545	313.590
1464784615	318.440
1464784684	314.460
1464784754	314.890
1464784824	314.540
1464784893	313.460
1464784963	314.730
1464785033	313.590
1464785103	314.670
1464785172	315.380
1464785242	314.760
1464785312	313.850
1464785381	318.430
1464785451	315.410
1464785521	313.660
1464785591	314.430
1464785661	315.870
1464785730	314.910
1464785800	313.480
1464785870	315.960
1464785939	314.510
1464786009	313.560
1464786079	313.710
1464786148	313.760
1464786218	314.230
1464786288	313.720
1464786357	313.850
1464786427	314.660
1464786497	313.560
1464786566	326.890
1464786636	314.920
1464786706	313.460
1464786776	315.160
1464786845	313.730
1464786915	315.810
1464786984	314.870
1464787054	314.290
1464787124	314.400
