timestamp[s]	latency_value[ms]
1464774793	390.510
1464774864	388.940
1464774935	391.200
1464775006	391.350
1464775077	391.870
1464775149	392.790
1464775220	469.880
1464775291	390.640
1464775362	387.780
1464775434	391.700
1464775505	391.970
1464775576	389.350
1464775647	392.050
1464775719	392.650
1464775790	392.580
1464775861	388.640
1464775932	392.660
1464776004	389.470
1464776075	387.890
1464776146	387.850
1464776217	394.510
1464776288	388.880
1464776360	392.110
1464776431	391.730
1464776502	392.540
1464776573	391.700
1464776644	389.280
1464776716	392.100
1464776787	392.390
1464776858	393.170
1464776929	392.390
1464777001	388.720
1464777072	390.220
1464777143	392.580
1464777215	393.330
1464777286	391.790
1464777357	388.250
1464777429	392.120
1464777500	394.200
1464777571	396.630
1464777642	392.080
1464777714	389.540
1464777785	388.440
1464777856	388.950
1464777927	392.160
1464777999	391.760
1464778070	390.650
1464778141	388.230
1464778212	390.500
1464778284	391.520
1464778355	392.310
1464778426	388.710
1464778498	388.980
1464778569	388.360
1464778640	388.700
1464778711	393.120
1464778783	389.620
1464778854	388.660
1464778925	392.120
1464778996	389.340
1464779068	391.600
1464779139	392.170
1464779210	387.990
1464779281	394.760
1464779353	391.650
1464779424	392.670
1464779495	388.630
1464779566	392.480
1464779637	393.130
1464779708	388.240
1464779780	388.610
1464779851	393.590
1464779922	392.060
1464779993	388.350
1464780064	388.900
1464780136	392.600
1464780207	393.120
1464780278	389.370
1464780350	391.570
1464780421	393.760
1464780492	391.110
1464780563	393.420
1464780635	393.450
1464780706	390.530
1464780777	392.930
1464780849	387.630
1464780920	388.250
1464780991	390.540
1464781063	388.920
1464781134	391.880
1464781205	388.330
1464781276	388.360
1464781348	389.000
1464781419	389.130
1464781490	388.150
1464781561	396.140
1464781632	392.550
1464781704	388.200
1464781775	392.510
1464781846	390.060
1464781917	394.430
1464781988	388.660
1464782060	390.170
1464782131	388.760
1464782202	393.350
1464782273	393.010
1464782344	388.740
1464782416	391.840
1464782487	392.120
1464782558	393.270
1464782629	389.200
1464782701	391.560
1464782772	389.420
1464782843	388.520
1464782915	387.930
1464782986	387.940
1464783057	388.460
1464783128	391.420
1464783199	392.450
1464783271	391.620
1464783342	392.380
1464783413	388.100
1464783485	392.690
1464783556	388.060
1464783627	389.030
1464783698	389.320
1464783770	390.200
1464783841	391.120
1464783912	389.170
1464783983	391.830
1464784055	393.170
1464784126	394.060
1464784197	392.660
1464784269	392.260
1464784340	389.460
