timestamp[s]	latency_value[ms]
1464774788	404.670
1464774858	405.380
1464774928	404.530
1464774998	407.450
1464775068	405.970
1464775138	408.680
1464775209	406.040
1464775279	404.650
1464775349	404.500
1464775419	406.620
1464775489	407.040
1464775559	404.690
1464775629	405.640
1464775699	406.390
1464775769	405.610
1464775839	404.960
1464775909	404.560
1464775979	405.120
1464776049	406.230
1464776119	404.450
1464776189	406.420
1464776259	408.870
1464776329	407.650
1464776399	405.460
1464776469	410.040
1464776539	404.830
1464776609	406.060
1464776679	404.660
1464776749	405.540
1464776819	405.850
1464776890	404.830
1464776960	405.970
1464777030	405.610
1464777100	404.570
1464777170	406.030
1464777240	405.200
1464777310	405.170
1464777380	404.980
1464777450	404.020
1464777520	405.860
1464777590	404.630
1464777661	404.760
1464777731	404.820
1464777801	403.880
1464777871	406.320
1464777941	408.240
1464778011	404.240
1464778081	404.640
1464778151	406.310
1464778221	406.830
1464778291	404.270
1464778362	405.930
1464778432	403.750
1464778502	405.300
1464778572	405.830
1464778642	405.870
1464778712	405.060
1464778782	406.620
1464778852	406.660
1464778922	404.690
1464778993	407.910
1464779063	404.860
1464779133	404.320
1464779203	406.470
1464779273	407.310
1464779343	405.010
1464779413	405.190
1464779483	404.290
1464779553	404.580
1464779623	405.540
1464779693	404.710
1464779763	405.010
1464779833	406.520
1464779903	405.650
1464779973	406.130
1464780043	404.320
1464780113	405.880
1464780183	405.620
1464780253	407.400
1464780323	406.530
1464780394	404.880
1464780464	403.300
1464780534	404.930
1464780604	406.410
1464780674	408.670
1464780744	405.300
1464780814	405.030
1464780884	406.380
1464780954	406.980
1464781024	406.440
1464781095	406.660
1464781165	404.650
1464781235	406.660
1464781305	405.510
1464781375	406.660
1464781445	403.670
1464781515	404.910
1464781585	408.830
1464781655	404.670
1464781725	407.540
1464781795	405.450
1464781865	405.600
1464781935	406.260
1464782005	406.420
1464782075	407.010
1464782145	405.710
1464782215	407.620
1464782285	406.160
1464782355	405.410
1464782425	404.400
1464782495	405.240
1464782565	405.570
1464782635	403.850
1464782706	405.790
1464782776	406.660
1464782846	406.230
1464782916	404.630
1464782986	406.640
1464783056	404.870
1464783126	406.750
1464783196	405.890
