timestamp[s]	latency_value[ms]
1464774794	435.710
1464774865	414.780
1464774936	420.320
1464775008	414.660
1464775079	409.390
1464775150	407.740
1464775222	493.710
1464775293	431.500
1464775365	443.520
1464775436	427.180
1464775507	444.680
1464775579	423.320
1464775650	423.050
1464775721	417.530
1464775792	438.730
1464775864	403.420
1464775935	428.690
1464776007	440.250
1464776078	436.840
1464776149	405.060
1464776221	414.810
1464776292	451.650
1464776364	414.640
1464776435	434.050
1464776506	411.600
1464776578	438.670
1464776649	409.260
1464776720	423.470
1464776792	411.500
1464776863	438.750
1464776934	417.120
1464777006	458.430
1464777077	433.990
1464777149	431.640
1464777220	421.320
1464777291	402.380
1464777363	421.740
1464777434	416.830
1464777506	446.050
1464777577	440.930
1464777648	440.200
1464777720	404.280
1464777791	411.760
1464777863	409.080
1464777934	423.770
1464778005	410.300
1464778077	407.710
1464778148	425.640
1464778220	439.460
1464778291	437.590
1464778362	428.790
1464778434	404.760
1464778505	402.820
1464778577	414.700
1464778648	411.590
1464778720	423.380
1464778791	410.230
1464778862	425.140
1464778934	410.390
1464779005	423.310
1464779076	411.770
1464779148	437.310
1464779219	424.350
1464779291	415.860
1464779362	422.260
1464779433	418.130
1464779504	441.760
1464779576	413.080
1464779647	418.460
1464779719	442.280
1464779790	418.920
1464779861	409.000
1464779933	428.140
1464780004	410.630
1464780075	448.600
1464780147	426.680
1464780218	417.040
1464780289	406.650
1464780361	404.870
1464780432	421.220
1464780503	429.650
1464780575	422.690
1464780646	456.950
1464780717	434.390
1464780789	428.160
1464780860	423.520
1464780932	439.830
1464781003	403.730
1464781074	416.690
1464781146	431.200
1464781217	420.120
1464781289	460.220
1464781360	440.170
1464781432	439.330
1464781503	423.780
1464781574	437.320
1464781646	408.870
1464781717	450.270
1464781788	422.650
1464781860	411.930
1464781931	431.090
1464782003	434.350
1464782074	451.690
1464782145	466.350
1464782217	419.160
1464782288	406.010
1464782359	424.010
1464782431	432.190
1464782503	422.440
1464782574	420.760
1464782645	420.580
1464782717	451.150
1464782788	424.830
1464782859	419.320
1464782931	431.150
1464783002	408.130
1464783073	420.490
1464783145	417.650
1464783216	445.530
1464783288	444.690
1464783359	439.600
1464783431	437.400
1464783502	412.380
1464783573	417.570
1464783645	419.570
1464783716	412.480
1464783787	435.400
1464783859	418.610
1464783930	426.000
1464784001	426.060
1464784073	432.440
1464784144	462.890
1464784216	410.930
1464784287	428.060
1464784358	427.730
1464784430	412.220
1464784501	433.800
1464784572	434.680
1464784644	415.380
1464784715	415.720
1464784786	419.680
1464784858	445.430
1464784929	418.600
1464785001	431.280
1464785072	412.980
1464785143	412.430
1464785215	412.690
1464785286	458.170
1464785357	448.640
1464785429	421.380
1464785501	416.030
1464785572	426.680
1464785643	408.070
1464785715	432.950
1464785786	403.110
1464785857	452.850
1464785929	412.480
1464786000	427.310
1464786072	431.430
1464786143	450.960
1464786214	434.540
1464786286	416.590
1464786357	411.330
1464786428	409.890
1464786500	423.100
1464786571	427.030
1464786642	406.270
1464786714	420.480
1464786785	422.940
1464786856	411.550
1464786928	412.100
1464786999	409.250
1464787071	411.250
1464787142	411.320
1464787214	414.540
1464787285	402.650
1464787356	440.010
1464787428	405.230
1464787499	441.150
1464787570	436.650
1464787642	419.600
1464787713	444.540
1464787784	434.990
1464787856	456.580
1464787927	413.100
1464787998	417.910
1464788070	434.650
1464788141	401.680
1464788212	421.580
1464788284	436.620
1464788355	412.600
1464788426	433.130
1464788498	402.580
1464788569	405.650
1464788640	422.620
1464788712	407.690
1464788783	425.100
1464788854	414.270
1464788926	406.040
1464788997	403.720
1464789068	410.630
1464789140	413.600
1464789211	402.750
1464789283	409.190
1464789354	417.810
1464789425	415.340
1464789496	407.430
1464789568	424.760
1464789639	425.090
1464789710	427.510
1464789782	408.680
1464789853	402.840
1464789924	421.570
1464789996	434.130
1464790067	406.830
1464790138	433.910
1464790210	415.030
1464790281	404.310
1464790352	419.660
1464790424	412.210
1464790495	445.700
1464790566	410.780
1464790638	419.980
1464790709	408.630
1464790781	430.790
1464790852	412.450
1464790924	425.900
1464790995	416.660
1464791067	435.710
1464791138	402.700
1464791209	430.300
1464791281	436.440
1464791352	426.660
1464791423	419.560
1464791495	442.300
1464791566	413.790
1464791637	412.640
1464791709	447.610
1464791780	428.150
1464791851	409.350
1464791923	437.000
1464791994	415.250
1464792066	413.840
1464792137	425.860
1464792208	436.190
1464792280	444.540
1464792351	430.850
1464792422	429.560
1464792494	446.450
1464792565	407.380
1464792636	424.400
1464792708	447.770
1464792779	408.720
1464792850	410.240
1464792922	442.360
1464792993	426.990
1464793064	412.710
1464793136	417.810
1464793207	434.140
1464793278	422.240
1464793350	401.910
1464793421	415.060
1464793492	412.560
1464793564	416.900
1464793635	419.480
1464793706	433.480
1464793778	400.410
1464793849	415.370
1464793921	415.410
1464793992	424.620
1464794063	438.770
1464794135	452.910
1464794206	432.620
1464794277	426.090
1464794349	412.640
1464794420	434.790
1464794491	436.340
1464794562	413.660
1464794634	412.990
1464794705	405.360
1464794776	426.580
1464794848	408.930
1464794919	412.600
1464794990	420.580
1464795062	402.820
1464795133	433.660
1464795205	433.880
1464795276	402.100
1464795347	452.170
1464795419	441.030
1464795490	420.950
1464795562	435.800
1464795633	406.950
1464795704	420.590
1464795776	428.670
1464795847	416.010
1464795918	423.630
1464795990	405.280
1464796062	425.730
1464796133	409.100
1464796204	420.170
1464796276	405.110
1464796347	415.410
1464796419	414.250
1464796490	403.220
1464796562	405.560
1464796633	463.080
1464796704	406.920
1464796776	405.400
1464796847	493.440
1464796919	409.650
1464796990	447.040
1464797061	435.140
1464797133	412.310
1464797204	409.700
1464797276	423.170
1464797347	436.640
1464797419	426.460
1464797490	426.240
1464797561	408.890
1464797633	416.330
1464797704	441.350
1464797775	413.210
1464797847	445.600
1464797918	410.020
1464797989	404.650
1464798061	467.220
1464798132	422.490
1464798203	407.810
1464798275	450.030
1464798346	433.920
1464798417	418.290
1464798489	428.360
1464798560	399.650
1464798631	431.300
1464798703	412.700
1464798774	405.020
1464798845	400.860
1464798917	399.320
1464798988	421.690
1464799059	434.650
1464799131	419.710
1464799202	435.450
1464799273	410.140
1464799345	418.330
1464799416	431.230
1464799487	425.970
1464799559	450.760
1464799630	404.850
1464799702	419.370
1464799773	447.090
1464799844	413.410
1464799916	438.690
1464799987	436.610
1464800059	440.760
1464800130	405.150
1464800201	406.840
1464800273	455.150
1464800344	412.000
1464800415	429.330
1464800487	427.640
1464800558	433.600
1464800629	413.830
1464800701	444.450
1464800773	414.990
1464800844	443.820
1464800915	431.560
1464800987	418.080
1464801058	405.760
1464801130	447.770
1464801201	403.310
1464801272	434.570
1464801344	440.630
1464801415	404.770
1464801486	404.530
1464801558	434.710
1464801629	436.190
1464801700	405.290
1464801772	436.900
1464801843	412.470
1464801915	438.700
1464801986	433.260
1464802058	405.110
1464802129	411.650
1464802201	409.390
1464802272	418.620
1464802343	420.630
1464802415	415.660
1464802486	442.070
1464802558	416.900
1464802629	427.380
1464802701	545.550
1464802772	409.210
1464802844	407.680
1464802916	419.220
1464802987	420.020
1464803058	437.360
1464803130	434.510
1464803201	462.100
1464803272	445.110
1464803344	453.270
1464803415	453.620
1464803486	399.050
1464803558	403.610
1464803629	439.510
1464803701	414.570
1464803772	404.760
1464803843	444.530
1464803915	434.540
1464803986	434.250
1464804058	410.440
1464804129	438.960
1464804200	408.800
1464804272	441.340
1464804343	415.300
1464804415	421.220
1464804486	449.620
1464804558	403.570
1464804629	430.760
1464804701	438.840
1464804772	418.030
1464804843	417.710
1464804915	443.250
1464804986	418.700
1464805057	440.740
1464805129	435.530
1464805200	406.480
1464805272	417.910
1464805343	422.040
1464805414	413.450
1464805486	435.660
1464805557	430.710
1464805628	429.070
1464805700	411.130
1464805771	440.690
1464805842	430.100
1464805914	407.580
1464805985	439.150
1464806056	434.720
1464806128	421.730
1464806199	409.230
1464806270	431.380
1464806342	418.510
1464806413	412.280
1464806485	422.000
1464806556	426.370
1464806627	436.170
1464806699	417.970
1464806770	437.390
1464806842	414.650
1464806913	421.590
1464806985	435.230
1464807056	416.850
1464807127	441.630
1464807199	415.630
1464807270	418.940
1464807341	408.220
1464807413	405.430
1464807484	456.390
1464807556	441.880
1464807627	405.660
1464807698	431.470
1464807770	416.510
1464807841	425.020
1464807912	436.300
1464807984	442.550
1464808055	425.580
1464808126	401.530
1464808198	410.210
1464808270	436.440
1464808341	446.650
1464808412	419.620
1464808484	427.590
1464808555	442.190
1464808626	432.930
1464808698	404.930
1464808769	429.670
1464808840	413.320
1464808912	409.600
1464808983	439.960
1464809055	414.130
1464809126	427.880
1464809197	415.970
1464809269	421.700
1464809340	414.190
1464809412	417.060
1464809483	434.810
1464809554	407.260
1464809626	432.500
1464809697	406.880
1464809769	413.350
1464809840	448.570
1464809911	404.110
1464809983	417.590
