timestamp[s]	latency_value[ms]
1464774790	374.320
1464774859	372.030
1464774929	373.510
1464774999	370.230
1464775069	372.580
1464775139	367.140
1464775209	372.140
1464775279	368.160
1464775349	373.420
1464775419	369.160
1464775489	365.550
1464775558	374.910
1464775628	371.620
1464775698	369.230
1464775768	368.770
1464775838	371.220
1464775908	372.550
1464775978	369.620
1464776048	369.030
1464776117	370.000
1464776187	367.930
1464776257	369.310
1464776327	371.480
1464776397	371.660
1464776467	371.840
1464776537	368.670
1464776607	369.290
1464776677	371.680
1464776747	370.890
1464776817	368.710
1464776886	367.480
1464776956	369.460
1464777026	368.430
1464777096	368.260
1464777166	366.530
1464777236	369.900
1464777306	369.640
1464777376	369.680
1464777446	370.910
1464777515	371.240
1464777585	384.110
1464777655	380.320
1464777725	368.650
1464777795	376.260
1464777865	367.620
1464777935	365.200
1464778005	372.180
1464778075	366.430
1464778145	365.470
1464778214	370.890
1464778284	368.210
1464778354	368.140
1464778424	365.270
1464778494	364.790
1464778564	366.710
1464778634	372.620
1464778704	371.500
1464778773	366.880
1464778843	371.170
1464778913	366.130
1464778983	365.450
1464779053	369.360
1464779123	372.510
1464779193	368.910
1464779263	370.650
1464779332	366.950
1464779402	374.280
1464779472	373.690
1464779542	378.430
1464779613	374.980
1464779683	374.680
1464779752	374.630
1464779822	376.510
1464779892	378.330
1464779962	372.110
1464780032	374.460
1464780102	372.710
1464780172	376.080
1464780242	373.270
1464780312	374.530
1464780382	371.360
1464780452	371.110
1464780522	371.920
1464780592	374.050
1464780661	370.500
1464780731	374.670
1464780801	376.660
1464780871	374.620
1464780941	369.190
1464781011	366.790
1464781081	375.620
1464781151	372.110
1464781221	372.660
1464781291	370.670
1464781361	367.120
1464781431	367.180
1464781501	370.430
1464781571	365.210
1464781641	374.200
1464781711	371.440
1464781781	365.800
1464781851	374.410
1464781920	373.990
1464781990	374.250
1464782060	364.230
1464782130	374.060
1464782200	372.760
1464782270	363.060
1464782340	363.180
1464782410	373.660
1464782479	372.480
1464782550	365.930
1464782619	372.620
1464782689	376.330
1464782759	363.600
1464782829	366.590
1464782899	373.890
1464782969	367.130
1464783039	363.620
1464783109	363.910
1464783179	372.410
1464783249	373.090
1464783319	370.880
1464783389	364.430
1464783459	370.900
1464783529	373.360
1464783599	373.380
1464783669	365.270
1464783738	372.810
1464783808	364.260
1464783878	362.790
1464783948	370.090
1464784018	365.390
1464784088	365.080
1464784158	365.600
1464784228	376.050
1464784298	366.440
1464784368	372.140
1464784438	365.170
1464784507	364.320
1464784577	367.680
1464784647	371.160
1464784717	370.660
1464784787	365.920
1464784857	366.280
1464784927	372.230
1464784997	363.730
1464785067	369.900
1464785136	372.900
1464785206	363.310
1464785276	366.270
1464785346	363.910
1464785416	362.910
1464785486	366.630
1464785556	375.480
1464785626	367.780
1464785696	434.600
1464785766	374.150
1464785836	365.210
1464785906	375.640
1464785976	373.610
1464786046	365.560
1464786116	363.090
1464786186	371.610
1464786256	365.490
1464786325	373.120
1464786395	364.150
1464786465	364.520
1464786535	371.530
1464786605	368.790
1464786675	365.990
1464786745	363.110
1464786815	372.950
1464786885	366.510
1464786955	369.820
1464787025	365.800
1464787095	369.280
1464787165	367.430
1464787235	369.030
1464787304	365.510
1464787374	365.300
1464787444	371.360
1464787514	366.630
1464787584	367.650
1464787654	372.090
1464787724	372.330
1464787794	371.070
1464787863	370.050
1464787933	369.890
1464788003	362.860
1464788073	368.290
1464788143	363.660
1464788213	363.190
1464788283	364.300
1464788352	368.790
1464788422	370.150
1464788492	366.860
1464788562	363.220
1464788632	367.780
1464788702	363.150
1464788772	369.020
1464788842	363.680
1464788912	369.500
1464788981	365.120
1464789051	367.230
1464789121	367.360
1464789191	368.370
1464789261	362.810
1464789331	367.530
1464789401	368.170
1464789471	367.360
1464789540	364.600
1464789610	367.590
1464789680	367.870
1464789750	363.230
1464789820	362.970
1464789890	363.990
1464789960	369.670
1464790030	367.240
1464790099	367.310
1464790169	367.940
1464790239	362.670
1464790309	367.510
1464790379	364.770
1464790449	367.350
1464790519	365.540
1464790588	368.200
1464790658	366.190
1464790728	366.990
1464790798	362.770
1464790868	364.050
1464790938	365.750
1464791008	365.550
1464791078	366.010
1464791147	365.680
1464791217	365.780
1464791287	362.630
1464791357	363.840
1464791427	364.300
1464791497	366.640
1464791567	364.440
1464791636	365.500
1464791706	365.920
1464791776	366.210
1464791846	368.250
1464791916	364.830
1464791986	363.030
1464792056	368.360
1464792126	366.020
1464792196	366.840
1464792265	365.700
1464792335	369.490
1464792405	365.280
1464792475	362.940
1464792545	363.660
1464792615	365.910
1464792685	369.520
1464792755	366.680
1464792825	366.180
1464792895	369.060
1464792965	365.560
1464793034	366.660
1464793104	363.980
1464793174	370.200
1464793244	363.420
1464793314	363.490
1464793384	368.150
1464793454	365.860
1464793523	364.620
1464793593	366.090
1464793663	365.680
1464793733	364.660
1464793803	367.230
1464793873	366.670
1464793943	363.460
1464794013	362.860
1464794083	363.560
1464794153	364.610
1464794223	365.500
1464794292	363.730
1464794362	367.680
1464794433	363.540
1464794502	367.190
1464794572	366.110
1464794642	366.160
1464794712	383.220
1464794782	365.950
1464794852	364.140
1464794922	363.890
1464794992	367.900
1464795062	363.620
1464795131	365.780
1464795201	365.620
1464795271	369.650
1464795341	365.310
1464795411	366.210
1464795481	367.620
1464795551	364.010
1464795621	392.860
1464795691	367.710
1464795761	363.370
1464795831	364.710
1464795901	368.680
1464795970	365.990
1464796040	367.300
1464796110	363.450
1464796180	364.810
1464796250	363.500
1464796320	370.510
1464796390	367.650
1464796460	368.050
1464796530	367.650
1464796600	366.460
1464796670	366.600
1464796739	368.240
1464796809	368.210
1464796879	371.100
1464796949	364.870
1464797019	365.130
1464797089	367.960
1464797159	366.960
1464797228	366.770
1464797298	364.290
1464797368	366.730
1464797438	366.290
1464797508	367.820
1464797578	366.470
1464797648	383.550
1464797717	367.380
1464797787	365.970
1464797857	363.150
1464797927	367.210
1464797997	368.180
1464798067	367.630
1464798137	368.460
1464798207	364.420
1464798277	364.690
1464798347	364.140
1464798417	364.340
1464798486	366.450
1464798556	364.640
1464798626	368.040
1464798696	367.380
1464798766	365.870
1464798836	365.310
1464798906	367.000
1464798976	370.640
1464799046	364.270
1464799116	364.620
1464799186	364.800
1464799255	363.270
1464799325	364.070
1464799395	363.480
1464799465	364.590
1464799535	369.070
1464799605	365.060
1464799675	363.650
1464799745	365.070
1464799814	368.660
1464799884	365.150
1464799954	365.240
1464800024	369.680
1464800094	367.080
1464800164	363.910
1464800234	363.840
1464800304	496.890
1464800374	366.520
1464800444	366.710
1464800514	371.080
1464800584	365.570
1464800653	363.540
1464800723	369.490
1464800794	364.550
1464800864	364.790
1464800933	372.170
1464801003	363.400
1464801073	365.630
1464801143	366.100
1464801213	364.180
1464801283	368.690
1464801353	507.870
1464801423	365.450
1464801493	365.510
1464801563	365.230
1464801633	363.630
1464801703	371.630
1464801772	368.260
1464801842	507.100
1464801912	365.630
1464801982	364.600
1464802052	370.550
1464802122	363.340
1464802192	362.690
1464802262	363.850
1464802332	367.070
1464802402	364.670
1464802472	362.960
1464802542	366.840
1464802612	366.650
1464802682	362.970
1464802752	367.770
1464802822	365.920
1464802891	363.120
1464802961	365.560
1464803031	367.240
1464803101	365.150
1464803171	366.000
1464803241	365.840
1464803311	366.040
1464803381	366.650
1464803450	363.910
1464803520	366.630
1464803590	365.770
1464803660	366.590
1464803730	366.780
1464803800	363.220
1464803870	363.340
1464803939	365.370
1464804009	445.650
1464804080	365.250
1464804149	363.620
1464804219	365.240
1464804289	365.630
1464804359	366.670
1464804429	365.640
1464804499	363.190
1464804568	400.680
1464804638	362.700
1464804708	366.550
1464804778	364.760
1464804848	362.960
1464804918	363.430
1464804988	368.970
1464805058	365.040
1464805128	365.750
1464805198	369.310
1464805268	370.640
1464805338	365.650
1464805408	364.540
1464805478	369.050
1464805548	366.720
1464805618	364.440
1464805687	365.660
1464805757	364.440
1464805827	364.970
1464805897	362.820
1464805967	362.900
1464806037	365.320
1464806106	365.610
1464806176	364.410
1464806246	363.770
1464806316	365.450
1464806386	365.250
1464806456	363.780
1464806526	364.410
1464806596	363.960
1464806665	365.900
1464806735	364.460
1464806805	365.840
1464806875	366.510
1464806945	366.410
1464807015	362.400
1464807085	364.650
1464807154	363.100
1464807224	362.480
1464807294	364.650
1464807364	364.380
1464807435	365.600
1464807504	366.720
1464807574	380.520
1464807644	366.350
1464807714	363.660
1464807784	365.850
1464807854	369.010
1464807924	363.670
1464807994	365.690
1464808063	368.080
1464808133	367.240
1464808203	365.640
1464808273	375.670
1464808343	363.230
1464808413	364.430
1464808483	367.440
1464808553	363.360
1464808623	365.790
1464808692	365.610
1464808762	362.910
1464808832	366.950
1464808903	364.230
1464808973	362.590
1464809042	365.000
1464809112	365.150
1464809182	363.380
1464809252	365.100
1464809322	366.200
1464809392	364.460
1464809462	365.650
1464809532	365.740
1464809602	366.400
1464809672	363.190
1464809742	363.070
1464809812	363.770
1464809882	366.750
1464809951	365.520
1464810021	363.790
1464810091	364.330
1464810161	367.800
1464810231	363.260
1464810301	366.690
1464810371	363.660
1464810441	365.590
1464810510	365.630
1464810580	365.040
1464810650	366.650
1464810720	363.630
1464810790	363.390
1464810860	363.650
1464810929	363.490
1464810999	363.680
1464811069	366.760
1464811139	367.660
1464811209	366.390
1464811279	364.640
1464811349	363.490
1464811419	365.920
1464811488	366.940
1464811558	365.150
1464811628	367.260
1464811698	366.670
1464811768	365.800
1464811838	363.080
1464811908	367.790
1464811978	363.630
1464812048	363.730
1464812118	368.650
1464812188	371.650
1464812257	365.630
1464812327	364.640
1464812397	364.710
1464812467	363.520
1464812537	366.770
1464812607	363.570
1464812677	365.070
1464812747	365.140
1464812817	366.680
1464812886	367.360
1464812956	363.360
1464813026	366.480
1464813096	364.580
1464813166	364.860
1464813236	364.490
1464813306	363.010
1464813376	364.120
1464813445	365.810
1464813515	367.030
1464813585	362.750
1464813655	366.440
1464813725	368.290
1464813795	363.740
1464813865	365.710
1464813935	363.000
1464814004	365.680
1464814074	367.460
1464814144	368.370
1464814214	366.890
1464814284	363.610
1464814354	365.940
1464814424	365.860
1464814494	367.470
1464814564	363.840
1464814634	362.320
1464814704	363.370
1464814773	366.520
1464814843	365.310
1464814913	365.530
1464814983	362.690
1464815053	364.410
1464815123	365.320
1464815193	365.650
1464815264	362.620
1464815333	364.530
1464815403	497.960
1464815473	365.530
1464815543	364.060
1464815613	366.810
1464815683	363.940
1464815753	363.490
1464815823	388.110
1464815893	364.940
1464815963	363.850
1464816032	367.080
1464816102	365.470
1464816172	365.640
1464816242	368.230
1464816312	365.560
1464816382	365.010
1464816452	365.100
1464816522	366.820
1464816592	365.120
1464816662	365.360
1464816732	363.080
1464816801	362.420
1464816871	364.750
1464816941	365.660
1464817011	364.590
1464817081	363.470
1464817151	362.590
1464817221	370.530
1464817291	364.960
1464817361	363.610
1464817431	362.660
1464817501	365.440
1464817571	365.490
1464817641	363.030
1464817710	365.200
1464817780	365.050
1464817850	365.680
1464817920	364.570
1464817990	363.080
1464818060	364.260
1464818130	365.610
1464818200	363.080
1464818270	365.120
1464818340	364.520
1464818410	406.890
1464818480	364.310
1464818549	363.960
