timestamp[s]	latency_value[ms]
1464774790	178.540
1464774860	175.200
1464774929	178.410
1464774998	176.270
1464775067	175.510
1464775136	176.610
1464775205	180.030
1464775275	176.320
1464775344	171.760
1464775413	181.700
1464775482	175.140
1464775551	181.660
1464775620	175.510
1464775689	175.010
1464775758	174.140
1464775827	178.500
1464775897	174.110
1464775966	178.620
1464776035	171.590
1464776104	181.080
1464776173	187.780
1464776242	175.240
1464776311	180.260
1464776381	171.620
1464776450	176.650
1464776519	170.330
1464776588	175.140
1464776657	170.260
1464776726	176.620
1464776796	177.360
1464776865	175.510
1464776934	174.570
1464777003	179.460
1464777072	175.250
1464777141	175.170
1464777210	176.560
1464777279	179.690
1464777349	173.520
1464777418	179.810
1464777487	174.240
1464777556	172.920
1464777625	178.120
1464777694	170.450
1464777763	173.920
1464777832	169.990
1464777902	179.130
1464777971	171.330
1464778040	176.660
1464778109	174.910
1464778178	170.410
1464778247	176.320
1464778316	174.610
1464778386	170.780
1464778455	177.640
1464778524	172.110
1464778593	176.300
1464778662	179.210
1464778731	174.060
1464778800	173.520
1464778869	170.870
1464778938	174.180
1464779008	174.050
1464779077	171.310
1464779146	173.840
1464779215	175.450
1464779284	178.600
1464779354	177.830
1464779423	177.610
1464779492	176.330
1464779561	174.470
1464779630	176.680
1464779699	174.290
1464779768	176.320
1464779837	174.370
1464779907	175.260
1464779976	175.200
1464780045	176.160
1464780114	178.490
1464780183	176.600
1464780252	178.070
1464780321	178.300
1464780390	176.400
1464780460	170.340
1464780529	175.230
1464780598	178.530
1464780667	179.950
1464780736	181.010
1464780805	178.600
1464780874	177.690
1464780944	174.700
1464781013	170.590
1464781082	175.680
1464781151	176.830
1464781220	174.200
1464781289	180.690
1464781358	180.490
1464781427	178.650
1464781497	174.970
1464781566	173.680
1464781635	175.620
1464781704	178.700
1464781773	176.640
1464781843	177.150
1464781912	176.360
1464781981	180.640
1464782050	191.000
1464782119	179.280
1464782188	174.740
1464782258	176.630
1464782327	178.130
1464782396	174.690
1464782465	178.540
1464782534	174.760
1464782603	178.900
1464782673	180.040
1464782742	174.570
1464782811	179.300
1464782880	175.590
1464782949	179.610
1464783018	180.460
1464783087	176.520
1464783157	175.810
1464783226	176.060
1464783295	178.920
1464783364	174.730
1464783434	171.040
1464783503	178.890
1464783572	176.510
1464783641	172.640
1464783710	174.650
1464783779	182.440
1464783848	175.290
1464783917	177.650
1464783986	173.900
1464784055	175.450
1464784125	171.590
1464784194	175.350
1464784263	175.660
1464784332	171.050
1464784401	173.620
1464784470	180.630
1464784539	170.630
1464784608	176.510
