timestamp[s]	latency_value[ms]
1464774789	635.080
1464774860	631.710
1464774933	633.080
1464775005	631.380
1464775076	634.280
1464775148	633.650
1464775219	633.600
1464775290	630.890
1464775362	633.440
1464775433	636.670
1464775504	633.160
1464775576	632.350
1464775648	632.750
1464775719	634.810
1464775790	634.230
1464775862	631.370
1464775933	631.690
1464776004	634.170
1464776075	635.580
1464776147	636.890
1464776218	632.170
1464776289	633.300
1464776360	634.690
1464776431	634.720
1464776502	633.200
1464776573	633.080
1464776645	634.910
1464776715	632.520
1464776787	632.760
1464776858	634.320
1464776929	633.330
1464777000	631.920
1464777071	633.300
1464777142	633.000
1464777213	632.670
1464777284	635.470
1464777355	630.780
1464777426	632.930
1464777497	633.260
1464777569	635.170
1464777640	632.710
1464777711	630.940
1464777782	631.990
1464777853	633.630
1464777924	632.210
1464777995	633.950
1464778067	634.450
1464778138	633.740
1464778208	635.860
1464778280	634.740
1464778351	634.260
1464778423	634.460
1464778493	635.270
1464778564	632.040
1464778635	633.630
1464778706	633.230
1464778777	631.490
1464778849	631.630
1464778919	634.130
1464778990	630.410
1464779062	634.800
1464779133	632.490
1464779204	634.610
1464779275	633.040
1464779346	633.970
1464779417	635.150
1464779488	632.850
1464779559	632.120
1464779630	633.680
1464779701	633.510
1464779773	633.360
1464779844	634.040
1464779916	633.260
1464779987	635.540
1464780057	635.720
1464780128	633.520
1464780199	633.300
1464780270	631.940
1464780341	631.890
1464780412	633.320
1464780483	634.300
1464780555	633.950
1464780626	633.170
1464780698	633.580
1464780770	633.150
1464780841	631.960
1464780913	634.450
1464780985	632.470
1464781056	633.940
1464781128	635.240
1464781199	632.900
1464781270	633.610
1464781341	633.660
1464781412	635.720
1464781483	636.080
1464781554	632.320
1464781626	631.990
1464781697	630.870
1464781768	630.690
1464781839	632.070
1464781910	632.900
1464781981	631.670
1464782052	632.210
1464782122	633.250
1464782194	633.110
1464782265	632.210
1464782337	632.630
1464782407	690.660
1464782479	631.340
1464782550	634.290
1464782621	636.000
1464782693	631.160
1464782764	637.040
1464782836	632.780
1464782907	632.620
1464782979	632.000
1464783051	634.230
1464783122	632.900
1464783192	631.560
1464783263	633.750
1464783335	632.520
1464783406	630.920
1464783477	634.030
1464783547	634.650
1464783618	632.370
1464783690	630.710
1464783762	632.300
1464783833	635.460
1464783903	633.970
1464783976	637.650
1464784047	636.920
1464784119	634.620
1464784189	638.640
1464784260	633.240
1464784332	634.300
1464784404	634.500
1464784475	632.050
1464784546	634.020
1464784617	633.480
1464784689	632.760
1464784760	634.400
1464784831	632.770
1464784902	633.820
1464784975	632.900
1464785045	635.390
1464785116	634.900
1464785188	634.860
1464785259	634.240
1464785330	634.110
1464785401	634.760
1464785473	631.390
1464785544	635.270
1464785616	631.860
1464785687	630.990
1464785758	632.670
1464785829	634.420
1464785900	632.190
1464785971	633.790
1464786042	636.590
1464786113	633.050
1464786184	632.300
1464786256	633.830
1464786327	631.090
1464786398	635.650
1464786470	631.780
1464786541	632.750
1464786612	632.910
1464786683	633.080
1464786754	631.770
1464786825	635.760
1464786896	633.110
1464786967	634.520
1464787038	631.770
1464787109	633.190
1464787180	633.270
1464787251	633.460
1464787322	632.010
1464787393	631.190
1464787464	632.490
1464787535	633.540
1464787606	643.430
1464787678	633.840
1464787749	633.460
1464787820	638.600
1464787892	632.000
1464787962	631.200
1464788034	632.790
1464788105	644.060
1464788176	653.530
1464788248	643.310
1464788320	654.570
1464788390	642.800
1464788461	632.680
1464788533	643.980
1464788604	648.800
1464788675	631.380
1464788747	641.950
1464788817	640.510
1464788888	638.340
1464788959	633.180
1464789031	642.830
1464789102	647.210
1464789174	634.160
1464789245	642.390
1464789316	647.840
1464789387	642.740
1464789458	639.170
1464789529	631.540
1464789600	632.590
1464789671	630.560
1464789742	637.180
1464789813	654.340
1464789884	634.310
1464789955	653.330
1464790026	643.650
1464790097	642.630
1464790168	642.620
1464790239	653.540
1464790310	643.570
1464790382	633.840
1464790452	635.330
1464790523	641.420
1464790594	637.280
1464790665	632.830
1464790737	634.420
1464790808	645.100
1464790878	636.560
1464790950	630.900
1464791021	633.990
1464791092	637.000
1464791163	632.380
1464791234	647.210
1464791306	650.420
1464791376	636.620
1464791448	642.270
1464791518	646.180
1464791589	643.730
1464791661	641.920
1464791732	643.100
1464791803	653.320
1464791874	641.670
1464791945	629.740
1464792017	644.000
1464792087	636.050
1464792158	650.900
1464792229	644.760
1464792300	656.670
1464792372	636.330
1464792442	651.240
1464792514	642.780
