timestamp[s]	latency_value[ms]
1464774794	420.750
1464774866	417.570
1464774937	425.590
1464775008	427.970
1464775080	416.520
1464775152	415.710
1464775223	447.000
1464775295	437.220
1464775367	416.690
1464775438	415.540
1464775510	439.420
1464775582	416.020
1464775653	441.040
1464775724	445.280
1464775796	461.860
1464775868	415.780
1464775939	417.050
1464776011	424.880
1464776083	428.580
1464776154	447.810
1464776226	425.810
1464776298	425.220
1464776369	414.780
1464776440	432.860
1464776512	446.570
1464776583	418.510
1464776655	423.290
1464776726	415.840
1464776797	430.930
1464776870	422.860
1464776941	434.800
1464777012	415.630
1464777084	439.150
1464777156	432.060
1464777227	424.630
1464777299	420.640
1464777370	419.150
1464777441	439.470
1464777513	428.470
1464777585	415.920
1464777656	432.840
1464777729	416.660
1464777800	416.490
1464777872	419.460
1464777944	416.410
1464778016	424.550
1464778087	440.890
1464778158	424.590
1464778229	415.500
1464778301	432.000
1464778373	422.340
1464778444	417.790
1464778515	416.380
1464778588	426.230
1464778659	431.440
1464778731	418.280
1464778802	418.640
1464778874	425.120
1464778945	426.700
1464779016	430.040
1464779088	431.860
1464779159	426.150
1464779230	425.700
1464779302	418.180
1464779373	431.740
1464779445	446.180
1464779517	424.340
1464779588	424.300
1464779660	416.980
1464779731	445.710
1464779802	418.210
1464779875	439.690
1464779946	416.230
1464780017	678.270
1464780089	424.070
1464780160	424.120
1464780232	417.950
1464780303	424.670
1464780374	417.470
1464780446	416.610
1464780517	418.030
1464780589	449.160
1464780662	430.870
1464780733	432.140
1464780805	422.670
1464780876	423.440
1464780947	424.590
1464781020	438.210
1464781093	431.290
1464781165	416.220
1464781237	424.000
1464781308	422.170
1464781381	439.470
1464781453	425.860
1464781524	425.160
1464781595	430.970
1464781669	437.200
1464781740	425.950
1464781812	415.640
1464781883	417.980
1464781954	430.010
1464782026	422.580
1464782100	417.160
1464782171	447.370
1464782243	417.000
1464782315	425.090
1464782387	448.660
1464782459	450.390
1464782530	425.760
1464782602	421.380
1464782675	426.300
1464782746	449.010
1464782818	425.980
1464782890	425.940
1464782961	418.790
1464783033	431.370
1464783105	416.070
1464783176	450.730
1464783248	448.300
1464783322	429.620
1464783393	425.310
1464783464	425.970
1464783537	416.100
1464783609	727.180
1464783682	427.840
1464783755	438.530
1464783827	446.530
1464783898	430.140
1464783971	417.360
1464784043	423.790
1464784116	446.800
1464784187	429.820
1464784258	431.930
1464784329	428.640
1464784401	441.050
1464784476	424.160
1464784548	416.860
1464784620	416.460
1464784692	425.100
1464784766	425.860
1464784838	422.620
1464784910	450.970
1464784982	427.340
1464785054	443.520
1464785126	415.960
1464785197	447.270
1464785270	423.960
1464785341	425.990
1464785413	417.350
1464785485	430.960
1464785556	432.310
1464785628	428.460
1464785701	424.460
1464785773	416.440
1464785846	419.270
1464785919	442.110
1464785991	424.500
1464786063	449.110
1464786135	447.810
1464786207	424.490
1464786279	430.550
1464786352	419.190
1464786424	430.890
1464786495	453.610
1464786566	447.720
1464786638	441.280
1464786709	447.600
1464786780	426.570
1464786852	424.510
1464786924	421.590
1464786996	431.290
1464787067	416.420
1464787139	427.000
1464787210	439.210
1464787282	415.700
1464787353	419.000
1464787424	417.550
1464787495	440.920
1464787567	428.480
1464787639	417.080
1464787710	447.160
1464787783	437.990
1464787854	428.580
1464787926	415.510
1464787997	414.550
1464788069	419.890
1464788141	423.350
1464788213	447.940
1464788285	416.460
1464788356	432.730
1464788428	432.650
1464788500	424.210
1464788571	416.040
1464788642	419.320
1464788714	431.660
1464788786	437.880
1464788858	423.640
1464788929	422.380
1464789001	425.800
1464789074	439.850
1464789145	416.990
1464789216	417.670
1464789288	446.750
1464789359	416.240
1464789432	422.760
1464789503	439.140
1464789575	441.930
1464789646	427.940
1464789717	415.790
1464789789	418.420
1464789860	441.830
1464789933	447.440
1464790004	445.600
1464790076	426.420
1464790147	434.280
1464790219	436.960
1464790290	417.380
1464790361	424.520
1464790433	422.650
1464790504	431.830
1464790576	415.180
1464790647	445.860
1464790718	427.730
1464790790	417.430
1464790861	418.380
1464790932	418.860
1464791004	424.650
1464791075	421.230
1464791146	422.610
1464791218	420.710
1464791289	423.900
1464791360	425.390
1464791431	415.900
1464791503	422.700
1464791574	416.480
1464791646	440.080
1464791717	415.640
1464791789	445.290
1464791860	426.290
1464791931	447.010
1464792003	435.850
1464792074	424.330
1464792145	416.710
1464792216	440.270
1464792288	416.550
1464792359	428.530
1464792431	418.370
1464792503	424.880
1464792574	422.360
1464792646	426.780
1464792718	425.220
1464792789	417.110
1464792860	417.470
1464792932	441.290
1464793003	438.230
1464793075	430.130
1464793146	424.250
1464793218	424.270
1464793290	432.580
1464793361	424.660
1464793434	424.640
1464793505	415.870
