timestamp[s]	latency_value[ms]
1464774795	442.500
1464774867	460.740
1464774939	441.640
1464775012	460.240
1464775084	463.370
1464775156	438.980
1464775227	440.690
1464775299	440.360
1464775370	462.430
1464775442	460.610
1464775514	462.400
1464775585	438.950
1464775657	461.830
1464775729	441.590
1464775801	463.150
1464775873	439.370
1464775944	461.750
1464776017	440.910
1464776088	460.740
1464776159	439.280
1464776232	461.560
1464776303	460.610
1464776375	461.020
1464776446	440.350
1464776518	440.960
1464776590	462.280
1464776662	440.130
1464776734	440.210
1464776806	460.440
1464776877	462.450
1464776949	440.860
1464777020	438.910
1464777091	464.090
1464777163	460.220
1464777234	460.860
1464777306	462.430
1464777378	440.710
1464777450	461.360
1464777522	439.690
1464777594	441.050
1464777666	439.540
1464777737	462.470
1464777809	439.090
1464777881	461.480
1464777952	441.060
1464778024	441.100
1464778095	461.500
1464778167	440.810
1464778238	440.540
1464778310	460.550
1464778382	440.060
1464778453	438.790
1464778526	460.320
1464778597	462.250
1464778669	439.980
1464778741	439.980
1464778813	439.200
1464778885	440.800
1464778957	439.250
1464779029	438.750
1464779100	439.100
1464779172	462.350
1464779243	461.030
1464779315	461.500
1464779387	439.500
1464779459	459.760
1464779531	440.160
1464779602	441.020
1464779675	462.270
1464779746	439.120
1464779818	460.290
1464779890	461.310
1464779961	440.830
1464780033	460.850
1464780105	439.860
1464780176	439.640
1464780248	460.490
1464780320	461.840
1464780391	461.880
1464780463	438.890
1464780534	441.690
1464780607	460.210
1464780678	461.560
1464780749	440.540
1464780821	440.060
1464780892	460.510
1464780964	461.580
1464781037	461.960
1464781109	441.140
1464781181	461.560
1464781252	460.690
1464781324	461.480
1464781396	460.500
1464781468	439.450
1464781539	462.080
1464781611	461.350
1464781684	439.000
1464781756	439.260
1464781828	439.160
1464781899	460.320
1464781971	439.160
1464782044	441.260
1464782115	440.510
1464782187	439.660
1464782258	441.210
1464782329	442.970
1464782401	439.230
1464782472	461.120
1464782545	464.300
1464782618	442.620
1464782689	460.360
1464782760	462.380
1464782833	461.390
1464782905	460.170
1464782976	440.200
1464783049	462.210
1464783120	440.470
1464783192	440.000
1464783263	461.700
1464783337	461.530
1464783409	440.260
1464783480	439.650
1464783552	440.410
1464783623	444.120
1464783695	460.430
1464783767	461.470
1464783838	462.610
1464783910	439.640
1464783982	461.980
1464784054	461.270
1464784126	438.990
1464784197	441.680
1464784269	461.270
1464784341	461.670
1464784413	461.950
1464784484	461.740
1464784557	439.260
1464784628	460.240
1464784700	439.060
1464784771	460.170
1464784842	462.550
1464784914	467.430
1464784986	460.380
1464785058	461.770
1464785130	440.340
1464785202	440.540
1464785275	462.040
1464785347	440.700
1464785419	438.710
1464785491	439.250
1464785564	440.360
1464785635	460.650
