timestamp[s]	latency_value[ms]
1464774791	468.360
1464774862	417.520
1464774932	421.830
1464775003	462.510
1464775073	422.640
1464775143	466.800
1464775213	420.280
1464775283	415.660
1464775353	469.510
1464775423	416.490
1464775493	468.720
1464775563	419.100
1464775633	417.240
1464775703	468.560
1464775773	469.110
1464775844	468.580
1464775914	466.900
1464775984	468.460
1464776054	469.840
1464776124	468.570
1464776194	466.250
1464776264	418.480
1464776334	416.760
1464776404	467.130
1464776474	417.520
1464776544	464.890
1464776615	419.670
1464776685	469.790
1464776755	467.180
1464776825	470.220
1464776895	419.350
1464776965	417.910
1464777035	419.000
1464777105	470.550
1464777175	465.550
1464777245	418.650
1464777316	422.930
1464777386	421.020
1464777456	468.510
1464777526	466.040
1464777596	421.160
1464777667	419.000
1464777737	420.660
1464777807	422.470
1464777878	465.090
1464777948	419.300
1464778018	420.490
1464778088	468.890
1464778158	464.170
1464778228	467.560
1464778298	470.140
1464778368	421.380
1464778438	418.300
1464778508	463.430
1464778578	467.560
1464778648	463.290
1464778718	469.370
1464778788	463.290
1464778859	421.290
1464778929	419.980
1464778999	462.390
1464779069	473.380
1464779139	463.860
1464779210	420.220
1464779280	464.480
1464779350	463.840
1464779420	416.380
1464779490	466.350
1464779560	417.630
1464779630	466.960
1464779700	466.210
1464779770	464.080
1464779840	418.210
1464779910	467.730
1464779981	417.930
1464780051	470.540
1464780121	471.380
1464780191	471.220
1464780261	419.440
1464780331	419.930
1464780401	468.150
1464780471	467.610
1464780541	468.810
1464780612	424.290
1464780682	423.250
1464780752	465.130
1464780822	419.670
1464780892	463.760
1464780962	416.910
1464781033	422.660
1464781103	425.300
1464781173	466.570
1464781243	418.030
1464781313	417.720
1464781383	465.100
1464781453	466.700
1464781524	418.680
1464781594	463.370
1464781664	469.120
1464781734	463.700
1464781804	464.830
1464781874	464.530
1464781944	470.670
1464782014	415.880
1464782084	467.000
1464782154	462.430
1464782224	466.530
1464782295	423.830
1464782365	416.620
1464782435	469.570
1464782505	420.720
1464782575	420.270
1464782645	468.450
1464782715	421.320
1464782785	465.590
1464782856	419.860
1464782926	463.900
1464782996	420.520
1464783066	471.210
1464783136	421.070
1464783206	425.290
1464783277	465.980
1464783347	417.780
1464783417	420.050
1464783487	421.560
1464783557	420.100
1464783627	419.610
1464783697	417.350
1464783767	465.830
1464783838	416.950
1464783908	415.230
1464783978	419.780
1464784048	417.500
1464784118	414.970
1464784188	416.420
1464784258	465.910
1464784328	466.750
1464784398	418.410
1464784469	417.940
1464784539	463.950
1464784609	424.700
1464784679	422.760
1464784749	423.740
1464784819	416.240
1464784889	416.840
1464784959	415.620
1464785029	469.140
1464785100	418.060
1464785170	469.420
1464785240	467.810
