timestamp[s]	latency_value[ms]
1464774793	580.000
1464774874	575.290
1464774956	614.560
1464775038	575.640
1464775119	582.200
1464775202	587.410
1464775304	573.930
1464775397	580.350
1464775476	580.680
1464775556	575.470
1464775650	579.550
1464775730	582.190
1464775808	576.320
1464775903	581.420
1464775992	582.010
1464776072	576.960
1464776155	586.760
1464776242	573.530
1464776318	579.990
1464776395	580.150
1464776477	577.540
1464776552	576.730
1464776628	573.200
1464776703	578.760
1464776785	581.270
1464776861	580.290
1464776937	579.020
1464777013	582.630
1464777093	573.030
1464777171	576.000
1464777246	578.660
1464777324	578.200
1464777406	582.330
1464777488	736.850
1464777567	845.890
1464777644	780.550
1464777725	647.170
1464777801	638.710
1464777878	651.260
1464777960	652.410
1464778038	627.510
1464778115	647.900
1464778192	577.350
1464778272	577.880
1464778347	578.770
1464778422	581.670
1464778498	573.750
1464778578	723.270
1464778654	773.100
1464778731	694.300
1464778807	639.710
1464778889	644.600
1464778976	586.070
1464779053	627.030
1464779131	645.180
1464779214	630.980
1464779291	633.590
1464779372	657.880
1464779449	661.290
1464779532	635.550
1464779610	647.220
1464779689	657.930
1464779776	658.570
1464779857	654.250
1464779934	645.980
1464780011	651.400
1464780095	650.380
1464780172	652.420
1464780248	651.750
1464780326	657.890
1464780408	656.460
1464780483	654.000
1464780560	648.550
1464780635	637.930
1464780715	650.470
1464780796	617.090
1464780872	652.560
1464780949	609.100
1464781027	580.830
1464781103	581.550
1464781182	580.690
1464781257	573.410
1464781333	579.980
1464781409	580.940
1464781485	578.820
1464781565	574.590
1464781644	575.040
1464781720	574.520
1464781795	574.030
1464781883	572.490
1464781959	576.950
1464782037	573.890
1464782114	581.580
1464782199	579.320
1464782277	577.980
1464782356	573.500
1464782434	580.500
1464782521	581.280
1464782608	582.330
1464782685	578.060
1464782760	572.660
1464782836	579.950
1464782911	580.240
1464782989	579.730
1464783072	577.680
1464783147	580.860
1464783223	578.010
1464783300	586.530
1464783381	580.950
1464783458	581.930
1464783539	578.010
1464783615	591.230
1464783695	578.980
1464783769	571.760
1464783845	578.280
1464783920	580.580
1464783998	578.380
1464784074	579.420
1464784149	582.710
1464784231	583.940
1464784311	581.750
1464784390	572.200
1464784467	573.510
1464784545	571.200
1464784624	572.780
1464784702	576.200
1464784780	581.110
1464784867	579.450
1464784947	580.840
1464785030	574.410
1464785107	580.850
1464785193	574.010
1464785271	581.750
1464785346	582.270
1464785424	580.310
1464785506	579.820
1464785586	571.640
1464785662	579.000
1464785742	585.940
1464785823	572.890
1464785901	573.080
1464785976	581.200
1464786053	580.640
1464786134	577.810
1464786212	579.450
1464786289	580.370
1464786370	581.200
1464786446	579.030
1464786521	579.380
1464786596	581.040
1464786677	581.780
1464786758	578.600
1464786833	582.710
1464786910	581.150
1464786993	581.060
1464787072	577.920
1464787150	577.860
1464787226	581.560
1464787312	579.380
1464787388	578.670
1464787467	579.920
1464787544	596.510
1464787626	573.870
1464787703	572.860
1464787782	578.800
1464787874	573.430
1464787954	577.700
1464788031	576.700
1464788108	580.410
1464788189	581.060
1464788268	580.250
1464788344	810.240
1464788423	585.560
1464788505	579.130
1464788583	580.190
1464788660	583.020
1464788737	584.290
1464788817	583.270
1464788896	581.360
1464788971	579.950
1464789047	574.440
1464789128	573.160
1464789205	581.590
1464789286	577.980
1464789363	574.280
1464789439	580.950
1464789515	576.780
1464789591	573.860
1464789670	581.800
1464789745	581.860
1464789820	579.980
1464789895	575.290
1464789975	581.680
1464790055	580.210
1464790131	577.770
1464790206	578.210
1464790286	578.320
1464790363	576.690
1464790438	581.170
1464790513	578.780
1464790593	574.340
1464790668	577.520
1464790743	583.330
1464790822	582.040
1464790902	574.150
1464790978	578.280
1464791053	577.320
1464791128	582.080
1464791207	581.140
1464791283	578.560
1464791358	573.450
1464791436	590.870
1464791518	573.550
1464791596	583.130
1464791681	572.540
1464791757	581.510
1464791838	577.990
1464791914	576.820
1464791993	579.740
1464792076	574.530
1464792154	579.370
1464792231	581.200
1464792307	579.730
1464792390	582.540
1464792475	573.530
1464792551	578.040
1464792630	603.610
1464792713	577.180
1464792789	573.220
1464792868	582.960
1464792945	583.340
1464793025	576.210
1464793104	581.700
1464793186	571.810
1464793266	579.070
1464793343	577.310
1464793419	584.200
1464793494	580.340
1464793572	573.220
1464793648	581.100
1464793725	578.230
1464793802	573.200
1464793882	578.680
1464793958	579.570
1464794034	577.380
1464794115	583.240
1464794196	579.770
1464794272	579.750
1464794348	573.050
1464794423	580.580
1464794505	576.810
1464794580	578.630
1464794655	579.790
1464794732	576.770
1464794816	584.740
1464794903	572.140
1464794980	572.670
1464795059	573.060
1464795135	577.900
1464795212	581.570
1464795288	586.670
1464795365	574.490
1464795441	579.660
1464795520	572.400
1464795596	582.460
1464795681	580.130
1464795756	581.250
1464795836	581.020
1464795912	578.890
1464795991	573.800
1464796066	578.790
1464796144	574.930
1464796220	577.150
1464796300	581.680
1464796377	577.640
1464796455	574.180
1464796531	597.040
1464796614	573.620
1464796692	580.560
1464796768	571.760
1464796844	580.370
1464796925	572.620
1464797003	581.910
1464797082	579.710
1464797165	573.970
1464797240	572.730
1464797319	583.420
1464797398	582.370
1464797482	572.080
1464797559	572.540
1464797638	579.130
1464797716	573.370
1464797796	571.140
1464797873	578.680
1464797949	578.520
1464798024	574.790
1464798102	578.050
1464798177	577.950
1464798253	577.310
1464798329	579.110
1464798410	580.380
1464798486	576.480
1464798562	580.840
1464798640	579.170
1464798721	573.620
1464798798	1839.210
1464798878	572.090
1464798955	573.120
1464799033	581.110
1464799113	574.250
1464799189	581.050
1464799274	579.780
1464799351	575.120
1464799427	577.300
1464799505	581.570
1464799589	571.640
1464799667	577.900
1464799744	578.060
1464799821	582.570
1464799903	573.100
1464799980	578.740
1464800058	578.000
1464800135	580.760
1464800220	571.540
1464800296	581.320
1464800372	573.170
1464800447	580.600
1464800530	581.850
1464800607	576.900
1464800683	577.730
1464800759	580.880
1464800835	584.700
1464800912	579.370
1464800989	581.330
1464801069	580.460
1464801147	576.330
1464801223	579.310
1464801299	577.590
1464801378	582.890
1464801453	573.210
1464801529	582.870
1464801604	578.790
1464801684	575.940
1464801759	575.010
1464801834	578.130
1464801909	577.540
1464801989	578.910
1464802069	578.990
1464802145	578.530
1464802220	592.220
1464802303	572.140
1464802378	572.730
1464802454	579.470
1464802529	594.060
1464802608	581.830
1464802685	587.550
1464802761	578.750
1464802844	578.210
1464802925	580.400
1464803001	581.180
1464803078	573.690
1464803154	573.990
1464803233	579.160
1464803310	575.710
1464803387	577.400
1464803469	577.820
1464803546	577.360
1464803625	577.350
1464803704	578.270
1464803790	574.070
1464803867	576.980
1464803942	587.990
1464804017	573.240
1464804099	578.290
1464804174	578.680
1464804249	577.480
1464804326	573.950
1464804405	581.550
1464804481	578.780
1464804565	573.790
1464804648	576.200
1464804738	580.790
1464804842	589.230
1464804940	586.900
1464805048	579.860
1464805143	580.680
1464805237	585.060
1464805340	581.470
1464805433	575.160
1464805510	579.200
1464805594	581.430
1464805679	572.490
1464805758	579.820
1464805834	580.020
1464805920	582.490
1464806003	581.200
1464806086	571.110
1464806169	582.370
1464806248	574.520
1464806326	574.190
1464806402	586.730
1464806486	575.950
1464806567	580.430
1464806642	576.850
1464806718	576.830
1464806797	576.400
1464806873	578.980
1464806949	573.300
1464807025	579.100
1464807104	579.020
1464807180	577.200
1464807256	571.760
1464807331	579.100
1464807411	578.460
1464807490	578.720
1464807567	577.970
1464807642	581.510
1464807721	576.130
1464807797	576.660
1464807872	578.460
1464807947	572.200
1464808026	574.060
1464808102	578.650
1464808178	574.320
1464808254	581.400
1464808331	574.910
1464808410	574.800
1464808492	578.720
1464808572	574.990
1464808649	576.750
1464808725	578.400
1464808801	579.460
1464808890	580.690
1464808968	574.290
1464809047	573.010
1464809124	584.550
1464809209	573.060
1464809288	577.630
1464809369	579.680
1464809455	573.410
1464809533	595.050
1464809609	581.960
1464809686	581.350
1464809768	580.980
1464809846	579.190
1464809924	574.380
1464810001	661.400
1464810085	578.410
1464810161	572.240
1464810238	580.410
1464810321	578.950
1464810402	578.390
1464810477	581.320
1464810553	574.060
1464810629	587.340
1464810710	573.230
1464810786	575.920
1464810863	574.220
1464810941	576.740
1464811023	581.500
1464811100	576.860
1464811179	582.110
1464811257	578.140
1464811338	579.740
1464811417	572.280
1464811495	579.270
1464811577	579.770
1464811655	576.790
1464811731	577.200
1464811807	585.480
1464811888	578.300
1464811964	578.510
1464812039	575.550
1464812116	579.830
1464812198	579.810
1464812274	581.840
1464812351	587.080
1464812428	581.440
1464812508	579.940
1464812584	581.470
1464812667	580.990
1464812743	578.240
1464812829	588.960
1464812911	578.780
1464812991	594.170
1464813073	571.680
1464813150	582.960
1464813227	581.190
1464813305	580.720
1464813388	572.630
1464813465	571.920
1464813544	577.240
