timestamp[s]	latency_value[ms]
1464774793	679.580
1464774878	682.540
1464774960	689.860
1464775041	675.920
1464775123	681.620
1464775206	680.630
1464775305	694.080
1464775397	670.080
1464775477	687.990
1464775557	673.790
1464775651	675.560
1464775732	668.190
1464775811	671.350
1464775904	701.840
1464775992	689.880
1464776072	668.370
1464776155	675.770
1464776244	681.840
1464776322	676.880
1464776401	685.450
1464776486	674.120
1464776565	673.750
1464776644	673.050
1464776721	691.880
1464776814	672.240
1464776894	672.800
1464776974	673.460
1464777051	680.640
1464777141	674.240
1464777219	677.650
1464777299	670.670
1464777388	675.780
1464777463	813.070
1464777542	872.260
1464777619	896.540
1464777700	742.720
1464777778	746.870
1464777855	753.910
1464777936	770.420
1464778017	765.170
1464778095	717.000
1464778171	682.470
1464778247	696.350
1464778329	669.830
1464778406	684.100
1464778484	679.740
1464778562	878.140
1464778638	870.530
1464778715	855.210
1464778792	721.260
1464778876	708.500
1464778959	733.760
1464779035	756.290
1464779112	745.930
1464779193	744.470
1464779269	695.820
1464779345	742.170
1464779421	769.460
1464779503	751.320
1464779579	744.530
1464779655	741.410
1464779738	764.480
1464779818	720.520
1464779897	1739.460
1464779976	763.610
1464780055	750.650
1464780134	765.080
1464780211	748.500
1464780288	765.930
1464780367	751.520
1464780451	768.150
1464780530	754.140
1464780609	741.910
1464780691	744.020
1464780771	736.970
1464780853	699.970
1464780933	761.330
1464781015	679.920
1464781092	676.590
1464781170	671.280
1464781247	668.520
1464781327	674.570
1464781403	679.750
1464781478	673.560
1464781555	694.200
1464781634	679.160
1464781711	687.180
1464781787	679.470
1464781875	668.830
1464781953	678.330
1464782034	689.070
1464782111	676.680
1464782198	681.920
1464782276	683.310
1464782356	666.960
1464782434	683.940
1464782522	693.760
1464782613	681.290
1464782690	676.560
1464782772	683.790
1464782849	669.850
1464782925	678.460
1464783002	685.370
1464783084	670.040
1464783162	680.760
1464783237	691.880
1464783317	668.540
1464783399	680.720
1464783475	676.520
1464783557	670.170
1464783633	690.260
1464783716	691.000
1464783793	679.560
1464783870	669.680
1464783947	672.460
1464784027	682.730
1464784103	672.300
1464784184	677.250
1464784269	688.470
1464784344	677.000
1464784422	672.590
1464784498	685.400
1464784577	672.790
1464784653	677.400
1464784729	666.460
1464784805	685.710
1464784887	676.930
1464784963	674.880
1464785045	666.350
1464785122	676.530
1464785205	671.620
1464785283	675.270
1464785359	666.460
1464785436	671.210
1464785518	682.860
1464785597	670.020
1464785676	675.380
1464785754	674.530
1464785836	667.430
1464785912	691.810
1464785987	666.880
1464786065	691.470
1464786143	668.560
1464786220	668.200
1464786299	715.850
1464786381	675.930
1464786458	666.650
1464786535	675.150
1464786611	667.110
1464786690	670.890
1464786768	691.430
1464786843	688.990
1464786920	692.970
1464787001	677.110
1464787078	683.190
1464787155	680.240
1464787232	672.260
1464787318	686.780
1464787396	685.650
1464787477	675.870
1464787557	693.600
1464787642	674.220
1464787721	677.950
1464787798	669.950
1464787898	672.050
1464787976	675.680
1464788055	671.230
1464788132	673.420
1464788220	678.240
1464788299	669.520
1464788376	684.510
1464788453	674.790
1464788534	690.010
1464788609	676.500
1464788685	677.860
1464788762	671.930
1464788837	682.450
1464788914	690.190
1464788990	685.880
1464789069	679.570
1464789146	680.170
1464789223	667.010
1464789300	683.750
1464789383	672.210
1464789459	668.390
1464789535	690.790
1464789611	668.920
1464789691	671.660
1464789767	672.860
1464789843	684.020
1464789921	689.630
1464790002	690.390
1464790082	672.080
1464790157	676.000
1464790236	670.590
1464790320	670.850
1464790400	679.270
1464790478	694.140
1464790557	682.270
1464790635	686.870
1464790713	647.550
1464790791	654.080
1464790875	641.790
1464790953	651.200
1464791029	658.100
1464791107	649.370
1464791191	827.640
1464791268	653.430
1464791345	649.490
1464791422	643.590
1464791507	643.080
1464791586	652.080
1464791669	660.220
1464791747	648.050
1464791830	654.050
1464791905	638.550
1464791982	662.260
1464792060	648.310
1464792140	660.320
1464792216	643.120
1464792293	655.940
1464792372	662.660
1464792450	639.340
1464792527	651.860
1464792602	660.100
1464792683	662.630
1464792758	646.570
1464792834	644.930
1464792910	643.180
1464792989	650.410
1464793065	642.880
1464793141	639.590
1464793222	650.860
1464793309	643.180
1464793385	637.900
1464793464	654.610
1464793540	666.050
1464793623	644.500
1464793700	646.790
1464793776	644.440
1464793855	652.400
1464793933	641.790
1464794011	643.310
1464794092	668.480
1464794172	661.690
1464794249	640.610
1464794325	654.830
1464794402	653.370
1464794486	657.950
1464794563	661.750
1464794640	664.040
1464794717	649.350
1464794806	644.390
1464794893	654.860
1464794968	642.810
1464795045	665.280
1464795125	642.260
1464795201	664.620
1464795278	651.350
1464795355	657.020
1464795432	642.110
1464795509	644.770
1464795587	650.440
1464795665	654.200
1464795740	640.440
1464795818	649.900
1464795898	644.080
1464795980	663.280
1464796057	651.980
1464796133	646.460
1464796210	650.150
1464796292	645.300
1464796369	663.620
1464796447	647.700
1464796524	666.580
1464796605	653.390
1464796681	641.630
1464796759	644.770
1464796835	647.510
1464796921	656.870
1464797000	646.110
1464797078	661.320
1464797158	644.340
1464797235	653.420
1464797316	662.790
1464797395	652.770
1464797478	653.840
1464797555	649.290
1464797633	658.190
1464797712	651.520
1464797792	648.600
1464797869	656.190
1464797945	656.040
1464798021	651.820
1464798101	648.200
1464798176	659.820
1464798252	650.220
1464798328	646.790
1464798409	650.490
1464798485	637.650
1464798561	648.900
1464798640	657.280
1464798724	645.220
1464798802	650.970
1464798881	663.260
1464798960	646.510
1464799037	655.590
1464799118	654.470
1464799197	646.430
1464799281	653.180
1464799358	651.050
1464799438	649.610
1464799515	650.410
1464799600	649.040
1464799677	650.280
1464799754	663.800
