timestamp[s]	latency_value[ms]
1464774789	931.940
1464774868	924.370
1464774948	925.750
1464775031	925.080
1464775112	929.320
1464775195	932.800
1464775293	930.430
1464775377	924.080
1464775452	937.750
1464775529	932.090
1464775619	928.970
1464775698	933.450
1464775774	933.290
1464775850	931.960
1464775931	957.180
1464776008	955.930
1464776083	923.170
1464776166	943.290
1464776252	931.390
1464776328	930.250
1464776406	932.070
1464776489	959.640
1464776565	934.390
1464776643	929.590
1464776719	933.320
1464776810	925.980
1464776886	938.350
1464776962	958.320
1464777038	935.810
1464777117	931.850
1464777195	930.830
1464777270	927.210
1464777348	934.810
1464777426	933.440
1464777503	954.710
1464777580	954.670
1464777658	930.710
1464777736	926.960
1464777813	930.430
1464777892	926.890
1464777976	929.550
1464778052	956.880
1464778129	927.750
1464778215	932.340
1464778296	930.010
1464778373	930.960
1464778448	925.720
1464778525	929.420
1464778605	928.970
1464778681	924.980
1464778757	956.270
1464778834	923.520
1464778916	929.430
1464778998	924.210
1464779074	930.460
1464779152	925.650
1464779229	930.950
1464779305	936.120
1464779381	932.750
1464779462	931.570
1464779541	931.570
1464779619	929.980
1464779697	931.010
1464779786	925.010
1464779871	931.460
1464779947	928.800
1464780024	932.900
1464780106	935.270
1464780183	923.030
1464780261	942.460
1464780338	928.780
1464780419	931.370
1464780496	930.130
1464780576	932.050
1464780653	957.580
1464780733	927.430
1464780817	954.330
1464780894	939.770
1464780973	930.730
1464781052	929.990
1464781128	932.220
1464781209	928.740
1464781291	928.910
1464781367	925.850
1464781443	935.410
1464781519	934.330
1464781606	934.270
1464781688	929.750
1464781766	933.700
1464781853	925.320
1464781935	929.200
1464782015	925.550
1464782095	927.280
1464782179	925.640
1464782255	923.530
1464782332	933.550
1464782410	953.250
1464782494	970.920
1464782578	932.990
1464782655	930.550
1464782731	941.710
1464782817	924.210
1464782894	934.650
1464782970	930.070
1464783046	935.380
1464783126	933.140
1464783203	929.290
1464783278	924.250
1464783356	922.720
1464783436	932.130
1464783518	929.470
1464783594	926.580
1464783675	934.950
1464783751	932.580
1464783827	932.360
1464783903	929.920
1464783982	925.490
1464784060	928.190
1464784138	930.420
1464784222	926.300
1464784303	923.620
1464784379	925.470
1464784454	953.240
1464784530	943.890
1464784609	932.320
1464784685	934.220
1464784762	931.900
1464784840	924.770
1464784919	930.910
1464784996	930.890
1464785077	932.790
1464785153	927.580
1464785232	932.400
1464785307	936.820
1464785383	933.490
1464785459	936.740
1464785535	951.640
1464785612	927.210
1464785690	931.040
1464785775	929.330
1464785858	929.970
1464785937	931.950
1464786013	934.950
1464786101	929.770
1464786182	940.200
1464786257	934.830
1464786336	937.050
1464786420	928.260
1464786499	959.450
1464786579	950.540
1464786661	935.040
1464786742	928.580
1464786819	929.930
1464786900	977.250
1464786987	929.370
1464787066	924.630
1464787144	925.510
1464787220	928.340
1464787306	937.050
1464787382	936.370
1464787459	929.360
1464787537	938.820
1464787619	930.520
1464787695	927.790
1464787772	930.340
1464787861	930.010
1464787941	933.220
1464788018	941.820
1464788095	945.650
1464788175	945.590
1464788253	933.420
1464788328	963.260
1464788406	933.840
1464788487	927.060
1464788567	931.650
1464788643	939.360
1464788718	935.720
1464788799	927.280
1464788875	934.810
1464788951	954.640
1464789028	930.320
1464789109	946.830
1464789185	943.750
1464789263	937.840
1464789339	935.100
1464789419	934.570
1464789495	925.910
1464789571	948.910
1464789647	937.740
1464789726	949.640
1464789801	936.660
1464789876	943.880
1464789955	934.120
1464790036	935.480
1464790112	933.390
1464790188	932.500
1464790264	943.830
1464790340	950.640
1464790415	934.490
1464790491	959.530
1464790570	944.160
1464790647	927.850
1464790724	929.490
1464790801	925.810
1464790885	924.750
1464790961	948.120
1464791037	959.410
1464791112	924.430
1464791195	947.120
1464791272	940.030
1464791348	957.520
1464791424	929.940
1464791508	942.240
1464791586	933.630
1464791669	939.130
1464791747	934.100
1464791828	939.470
1464791904	949.590
1464791980	929.700
1464792056	935.210
1464792136	962.640
1464792211	943.880
1464792289	941.720
1464792365	942.710
1464792442	950.100
1464792519	938.160
1464792594	958.660
1464792672	954.800
1464792747	977.660
1464792822	945.080
1464792898	936.290
1464792979	943.530
1464793054	944.290
1464793130	972.190
