timestamp[s]	latency_value[ms]
1464774790	652.780
1464774871	653.640
1464774950	649.700
1464775031	651.820
1464775112	652.100
1464775194	654.270
1464775289	647.730
1464775369	651.490
1464775443	648.070
1464775517	653.720
1464775602	648.690
1464775678	652.410
1464775754	651.300
1464775828	652.950
1464775909	654.170
1464775993	665.720
1464776069	646.560
1464776147	652.610
1464776229	655.370
1464776303	670.570
1464776377	647.040
1464776452	657.490
1464776529	647.520
1464776602	652.330
1464776677	651.400
1464776751	654.080
1464776834	652.270
1464776909	647.140
1464776986	652.920
1464777065	654.120
1464777148	648.460
1464777227	651.250
1464777312	654.380
1464777398	645.840
1464777480	670.180
1464777555	650.740
1464777630	656.040
1464777710	651.890
1464777785	646.380
1464777859	651.100
1464777939	653.850
1464778018	651.460
1464778094	646.130
1464778168	649.830
1464778242	649.120
1464778321	654.410
1464778396	647.020
1464778471	653.640
1464778546	650.500
1464778623	646.730
1464778697	651.640
1464778771	652.170
1464778847	647.480
1464778926	668.850
1464779005	653.060
1464779080	646.690
1464779156	668.180
1464779232	671.730
1464779307	647.120
1464779382	645.430
1464779461	670.020
1464779538	650.840
1464779615	651.640
1464779693	659.870
1464779779	663.900
1464779860	652.620
1464779935	649.790
1464780010	651.040
1464780093	651.520
1464780169	645.200
1464780244	658.220
1464780319	652.520
1464780395	653.530
1464780470	646.500
1464780544	648.890
1464780619	653.560
1464780699	665.580
1464780775	651.910
1464780855	645.750
1464780932	656.750
1464781011	647.100
1464781086	651.780
1464781164	654.710
1464781239	649.740
1464781319	651.210
1464781393	653.130
1464781468	651.200
1464781543	669.950
1464781622	654.020
1464781701	651.080
1464781776	657.460
1464781866	653.900
1464781943	653.760
1464782021	647.940
1464782100	647.840
1464782185	651.060
1464782261	645.020
1464782337	663.880
1464782414	654.790
1464782498	652.580
1464782581	659.300
1464782656	647.000
1464782732	648.430
1464782815	646.260
1464782891	656.150
1464782968	646.120
1464783042	653.360
1464783124	646.680
1464783200	645.600
1464783275	650.660
1464783352	656.920
1464783431	652.970
1464783513	653.240
1464783589	646.700
1464783670	651.570
1464783745	652.400
1464783820	663.010
1464783895	652.600
1464783974	667.860
1464784055	657.550
1464784133	648.440
1464784215	651.200
1464784295	653.040
1464784369	647.370
1464784444	654.790
1464784519	653.340
1464784598	649.020
1464784672	666.450
1464784749	651.740
1464784827	652.940
1464784905	652.250
1464784980	651.880
1464785059	645.170
1464785133	653.200
1464785211	645.230
1464785287	647.060
1464785362	650.510
1464785437	656.990
1464785517	645.170
1464785593	669.090
1464785668	651.100
1464785745	660.190
1464785825	655.920
1464785901	652.500
1464785975	650.460
1464786050	648.100
1464786131	663.380
1464786206	645.750
1464786280	648.750
1464786355	651.270
1464786434	651.390
1464786509	645.110
1464786584	651.840
1464786666	653.540
1464786745	655.890
1464786821	652.240
1464786900	651.940
1464786986	652.640
1464787065	660.360
1464787142	651.560
1464787216	672.780
1464787300	651.540
1464787375	666.360
1464787450	664.190
1464787528	654.720
1464787612	646.630
1464787689	659.110
1464787766	651.110
1464787851	652.180
1464787933	669.770
1464788009	675.970
1464788084	649.240
1464788159	667.920
1464788239	669.450
1464788316	648.020
1464788390	652.320
1464788470	647.930
1464788550	656.580
1464788627	651.380
1464788701	653.110
1464788781	658.280
1464788857	649.530
1464788931	654.570
1464789005	646.820
1464789084	650.440
1464789159	648.040
1464789237	668.190
1464789312	666.280
1464789394	650.460
1464789469	645.260
1464789545	651.350
1464789620	652.290
1464789703	663.850
1464789778	659.390
1464789854	670.230
1464789929	652.600
1464790010	651.830
1464790089	648.060
1464790163	651.650
1464790241	651.130
1464790322	646.100
1464790400	651.640
1464790475	651.900
1464790551	652.820
1464790628	651.270
1464790703	646.770
1464790778	659.270
1464790856	649.610
1464790932	645.270
1464791006	652.590
1464791080	652.630
1464791154	652.520
1464791231	652.840
1464791307	646.890
1464791381	652.090
1464791456	648.050
1464791531	646.460
1464791607	680.670
1464791690	651.940
1464791768	652.530
1464791845	658.520
1464791920	650.560
1464791997	647.840
1464792082	652.320
1464792159	659.050
1464792234	646.620
1464792310	669.370
1464792392	651.420
1464792477	670.350
1464792552	654.880
1464792629	670.740
1464792713	669.550
1464792787	650.200
1464792862	651.290
1464792938	652.040
1464793018	646.690
1464793093	651.690
1464793169	652.230
1464793243	658.820
1464793322	649.940
1464793395	650.450
1464793471	651.900
1464793545	648.370
1464793627	657.700
1464793702	646.950
1464793778	653.070
1464793856	650.980
1464793932	652.270
1464794009	650.570
1464794090	648.400
1464794171	668.430
1464794248	650.530
1464794323	653.180
1464794399	677.100
1464794483	650.320
1464794557	655.020
1464794632	646.060
1464794707	654.010
1464794792	655.860
1464794871	651.240
1464794946	665.720
1464795020	652.860
1464795099	648.130
1464795175	657.500
1464795249	651.740
1464795325	673.600
1464795405	650.880
1464795481	651.610
1464795559	649.100
1464795636	658.840
1464795717	651.760
1464795796	666.050
1464795881	652.090
1464795957	652.620
1464796034	646.200
1464796112	646.540
1464796188	668.520
1464796266	653.080
1464796342	647.220
1464796419	652.260
1464796496	658.410
1464796576	650.960
1464796653	654.090
1464796731	652.530
