timestamp[s]	latency_value[ms]
1464774796	427.040
1464774878	428.190
1464774958	426.040
1464775040	475.790
1464775122	427.240
1464775204	428.820
1464775304	426.140
1464775397	428.540
1464775474	427.110
1464775553	429.270
1464775645	426.940
1464775723	425.670
1464775802	430.920
1464775889	426.000
1464775966	424.520
1464776039	429.710
1464776114	426.240
1464776192	427.370
1464776270	424.790
1464776344	426.410
1464776420	427.730
1464776500	424.250
1464776576	426.270
1464776652	427.040
1464776728	437.940
1464776822	428.200
1464776900	430.150
1464776980	428.210
1464777057	427.530
1464777147	427.980
1464777226	433.270
1464777310	430.790
1464777398	427.310
1464777480	613.970
1464777557	426.180
1464777634	632.310
1464777716	499.560
1464777792	502.650
1464777868	502.490
1464777948	500.790
1464778027	496.120
1464778103	478.970
1464778178	424.430
1464778254	427.020
1464778334	425.730
1464778408	426.150
1464778484	426.710
1464778561	626.420
1464778637	557.680
1464778712	584.830
1464778789	433.590
1464778868	494.810
1464778948	502.040
1464779024	489.820
1464779099	493.980
1464779176	498.640
1464779251	464.310
1464779325	489.530
1464779401	500.450
1464779479	1509.830
1464779556	500.290
1464779631	469.560
1464779707	477.500
1464779791	502.480
1464779875	496.260
1464779951	501.080
1464780027	518.160
1464780107	502.860
1464780183	501.550
1464780261	501.320
1464780338	503.840
1464780418	503.790
1464780496	503.900
1464780573	498.170
1464780649	503.650
1464780730	501.550
1464780815	472.720
1464780891	487.160
1464780970	487.030
1464781047	425.190
1464781123	426.890
1464781205	428.340
1464781287	425.710
1464781361	426.090
1464781435	429.910
1464781512	427.940
1464781594	427.690
1464781672	427.040
1464781746	429.010
1464781821	428.360
1464781903	426.280
1464781977	425.350
1464782052	425.110
1464782127	427.720
1464782207	426.630
1464782284	438.510
1464782360	425.290
1464782436	425.690
1464782522	427.970
1464782611	426.180
1464782687	425.650
1464782766	426.280
1464782842	426.400
1464782916	428.440
1464782993	427.670
1464783077	427.960
1464783153	424.950
1464783228	426.170
1464783307	442.980
1464783388	427.000
1464783467	428.060
1464783548	427.970
1464783623	427.790
1464783703	426.150
1464783777	426.820
1464783853	424.740
1464783928	426.310
1464784005	426.120
1464784080	426.270
1464784155	425.300
1464784235	433.400
1464784314	429.830
1464784390	427.590
1464784468	426.120
1464784545	425.260
1464784623	427.870
1464784700	427.750
1464784777	431.350
1464784860	426.190
1464784936	425.800
1464785012	428.160
1464785087	426.200
1464785163	426.620
1464785239	425.630
1464785314	426.660
1464785388	424.470
1464785466	427.460
1464785540	425.880
1464785616	426.040
1464785692	429.390
1464785776	428.220
1464785858	425.560
1464785935	427.230
1464786013	457.320
1464786101	429.660
1464786181	426.790
1464786256	427.060
1464786332	427.480
1464786416	429.970
1464786495	427.750
1464786576	429.200
1464786655	427.780
1464786740	426.140
1464786816	425.060
1464786895	427.970
1464786979	425.460
1464787057	426.760
1464787136	434.630
1464787210	429.030
1464787294	429.110
1464787369	426.220
1464787444	425.410
1464787523	429.860
1464787604	426.950
1464787684	426.240
1464787761	426.560
1464787843	427.920
1464787928	425.070
1464788003	425.740
1464788077	428.370
1464788153	427.040
1464788235	425.120
1464788313	428.280
1464788388	430.540
1464788469	431.870
1464788550	428.500
1464788627	429.950
1464788702	429.430
1464788782	429.850
1464788857	431.580
1464788932	428.820
1464789007	430.570
1464789087	426.800
1464789161	425.310
1464789241	431.950
1464789316	438.520
1464789397	427.440
1464789473	426.340
1464789550	428.760
1464789624	427.280
1464789710	426.860
1464789785	426.230
1464789863	426.950
1464789939	430.190
1464790020	431.210
1464790097	427.470
1464790172	427.510
1464790248	428.560
1464790329	425.970
1464790408	426.160
1464790485	427.780
1464790563	426.860
1464790639	426.300
1464790716	428.400
1464790793	429.520
1464790879	425.850
1464790956	425.930
1464791031	425.170
1464791107	428.240
1464791190	427.990
1464791266	433.610
1464791342	425.730
1464791417	428.850
1464791497	427.460
1464791572	430.080
1464791650	426.590
1464791724	426.110
1464791803	426.600
1464791877	426.650
1464791951	426.810
1464792026	427.970
1464792104	428.020
1464792179	426.590
1464792254	427.120
1464792328	429.270
1464792409	429.180
1464792493	426.570
1464792568	425.890
1464792645	442.290
1464792726	425.010
1464792806	426.190
1464792881	425.460
1464792961	426.700
1464793040	430.690
1464793118	428.540
1464793199	440.990
1464793291	427.520
1464793366	426.300
1464793442	425.210
1464793517	426.410
1464793595	428.510
1464793670	438.140
1464793744	425.970
1464793819	426.550
1464793900	426.100
1464793975	425.810
1464794050	428.900
1464794128	427.750
1464794207	426.290
1464794282	431.040
1464794357	426.750
1464794432	427.230
1464794510	425.440
1464794585	427.220
1464794660	427.330
1464794736	429.960
1464794818	426.630
1464794904	425.640
1464794980	424.520
1464795058	426.510
1464795134	435.800
1464795210	427.140
1464795287	427.310
1464795363	429.100
1464795438	429.040
1464795516	428.390
1464795592	430.490
1464795673	424.970
1464795748	427.470
1464795827	434.370
1464795903	433.380
1464795984	426.220
1464796061	426.410
1464796137	427.690
1464796214	427.700
1464796294	429.260
1464796370	425.710
1464796447	426.480
1464796522	429.360
1464796603	434.700
1464796679	426.360
1464796756	426.770
1464796832	430.460
1464796921	426.660
1464796998	427.040
1464797074	427.160
1464797149	428.520
1464797226	426.010
1464797301	432.320
1464797376	438.070
1464797450	426.130
1464797527	426.870
1464797602	429.010
1464797682	426.300
1464797756	425.100
1464797833	438.510
1464797910	429.990
1464797985	426.010
1464798066	431.090
1464798141	427.100
1464798218	426.120
1464798295	427.160
1464798375	427.720
1464798452	426.220
1464798527	423.420
1464798604	427.700
1464798687	429.450
1464798765	438.350
1464798841	426.850
1464798916	427.740
1464798996	426.510
1464799074	426.650
1464799150	425.660
1464799225	438.860
1464799306	440.950
1464799383	429.960
1464799464	427.470
1464799541	428.820
1464799624	437.100
1464799704	425.450
1464799783	429.080
1464799859	426.040
1464799936	428.180
1464800013	426.700
1464800089	426.530
1464800172	428.460
1464800255	427.030
1464800333	426.860
1464800410	431.490
1464800491	424.740
1464800567	425.810
1464800644	425.600
1464800721	430.010
1464800801	425.030
1464800877	425.800
1464800952	425.620
1464801028	427.080
1464801109	427.910
1464801186	428.660
1464801261	425.870
1464801337	428.310
1464801416	426.790
1464801492	426.320
1464801567	425.650
1464801642	425.790
1464801725	425.960
1464801804	430.300
1464801882	426.040
1464801960	429.630
1464802044	440.110
1464802122	425.960
1464802199	426.540
1464802282	426.770
1464802356	427.260
1464802432	435.760
1464802508	431.900
1464802588	427.790
1464802665	428.910
1464802740	427.120
1464802816	428.470
1464802898	426.050
1464802972	431.120
1464803047	425.220
1464803122	427.400
1464803201	424.100
1464803276	425.180
1464803351	425.820
1464803427	426.890
1464803507	425.520
1464803582	426.310
1464803657	427.880
1464803736	430.530
1464803815	426.670
1464803890	436.680
1464803966	426.270
1464804041	427.110
1464804120	427.000
1464804196	433.540
1464804274	427.810
1464804351	430.450
1464804427	426.110
1464804504	437.600
1464804597	428.640
1464804709	429.210
1464804817	428.800
1464804923	429.650
1464805030	428.760
1464805121	428.510
1464805209	448.220
1464805298	429.390
1464805384	428.600
1464805463	427.350
1464805539	437.390
1464805620	426.610
1464805698	426.140
1464805777	427.490
1464805854	427.910
1464805932	425.830
1464806013	427.260
1464806093	428.440
1464806177	435.930
1464806258	427.120
1464806337	437.570
1464806413	430.340
1464806497	427.610
1464806579	426.990
1464806655	424.780
1464806730	429.370
1464806813	426.410
1464806888	425.140
1464806962	437.270
1464807037	427.870
1464807115	427.130
1464807190	436.610
1464807264	425.520
1464807339	427.380
1464807419	441.140
1464807498	424.900
1464807575	426.120
1464807651	427.920
1464807728	428.640
1464807803	429.720
1464807878	437.960
1464807953	426.550
1464808029	425.740
1464808105	435.950
1464808180	426.470
1464808255	424.860
1464808332	426.420
1464808410	426.920
1464808491	434.620
1464808571	426.920
1464808646	427.330
1464808721	424.460
1464808797	426.960
1464808879	425.600
1464808953	427.270
1464809029	426.340
1464809104	427.990
1464809182	426.490
1464809257	428.450
1464809332	425.260
1464809412	431.930
1464809493	427.130
1464809569	425.740
1464809647	426.250
1464809725	428.490
1464809805	425.920
1464809881	425.180
1464809958	426.050
1464810037	427.910
1464810120	425.820
1464810197	435.520
1464810283	428.050
1464810360	432.810
1464810437	424.380
1464810515	427.800
1464810594	427.330
1464810679	426.120
1464810754	427.560
1464810830	427.290
1464810904	429.120
1464810985	429.380
1464811061	430.980
1464811137	425.760
1464811213	428.750
1464811295	425.220
1464811374	426.050
1464811449	425.940
