timestamp[s]	latency_value[ms]
1464774791	177.980
1464774862	177.210
1464774933	176.890
1464775003	177.230
1464775073	174.850
1464775144	176.270
1464775214	175.380
1464775284	176.430
1464775356	174.520
1464775426	177.510
1464775497	177.000
1464775567	176.210
1464775637	175.420
1464775707	176.440
1464775778	176.710
1464775848	175.860
1464775919	176.480
1464775990	176.210
1464776060	174.390
1464776130	177.600
1464776201	177.500
1464776273	177.270
1464776343	175.250
1464776413	175.180
1464776484	175.400
1464776554	175.870
1464776624	175.440
1464776694	176.370
1464776765	175.610
1464776835	175.080
1464776905	174.770
1464776976	176.960
1464777046	176.910
1464777116	174.700
1464777189	176.940
1464777259	176.870
1464777329	175.970
1464777400	174.090
1464777470	175.230
1464777540	175.960
1464777610	176.930
1464777681	174.800
1464777751	177.180
1464777821	175.950
1464777891	175.280
1464777961	176.230
1464778031	175.220
1464778103	176.030
1464778173	174.790
1464778244	176.130
1464778316	175.990
1464778387	175.220
1464778460	176.530
1464778530	175.230
1464778601	176.390
1464778672	176.120
1464778742	175.770
1464778813	176.360
1464778883	174.990
1464778953	175.900
1464779024	176.490
1464779095	176.000
1464779166	175.550
1464779236	176.350
1464779307	176.230
1464779377	175.180
1464779447	177.860
1464779518	176.490
1464779588	176.470
1464779658	176.510
1464779728	178.280
1464779799	175.460
1464779869	178.090
1464779939	175.730
1464780010	176.170
1464780080	175.210
1464780150	176.250
1464780220	176.340
1464780290	175.820
1464780360	175.960
1464780431	176.880
1464780502	176.140
1464780573	175.560
1464780644	178.770
1464780714	175.760
1464780784	175.140
1464780855	175.510
1464780926	174.510
1464780996	175.780
1464781066	178.030
1464781136	175.140
1464781206	175.870
1464781276	175.270
1464781347	175.910
1464781417	175.160
1464781487	176.380
1464781557	177.770
1464781628	176.530
1464781698	176.910
1464781768	176.910
1464781838	174.670
1464781909	175.520
1464781979	174.310
1464782049	177.890
1464782120	177.790
1464782191	175.000
1464782261	176.710
1464782331	177.230
1464782402	174.920
1464782472	176.260
1464782542	175.530
1464782612	174.010
1464782683	175.120
1464782753	176.750
1464782823	176.600
1464782893	174.490
1464782964	176.600
1464783034	176.260
1464783104	176.590
1464783175	175.440
1464783245	177.340
1464783316	176.220
1464783386	177.200
1464783457	175.980
1464783527	174.730
1464783597	174.440
1464783667	175.600
1464783738	176.330
1464783809	176.000
1464783879	176.890
1464783949	176.450
1464784020	175.410
1464784090	175.530
1464784161	175.540
1464784231	176.650
1464784302	174.860
1464784372	177.150
1464784442	177.450
1464784512	178.070
1464784583	176.380
1464784653	175.220
1464784723	177.070
1464784793	177.670
1464784863	176.340
1464784934	177.180
1464785004	176.830
1464785074	175.870
1464785144	176.470
1464785215	174.630
1464785285	176.350
1464785356	176.390
1464785426	175.210
1464785496	176.220
1464785567	176.840
1464785637	179.060
1464785707	176.000
1464785778	176.370
1464785848	174.150
1464785918	175.120
1464785989	176.110
1464786059	176.060
1464786130	176.420
1464786200	176.110
1464786271	175.800
1464786342	176.330
1464786413	175.600
1464786483	175.950
1464786554	175.750
1464786624	175.730
1464786695	176.240
1464786765	174.170
1464786837	175.490
1464786908	176.230
1464786979	175.450
1464787050	175.070
1464787121	176.950
1464787191	175.080
1464787261	176.660
1464787332	175.710
1464787402	176.580
1464787473	176.400
1464787545	175.840
1464787616	177.120
1464787686	175.600
1464787756	176.280
1464787827	175.770
1464787897	174.950
1464787969	176.240
1464788041	174.630
1464788112	177.370
1464788182	176.330
1464788253	175.200
1464788323	178.080
1464788394	178.660
1464788464	177.150
1464788534	176.180
1464788605	176.050
1464788675	175.660
1464788745	175.660
1464788816	177.170
1464788886	176.110
1464788957	175.930
1464789027	176.780
1464789098	175.120
1464789170	175.120
1464789240	175.150
1464789311	177.980
1464789381	175.570
1464789451	176.820
1464789522	174.950
1464789592	177.080
1464789662	176.610
1464789733	179.040
1464789803	176.970
1464789875	176.260
1464789945	176.200
1464790015	177.450
1464790085	177.650
1464790155	175.050
1464790226	176.280
1464790296	176.520
1464790367	177.290
1464790437	176.420
1464790507	176.920
1464790577	176.800
1464790648	175.300
1464790718	174.350
1464790788	175.030
1464790859	176.450
1464790929	176.680
1464790999	176.010
1464791069	174.590
1464791140	175.830
1464791210	175.350
1464791280	174.630
1464791350	175.690
1464791421	175.830
1464791491	175.860
1464791562	177.620
1464791632	174.820
1464791702	175.640
1464791773	175.310
1464791845	176.300
1464791915	176.120
1464791987	176.560
1464792057	175.500
1464792127	175.540
1464792197	176.160
1464792268	175.860
1464792339	177.080
1464792409	175.420
1464792479	176.660
1464792550	174.300
1464792621	176.080
1464792692	174.950
1464792762	178.480
1464792832	176.670
1464792903	176.300
1464792973	175.000
1464793044	177.480
1464793114	176.750
1464793185	176.880
1464793255	182.140
1464793326	175.820
1464793396	175.380
1464793467	176.300
1464793538	176.350
1464793609	176.640
1464793679	176.940
1464793750	175.040
1464793820	175.420
1464793890	176.160
1464793960	177.150
1464794031	176.210
1464794101	176.430
1464794171	176.260
1464794243	176.300
1464794314	175.610
1464794385	175.420
1464794455	178.590
1464794525	176.480
1464794597	175.620
1464794667	177.520
1464794737	176.930
1464794808	175.880
1464794878	175.650
1464794949	178.270
1464795019	174.510
1464795090	174.880
1464795160	177.040
1464795230	177.650
1464795301	175.540
1464795371	175.490
1464795441	177.320
1464795512	176.060
1464795582	176.700
1464795653	177.780
1464795726	175.980
1464795796	174.770
1464795867	175.890
1464795937	176.420
1464796007	178.140
1464796078	176.360
1464796148	177.050
1464796219	176.500
1464796290	174.740
1464796360	177.530
1464796431	177.240
1464796501	175.020
1464796571	176.410
1464796641	177.210
1464796712	177.620
1464796782	176.220
1464796852	177.130
1464796923	176.360
1464796994	175.410
1464797064	175.950
1464797134	174.840
1464797205	175.850
1464797275	175.320
1464797345	174.140
1464797415	175.230
1464797486	175.070
1464797557	176.020
1464797627	176.800
1464797697	175.860
1464797767	174.770
1464797837	177.460
1464797908	178.430
1464797978	177.870
1464798049	175.360
1464798119	175.970
1464798190	175.500
1464798260	175.590
1464798330	175.190
1464798400	175.700
1464798471	176.640
1464798541	176.440
1464798612	175.310
1464798683	176.390
1464798753	176.450
1464798823	177.390
1464798893	176.380
1464798964	179.950
1464799035	176.210
1464799105	175.070
1464799175	176.060
1464799246	177.240
1464799317	175.170
1464799387	176.040
1464799457	176.180
1464799527	176.120
1464799597	175.950
1464799667	178.170
1464799738	177.580
1464799809	174.870
1464799879	175.470
