timestamp[s]	latency_value[ms]
1464774791	310.920
1464774864	314.490
1464774935	312.210
1464775006	306.780
1464775077	307.850
1464775148	306.330
1464775219	301.440
1464775290	312.500
1464775361	310.210
1464775432	311.100
1464775502	307.800
1464775573	304.830
1464775645	306.240
1464775716	305.050
1464775787	312.420
1464775857	300.750
1464775928	300.770
1464775999	305.810
1464776070	306.960
1464776141	306.020
1464776212	305.530
1464776283	306.520
1464776353	313.080
1464776424	307.380
1464776495	306.880
1464776566	311.070
1464776637	316.420
1464776708	310.350
1464776779	309.440
1464776850	311.680
1464776921	313.200
1464776992	308.940
1464777062	312.410
1464777133	301.950
1464777204	309.960
1464777276	312.580
1464777348	304.270
1464777419	309.950
1464777490	303.020
1464777561	305.250
1464777633	314.710
1464777704	310.260
1464777774	306.550
1464777845	314.670
1464777916	315.480
1464777987	306.390
1464778058	315.230
1464778128	301.200
1464778199	313.970
1464778270	311.720
1464778341	311.220
1464778412	308.090
1464778483	304.850
1464778554	305.770
1464778625	302.640
1464778696	306.800
1464778766	306.700
1464778838	314.550
1464778909	309.410
1464778981	316.210
1464779052	312.450
1464779123	301.220
1464779194	302.660
1464779264	309.020
1464779336	310.170
1464779407	311.390
1464779479	312.730
1464779550	304.620
1464779621	308.790
1464779692	307.590
1464779764	310.130
1464779834	307.180
1464779905	313.500
1464779977	304.600
1464780047	310.590
1464780119	307.200
1464780191	312.380
1464780262	309.940
1464780332	308.330
1464780403	315.370
1464780474	315.630
1464780546	314.280
1464780619	312.260
1464780690	310.030
1464780761	312.110
1464780832	317.200
1464780903	305.320
1464780974	311.230
1464781046	310.970
1464781117	310.690
1464781187	308.660
1464781258	315.690
1464781329	307.120
1464781400	310.780
1464781471	305.320
1464781542	316.740
1464781613	303.250
1464781684	313.820
1464781754	305.150
1464781825	307.660
1464781896	308.700
1464781968	309.610
1464782039	305.250
1464782110	302.330
1464782181	315.490
1464782252	307.730
1464782323	310.690
1464782394	306.360
1464782465	306.160
1464782536	306.930
1464782607	316.140
1464782678	306.210
1464782749	305.590
1464782821	306.880
1464782892	311.640
1464782963	316.190
1464783035	311.770
1464783105	310.460
1464783176	306.550
1464783248	307.720
1464783318	305.080
1464783390	310.670
1464783461	307.280
1464783533	306.170
1464783604	301.720
1464783674	310.820
1464783746	311.090
1464783816	304.780
1464783887	313.450
1464783958	314.150
1464784029	311.710
1464784100	306.100
1464784171	302.160
1464784242	306.590
1464784313	306.120
1464784384	305.860
1464784455	314.030
1464784526	307.150
1464784597	311.780
1464784668	311.500
1464784738	301.850
1464784809	307.200
1464784882	306.770
1464784953	311.770
1464785024	311.120
1464785095	310.430
1464785165	309.750
1464785236	306.880
1464785307	308.620
1464785378	309.700
1464785449	312.980
1464785520	310.860
1464785591	311.520
1464785662	305.400
