timestamp[s]	latency_value[ms]
1464774787	279.170
1464774857	276.970
1464774927	280.090
1464774997	275.640
1464775066	278.950
1464775136	281.610
1464775205	280.730
1464775275	278.390
1464775344	276.630
1464775413	279.820
1464775483	278.530
1464775553	282.000
1464775622	278.230
1464775692	279.560
1464775762	274.660
1464775832	277.010
1464775901	280.000
1464775971	280.810
1464776041	273.850
1464776112	279.550
1464776182	276.710
1464776251	278.490
1464776320	279.800
1464776390	279.040
1464776460	280.800
1464776529	278.960
1464776600	278.350
1464776670	279.420
1464776740	276.510
1464776809	274.940
1464776880	276.740
1464776950	275.510
1464777021	277.600
1464777090	277.570
1464777161	277.630
1464777232	272.740
1464777302	279.150
1464777371	276.560
1464777441	278.330
1464777512	280.350
1464777581	273.480
1464777650	278.350
1464777720	278.800
1464777789	279.720
1464777859	275.030
1464777928	278.090
1464777999	278.810
1464778068	279.040
1464778137	277.740
1464778207	278.220
1464778277	278.400
1464778347	279.700
1464778416	276.540
1464778487	274.380
1464778557	276.390
1464778627	276.480
1464778696	278.000
1464778766	277.100
1464778836	277.200
1464778906	277.420
1464778975	277.780
1464779045	278.640
1464779114	277.590
1464779183	275.620
1464779253	279.720
1464779323	279.010
1464779393	280.520
1464779462	279.010
1464779532	276.800
1464779602	284.660
1464779672	276.530
1464779743	278.840
1464779813	282.080
1464779883	274.080
1464779953	278.190
1464780023	276.190
1464780092	281.100
1464780162	277.200
1464780232	278.510
1464780301	277.200
1464780371	274.320
1464780442	272.680
1464780511	277.000
1464780581	280.080
1464780650	277.270
1464780720	273.010
1464780790	277.100
1464780860	279.910
1464780930	278.880
1464781000	275.110
1464781069	276.850
1464781140	275.690
1464781209	276.950
1464781280	275.560
1464781349	277.290
1464781419	278.940
1464781489	275.210
1464781559	281.920
1464781628	277.360
1464781697	274.920
1464781767	279.140
1464781837	278.000
1464781906	277.610
1464781975	278.300
1464782046	282.020
1464782116	274.210
1464782185	280.070
1464782255	281.750
1464782324	279.030
1464782394	279.410
1464782465	280.200
1464782535	277.580
1464782605	274.680
1464782675	273.310
1464782744	278.420
1464782814	280.420
1464782883	277.850
1464782953	281.910
1464783024	277.720
1464783093	277.310
1464783163	277.210
1464783233	278.210
1464783303	278.380
1464783374	279.520
1464783443	278.680
1464783512	288.630
1464783582	278.310
1464783652	278.590
1464783721	274.480
1464783791	277.440
1464783860	280.110
1464783931	276.880
1464784000	281.150
1464784070	274.910
1464784140	275.990
1464784209	281.090
1464784279	273.340
1464784348	275.790
1464784418	277.670
1464784487	281.860
1464784557	275.130
1464784627	278.710
1464784697	282.980
1464784767	275.470
1464784836	276.250
1464784906	277.850
1464784976	278.930
1464785045	277.170
1464785115	283.480
1464785185	293.310
1464785255	278.780
1464785325	272.870
1464785396	278.530
1464785465	276.220
1464785535	277.700
1464785604	277.360
1464785674	277.210
1464785743	279.730
1464785812	273.280
1464785883	282.680
1464785952	279.230
1464786022	278.910
1464786091	273.740
1464786162	279.940
1464786232	277.590
1464786302	277.980
1464786371	274.240
1464786440	279.150
1464786510	276.790
1464786581	278.670
1464786650	278.700
1464786720	275.800
1464786790	278.830
1464786860	276.550
1464786930	269.770
1464787001	276.760
1464787072	279.720
1464787144	279.080
1464787213	277.200
1464787282	278.060
1464787352	275.870
1464787422	281.350
1464787491	278.440
1464787561	277.440
1464787631	277.590
1464787701	278.260
1464787770	277.670
1464787840	278.810
1464787910	282.050
1464787981	277.560
1464788051	277.620
1464788122	279.130
1464788192	273.760
1464788263	275.990
1464788333	277.020
1464788402	277.730
1464788472	281.430
1464788541	277.170
1464788611	279.790
1464788680	276.890
1464788750	278.340
1464788820	276.970
1464788889	277.390
1464788959	278.210
1464789029	274.850
1464789098	278.510
1464789168	277.260
1464789238	277.660
1464789309	276.410
1464789378	273.380
1464789448	276.080
1464789518	276.820
1464789588	277.390
1464789658	278.630
1464789727	272.760
1464789797	281.480
1464789866	276.270
1464789936	276.830
1464790006	277.940
