timestamp[s]	latency_value[ms]
1464774788	487.360
1464774859	484.620
1464774929	485.190
1464775000	484.670
1464775071	483.950
1464775141	490.640
1464775211	483.100
1464775282	483.760
1464775352	490.660
1464775422	488.750
1464775492	488.320
1464775563	488.460
1464775633	489.690
1464775703	490.520
1464775773	489.540
1464775843	477.720
1464775914	477.010
1464775984	482.670
1464776054	481.320
1464776124	481.590
1464776195	478.500
1464776266	478.970
1464776336	478.060
1464776406	475.350
1464776476	482.030
1464776546	481.780
1464776617	475.340
1464776687	476.280
1464776757	476.250
1464776827	478.500
1464776898	481.220
1464776968	481.710
1464777038	482.490
1464777108	481.150
1464777178	483.800
1464777249	482.240
1464777319	481.330
1464777390	482.350
1464777460	480.600
1464777530	477.640
1464777600	476.270
1464777671	476.450
1464777741	476.800
1464777811	479.030
1464777881	477.270
1464777952	475.700
1464778022	477.060
1464778093	477.690
1464778163	475.030
1464778233	477.960
1464778304	476.060
1464778374	475.360
1464778444	474.930
1464778515	476.150
1464778586	475.380
1464778656	478.790
1464778727	475.640
1464778797	476.030
1464778867	475.460
1464778937	474.610
1464779008	475.630
1464779079	474.330
1464779149	475.230
1464779219	475.320
1464779289	475.990
1464779360	475.140
1464779430	477.630
1464779500	478.060
1464779570	474.510
1464779640	477.420
1464779711	477.540
1464779781	474.440
1464779851	478.320
1464779922	482.540
1464779992	479.860
1464780062	478.290
1464780132	483.960
1464780203	482.970
1464780273	474.930
1464780343	485.720
1464780413	488.330
1464780483	484.590
1464780555	488.570
1464780625	485.390
1464780695	478.300
1464780765	489.880
1464780836	484.590
1464780906	484.380
1464780977	482.680
1464781047	482.130
1464781117	477.470
1464781188	477.770
1464781258	483.270
1464781328	481.990
1464781398	482.370
1464781468	480.190
1464781539	483.590
1464781609	482.280
1464781679	483.530
1464781750	476.070
1464781820	475.250
1464781890	475.930
1464781960	477.500
1464782031	482.730
1464782101	480.080
1464782172	476.070
1464782242	483.320
1464782312	475.590
1464782383	479.890
1464782453	475.370
1464782523	480.240
1464782593	477.190
1464782664	476.870
1464782734	480.330
1464782804	482.950
1464782875	482.990
1464782945	492.730
1464783015	477.890
1464783085	477.720
1464783156	480.750
1464783226	480.240
1464783297	482.870
1464783367	483.040
1464783437	482.850
1464783508	482.200
1464783578	476.360
1464783649	480.640
1464783719	483.350
1464783789	475.390
1464783859	475.230
1464783931	480.800
1464784001	477.870
1464784071	530.030
1464784141	482.960
1464784212	476.860
1464784282	480.510
1464784353	478.000
1464784423	489.700
1464784494	478.280
1464784564	478.230
1464784634	484.640
1464784704	482.500
1464784774	481.950
1464784845	474.890
1464784915	475.150
1464784985	474.980
1464785055	476.960
1464785125	475.140
1464785196	480.290
1464785266	483.200
1464785336	480.430
1464785407	474.730
1464785477	477.170
1464785547	483.590
1464785617	484.790
1464785688	479.770
1464785758	482.110
1464785828	488.350
1464785898	476.750
1464785969	481.010
1464786039	482.060
1464786109	482.460
1464786179	482.190
1464786250	474.530
1464786320	483.910
1464786390	475.170
1464786461	475.000
1464786531	475.870
1464786601	474.410
1464786672	481.920
1464786742	484.800
1464786812	482.300
1464786883	475.340
1464786953	476.030
1464787024	484.180
1464787094	484.040
1464787164	484.810
1464787235	475.410
1464787305	477.730
1464787375	476.950
1464787446	476.950
1464787516	481.930
1464787586	476.800
1464787657	477.690
1464787727	478.390
1464787798	480.130
1464787868	476.530
1464787938	475.060
1464788008	475.900
1464788079	477.330
1464788149	478.380
1464788219	478.710
1464788290	478.370
1464788361	478.870
1464788431	475.010
1464788501	478.100
1464788571	479.250
1464788642	483.260
1464788712	480.150
