timestamp[s]	latency_value[ms]
1464774789	135.430
1464774860	61.400
1464774929	61.060
1464774998	60.250
1464775066	61.970
1464775135	60.980
1464775204	60.980
1464775272	64.080
1464775341	61.390
1464775411	60.280
1464775479	61.010
1464775548	61.360
1464775617	61.340
1464775686	60.820
1464775755	60.330
1464775823	64.250
1464775893	61.090
1464775962	60.520
1464776030	61.040
1464776099	61.490
1464776168	60.730
1464776237	60.570
1464776306	62.020
1464776374	62.090
1464776443	60.120
1464776514	61.730
1464776584	60.830
1464776653	60.600
1464776722	62.700
1464776790	61.320
1464776859	61.540
1464776928	61.860
1464776997	60.860
1464777066	62.160
1464777135	60.500
1464777204	61.130
1464777274	61.830
1464777344	61.260
1464777413	60.880
1464777481	61.530
1464777550	63.030
1464777618	60.370
1464777687	60.280
1464777755	61.590
1464777824	61.940
1464777893	62.120
1464777961	61.740
1464778030	60.790
1464778100	62.310
1464778168	60.870
1464778237	65.360
1464778307	60.660
1464778375	61.370
1464778444	62.020
1464778513	60.120
1464778581	61.990
1464778650	60.260
1464778718	61.440
1464778787	59.870
1464778855	60.320
1464778924	60.880
1464778993	59.940
1464779062	60.950
1464779130	62.130
1464779199	60.260
1464779268	60.650
1464779337	61.200
1464779405	61.310
1464779474	60.140
1464779543	63.040
1464779612	63.230
1464779681	60.790
1464779750	60.520
1464779818	60.250
1464779887	61.340
1464779956	61.020
1464780024	60.700
1464780093	61.060
1464780162	62.010
1464780231	61.370
1464780300	60.270
1464780368	61.160
1464780437	60.840
1464780506	61.880
1464780575	61.170
1464780644	60.430
1464780712	61.360
1464780781	60.490
1464780850	61.850
1464780918	60.920
1464780988	60.750
1464781058	60.340
1464781127	59.740
1464781195	60.780
1464781264	60.520
1464781333	64.080
1464781401	60.730
1464781470	60.520
1464781539	60.300
1464781607	59.810
1464781676	62.170
1464781745	61.680
1464781814	61.440
1464781883	61.280
1464781952	60.570
1464782022	61.280
1464782092	62.350
1464782161	62.160
1464782229	60.510
1464782299	62.590
1464782368	59.900
1464782437	60.760
1464782506	59.990
1464782574	62.320
1464782643	60.460
1464782711	63.020
1464782781	60.450
1464782850	62.590
1464782918	61.660
1464782987	60.800
1464783057	61.290
1464783125	60.800
1464783195	61.510
1464783263	60.400
1464783333	59.820
1464783401	60.670
1464783470	61.550
1464783539	62.100
1464783608	62.820
1464783676	59.980
1464783745	62.210
1464783814	61.190
1464783883	60.620
1464783952	60.490
1464784020	59.590
1464784089	59.470
1464784158	59.580
1464784226	61.080
1464784296	59.430
1464784365	60.510
1464784433	61.390
1464784502	61.690
1464784572	62.280
1464784641	59.900
1464784711	60.700
1464784781	60.600
1464784850	59.950
1464784919	62.210
1464784988	60.100
1464785057	60.920
1464785127	59.880
1464785195	61.270
1464785264	60.230
1464785333	61.100
1464785402	61.060
1464785471	61.420
1464785541	60.840
1464785610	60.890
1464785678	61.190
1464785747	61.700
1464785816	59.890
1464785884	60.870
1464785953	60.220
1464786022	60.690
1464786090	61.030
1464786160	61.090
1464786229	60.320
1464786297	60.670
1464786366	62.070
1464786435	61.180
1464786504	60.090
1464786573	63.350
1464786641	59.740
1464786710	61.660
1464786779	61.810
1464786848	60.790
1464786916	60.130
1464786986	61.670
1464787055	60.890
1464787125	61.970
1464787194	60.950
1464787263	61.220
1464787332	60.920
1464787400	62.640
1464787471	60.640
1464787541	59.580
1464787609	61.550
1464787678	62.130
1464787747	60.920
1464787816	61.560
1464787884	60.910
1464787953	60.960
1464788021	60.460
1464788091	62.050
1464788161	61.390
1464788229	60.740
1464788298	61.460
1464788367	60.460
1464788435	60.610
1464788504	60.440
1464788573	61.600
1464788641	60.460
1464788710	61.680
1464788778	62.000
1464788847	61.080
1464788916	60.620
1464788985	61.200
1464789054	62.020
1464789123	61.220
1464789192	62.570
1464789260	60.590
1464789329	61.070
1464789398	61.000
1464789466	62.180
1464789535	60.790
1464789604	64.640
1464789673	62.270
1464789741	61.930
1464789810	62.250
1464789879	60.390
1464789947	60.390
1464790017	59.820
1464790087	62.080
1464790155	60.760
1464790224	60.870
1464790293	62.630
1464790362	60.650
1464790431	60.480
1464790499	62.110
1464790568	61.040
1464790637	60.330
1464790707	63.520
1464790776	60.590
1464790844	62.270
1464790913	62.760
1464790982	61.780
1464791051	61.200
1464791121	62.580
1464791189	62.280
1464791258	63.190
1464791327	61.190
1464791395	61.060
1464791464	60.400
1464791533	60.300
1464791603	60.800
1464791672	63.050
1464791740	61.820
1464791810	59.950
1464791878	63.480
1464791947	60.590
1464792016	61.860
1464792087	61.720
1464792156	60.440
1464792225	61.250
1464792293	61.910
1464792363	60.920
1464792431	61.150
1464792500	60.420
1464792568	61.190
1464792637	62.160
1464792705	59.990
1464792774	61.290
1464792842	60.870
1464792911	61.150
1464792980	62.000
1464793049	61.240
1464793118	60.290
1464793187	60.390
1464793256	61.070
1464793324	63.080
1464793393	61.290
1464793462	60.840
1464793531	60.790
1464793599	61.580
1464793668	60.580
1464793737	60.970
1464793806	59.780
1464793874	60.930
1464793943	60.020
1464794012	60.650
1464794080	61.210
1464794149	60.350
1464794218	61.060
1464794287	60.470
1464794355	61.060
1464794424	60.400
1464794493	60.080
1464794561	60.910
1464794631	60.150
1464794699	61.190
1464794768	61.120
1464794837	61.220
1464794905	62.560
1464794974	63.060
1464795042	61.600
1464795111	60.340
1464795180	63.110
1464795249	61.040
1464795317	61.880
1464795386	63.670
1464795454	62.500
1464795523	61.610
1464795592	61.320
1464795660	60.640
1464795729	62.060
1464795798	61.480
1464795867	59.670
1464795936	60.660
1464796005	60.650
1464796073	61.250
1464796142	61.370
1464796211	62.740
1464796279	61.020
1464796349	61.670
1464796417	61.390
1464796486	60.090
1464796555	61.580
1464796623	61.260
1464796692	61.930
1464796762	61.520
1464796832	60.680
1464796901	60.930
1464796970	59.730
1464797039	61.150
1464797108	63.900
1464797177	61.760
1464797246	61.030
1464797315	62.700
1464797383	62.330
1464797452	60.840
1464797522	62.060
1464797591	61.230
1464797659	63.300
1464797729	61.980
1464797798	62.130
1464797866	62.060
1464797935	61.330
1464798003	62.050
1464798072	61.350
1464798141	60.460
1464798209	62.800
1464798278	61.170
1464798346	61.120
1464798415	61.490
1464798484	62.440
1464798553	62.510
1464798622	61.920
1464798690	60.800
1464798759	60.790
1464798828	61.380
1464798896	61.660
1464798966	60.200
1464799035	59.930
1464799104	61.460
1464799172	60.560
1464799241	61.050
1464799309	60.850
1464799379	62.560
1464799448	61.640
1464799517	60.620
1464799586	60.480
1464799655	62.050
1464799723	60.200
1464799792	62.520
1464799860	61.140
1464799929	60.410
1464799997	60.180
1464800066	60.870
1464800135	61.050
1464800203	60.840
1464800272	61.420
1464800341	60.740
1464800410	60.600
1464800478	62.690
1464800547	61.130
1464800616	61.940
1464800685	62.890
1464800754	60.670
1464800823	61.680
1464800891	61.540
1464800960	61.020
1464801029	61.560
1464801098	60.500
1464801166	62.060
1464801235	62.110
1464801304	62.650
1464801372	60.710
1464801441	63.840
1464801510	60.840
1464801578	60.510
1464801647	60.170
1464801716	60.880
1464801784	61.340
1464801853	62.910
1464801922	62.760
1464801990	62.180
1464802059	61.830
1464802128	59.950
1464802197	65.090
1464802266	61.540
1464802334	62.830
1464802403	60.530
1464802471	60.680
1464802540	59.990
1464802609	62.290
1464802678	60.120
1464802747	61.200
1464802816	61.730
1464802885	62.780
1464802953	62.680
1464803022	60.930
1464803091	60.370
1464803160	61.420
1464803228	61.220
1464803297	61.300
1464803365	62.740
1464803434	59.990
1464803503	61.220
1464803571	61.710
1464803641	62.400
1464803711	61.370
1464803781	60.630
1464803849	62.370
1464803918	61.110
1464803986	62.800
1464804055	62.640
1464804124	63.420
1464804193	61.310
1464804264	61.210
1464804332	61.380
1464804401	60.370
1464804471	61.840
1464804541	61.270
1464804612	61.810
1464804681	61.150
1464804750	61.550
1464804820	61.920
1464804888	61.040
1464804957	62.690
1464805026	61.020
1464805095	63.290
1464805164	61.150
1464805232	60.550
1464805301	61.840
1464805370	61.740
1464805439	61.720
1464805508	64.490
1464805576	61.670
1464805645	62.710
1464805714	63.640
1464805782	61.220
1464805851	61.210
1464805922	61.880
1464805991	61.770
1464806060	61.300
1464806129	61.710
1464806198	61.500
1464806266	63.450
1464806336	62.810
1464806404	61.920
1464806473	62.140
1464806542	62.390
1464806611	60.350
1464806680	59.970
1464806749	63.230
1464806818	61.880
1464806887	60.490
1464806955	61.350
1464807024	61.890
1464807093	64.160
1464807161	60.660
1464807230	62.330
1464807298	62.110
1464807367	61.390
1464807436	64.400
1464807505	62.220
1464807573	60.880
1464807643	61.380
1464807712	62.220
1464807781	61.710
1464807852	60.550
1464807921	63.200
1464807989	61.490
1464808059	60.980
1464808129	62.620
1464808198	61.720
1464808266	61.410
1464808335	60.630
1464808404	60.280
1464808473	61.620
1464808542	60.110
1464808610	60.730
1464808679	60.390
1464808748	61.680
1464808817	60.340
1464808886	62.350
1464808955	61.960
