timestamp[s]	latency_value[ms]
1464774791	618.690
1464774863	669.980
1464774936	657.090
1464775008	611.720
1464775080	645.320
1464775152	683.030
1464775225	693.370
1464775297	650.440
1464775369	614.490
1464775441	654.730
1464775514	624.900
1464775586	657.160
1464775658	825.840
1464775731	616.370
1464775803	696.910
1464775875	640.970
1464775947	720.980
1464776020	793.620
1464776092	645.220
1464776164	659.970
1464776237	637.440
1464776309	631.950
1464776382	637.660
1464776454	637.930
1464776526	648.240
1464776598	618.500
1464776670	645.550
1464776742	641.180
1464776814	583.650
1464776886	679.380
1464776960	619.270
1464777032	651.890
1464777104	669.440
1464777176	637.240
1464777248	614.930
1464777320	658.160
1464777392	657.960
1464777465	660.080
1464777537	636.170
1464777609	647.170
1464777681	643.550
1464777753	638.890
1464777826	640.610
1464777898	661.850
1464777971	653.800
1464778043	687.920
1464778115	640.760
1464778187	650.240
1464778259	622.880
1464778331	617.190
1464778403	626.420
1464778476	1620.370
1464778549	641.090
1464778621	652.830
1464778693	626.670
1464778765	623.740
1464778837	680.370
1464778909	624.620
1464778981	633.510
1464779054	628.460
1464779126	670.510
1464779198	650.430
1464779270	629.670
1464779342	646.770
1464779414	639.550
1464779486	652.210
1464779559	630.910
1464779631	644.750
1464779704	652.720
1464779776	633.350
1464779848	677.000
1464779920	642.590
1464779992	630.750
1464780064	650.250
1464780136	607.890
1464780208	653.960
1464780281	656.370
1464780353	646.920
1464780425	609.790
1464780497	643.170
1464780569	639.440
1464780641	631.390
1464780713	610.380
1464780785	635.200
1464780857	633.740
1464780929	640.200
1464781002	633.600
1464781074	641.200
1464781146	624.840
1464781218	643.130
1464781290	628.510
1464781362	615.610
1464781434	668.240
1464781506	622.080
1464781578	597.330
1464781650	635.170
1464781722	631.890
1464781794	609.070
1464781867	631.560
1464781939	626.920
1464782011	638.650
1464782083	585.250
1464782155	636.050
1464782227	629.620
1464782300	637.900
1464782372	637.020
1464782444	655.460
1464782516	642.880
1464782588	642.910
1464782660	623.470
1464782732	640.370
1464782804	629.440
1464782876	624.440
1464782949	723.460
1464783021	735.160
1464783093	620.760
1464783165	610.400
1464783237	629.580
1464783310	654.720
1464783382	591.630
1464783454	628.850
1464783526	643.350
1464783598	680.860
1464783670	708.640
1464783743	664.260
1464783815	713.880
1464783887	663.530
1464783959	648.650
1464784031	622.300
1464784103	621.200
1464784175	634.870
1464784248	629.770
1464784320	626.980
1464784392	670.900
1464784465	661.740
1464784537	638.860
1464784609	628.510
1464784681	632.670
1464784753	649.430
1464784825	645.490
1464784897	645.440
1464784969	679.980
1464785042	682.190
1464785114	653.180
1464785186	635.890
1464785258	658.340
1464785330	645.570
1464785402	654.830
1464785475	623.510
1464785547	634.080
1464785619	630.500
1464785691	653.060
1464785763	638.720
1464785835	1060.250
1464785908	683.990
1464785981	656.160
1464786053	665.440
1464786125	655.950
1464786197	631.210
1464786269	646.440
1464786342	641.540
1464786414	633.080
1464786486	647.360
1464786558	629.290
1464786630	622.600
1464786702	640.620
1464786774	641.380
1464786847	643.380
1464786919	642.860
1464786991	641.530
1464787063	624.440
1464787135	636.730
1464787207	659.270
1464787279	648.760
1464787351	632.930
1464787423	626.820
1464787496	690.980
1464787568	621.200
1464787640	654.200
1464787712	624.700
1464787784	629.370
1464787856	635.850
1464787928	621.810
1464788000	625.280
1464788073	636.690
1464788145	673.130
1464788217	617.100
1464788289	627.880
1464788361	690.720
1464788433	650.420
1464788505	642.120
1464788578	653.400
1464788650	634.540
1464788722	657.420
1464788794	1041.010
1464788867	604.200
1464788939	667.280
1464789011	645.040
1464789083	662.420
1464789155	662.600
1464789227	650.010
1464789300	622.670
1464789372	629.330
1464789444	632.120
1464789516	603.800
1464789588	680.730
1464789660	628.000
1464789732	639.010
1464789804	637.250
1464789877	633.480
1464789949	664.630
1464790021	630.430
1464790093	641.380
1464790165	633.470
1464790237	626.830
1464790310	643.030
1464790382	623.450
1464790454	648.230
1464790527	640.990
1464790599	615.340
1464790671	610.290
1464790743	631.450
1464790815	630.810
1464790887	649.380
1464790959	634.630
1464791032	637.200
1464791104	642.450
1464791176	637.700
1464791248	648.380
1464791320	670.560
1464791392	645.930
1464791465	707.610
1464791537	658.550
1464791609	661.290
1464791681	629.860
1464791753	645.380
1464791825	620.020
1464791898	634.990
1464791970	650.120
1464792042	629.860
1464792114	658.490
1464792186	627.660
1464792258	649.320
1464792330	640.160
1464792403	664.250
1464792475	734.510
1464792547	660.880
1464792619	651.220
1464792691	635.130
1464792764	619.400
1464792836	737.170
1464792908	734.810
1464792981	777.020
1464793054	698.990
1464793126	641.700
1464793198	634.240
1464793271	646.560
1464793343	629.900
1464793415	646.210
1464793487	634.330
1464793559	661.750
1464793631	614.670
1464793703	636.780
1464793776	648.680
1464793848	636.450
1464793920	654.180
1464793992	646.140
1464794064	663.990
1464794136	642.230
1464794209	640.440
1464794281	635.260
1464794353	643.190
1464794425	675.180
1464794497	662.220
1464794569	642.020
1464794642	658.790
1464794714	651.080
1464794786	629.020
1464794858	610.790
1464794930	615.880
1464795002	628.020
1464795074	635.850
1464795147	624.470
1464795219	724.220
1464795291	652.030
1464795363	663.850
1464795435	631.980
1464795508	639.920
1464795580	665.580
1464795652	650.740
1464795724	659.540
1464795796	641.930
1464795868	649.650
1464795941	637.800
1464796013	647.180
1464796085	625.780
1464796157	645.750
1464796229	636.720
1464796301	620.470
1464796375	650.290
1464796447	622.080
1464796519	647.690
1464796591	634.660
1464796663	639.310
1464796735	619.590
1464796807	699.200
1464796880	629.640
1464796952	600.310
1464797024	621.140
1464797096	631.890
1464797168	635.590
1464797241	647.530
1464797313	652.420
1464797385	619.700
1464797457	664.150
1464797529	651.610
1464797601	635.960
1464797674	630.920
1464797746	641.600
1464797818	643.720
1464797890	652.630
1464797962	654.480
1464798034	641.300
1464798107	1633.380
1464798180	651.800
1464798252	632.330
1464798324	624.280
1464798396	635.850
1464798468	641.140
1464798541	633.010
1464798613	652.160
1464798685	641.900
1464798757	634.560
1464798829	693.350
1464798901	602.870
1464798974	646.540
1464799046	639.090
1464799118	647.190
1464799190	639.630
1464799262	639.300
1464799334	612.990
1464799407	664.320
1464799479	637.740
1464799551	689.140
1464799623	653.920
1464799695	619.250
1464799768	629.840
1464799840	621.170
1464799912	640.570
1464799984	665.960
1464800056	638.690
1464800128	626.600
1464800200	642.600
1464800272	662.100
1464800345	622.260
1464800417	625.570
1464800489	636.640
1464800561	624.410
1464800633	726.310
1464800706	744.600
1464800778	691.290
1464800851	700.160
1464800923	638.290
1464800995	616.610
1464801067	633.930
1464801139	626.790
1464801211	609.210
1464801283	621.990
1464801355	579.090
1464801427	605.570
1464801499	630.100
1464801572	627.640
1464801644	653.500
1464801716	597.320
1464801788	661.690
1464801860	603.440
1464801932	648.120
1464802004	653.650
1464802076	617.590
1464802148	593.250
1464802220	566.020
1464802292	629.260
1464802364	636.950
1464802436	616.430
1464802508	607.090
1464802580	621.100
1464802652	625.980
1464802724	607.870
1464802796	561.480
1464802868	567.060
1464802940	557.280
1464803012	597.980
1464803084	564.220
1464803156	570.430
1464803228	589.490
1464803300	598.830
1464803372	565.270
1464803443	561.370
1464803515	590.910
1464803587	553.920
1464803659	550.730
1464803731	560.710
1464803803	554.490
1464803874	552.480
1464803946	558.200
1464804018	562.330
1464804090	567.930
1464804161	552.260
1464804233	583.810
1464804305	589.200
1464804377	575.000
1464804449	586.040
1464804521	552.320
1464804593	545.790
1464804664	565.050
1464804736	545.630
1464804808	559.600
1464804880	561.540
1464804952	545.270
1464805023	549.570
1464805095	546.590
1464805167	544.500
1464805239	570.970
1464805310	546.420
1464805382	551.740
1464805454	540.990
1464805526	635.620
1464805597	551.090
1464805669	552.070
1464805741	554.290
1464805813	554.840
1464805885	556.580
1464805956	553.240
1464806028	541.910
1464806100	551.410
1464806172	544.850
1464806243	688.990
1464806315	549.010
1464806387	555.640
1464806459	566.750
1464806531	545.200
1464806602	539.660
1464806674	549.330
1464806746	581.170
1464806818	545.670
1464806889	574.670
1464806961	553.390
1464807033	540.800
1464807105	553.780
1464807176	546.480
1464807248	551.930
1464807320	541.370
1464807392	551.100
1464807464	544.040
1464807535	566.930
1464807607	555.660
1464807679	566.860
1464807751	565.060
1464807823	550.570
1464807894	549.240
1464807966	552.980
1464808039	571.470
1464808111	561.890
1464808182	543.060
1464808254	567.300
1464808326	549.380
1464808398	568.860
1464808469	552.040
1464808541	564.920
1464808613	543.150
1464808685	557.340
1464808756	558.790
1464808828	548.990
1464808900	544.580
1464808972	557.830
1464809044	548.700
1464809115	550.550
1464809187	562.890
1464809259	548.100
1464809331	544.630
1464809402	569.160
1464809474	549.420
1464809546	546.440
1464809618	544.180
1464809689	568.980
1464809761	548.190
1464809833	551.590
1464809905	541.110
1464809977	565.380
1464810048	571.820
1464810120	546.870
1464810192	559.410
1464810264	555.320
1464810335	569.000
1464810407	587.420
1464810479	544.070
1464810551	549.210
1464810622	577.240
1464810694	546.510
1464810766	563.640
1464810838	549.600
1464810909	554.440
1464810981	551.860
1464811053	544.850
1464811125	575.860
1464811196	548.690
1464811268	567.140
1464811340	553.490
1464811412	554.150
1464811484	573.850
1464811555	577.670
1464811627	540.230
1464811699	562.610
1464811771	684.060
1464811843	547.670
1464811915	558.410
1464811986	551.830
1464812058	579.610
1464812130	550.990
1464812202	573.370
1464812273	574.400
1464812345	544.370
1464812417	547.250
1464812489	552.410
1464812561	546.900
1464812633	552.180
1464812704	637.900
1464812777	554.770
1464812849	547.270
1464812920	544.740
1464812992	546.450
1464813064	552.570
1464813136	585.100
1464813208	574.060
1464813279	562.000
1464813351	558.040
1464813423	660.210
1464813495	548.420
1464813567	566.610
1464813638	579.720
1464813710	547.830
1464813782	554.430
1464813854	548.040
1464813926	772.930
1464813998	550.680
1464814070	539.600
1464814141	550.400
1464814213	553.100
1464814285	549.610
1464814357	540.460
1464814428	569.760
1464814500	586.850
1464814572	620.290
1464814644	547.440
1464814716	549.310
1464814788	564.070
1464814860	554.190
1464814931	546.000
1464815003	568.440
1464815075	685.150
1464815147	564.340
1464815219	562.130
1464815291	549.410
1464815362	549.480
1464815434	545.570
1464815506	579.980
1464815578	542.100
1464815649	553.790
1464815721	559.940
1464815793	559.720
1464815865	676.500
1464815937	566.710
1464816009	549.720
1464816080	549.650
1464816152	552.580
1464816224	545.060
1464816296	542.410
1464816368	548.060
1464816439	546.500
1464816511	546.000
1464816583	553.090
1464816655	548.680
1464816726	541.600
1464816798	573.630
1464816870	567.170
1464816942	563.280
1464817014	563.100
1464817085	545.300
1464817157	567.600
1464817229	550.520
