timestamp[s]	latency_value[ms]
1464774789	162.970
1464774858	280.630
1464774927	167.110
1464774996	164.040
1464775065	161.380
1464775134	161.230
1464775203	164.250
1464775272	161.480
1464775341	161.820
1464775410	166.950
1464775479	193.280
1464775548	205.180
1464775617	160.740
1464775686	161.170
1464775755	312.900
1464775824	227.640
1464775893	161.490
1464775962	161.600
1464776031	163.650
1464776100	162.130
1464776169	179.550
1464776237	161.090
1464776306	183.240
1464776376	162.200
1464776445	160.650
1464776513	161.620
1464776582	163.450
1464776651	163.360
1464776720	163.470
1464776789	161.580
1464776858	161.330
1464776927	165.720
1464776996	161.370
1464777064	161.090
1464777133	164.130
1464777202	163.820
1464777271	161.870
1464777340	161.540
1464777409	161.520
1464777478	164.160
1464777547	161.310
1464777615	166.620
1464777684	163.660
1464777753	164.490
1464777822	162.260
1464777891	164.200
1464777960	161.530
1464778029	161.720
1464778098	160.460
1464778167	161.300
1464778235	160.970
1464778304	165.720
1464778373	164.150
1464778442	161.270
1464778511	164.110
1464778580	161.020
1464778649	163.880
1464778717	161.550
1464778786	163.850
1464778855	161.170
1464778924	161.050
1464778993	161.290
1464779062	160.920
1464779131	171.860
1464779200	164.410
1464779268	165.490
1464779337	161.470
1464779406	163.950
1464779475	164.860
1464779544	163.840
1464779613	160.940
1464779682	161.220
1464779751	161.270
1464779819	163.860
1464779888	161.170
1464779957	163.570
1464780026	161.380
1464780095	161.490
1464780164	164.180
1464780233	163.550
1464780302	160.980
1464780370	162.030
1464780439	161.240
1464780508	160.890
1464780577	164.210
1464780646	163.820
1464780715	169.170
1464780784	161.200
1464780852	161.220
1464780921	161.280
1464780990	161.520
1464781059	161.230
1464781128	161.410
1464781197	163.910
1464781266	161.030
1464781335	161.700
1464781403	164.550
1464781472	169.420
1464781541	185.660
1464781610	160.780
1464781679	163.970
1464781748	161.550
1464781817	163.800
1464781886	161.380
1464781954	164.270
1464782023	161.010
1464782092	160.870
1464782161	164.910
1464782230	164.470
1464782299	161.650
1464782368	160.620
1464782437	164.320
1464782505	161.440
1464782574	161.360
1464782643	164.100
1464782712	160.720
1464782781	161.550
1464782850	163.190
1464782919	163.750
1464782987	161.220
1464783056	164.570
1464783125	161.520
1464783194	160.850
1464783263	160.620
1464783332	160.610
1464783401	162.480
1464783470	160.920
1464783538	161.300
1464783607	171.460
1464783676	165.680
1464783745	161.280
1464783814	161.350
1464783883	161.650
1464783952	161.110
1464784021	161.470
1464784090	164.220
1464784159	160.970
1464784227	161.850
1464784296	160.740
1464784365	160.900
1464784434	161.180
1464784503	163.440
1464784572	161.270
1464784641	160.830
1464784710	161.250
1464784778	163.150
1464784847	160.950
1464784916	162.010
1464784985	162.720
1464785054	161.380
1464785123	160.490
1464785192	161.310
1464785261	161.230
1464785330	161.080
1464785398	161.140
1464785467	162.330
1464785536	161.920
1464785605	161.210
1464785674	160.590
1464785743	164.370
1464785812	160.860
1464785880	163.700
1464785949	161.080
1464786018	163.670
1464786087	163.650
1464786156	161.410
1464786225	163.530
1464786294	161.030
1464786363	160.980
1464786431	161.280
1464786500	161.010
1464786569	164.100
1464786638	164.120
1464786707	161.240
1464786776	161.060
1464786845	160.820
1464786914	161.330
1464786982	162.500
1464787051	163.150
1464787120	161.090
1464787189	168.100
1464787258	162.360
1464787327	161.270
1464787396	167.180
1464787465	161.400
1464787533	161.780
1464787602	162.920
1464787671	161.410
1464787740	161.990
1464787809	164.020
1464787878	163.050
1464787947	161.310
1464788016	162.810
1464788084	160.800
1464788153	162.330
1464788222	161.220
1464788291	161.410
1464788360	161.910
1464788429	161.460
1464788498	163.150
1464788567	160.590
1464788636	166.710
1464788704	161.110
1464788773	163.530
1464788842	160.990
1464788911	161.130
1464788980	163.330
1464789049	163.440
1464789118	161.620
1464789187	161.380
1464789256	160.950
1464789324	163.210
1464789393	161.090
1464789462	160.880
1464789531	161.000
1464789600	161.290
1464789669	160.950
1464789738	161.910
1464789807	162.300
1464789875	161.410
1464789944	161.750
1464790013	161.290
1464790082	171.970
1464790151	160.880
1464790220	163.500
1464790289	163.240
1464790358	163.620
1464790426	160.840
1464790495	161.280
1464790564	163.710
1464790633	161.120
1464790702	161.110
1464790771	161.990
1464790840	160.960
1464790909	161.430
1464790978	172.540
1464791046	162.130
1464791115	161.370
1464791184	163.550
1464791253	161.140
1464791322	161.270
1464791391	161.970
1464791460	161.480
1464791529	163.420
1464791597	202.250
1464791666	161.330
1464791735	165.410
1464791804	161.290
1464791873	163.490
1464791942	161.700
1464792011	161.050
1464792080	161.740
1464792148	161.370
1464792217	163.560
1464792286	164.070
1464792355	161.020
1464792424	161.340
1464792493	161.140
1464792562	162.280
1464792631	163.480
1464792700	161.050
1464792768	163.780
1464792837	164.240
1464792906	161.180
1464792975	161.230
1464793044	161.160
1464793113	163.870
1464793182	163.880
1464793251	161.130
1464793319	161.190
1464793388	161.540
1464793457	164.140
1464793526	161.100
1464793595	162.150
1464793664	161.930
1464793733	161.490
1464793802	163.820
1464793871	161.580
1464793939	161.190
1464794008	161.180
1464794077	162.700
1464794146	162.580
1464794215	161.600
1464794284	161.450
1464794353	161.130
1464794422	161.280
1464794490	161.120
1464794559	161.480
1464794628	161.550
1464794697	163.310
1464794766	161.650
1464794835	161.190
1464794904	160.790
1464794973	163.210
1464795042	163.480
1464795110	160.980
1464795179	180.410
1464795248	161.150
1464795317	161.410
1464795386	161.850
1464795455	163.810
1464795524	160.470
1464795593	162.690
1464795662	163.040
1464795731	161.300
1464795799	161.280
1464795868	161.470
1464795937	160.850
1464796006	162.300
1464796075	162.870
1464796144	163.690
1464796213	163.140
1464796282	161.340
1464796351	161.560
1464796420	161.250
1464796488	161.760
1464796557	161.440
1464796626	162.780
1464796695	161.150
1464796764	161.370
1464796833	161.040
1464796902	161.440
1464796971	163.370
1464797039	161.180
1464797108	160.950
1464797177	161.130
1464797246	161.340
1464797315	161.210
1464797384	161.380
1464797453	161.530
1464797522	162.390
1464797590	163.540
1464797659	161.420
1464797728	163.410
1464797797	161.040
1464797866	162.840
1464797935	161.040
1464798004	160.970
1464798073	161.450
1464798142	162.750
1464798210	161.130
1464798279	161.280
1464798348	162.510
1464798417	162.190
1464798486	161.170
1464798555	162.910
1464798624	161.490
1464798693	161.180
1464798761	162.620
1464798830	160.680
1464798899	160.980
1464798968	161.200
1464799037	160.780
1464799106	162.120
1464799175	161.090
1464799244	162.130
1464799313	161.260
1464799381	161.220
1464799450	165.230
1464799519	160.540
1464799588	163.610
1464799657	160.760
1464799726	164.740
1464799795	161.690
1464799864	164.390
1464799932	161.380
1464800001	182.490
1464800070	161.660
1464800139	161.260
1464800208	160.600
1464800277	163.350
1464800346	161.420
1464800415	163.960
1464800484	161.140
1464800553	161.070
1464800622	164.100
1464800690	161.260
1464800759	161.300
1464800828	161.860
1464800897	161.380
1464800966	161.590
1464801035	163.580
1464801104	161.360
1464801173	162.260
1464801242	166.990
1464801310	161.210
1464801379	163.600
1464801448	161.520
1464801517	162.470
1464801586	161.340
1464801655	164.300
1464801724	161.560
1464801793	161.010
1464801862	161.830
1464801930	167.760
1464801999	164.010
1464802068	164.020
1464802137	163.650
1464802206	164.330
1464802275	164.730
1464802344	161.480
1464802413	161.800
1464802482	161.790
1464802551	161.260
1464802619	161.220
1464802688	164.290
1464802757	162.280
1464802826	163.190
1464802895	162.020
1464802964	161.170
1464803033	161.190
1464803102	161.530
1464803171	161.530
1464803239	161.420
1464803308	161.180
1464803377	163.700
1464803446	165.040
1464803515	177.140
1464803584	161.330
1464803653	161.560
1464803722	161.140
1464803790	163.740
1464803859	162.990
1464803928	161.620
1464803997	161.190
1464804066	163.350
1464804135	161.480
1464804204	163.110
1464804273	166.030
1464804342	163.740
1464804411	163.230
1464804479	161.280
1464804548	161.290
1464804617	164.010
1464804686	162.250
1464804755	162.040
1464804824	165.790
1464804893	185.630
1464804962	163.280
1464805031	161.320
1464805100	161.190
1464805168	161.120
1464805237	161.890
1464805306	160.910
1464805375	160.930
1464805444	161.210
1464805513	161.290
1464805582	161.690
1464805651	162.990
1464805719	160.620
1464805788	161.080
1464805857	163.370
1464805926	161.030
1464805995	161.420
1464806064	169.220
1464806133	161.230
1464806202	161.800
1464806271	163.210
1464806339	163.720
1464806408	164.060
1464806477	161.320
1464806546	160.760
1464806615	161.510
1464806684	161.160
1464806753	161.670
1464806822	163.310
1464806890	161.030
1464806959	160.820
1464807028	160.800
1464807097	163.960
1464807166	161.540
1464807235	160.910
1464807304	161.200
1464807373	164.440
1464807442	161.040
1464807510	161.200
1464807579	163.260
1464807648	163.630
1464807717	162.260
1464807786	161.340
1464807855	161.590
1464807924	229.960
1464807993	164.350
1464808063	160.890
1464808131	161.550
1464808200	161.340
1464808269	165.110
1464808338	169.690
1464808407	168.880
1464808476	161.520
1464808545	164.000
1464808614	163.770
1464808683	164.240
1464808751	161.250
1464808820	164.180
1464808889	164.290
1464808958	161.660
1464809027	165.500
1464809096	161.270
1464809165	161.500
1464809234	161.200
1464809303	161.180
1464809371	163.990
1464809440	164.430
1464809509	160.880
1464809578	161.040
1464809647	160.800
1464809716	160.770
1464809785	161.110
1464809854	164.070
1464809923	161.400
1464809991	160.480
1464810060	162.100
1464810129	163.220
1464810198	161.460
1464810267	163.240
1464810336	160.700
1464810405	163.550
1464810474	163.450
1464810543	163.300
1464810611	161.070
1464810680	160.930
1464810749	160.960
