timestamp[s]	latency_value[ms]
1464774794	394.880
1464774865	370.580
1464774936	380.000
1464775007	356.820
1464775078	438.080
1464775149	374.130
1464775220	335.940
1464775291	400.070
1464775362	396.920
1464775433	438.710
1464775504	352.950
1464775575	376.910
1464775646	367.540
1464775717	394.900
1464775788	391.390
1464775859	343.450
1464775930	384.160
1464776001	382.540
1464776072	471.380
1464776143	378.070
1464776215	387.500
1464776286	349.460
1464776357	369.750
1464776428	386.780
1464776499	343.440
1464776570	349.470
1464776640	360.060
1464776711	364.920
1464776782	366.640
1464776853	375.580
1464776924	359.680
1464776995	378.410
1464777066	343.520
1464777137	360.030
1464777208	344.770
1464777278	376.970
1464777349	361.180
1464777420	358.490
1464777491	335.660
1464777562	361.820
1464777633	396.370
1464777704	357.040
1464777775	345.060
1464777846	355.160
1464777916	379.360
1464777987	365.660
1464778058	393.880
1464778129	349.010
1464778200	386.030
1464778271	369.040
1464778342	339.990
1464778413	372.940
1464778484	370.820
1464778555	373.890
1464778625	383.960
1464778696	369.220
1464778767	362.070
1464778838	365.020
1464778909	343.950
1464778980	400.940
1464779051	361.320
1464779122	378.590
1464779193	344.150
1464779264	353.520
1464779334	341.150
1464779405	348.720
1464779476	395.520
1464779547	413.300
1464779618	372.120
1464779689	392.130
1464779760	389.360
1464779831	351.440
1464779902	406.450
1464779973	378.420
1464780043	354.380
1464780114	358.550
1464780185	361.240
1464780256	370.470
1464780327	385.200
1464780398	353.880
1464780469	370.180
1464780540	377.000
1464780611	364.040
1464780682	386.900
1464780752	396.850
1464780823	343.110
1464780894	364.490
1464780965	371.800
1464781036	378.720
1464781107	365.300
1464781178	362.510
1464781249	370.820
1464781320	378.120
1464781391	377.670
1464781461	384.100
1464781532	375.930
1464781603	341.120
1464781674	359.890
1464781745	386.390
1464781816	353.430
1464781887	388.180
1464781958	350.330
1464782029	328.480
1464782100	356.860
1464782171	374.430
1464782242	398.630
1464782312	373.160
1464782383	366.830
1464782454	372.870
1464782525	369.450
1464782596	373.520
1464782667	364.910
1464782738	364.070
1464782809	379.680
1464782880	377.850
1464782951	375.640
1464783021	357.060
1464783092	340.300
1464783163	376.250
1464783234	397.220
1464783305	392.530
1464783376	392.600
1464783447	368.210
1464783518	410.730
1464783589	502.100
1464783660	375.200
1464783731	358.870
1464783802	363.800
1464783873	364.880
1464783944	347.810
1464784014	368.750
1464784085	399.240
1464784156	397.320
1464784227	355.460
1464784298	345.900
1464784369	340.050
1464784440	382.270
1464784511	368.650
1464784582	336.160
1464784653	388.040
1464784723	407.920
1464784794	379.820
1464784865	388.680
1464784936	392.620
1464785007	376.020
1464785078	365.490
1464785149	349.720
1464785220	385.390
1464785291	377.060
1464785362	360.980
1464785433	359.460
1464785504	367.960
1464785574	363.130
1464785645	400.230
1464785716	358.570
1464785787	369.380
1464785858	356.480
1464785929	342.690
1464786000	357.740
1464786071	379.740
1464786142	366.150
1464786213	356.760
1464786284	365.240
1464786354	401.930
1464786425	392.010
1464786496	373.080
1464786567	385.620
1464786638	403.170
1464786709	344.390
1464786780	359.440
1464786851	380.980
1464786922	364.950
1464786993	386.860
1464787064	378.160
1464787135	402.240
1464787206	357.230
1464787276	380.470
1464787347	352.960
1464787418	357.860
1464787489	399.710
1464787560	395.260
1464787631	370.140
1464787702	375.490
1464787773	366.320
1464787844	347.540
1464787915	336.130
1464787986	360.740
1464788057	361.170
1464788127	397.290
1464788198	374.530
1464788269	372.340
1464788340	343.620
1464788411	361.710
1464788482	356.450
1464788553	414.540
1464788624	372.960
1464788695	348.570
1464788766	375.660
1464788837	343.650
1464788908	360.620
1464788978	364.910
1464789049	376.410
1464789120	366.230
1464789191	399.090
1464789262	357.980
1464789333	367.030
1464789404	368.950
1464789475	345.780
1464789546	377.220
1464789617	342.320
1464789688	379.550
1464789758	352.920
1464789829	365.320
1464789900	369.980
1464789971	344.270
1464790042	351.940
1464790113	375.790
1464790184	384.890
1464790255	336.590
1464790326	353.410
1464790397	347.980
1464790468	347.540
1464790539	340.300
1464790609	357.060
1464790680	353.490
1464790751	344.840
1464790822	355.410
1464790893	399.680
1464790964	364.490
1464791035	368.710
1464791106	387.560
1464791177	354.890
1464791248	366.660
1464791319	363.730
1464791389	344.360
1464791460	392.220
1464791531	378.220
1464791602	367.660
1464791673	382.700
1464791744	405.990
1464791815	381.130
1464791886	380.920
1464791957	356.360
1464792028	370.890
1464792099	366.330
1464792170	373.070
1464792241	343.350
1464792311	332.230
1464792382	371.710
1464792453	372.010
1464792524	347.450
1464792595	367.560
1464792666	378.300
1464792737	345.800
1464792808	360.280
1464792879	354.420
1464792950	364.040
1464793021	369.970
1464793091	344.140
1464793162	374.620
1464793233	388.320
1464793304	401.870
1464793375	372.240
1464793446	381.080
1464793517	396.780
1464793588	367.290
1464793659	371.000
1464793730	359.650
1464793801	356.080
1464793872	344.950
1464793942	359.820
1464794013	332.790
1464794084	382.520
1464794155	353.180
1464794226	336.290
1464794297	380.070
1464794368	378.010
1464794439	369.720
1464794510	355.220
1464794581	344.030
1464794651	343.650
1464794722	383.730
1464794793	388.190
1464794864	355.140
1464794935	348.120
1464795006	391.740
1464795077	349.740
1464795148	370.950
1464795219	336.960
1464795290	383.150
1464795361	363.880
1464795432	370.940
1464795502	344.850
1464795573	366.950
1464795644	363.000
1464795715	376.550
1464795786	371.100
1464795857	358.760
1464795928	357.810
1464795999	340.740
1464796070	364.920
1464796141	359.640
1464796211	367.030
1464796282	400.420
1464796353	377.580
1464796424	375.100
1464796495	332.870
1464796566	343.750
1464796637	355.770
1464796708	375.980
1464796779	361.840
1464796850	349.050
1464796920	364.520
1464796991	423.000
1464797062	375.900
1464797133	357.710
1464797204	357.120
1464797275	380.880
1464797346	339.800
1464797417	352.010
1464797488	339.600
1464797559	364.790
1464797629	356.590
1464797700	379.490
1464797771	372.140
1464797842	363.990
1464797913	359.410
1464797984	373.060
1464798055	371.620
1464798126	339.380
1464798197	343.660
1464798268	372.090
1464798339	352.040
1464798410	374.400
1464798480	343.730
1464798551	372.250
1464798622	349.690
1464798693	368.440
1464798764	366.610
1464798835	359.080
1464798906	370.190
1464798977	405.040
1464799048	367.990
1464799119	347.030
1464799190	360.190
1464799261	352.970
1464799331	379.960
1464799402	344.260
1464799473	343.490
1464799544	386.040
1464799615	350.800
1464799686	381.500
1464799757	373.770
1464799828	357.520
1464799899	380.590
1464799970	348.120
1464800041	383.800
1464800112	405.310
1464800183	351.160
1464800254	371.860
1464800324	343.600
1464800395	396.750
1464800466	372.030
1464800537	368.860
1464800608	354.840
1464800679	359.100
1464800750	390.790
1464800821	406.680
1464800892	341.220
1464800963	372.890
1464801034	356.640
1464801105	344.670
1464801176	374.170
1464801246	373.930
1464801317	378.070
1464801388	402.080
1464801459	393.210
1464801530	378.740
1464801601	367.880
1464801672	349.770
1464801743	352.980
1464801814	387.150
1464801885	360.420
1464801957	353.150
1464802027	364.100
1464802098	381.070
1464802169	345.810
1464802240	397.000
1464802311	352.430
1464802382	380.550
1464802453	369.660
1464802524	376.700
1464802595	367.580
1464802666	386.350
1464802737	379.770
1464802808	343.560
1464802878	387.200
1464802949	368.390
1464803020	366.150
1464803091	395.770
1464803162	374.870
1464803233	351.260
1464803304	366.420
1464803375	346.750
1464803446	391.590
1464803517	354.250
1464803588	352.050
1464803659	409.380
1464803729	361.340
