timestamp[s]	latency_value[ms]
1464774790	332.850
1464774860	422.350
1464774929	329.700
1464774999	368.440
1464775069	332.780
1464775138	329.590
1464775208	352.670
1464775278	385.130
1464775347	329.510
1464775417	335.580
1464775487	333.730
1464775556	430.720
1464775626	330.220
1464775696	330.100
1464775765	330.900
1464775835	442.170
1464775905	329.890
1464775974	329.140
1464776044	329.930
1464776114	454.530
1464776183	349.510
1464776253	515.160
1464776323	475.660
1464776393	358.080
1464776462	465.400
1464776532	335.710
1464776602	337.360
1464776671	333.220
1464776741	329.870
1464776810	329.910
1464776880	333.210
1464776949	330.730
1464777019	329.740
1464777088	330.840
1464777158	332.940
1464777227	330.090
1464777297	330.090
1464777367	332.360
1464777436	333.350
1464777506	333.990
1464777575	330.570
1464777645	329.690
1464777714	330.100
1464777784	329.800
1464777853	330.280
1464777923	332.960
1464777993	338.620
1464778062	339.200
1464778132	336.240
1464778201	336.470
1464778271	333.630
1464778340	333.750
1464778410	337.210
1464778480	345.250
1464778549	331.160
1464778619	340.120
1464778688	339.060
1464778758	330.050
1464778827	332.990
1464778897	333.470
1464778967	329.820
1464779036	332.960
1464779106	339.360
1464779175	336.150
1464779245	333.000
1464779314	335.620
1464779384	329.810
1464779453	338.310
1464779523	332.620
1464779593	330.370
1464779662	333.980
1464779732	334.840
1464779801	336.160
1464779871	335.130
1464779940	338.940
1464780010	330.760
1464780079	332.410
1464780149	332.730
1464780219	329.720
1464780288	333.870
1464780358	339.920
1464780427	334.290
1464780497	336.510
1464780566	332.400
1464780636	329.430
1464780705	332.850
1464780775	329.460
1464780845	332.530
1464780914	332.240
1464780984	331.340
1464781053	330.070
1464781123	335.690
1464781192	333.210
1464781262	338.510
1464781332	340.260
1464781401	332.920
1464781471	331.230
1464781540	336.430
1464781610	332.910
1464781679	330.070
1464781749	329.780
1464781819	335.070
1464781888	336.380
1464781958	330.650
1464782027	332.860
1464782097	337.380
1464782166	329.610
1464782236	334.750
1464782305	332.000
1464782375	339.880
1464782445	339.380
1464782514	330.110
1464782584	329.870
1464782653	332.570
1464782723	329.400
1464782792	337.790
1464782862	332.860
1464782932	337.490
1464783001	339.610
1464783071	330.860
1464783140	337.030
1464783210	330.070
1464783279	332.070
1464783349	332.890
1464783418	329.300
1464783488	374.690
1464783558	331.660
1464783627	333.170
1464783697	332.940
1464783766	330.680
1464783836	332.840
1464783905	343.290
1464783975	393.460
1464784045	336.360
1464784114	340.150
1464784184	337.180
1464784253	332.600
1464784323	332.740
1464784392	331.950
1464784462	337.030
1464784532	336.600
1464784601	337.600
1464784671	333.840
1464784740	330.120
1464784810	330.010
1464784879	331.620
1464784949	332.750
1464785018	336.900
1464785088	340.240
1464785158	335.930
1464785227	338.180
1464785297	332.790
1464785366	329.950
1464785436	330.110
1464785505	332.620
1464785575	332.730
1464785645	334.470
1464785714	330.110
1464785784	332.910
1464785853	329.930
1464785923	331.080
1464785992	339.230
1464786062	371.250
1464786131	334.480
1464786201	330.690
1464786271	332.710
1464786340	333.680
1464786410	337.370
1464786479	329.930
1464786549	330.120
1464786618	337.500
1464786688	330.320
1464786758	345.510
1464786827	338.470
1464786897	333.420
1464786966	329.140
1464787036	336.050
1464787105	330.870
1464787175	332.670
1464787244	332.560
1464787314	330.830
1464787384	333.450
1464787453	329.610
1464787523	333.230
1464787592	330.640
1464787662	330.180
1464787731	333.700
1464787801	336.780
1464787870	329.700
1464787940	329.510
1464788010	333.400
1464788079	337.200
1464788149	329.970
1464788218	336.060
1464788288	330.160
1464788357	333.880
1464788427	329.290
1464788497	329.330
1464788566	333.060
1464788636	336.340
1464788705	333.600
1464788775	330.880
1464788845	329.990
1464788914	340.310
1464788984	340.440
1464789053	336.880
1464789123	338.710
1464789192	334.780
1464789262	333.160
1464789332	332.520
1464789401	329.420
1464789471	337.380
1464789540	332.620
1464789610	337.790
1464789679	335.140
1464789749	332.420
1464789819	332.850
1464789888	333.140
1464789958	330.150
1464790027	329.650
1464790097	332.800
1464790166	332.580
1464790236	334.110
1464790306	329.890
1464790375	329.540
1464790445	329.270
1464790514	332.510
1464790584	330.590
1464790653	329.840
1464790723	330.930
1464790793	330.340
1464790862	333.630
1464790932	333.070
1464791001	336.280
1464791071	330.030
1464791140	332.190
1464791210	334.160
1464791279	333.620
1464791349	330.570
1464791419	332.500
1464791488	333.440
1464791558	330.600
1464791627	330.390
1464791697	329.670
1464791766	332.860
1464791836	329.100
1464791905	329.980
1464791975	330.460
1464792045	332.910
1464792114	330.090
1464792184	333.300
1464792253	329.960
1464792323	331.740
1464792392	332.610
1464792462	348.120
1464792532	333.490
1464792601	336.570
1464792671	337.250
1464792740	332.220
1464792810	333.020
1464792879	336.730
1464792949	337.000
1464793019	336.790
1464793088	333.230
1464793158	337.240
1464793227	337.080
1464793297	332.910
1464793366	337.090
1464793436	337.160
1464793506	339.840
1464793575	336.770
1464793645	339.960
1464793714	337.830
1464793784	340.340
1464793853	338.650
1464793923	334.320
1464793993	339.080
1464794062	333.600
1464794132	337.570
1464794202	340.220
1464794271	337.300
1464794341	332.780
1464794410	333.510
1464794480	331.250
1464794550	331.790
1464794619	329.570
1464794689	330.430
1464794758	336.830
1464794828	336.410
1464794897	337.490
1464794967	329.810
1464795037	332.170
1464795106	336.470
1464795176	336.290
1464795245	332.470
1464795315	330.690
1464795384	332.760
1464795454	337.410
1464795524	337.630
1464795593	336.620
1464795663	330.870
1464795732	330.720
1464795802	332.300
1464795871	333.460
1464795941	339.290
1464796011	330.500
1464796080	336.040
1464796150	337.240
1464796219	329.870
1464796289	337.590
1464796358	344.380
1464796428	332.450
1464796498	332.750
1464796567	337.280
1464796637	338.530
1464796707	332.110
1464796776	338.820
1464796846	340.110
1464796915	329.720
1464796985	332.400
1464797054	337.190
1464797124	337.120
1464797194	337.510
1464797263	329.620
1464797333	332.620
1464797402	330.180
1464797472	333.940
1464797542	337.590
1464797611	339.790
1464797681	337.100
1464797750	336.480
1464797820	329.860
1464797890	332.610
1464797959	329.290
1464798029	337.390
1464798098	329.440
1464798168	333.560
1464798237	339.160
1464798307	338.450
1464798377	337.470
1464798447	336.980
1464798517	333.360
1464798586	333.030
1464798656	340.800
1464798725	332.600
1464798795	332.610
1464798864	338.050
1464798934	337.880
1464799004	340.670
1464799073	336.130
1464799143	333.890
1464799212	339.500
1464799282	337.220
1464799351	329.490
1464799421	337.280
1464799491	337.900
1464799560	336.220
1464799630	337.770
1464799699	338.130
1464799769	337.810
1464799839	331.400
1464799908	371.870
1464799978	333.880
1464800047	336.210
1464800117	337.260
1464800186	340.580
1464800256	333.260
1464800326	332.790
1464800395	337.130
1464800465	338.200
1464800534	330.050
1464800604	332.110
1464800673	339.070
1464800743	332.980
1464800813	347.630
1464800882	332.470
1464800952	332.450
1464801021	335.860
1464801091	336.520
1464801161	336.860
1464801230	337.350
1464801300	339.410
1464801369	337.400
1464801439	337.360
1464801508	334.980
1464801578	335.950
1464801648	333.270
1464801717	335.140
1464801787	336.420
1464801856	337.240
1464801926	336.350
1464801995	336.850
1464802065	333.140
1464802135	333.020
1464802204	337.800
1464802274	340.860
1464802343	330.460
1464802413	337.170
1464802483	334.230
1464802552	332.640
1464802622	336.520
1464802691	341.820
1464802761	337.510
1464802830	337.670
1464802900	337.710
1464802970	335.800
1464803039	336.840
1464803109	338.930
1464803178	332.750
1464803248	337.460
1464803318	338.040
1464803387	332.340
1464803457	329.370
1464803526	335.530
1464803596	340.550
1464803665	340.790
1464803735	340.040
1464803805	333.160
1464803874	337.800
1464803944	329.730
1464804013	333.250
1464804083	337.360
1464804152	330.510
1464804222	334.390
1464804292	335.800
1464804361	330.150
1464804431	333.590
1464804500	337.010
1464804570	334.170
1464804640	332.190
1464804709	338.860
1464804779	334.170
1464804848	334.550
1464804921	342.980
1464804990	340.140
1464805060	340.830
1464805130	338.720
1464805199	337.050
1464805269	341.440
1464805338	333.050
1464805408	340.040
1464805478	329.390
1464805547	332.740
1464805617	333.540
1464805686	328.930
1464805756	330.270
1464805825	330.580
1464805895	334.300
1464805964	333.060
1464806034	333.760
1464806104	330.360
1464806174	333.000
1464806243	333.230
1464806313	333.210
1464806382	333.640
1464806452	333.500
1464806521	335.500
1464806591	333.450
1464806661	335.280
1464806730	330.020
1464806800	333.180
1464806869	330.010
1464806939	330.350
1464807008	392.210
1464807078	346.220
1464807148	346.060
1464807217	330.910
1464807287	334.590
1464807356	344.890
1464807426	329.580
1464807496	343.640
1464807565	335.830
1464807635	345.910
1464807704	336.180
1464807774	330.590
1464807843	329.640
1464807913	330.170
1464807983	330.140
1464808052	332.790
1464808122	330.200
1464808191	332.430
1464808261	330.490
1464808330	333.420
1464808400	332.930
1464808470	334.150
1464808539	331.030
1464808609	332.500
1464808678	330.070
1464808748	358.120
1464808817	332.940
1464808887	333.830
1464808957	329.540
1464809026	334.210
1464809096	336.150
1464809165	332.840
1464809235	333.650
1464809304	330.500
1464809374	333.760
1464809444	334.610
1464809513	329.560
1464809583	330.000
1464809652	333.680
1464809722	332.810
1464809791	335.460
1464809861	331.660
1464809931	329.610
1464810000	336.050
1464810070	336.770
1464810139	330.000
1464810209	333.920
1464810278	332.720
1464810348	332.950
1464810418	334.690
1464810487	331.540
1464810557	334.030
1464810626	335.890
1464810696	332.120
1464810765	334.030
1464810835	368.900
1464810905	334.550
1464810974	330.190
1464811044	331.970
1464811113	330.110
1464811183	338.370
1464811252	337.260
1464811322	334.960
1464811392	333.540
1464811461	333.090
1464811531	339.670
1464811600	333.310
1464811670	332.640
1464811739	333.870
1464811809	340.810
1464811879	332.840
1464811948	330.460
1464812018	336.790
1464812087	333.340
1464812157	331.690
1464812226	336.640
1464812296	337.430
1464812366	330.390
1464812435	330.190
1464812505	333.580
1464812574	451.220
1464812644	449.650
1464812714	333.350
1464812784	332.340
1464812853	333.150
1464812923	333.770
1464812993	332.880
1464813062	329.600
1464813132	358.140
1464813202	337.180
1464813271	333.300
1464813341	333.780
1464813410	332.180
1464813480	332.810
1464813550	336.270
1464813619	333.650
1464813689	333.030
1464813758	333.170
1464813828	330.790
1464813897	338.000
1464813967	332.730
1464814037	334.560
1464814106	336.410
1464814176	336.760
1464814245	332.850
1464814315	336.220
1464814385	332.650
1464814454	331.640
1464814524	332.680
1464814593	456.280
1464814663	332.910
1464814733	329.250
1464814803	337.850
1464814872	335.280
1464814942	330.260
1464815012	330.390
1464815081	335.520
1464815151	336.380
1464815220	333.680
1464815290	329.610
1464815360	332.780
1464815429	335.210
1464815499	334.520
1464815568	333.760
1464815638	329.460
1464815708	338.370
1464815777	337.040
1464815847	332.740
1464815916	332.670
1464815986	335.960
1464816056	330.560
1464816125	332.800
1464816195	331.770
1464816264	449.970
1464816334	329.440
1464816404	330.740
1464816473	334.690
1464816543	332.520
1464816612	329.320
1464816682	333.240
1464816752	333.880
1464816821	333.900
1464816891	332.820
1464816960	330.550
1464817030	335.400
1464817100	335.680
1464817169	336.190
1464817239	333.310
1464817308	336.100
1464817378	333.410
1464817447	332.800
1464817517	333.820
1464817587	333.590
1464817656	335.490
1464817726	333.260
1464817795	333.590
1464817865	333.600
1464817934	331.880
1464818004	335.330
1464818074	335.610
1464818143	332.890
1464818213	334.410
1464818282	332.820
1464818352	336.640
1464818421	330.700
1464818491	352.830
1464818561	332.860
1464818630	336.170
1464818700	333.650
1464818769	332.690
1464818839	331.740
1464818909	532.630
1464818980	330.430
1464819049	332.540
1464819119	333.770
1464819188	333.250
1464819258	333.250
1464819327	333.530
1464819397	333.340
1464819467	331.570
1464819536	333.140
1464819606	331.110
1464819676	332.550
1464819745	330.560
1464819815	330.510
1464819884	334.780
1464819954	330.740
1464820023	330.540
1464820093	333.830
1464820163	335.300
1464820232	330.650
1464820302	333.160
1464820371	330.080
1464820441	336.170
1464820510	333.140
1464820580	329.780
1464820650	330.080
1464820719	333.280
1464820789	335.750
1464820858	329.430
1464820928	336.840
1464820997	333.270
1464821067	333.660
1464821137	333.160
1464821206	336.240
1464821276	335.280
1464821345	336.510
1464821415	333.810
1464821484	334.300
1464821554	332.360
1464821624	333.510
1464821693	336.790
1464821763	336.400
1464821832	336.300
1464821902	333.630
1464821972	335.800
1464822041	344.990
1464822111	344.960
1464822180	333.530
1464822250	334.020
1464822319	336.860
1464822389	333.240
1464822459	334.390
1464822528	330.880
1464822598	332.810
1464822667	333.140
1464822737	329.710
1464822806	330.700
1464822876	335.820
1464822946	336.420
1464823015	336.260
1464823085	330.700
1464823154	336.180
1464823224	335.650
1464823293	333.310
1464823363	336.400
1464823433	332.290
1464823502	337.140
1464823572	330.040
1464823641	335.780
1464823711	332.180
1464823781	331.910
1464823850	337.930
1464823920	334.750
1464823989	336.770
1464824059	329.500
1464824128	345.880
1464824198	333.840
1464824268	332.700
1464824337	329.950
1464824407	332.960
1464824476	335.000
1464824546	330.540
1464824615	334.760
1464824685	336.200
1464824755	330.690
1464824824	333.230
1464824894	335.860
1464824963	336.270
1464825033	333.670
1464825102	332.800
1464825172	334.450
1464825242	333.720
1464825311	335.260
1464825381	333.080
1464825450	330.480
1464825520	333.200
1464825589	337.360
1464825659	333.790
1464825729	330.170
1464825798	332.910
1464825868	333.830
1464825937	334.890
1464826007	335.630
1464826077	337.550
1464826146	333.460
1464826216	330.350
1464826286	332.840
1464826355	334.480
1464826425	332.720
1464826494	333.090
1464826564	333.830
1464826633	333.090
1464826703	333.440
1464826773	332.460
1464826842	329.790
1464826912	332.620
1464826981	336.580
1464827051	332.930
1464827120	329.670
1464827190	331.790
1464827260	334.300
1464827329	336.440
1464827399	335.420
1464827468	380.900
1464827538	334.020
1464827607	333.010
