timestamp[s]	latency_value[ms]
1464774792	673.280
1464774864	671.810
1464774937	672.410
1464775010	661.500
1464775083	671.670
1464775156	672.570
1464775229	672.170
1464775302	661.390
1464775375	661.740
1464775448	661.290
1464775521	671.660
1464775594	672.450
1464775667	671.600
1464775740	663.340
1464775812	673.040
1464775885	661.820
1464775958	671.870
1464776032	662.610
1464776105	672.520
1464776178	663.670
1464776251	662.050
1464776324	663.480
1464776398	661.950
1464776471	661.640
1464776544	672.080
1464776617	671.420
1464776689	662.330
1464776762	662.280
1464776835	662.230
1464776908	672.620
1464776981	661.410
1464777054	671.920
1464777127	671.680
1464777200	663.840
1464777273	661.330
1464777346	661.040
1464777419	671.500
1464777492	949.370
1464777566	967.180
1464777639	1056.440
1464777714	872.280
1464777788	866.340
1464777861	877.190
1464777935	1919.160
1464778011	918.100
1464778084	762.070
1464778158	800.770
1464778231	670.990
1464778304	661.840
1464778377	662.210
1464778450	671.200
1464778523	902.690
1464778596	885.870
1464778670	825.470
1464778744	810.880
1464778817	812.830
1464778891	860.350
1464778964	855.190
1464779038	768.950
1464779112	868.430
1464779186	823.970
1464779259	662.050
1464779332	860.730
1464779406	872.100
1464779480	2304.310
1464779555	862.120
1464779629	861.920
1464779702	855.150
1464779776	936.550
1464779851	913.350
1464779925	900.400
1464779999	1937.320
1464780074	893.970
1464780148	1952.820
1464780223	1871.110
1464780298	924.830
1464780372	874.870
1464780446	872.610
1464780520	892.760
1464780594	929.230
1464780668	915.220
1464780742	908.730
1464780816	819.360
1464780889	860.700
1464780963	864.420
1464781036	665.890
1464781109	663.100
1464781182	661.750
1464781255	662.350
1464781328	663.400
1464781401	673.440
1464781474	714.530
1464781547	671.230
1464781620	689.990
1464781693	703.780
1464781766	671.000
1464781839	663.110
1464781912	662.550
1464781985	663.010
1464782058	661.580
1464782131	672.750
1464782204	665.560
1464782277	661.830
1464782349	661.580
1464782422	662.220
1464782495	661.910
1464782568	671.050
1464782641	661.530
1464782714	662.000
1464782787	662.170
1464782860	672.940
1464782933	663.820
1464783006	661.760
1464783079	662.020
1464783152	661.750
1464783224	661.700
1464783297	661.690
1464783370	661.080
1464783443	662.270
1464783516	663.030
1464783589	662.390
1464783662	671.450
1464783735	661.310
1464783808	662.000
1464783881	661.530
1464783954	668.970
1464784027	674.340
1464784100	662.550
1464784173	672.070
1464784246	672.820
1464784319	671.740
1464784392	671.800
1464784464	667.140
1464784537	662.470
1464784610	662.550
1464784684	661.950
1464784757	662.150
1464784830	677.930
1464784903	672.400
1464784976	662.230
1464785048	672.920
1464785121	661.570
1464785194	666.080
1464785267	677.780
1464785340	666.760
1464785413	676.930
1464785486	662.380
1464785559	667.350
1464785632	675.430
1464785705	662.680
1464785778	672.290
1464785851	683.430
1464785924	662.500
1464785997	661.390
1464786070	674.470
1464786142	664.850
1464786215	672.470
1464786288	663.890
1464786361	674.090
1464786434	674.570
1464786507	662.280
1464786580	671.550
1464786653	675.500
1464786726	671.540
1464786799	671.830
1464786872	662.420
1464786945	662.280
1464787018	677.750
1464787091	666.670
1464787163	662.270
1464787236	666.140
1464787309	673.980
1464787382	666.970
1464787455	665.030
1464787528	662.470
1464787601	672.650
1464787674	662.010
1464787747	674.150
1464787820	662.140
1464787893	661.870
1464787966	662.080
1464788039	674.110
1464788111	669.160
1464788184	661.070
1464788257	672.430
1464788330	665.430
1464788403	683.500
1464788476	705.940
1464788549	1089.850
1464788622	663.100
1464788695	664.200
1464788768	661.950
1464788841	662.020
1464788915	664.140
1464788988	696.270
1464789061	664.270
1464789134	665.300
1464789207	720.440
1464789280	670.950
1464789353	661.790
1464789426	662.220
1464789498	673.150
1464789571	663.410
1464789644	670.600
1464789717	671.720
1464789790	664.670
1464789863	677.830
1464789936	665.820
1464790009	673.120
1464790082	670.690
1464790155	662.430
1464790228	661.900
1464790301	672.100
1464790374	665.290
1464790446	661.840
1464790519	689.760
1464790592	662.480
1464790665	684.640
1464790738	706.980
