timestamp[s]	latency_value[ms]
1464774788	637.710
1464774858	643.160
1464774929	641.820
1464775000	645.870
1464775071	642.150
1464775142	641.840
1464775212	642.710
1464775283	642.440
1464775354	638.050
1464775425	644.260
1464775496	641.290
1464775566	644.660
1464775637	643.810
1464775708	642.640
1464775779	637.540
1464775850	642.110
1464775920	646.880
1464775991	638.130
1464776062	642.760
1464776133	647.450
1464776203	644.450
1464776274	638.550
1464776345	646.790
1464776416	646.760
1464776487	646.230
1464776557	642.120
1464776628	642.500
1464776699	638.820
1464776770	638.780
1464776841	642.010
1464776911	646.190
1464776982	642.710
1464777053	646.850
1464777124	646.900
1464777195	646.490
1464777265	645.780
1464777336	639.200
1464777407	643.950
1464777478	638.220
1464777549	642.610
1464777619	642.710
1464777690	637.730
1464777761	646.470
1464777832	638.180
1464777903	642.530
1464777973	643.010
1464778044	646.540
1464778115	647.330
1464778186	643.410
1464778256	646.630
1464778327	643.210
1464778398	642.780
1464778469	646.430
1464778540	643.460
1464778610	643.650
1464778681	642.650
1464778752	646.120
1464778823	643.200
1464778894	641.960
1464778964	642.190
1464779035	643.640
1464779106	642.740
1464779177	643.380
1464779247	643.360
1464779318	646.580
1464779389	646.830
1464779460	646.020
1464779531	643.270
1464779601	645.640
1464779672	647.760
1464779743	646.490
1464779814	638.030
1464779885	641.350
1464779955	642.230
1464780026	642.810
1464780097	643.380
1464780168	638.320
1464780239	642.760
1464780309	643.400
1464780380	646.690
1464780451	638.590
1464780522	646.020
1464780593	645.950
1464780663	641.480
1464780734	646.140
1464780805	643.490
1464780876	646.730
1464780947	646.070
1464781017	641.010
1464781088	642.960
1464781159	643.530
1464781230	642.020
1464781300	647.000
1464781371	643.290
1464781442	638.080
1464781513	641.320
1464781584	642.870
1464781654	642.900
1464781725	638.880
1464781796	646.720
1464781867	644.670
1464781938	642.160
1464782008	646.800
1464782079	643.590
1464782150	641.950
1464782221	641.670
1464782292	643.540
1464782362	647.720
1464782433	643.530
1464782504	642.300
1464782575	646.990
1464782646	642.320
1464782716	641.520
1464782787	643.970
1464782858	647.260
1464782929	646.780
1464782999	647.200
1464783070	642.440
1464783141	647.040
1464783212	646.960
1464783283	638.210
1464783353	638.870
1464783424	646.450
1464783495	646.050
1464783566	641.550
1464783637	641.560
1464783707	637.980
