timestamp[s]	latency_value[ms]
1464774793	730.080
1464774866	741.170
1464774939	742.580
1464775012	735.900
1464775085	755.530
1464775159	731.380
1464775232	745.120
1464775305	747.530
1464775378	745.810
1464775452	736.210
1464775525	747.230
1464775598	728.810
1464775671	748.800
1464775744	755.910
1464775818	740.860
1464775891	743.200
1464775964	747.670
1464776037	745.390
1464776110	743.530
1464776184	737.550
1464776257	739.760
1464776330	742.940
1464776403	736.400
1464776477	741.680
1464776550	753.030
1464776623	752.460
1464776696	735.910
1464776769	746.410
1464776843	736.780
1464776916	738.880
1464776989	737.940
1464777062	731.050
1464777135	736.540
1464777209	755.110
1464777282	737.410
1464777355	742.520
1464777428	742.940
1464777501	738.600
1464777575	755.610
1464777648	730.220
1464777721	731.920
1464777794	733.580
1464777868	730.540
1464777941	751.800
1464778014	735.240
1464778087	755.570
1464778160	734.940
1464778234	741.650
1464778307	755.030
1464778380	753.610
1464778453	743.330
1464778526	734.730
1464778600	741.090
1464778673	745.470
1464778746	737.880
1464778819	747.120
1464778893	748.650
1464778966	736.610
1464779039	749.090
1464779112	744.460
1464779185	738.420
1464779259	743.660
1464779332	749.050
1464779405	755.150
1464779478	748.480
1464779551	750.970
1464779625	730.930
1464779698	741.980
1464779771	739.880
1464779844	747.830
1464779918	751.620
1464779991	734.120
1464780064	742.560
1464780137	743.090
1464780210	740.630
1464780284	735.570
1464780357	745.330
1464780430	741.160
1464780503	741.090
1464780576	740.980
1464780650	738.690
1464780723	741.900
1464780796	731.460
1464780869	749.340
1464780943	743.390
1464781016	736.170
1464781090	746.370
1464781163	730.730
1464781236	747.470
1464781309	738.790
1464781383	738.590
1464781456	745.270
1464781529	740.690
1464781602	731.440
1464781675	748.660
1464781749	743.900
1464781822	755.450
1464781895	733.760
1464781968	746.060
1464782042	746.860
1464782115	742.760
1464782189	755.870
1464782262	738.730
1464782335	744.170
1464782408	735.130
1464782482	741.880
1464782555	732.020
1464782628	731.500
1464782701	749.910
1464782774	735.080
1464782848	738.520
1464782921	737.300
1464782994	743.720
1464783067	738.390
1464783141	731.790
1464783214	738.000
1464783287	742.030
1464783360	735.440
1464783433	731.120
1464783507	741.740
1464783580	737.420
1464783653	739.650
1464783726	739.190
1464783799	743.800
1464783873	734.380
1464783946	741.170
1464784019	738.880
1464784092	731.340
1464784166	742.430
1464784239	755.230
1464784312	737.400
1464784385	746.390
1464784458	740.560
1464784532	734.840
1464784605	734.940
1464784678	740.510
1464784751	732.070
1464784825	752.640
1464784898	742.280
1464784971	744.690
1464785044	733.340
1464785118	738.650
1464785191	741.230
1464785264	748.890
1464785337	736.770
1464785410	742.400
1464785484	737.380
1464785557	731.590
1464785630	732.980
1464785703	740.580
1464785776	734.080
1464785850	731.820
1464785923	743.300
1464785996	752.860
1464786069	752.330
1464786143	741.450
1464786216	739.020
1464786289	738.480
1464786362	748.190
1464786435	744.220
1464786509	751.500
1464786582	735.650
1464786655	745.390
1464786728	753.010
1464786802	742.720
1464786875	739.540
1464786948	748.100
1464787021	751.120
1464787094	758.120
1464787168	733.930
1464787241	733.640
1464787314	740.710
1464787387	731.720
1464787460	731.160
1464787534	746.850
1464787607	747.070
1464787680	743.180
1464787753	734.420
1464787827	751.150
1464787900	744.090
1464787973	740.010
1464788046	731.730
1464788119	746.380
1464788193	737.820
1464788266	733.860
1464788339	744.760
1464788412	741.830
1464788486	755.810
1464788559	738.490
1464788632	735.270
1464788705	746.750
1464788778	742.380
1464788852	742.790
1464788925	730.860
1464788998	752.580
1464789071	736.370
1464789145	731.700
1464789218	731.260
1464789291	743.960
1464789364	745.260
1464789437	732.950
1464789511	743.580
1464789584	734.990
1464789657	743.020
1464789730	747.370
1464789803	748.720
1464789877	734.270
1464789950	747.160
1464790023	735.420
1464790096	732.800
1464790169	741.320
1464790243	740.310
1464790316	735.310
1464790389	731.850
1464790462	739.330
1464790535	734.700
1464790609	731.310
1464790682	744.250
1464790755	711.300
1464790828	705.940
1464790901	710.160
1464790974	711.210
1464791047	708.800
1464791121	702.480
1464791194	720.260
1464791267	709.860
1464791340	705.740
1464791413	722.700
1464791486	706.610
1464791559	720.450
1464791632	708.660
1464791705	706.030
1464791778	718.980
1464791852	717.040
1464791925	711.140
1464791998	713.500
1464792071	705.920
1464792144	706.020
1464792217	701.230
1464792290	719.500
1464792363	713.560
1464792436	715.140
1464792509	710.970
1464792583	712.990
1464792656	701.090
1464792729	727.210
1464792803	710.620
1464792876	702.390
1464792949	715.370
1464793022	713.690
1464793095	705.910
1464793168	704.630
1464793241	710.290
1464793314	702.440
1464793387	726.170
1464793460	705.290
1464793534	707.950
1464793607	707.510
1464793680	714.990
1464793753	723.140
1464793826	722.100
1464793899	705.320
1464793972	704.160
1464794045	717.310
1464794118	718.770
1464794191	718.180
1464794265	714.910
1464794338	706.010
1464794411	713.380
1464794484	710.440
1464794557	713.300
1464794630	704.730
1464794703	705.850
1464794776	713.550
1464794849	721.410
1464794923	705.910
1464794996	726.530
1464795069	705.690
1464795142	717.020
1464795215	710.290
1464795288	727.030
1464795361	712.970
1464795434	707.980
1464795507	713.520
1464795581	712.830
1464795654	726.170
1464795727	702.540
1464795800	713.340
1464795873	708.810
1464795946	711.970
1464796019	706.380
1464796092	716.360
1464796165	709.810
1464796238	709.770
1464796312	721.750
1464796385	713.520
1464796458	721.660
1464796531	722.840
1464796604	711.570
1464796677	714.670
1464796750	715.610
1464796823	1079.410
1464796898	717.400
1464796971	727.460
1464797044	702.480
1464797117	701.280
1464797190	717.420
1464797263	713.530
1464797337	706.100
1464797410	715.050
1464797483	726.480
1464797556	724.930
1464797629	716.690
1464797702	705.180
1464797775	721.610
1464797848	707.790
1464797921	710.380
1464797994	700.880
1464798068	725.740
1464798141	708.230
1464798214	711.540
1464798287	723.010
1464798360	713.100
1464798433	716.830
1464798506	712.200
1464798579	719.480
1464798652	699.530
1464798726	703.130
1464798799	704.710
1464798872	709.830
1464798945	723.300
1464799018	711.870
1464799091	719.030
1464799164	714.120
1464799237	707.980
1464799310	704.530
1464799383	702.540
1464799457	723.250
1464799530	702.190
1464799603	705.890
1464799676	707.740
1464799749	711.820
1464799822	713.040
1464799895	708.530
1464799968	721.370
1464800041	708.510
1464800115	719.980
1464800188	700.600
1464800261	726.030
1464800334	708.820
1464800407	709.470
1464800480	725.180
1464800553	712.360
1464800626	714.370
1464800699	711.160
1464800773	706.860
1464800846	727.220
1464800919	702.440
1464800992	716.470
1464801065	706.300
1464801138	709.790
1464801211	727.210
1464801284	707.850
1464801357	714.910
1464801431	701.360
1464801504	718.290
1464801577	718.610
1464801650	708.750
1464801723	715.350
1464801796	709.720
1464801869	701.280
1464801942	721.600
1464802016	705.620
1464802089	723.720
1464802162	701.230
1464802235	701.800
1464802309	710.210
1464802382	713.210
1464802455	714.830
1464802528	708.350
1464802601	724.790
1464802674	701.460
1464802747	703.010
1464802820	714.000
1464802893	714.970
1464802966	707.450
1464803039	719.090
1464803113	709.740
1464803186	702.670
1464803259	710.540
1464803332	701.500
1464803405	702.490
1464803478	714.530
1464803551	711.950
1464803624	724.700
1464803697	727.250
1464803770	716.910
1464803844	714.110
1464803917	726.170
1464803990	705.810
1464804063	715.790
1464804136	704.460
1464804209	719.620
1464804282	712.650
1464804355	708.490
1464804428	717.420
1464804502	717.090
1464804575	708.990
1464804648	726.010
1464804721	701.090
1464804794	716.330
1464804867	709.800
1464804940	708.090
1464805013	726.980
1464805086	702.880
1464805159	700.920
1464805233	701.370
1464805306	702.780
1464805379	713.730
1464805452	711.670
1464805525	702.230
1464805598	729.500
1464805671	705.380
1464805744	705.910
1464805817	707.300
1464805890	716.860
1464805964	718.920
1464806037	714.200
1464806110	709.240
1464806183	717.170
1464806256	713.270
1464806329	719.840
1464806402	718.370
1464806475	708.510
1464806548	712.970
1464806621	702.080
1464806695	722.320
1464806768	706.510
1464806841	708.430
1464806914	708.940
1464806987	716.150
1464807060	711.120
1464807133	705.690
1464807206	709.670
1464807279	706.630
1464807352	702.010
1464807426	710.100
1464807499	705.940
1464807572	719.660
1464807645	704.260
1464807718	723.200
1464807791	727.110
1464807864	718.460
1464807937	712.170
1464808010	727.000
1464808084	715.190
1464808157	708.240
1464808230	704.040
1464808303	714.740
1464808376	710.150
1464808449	710.670
1464808522	713.300
1464808595	702.600
1464808668	723.490
1464808741	718.430
1464808815	723.330
1464808888	700.360
1464808961	710.040
1464809034	724.900
1464809107	701.620
1464809180	709.700
1464809253	701.050
1464809326	729.520
1464809399	717.120
1464809473	707.660
1464809546	705.940
1464809619	709.890
1464809692	719.090
1464809765	711.970
1464809838	726.990
1464809911	713.320
1464809984	711.650
1464810057	712.310
1464810131	718.620
1464810204	723.370
1464810277	709.140
1464810350	714.500
1464810423	701.320
1464810496	719.480
1464810569	710.960
1464810642	717.650
1464810715	701.330
1464810788	706.370
1464810862	706.040
1464810935	702.460
1464811008	707.820
1464811081	727.710
1464811154	714.360
1464811227	711.800
1464811300	711.150
1464811373	707.360
1464811446	709.130
1464811519	704.050
1464811593	726.450
1464811666	719.550
1464811739	702.190
1464811812	729.860
1464811885	718.410
1464811959	713.400
1464812032	708.720
1464812105	705.240
1464812178	718.310
1464812251	707.280
1464812324	713.500
1464812397	719.690
1464812470	711.990
1464812543	702.450
1464812617	708.420
1464812690	712.210
1464812763	722.660
1464812836	718.410
1464812909	704.080
1464812982	704.110
1464813055	708.960
1464813128	706.530
1464813201	702.770
1464813274	713.290
1464813348	718.770
1464813421	726.090
1464813494	713.130
1464813567	709.200
1464813640	700.780
1464813713	701.530
1464813786	715.210
1464813859	701.680
1464813932	716.760
1464814006	714.650
1464814079	730.070
1464814152	705.560
1464814225	703.740
1464814298	709.480
1464814371	714.970
1464814444	708.560
1464814517	705.500
1464814590	709.670
1464814663	705.950
1464814737	727.030
1464814810	705.640
1464814883	701.940
1464814956	715.970
1464815029	701.470
1464815102	718.710
1464815175	709.950
1464815248	715.270
1464815321	723.550
1464815394	726.980
1464815468	718.550
1464815541	713.020
1464815614	707.520
1464815687	712.560
1464815760	709.210
1464815834	717.310
1464815907	707.400
1464815980	723.300
1464816053	707.880
1464816126	705.980
1464816199	700.940
1464816272	712.350
1464816345	718.310
