timestamp[s]	latency_value[ms]
1464774789	690.960
1464774860	695.510
1464774931	694.810
1464775002	695.970
1464775073	697.650
1464775144	690.630
1464775215	695.480
1464775286	695.650
1464775357	696.250
1464775428	696.390
1464775499	697.330
1464775570	691.740
1464775641	695.540
1464775712	691.020
1464775783	692.030
1464775854	696.360
1464775925	691.310
1464775996	696.990
1464776067	695.660
1464776138	692.340
1464776209	695.620
1464776280	691.780
1464776351	696.600
1464776422	696.260
1464776493	696.490
1464776564	696.050
1464776635	695.770
1464776706	697.050
1464776777	689.900
1464776848	695.030
1464776919	692.080
1464776990	691.950
1464777061	695.500
1464777132	698.070
1464777203	691.410
1464777274	691.660
1464777345	695.670
1464777416	690.740
1464777487	696.410
1464777558	695.440
1464777629	698.760
1464777700	695.180
1464777771	691.400
1464777842	691.960
1464777913	692.090
1464777984	692.040
1464778055	696.480
1464778126	690.950
1464778197	694.870
1464778268	691.170
1464778339	695.740
1464778410	695.090
1464778481	695.090
1464778552	691.230
1464778623	695.340
1464778694	690.960
1464778765	696.110
1464778836	694.730
1464778907	696.020
1464778978	696.740
1464779049	695.960
1464779120	696.250
1464779191	695.420
1464779261	695.300
1464779332	694.990
1464779403	691.170
1464779474	696.090
1464779545	690.550
1464779616	690.800
1464779687	695.180
1464779758	696.050
1464779829	695.810
1464779900	689.790
1464779971	695.500
1464780042	691.430
1464780113	695.660
1464780184	690.560
1464780255	690.650
1464780326	696.670
1464780397	695.070
1464780468	696.140
1464780539	695.520
1464780610	690.760
1464780681	696.550
1464780752	690.500
1464780823	690.790
1464780894	695.380
1464780965	691.030
1464781036	696.740
1464781107	696.510
1464781178	692.710
1464781249	691.090
1464781320	695.280
1464781391	696.320
1464781462	695.570
1464781534	691.820
1464781605	689.520
1464781675	695.170
1464781746	697.440
1464781817	695.290
1464781889	696.930
1464781960	696.670
1464782031	690.870
1464782102	697.110
1464782173	695.750
1464782244	695.250
1464782315	691.110
1464782386	691.570
1464782457	691.240
1464782528	697.190
1464782599	696.970
1464782670	696.490
1464782741	691.610
1464782812	696.100
1464782883	696.220
1464782954	695.400
1464783025	695.700
1464783096	691.260
1464783167	695.670
1464783238	696.490
1464783309	690.880
1464783380	690.780
1464783451	690.910
1464783522	696.670
1464783593	696.330
1464783664	690.650
1464783735	691.090
1464783806	696.360
1464783877	696.240
1464783948	690.450
1464784019	696.390
1464784090	695.370
1464784161	696.080
1464784232	696.220
1464784303	691.850
1464784374	695.760
1464784445	696.900
1464784516	691.010
1464784587	694.170
1464784658	690.880
1464784729	695.210
1464784800	696.590
1464784871	696.310
1464784942	695.880
1464785013	695.090
1464785084	691.540
1464785155	690.700
1464785226	695.570
1464785297	691.310
1464785368	695.280
1464785439	690.560
1464785510	691.230
1464785581	694.800
1464785652	691.180
1464785723	696.140
1464785794	698.920
1464785865	696.770
1464785936	690.980
1464786007	690.570
1464786078	697.100
1464786149	696.140
1464786220	692.010
1464786291	696.390
1464786362	695.550
1464786433	690.510
1464786504	696.160
1464786575	692.030
1464786646	690.770
1464786717	696.160
1464786788	695.120
1464786859	690.450
1464786930	692.200
1464787001	691.110
1464787072	697.270
1464787143	692.160
1464787214	696.300
1464787285	695.830
1464787356	696.460
1464787427	691.110
1464787498	690.650
1464787569	696.440
1464787640	691.530
1464787711	690.880
1464787782	701.670
1464787853	695.000
1464787924	691.450
1464787995	695.230
1464788066	697.930
1464788137	690.100
1464788208	716.750
1464788279	715.650
1464788350	1035.600
1464788422	703.840
1464788493	709.780
1464788564	704.720
1464788635	704.450
1464788706	704.670
1464788777	700.160
1464788848	709.270
1464788919	704.810
1464788990	716.260
1464789061	707.710
1464789132	709.780
1464789203	705.640
1464789274	701.000
1464789345	711.170
1464789417	706.270
1464789488	710.580
1464789559	700.950
1464789630	709.810
1464789701	709.420
1464789772	701.580
1464789843	711.560
1464789914	714.960
1464789985	714.950
1464790056	709.120
1464790127	694.150
1464790198	705.080
1464790269	718.290
1464790340	705.000
1464790411	705.680
1464790482	705.940
1464790553	709.120
1464790624	705.910
1464790695	700.870
1464790766	700.440
1464790837	698.940
1464790908	709.010
1464790980	702.890
1464791051	699.090
1464791122	698.880
1464791193	715.810
1464791264	708.400
1464791335	705.820
1464791406	705.950
1464791477	699.130
1464791548	709.250
1464791619	694.290
1464791690	709.270
1464791761	701.120
1464791832	700.660
1464791903	705.180
1464791974	694.140
1464792045	693.520
1464792116	715.290
1464792187	709.630
1464792258	705.240
1464792329	704.130
1464792400	705.840
1464792471	700.000
1464792542	715.900
1464792613	698.740
1464792685	699.540
1464792756	705.460
1464792827	700.970
1464792898	715.210
