timestamp[s]	latency_value[ms]
1464774790	728.480
1464774861	724.510
1464774932	727.600
1464775003	728.180
1464775074	729.120
1464775145	730.510
1464775216	730.750
1464775287	726.550
1464775359	723.600
1464775430	728.100
1464775501	724.010
1464775572	728.860
1464775643	724.220
1464775714	722.070
1464775785	723.080
1464775857	723.720
1464775928	728.300
1464775999	726.860
1464776070	729.800
1464776141	729.800
1464776212	730.260
1464776283	727.680
1464776354	723.680
1464776426	722.880
1464776497	722.950
1464776568	724.400
1464776639	729.640
1464776710	724.590
1464776781	728.680
1464776852	724.740
1464776923	722.620
1464776995	728.580
1464777066	732.590
1464777137	729.920
1464777208	730.700
1464777279	725.330
1464777350	726.860
1464777421	731.960
1464777493	720.630
1464777564	729.100
1464777635	729.310
1464777706	728.180
1464777777	724.420
1464777848	724.130
1464777919	728.470
1464777990	727.540
1464778062	727.770
1464778133	723.240
1464778204	724.410
1464778275	728.660
1464778346	730.790
1464778417	725.140
1464778488	730.070
1464778560	731.930
1464778631	730.550
1464778702	722.310
1464778773	728.030
1464778844	729.030
1464778915	727.250
1464778986	730.480
1464779057	722.670
1464779129	732.020
1464779200	726.060
1464779271	727.100
1464779342	732.870
1464779413	726.930
1464779484	725.990
1464779555	729.640
1464779627	728.540
1464779698	726.680
1464779769	726.720
1464779840	727.140
1464779911	730.200
1464779982	730.280
1464780053	729.600
1464780124	728.360
1464780196	725.220
1464780267	726.740
1464780338	730.810
1464780409	724.670
1464780480	726.320
1464780551	730.680
1464780622	730.020
1464780693	728.530
1464780765	728.020
1464780836	730.210
1464780907	728.140
1464780978	729.540
1464781049	730.280
1464781120	730.480
1464781191	723.340
1464781262	723.180
1464781334	723.900
1464781405	729.400
1464781476	729.260
1464781547	730.810
1464781618	730.120
1464781689	731.350
1464781760	730.430
1464781832	725.720
1464781903	726.250
1464781974	735.120
1464782045	723.790
1464782116	726.940
1464782187	730.790
1464782258	728.300
1464782330	729.920
1464782401	729.860
1464782472	731.080
1464782543	731.520
1464782614	724.200
1464782685	726.020
1464782756	731.050
1464782827	730.630
1464782899	731.510
1464782970	726.360
1464783041	729.770
1464783112	729.330
1464783183	725.360
1464783254	730.800
1464783325	727.120
1464783397	730.730
1464783468	726.460
1464783539	725.220
1464783610	722.770
1464783681	730.760
1464783752	733.880
1464783823	726.440
1464783894	724.800
1464783966	730.880
1464784037	724.230
1464784108	726.170
1464784179	726.010
1464784250	722.180
1464784321	729.300
1464784392	731.490
1464784464	724.470
1464784535	728.130
1464784606	724.930
1464784677	731.840
1464784748	730.710
1464784819	730.400
1464784890	724.840
1464784961	730.360
1464785033	727.140
1464785104	733.170
1464785175	725.470
1464785246	734.110
1464785317	726.910
1464785388	727.400
1464785459	732.670
1464785531	726.780
1464785602	726.970
1464785673	731.750
1464785744	728.330
1464785815	721.320
1464785886	725.090
1464785957	722.780
1464786028	730.010
1464786100	722.760
1464786171	724.690
1464786242	725.040
1464786313	726.430
1464786384	726.530
1464786455	723.340
1464786526	720.500
1464786597	726.170
1464786669	721.980
1464786740	726.790
1464786811	727.170
1464786882	728.900
1464786953	732.160
1464787024	731.570
1464787095	724.470
1464787166	728.530
1464787238	726.460
1464787309	726.960
1464787380	725.470
1464787451	730.050
1464787522	721.410
1464787593	726.910
1464787664	729.900
1464787736	726.910
1464787807	725.940
1464787878	720.480
1464787949	724.750
1464788020	731.490
1464788091	731.170
1464788162	728.440
1464788233	728.890
1464788305	731.370
1464788376	731.330
1464788447	725.040
1464788518	720.680
1464788589	726.510
1464788660	726.290
1464788731	731.160
1464788802	730.070
1464788874	730.270
1464788945	719.850
1464789016	725.490
1464789087	721.180
1464789158	727.220
1464789229	722.040
1464789300	725.090
1464789372	728.200
1464789443	731.570
1464789514	730.210
1464789585	721.530
1464789656	726.540
1464789727	724.880
1464789798	722.380
1464789869	730.380
1464789941	727.120
1464790012	726.640
1464790083	729.540
1464790154	731.500
1464790225	726.630
1464790296	727.700
1464790367	726.830
1464790438	722.180
1464790510	725.660
1464790581	732.830
1464790652	726.490
1464790723	725.910
1464790794	726.490
1464790865	721.490
1464790936	726.360
1464791007	725.850
1464791079	721.220
1464791150	722.100
1464791221	721.580
1464791292	726.590
1464791363	721.680
1464791434	724.290
1464791505	722.130
1464791576	724.650
1464791648	726.000
1464791719	721.300
1464791790	726.640
1464791861	726.690
1464791932	722.060
1464792003	719.260
1464792074	720.680
1464792145	723.410
1464792217	724.350
1464792288	724.030
1464792359	720.860
1464792430	724.750
1464792501	725.080
1464792572	719.210
1464792643	719.860
1464792714	724.350
1464792786	728.590
1464792857	726.280
1464792928	721.960
1464793000	722.330
1464793071	720.660
1464793142	721.630
1464793213	721.250
1464793284	725.200
1464793355	720.270
1464793426	725.190
1464793497	725.510
1464793568	725.250
1464793640	725.330
1464793711	725.880
1464793782	726.220
1464793853	726.020
1464793924	722.430
1464793995	724.920
1464794066	727.280
1464794137	721.570
1464794209	727.090
1464794280	722.340
1464794351	726.520
1464794422	721.780
1464794493	721.440
1464794564	725.860
1464794635	725.270
1464794706	721.550
1464794778	726.510
1464794849	724.360
1464794920	724.720
1464794991	722.080
1464795062	725.200
1464795133	719.810
1464795204	725.930
1464795275	721.190
1464795347	722.280
1464795418	726.680
1464795489	720.330
1464795560	723.600
1464795631	727.130
1464795702	720.530
1464795773	726.340
1464795844	725.740
1464795916	725.330
1464795987	722.700
1464796058	724.700
1464796129	719.460
1464796200	724.450
1464796271	727.430
1464796342	722.640
1464796413	722.330
1464796485	725.370
1464796556	726.640
1464796627	719.920
1464796698	725.790
1464796769	724.630
1464796840	723.660
1464796912	721.580
1464796983	723.100
1464797054	723.580
1464797125	720.470
1464797196	724.410
1464797268	724.480
1464797339	723.850
1464797410	722.180
1464797481	727.230
1464797552	720.190
1464797623	728.090
1464797694	726.000
1464797766	726.420
1464797837	729.000
1464797908	721.980
1464797979	728.360
1464798050	724.420
1464798121	722.830
1464798192	729.250
1464798263	728.870
1464798335	728.980
1464798406	727.320
1464798477	721.850
1464798548	723.340
1464798619	728.260
1464798690	723.820
1464798761	728.310
1464798833	728.530
1464798904	728.260
1464798975	722.460
1464799046	727.210
1464799117	728.200
1464799188	728.280
1464799259	730.050
1464799331	721.880
1464799402	724.020
1464799473	729.040
1464799544	729.510
1464799615	726.670
1464799686	724.120
1464799757	728.940
1464799828	728.590
1464799900	728.250
1464799971	728.880
1464800042	726.650
1464800113	727.090
