timestamp[s]	latency_value[ms]
1464774795	516.940
1464774867	518.120
1464774939	516.870
1464775012	517.070
1464775084	516.360
1464775156	517.290
1464775229	518.450
1464775301	517.220
1464775373	515.680
1464775445	517.000
1464775518	518.030
1464775590	516.290
1464775662	516.030
1464775735	515.550
1464775807	518.240
1464775879	518.290
1464775952	516.430
1464776024	516.800
1464776096	516.740
1464776169	516.500
1464776241	516.780
1464776313	515.390
1464776386	515.350
1464776458	517.770
1464776530	516.550
1464776602	517.340
1464776675	516.480
1464776747	517.640
1464776819	517.430
1464776892	516.360
1464776964	516.510
1464777036	517.260
1464777109	517.270
1464777181	517.170
1464777253	518.210
1464777326	516.020
1464777398	517.420
1464777470	892.280
1464777545	914.940
1464777619	915.770
1464777693	716.020
1464777766	716.720
1464777840	717.650
1464777913	721.340
1464777986	705.970
1464778059	699.480
1464778132	600.800
1464778205	517.550
1464778277	517.440
1464778349	516.950
1464778422	517.350
1464778494	521.600
1464778566	706.380
1464778639	720.390
1464778712	654.620
1464778785	712.650
1464778858	707.300
1464778931	716.980
1464779004	675.470
1464779077	692.490
1464779150	1141.620
1464779224	642.110
1464779297	689.320
1464779370	717.420
1464779443	716.700
1464779516	711.290
1464779589	1702.200
1464779663	578.130
1464779736	712.550
1464779809	718.980
1464779882	714.420
1464779955	1167.660
1464780029	717.970
1464780103	716.190
1464780177	717.650
1464780252	1716.390
1464780327	1715.300
1464780404	1885.100
1464780478	718.060
1464780551	1166.830
1464780625	715.630
1464780698	713.150
1464780771	706.500
1464780844	712.260
1464780917	717.560
1464780990	517.090
1464781062	515.980
1464781135	516.600
1464781207	516.880
1464781279	516.600
1464781352	517.300
1464781424	517.140
1464781496	516.580
1464781569	517.110
1464781641	516.970
1464781713	517.070
1464781786	517.330
1464781858	516.980
1464781930	516.800
1464782003	516.780
1464782075	517.040
1464782147	516.930
1464782219	517.560
1464782292	516.900
1464782364	516.570
1464782436	517.020
1464782509	516.730
1464782581	516.290
1464782653	515.210
1464782726	518.510
1464782798	516.530
1464782870	516.940
1464782943	516.480
1464783015	516.570
1464783087	516.540
1464783160	516.280
1464783232	515.610
1464783304	517.860
1464783376	515.760
1464783449	518.440
1464783521	516.620
1464783593	521.400
1464783666	516.650
1464783738	517.200
1464783810	516.620
1464783883	517.580
1464783955	516.490
1464784027	517.350
1464784100	518.630
1464784172	517.150
1464784244	516.970
1464784317	515.580
1464784389	517.370
1464784461	517.020
1464784534	517.340
1464784606	517.030
1464784678	516.800
1464784751	517.610
1464784823	517.530
1464784895	518.460
1464784968	517.190
1464785040	515.930
1464785112	516.970
1464785185	515.320
1464785257	516.780
1464785329	518.430
1464785402	522.470
1464785474	517.140
1464785546	516.750
1464785619	517.060
1464785691	517.790
1464785763	515.180
