timestamp[s]	latency_value[ms]
1464774788	209.690
1464774857	200.150
1464774927	208.960
1464774996	198.870
1464775065	199.760
1464775134	200.790
1464775204	208.390
1464775273	209.580
1464775342	209.570
1464775412	200.590
1464775481	200.110
1464775550	200.560
1464775619	202.030
1464775689	200.710
1464775758	208.700
1464775827	200.770
1464775897	209.690
1464775966	209.630
1464776035	198.490
1464776104	209.060
1464776174	209.540
1464776243	199.520
1464776312	201.310
1464776381	209.340
1464776451	200.610
1464776520	208.800
1464776589	208.050
1464776658	200.700
1464776728	199.050
1464776797	201.100
1464776866	210.140
1464776936	198.970
1464777005	210.070
1464777074	209.970
1464777143	208.600
1464777213	210.400
1464777282	201.130
1464777351	211.010
1464777421	207.940
1464777490	208.090
1464777559	200.630
1464777628	209.540
1464777698	200.920
1464777767	201.370
1464777836	198.320
1464777905	201.300
1464777975	210.130
1464778044	199.950
1464778113	208.990
1464778182	200.950
1464778252	210.910
1464778321	199.920
1464778390	201.890
1464778459	207.380
1464778529	200.050
1464778598	208.940
1464778667	211.010
1464778737	199.960
1464778806	203.190
1464778875	210.180
1464778944	209.800
1464779014	209.850
1464779083	200.820
1464779152	200.460
1464779222	207.910
1464779291	210.110
1464779360	199.560
1464779429	209.350
1464779499	199.550
1464779568	209.630
1464779637	199.610
1464779707	208.950
1464779776	199.660
1464779845	200.140
1464779914	200.370
1464779984	201.430
1464780053	209.980
1464780122	201.570
1464780192	210.000
1464780261	199.670
1464780330	202.050
1464780399	208.950
1464780469	210.370
1464780538	208.500
1464780607	210.760
1464780676	201.530
1464780746	199.610
1464780815	209.120
1464780884	210.360
1464780954	201.030
1464781023	199.940
1464781092	200.400
1464781162	209.970
1464781231	210.380
1464781300	200.790
1464781369	209.110
1464781439	209.080
1464781508	200.990
1464781577	198.650
1464781647	199.040
1464781716	199.670
1464781785	199.680
1464781854	209.210
1464781924	210.210
1464781993	207.890
1464782062	198.330
1464782131	200.580
1464782201	199.890
1464782270	199.980
1464782339	209.420
1464782409	200.500
1464782478	200.280
1464782547	208.070
1464782616	210.410
1464782686	200.690
1464782755	199.370
1464782824	211.010
1464782893	208.800
1464782963	209.510
1464783032	200.720
1464783101	200.630
1464783170	208.760
1464783240	208.580
1464783309	210.450
1464783378	200.510
1464783447	199.510
1464783517	208.940
1464783586	202.760
1464783655	200.450
1464783725	201.100
1464783794	202.290
1464783863	200.620
1464783932	213.030
1464784002	201.140
1464784071	200.310
1464784140	210.710
1464784210	201.060
1464784279	210.650
1464784348	201.600
1464784417	213.790
1464784487	210.000
1464784556	208.720
1464784625	206.240
1464784694	201.390
1464784764	211.030
1464784833	211.770
1464784902	208.900
1464784972	199.450
1464785041	209.690
1464785110	210.740
1464785179	199.540
1464785249	201.960
1464785318	202.200
1464785387	199.700
1464785456	208.530
1464785526	208.440
1464785595	210.460
1464785664	202.040
1464785734	200.380
1464785803	201.410
1464785872	209.590
1464785941	208.500
1464786011	202.570
1464786080	199.210
1464786149	209.880
1464786219	199.990
1464786288	210.750
1464786357	201.400
1464786426	200.730
1464786496	209.510
1464786565	210.590
1464786634	210.620
1464786704	202.200
1464786773	210.470
1464786842	207.850
1464786911	198.800
1464786981	202.560
1464787050	211.920
1464787119	209.180
1464787189	211.100
1464787258	208.280
1464787327	198.530
1464787397	208.430
1464787466	199.860
1464787535	200.610
1464787604	198.700
1464787674	209.060
1464787743	199.160
1464787812	201.050
1464787881	201.650
1464787951	200.450
1464788020	208.350
1464788089	214.780
1464788159	211.020
1464788228	199.130
1464788297	201.110
1464788367	209.040
1464788436	208.450
1464788505	208.350
1464788574	210.510
1464788644	209.170
1464788713	201.370
1464788782	209.150
1464788852	202.790
1464788921	199.720
1464788990	209.730
1464789059	209.440
1464789129	210.120
1464789198	210.090
1464789267	209.040
1464789337	208.030
1464789406	200.840
1464789475	209.780
1464789545	200.120
1464789614	200.060
1464789683	207.880
1464789752	201.240
1464789822	210.400
1464789891	210.660
1464789960	201.240
1464790029	209.080
1464790099	212.780
1464790168	199.030
1464790237	208.310
1464790307	210.490
1464790376	200.100
1464790445	199.220
1464790514	209.250
1464790584	210.800
1464790653	230.430
1464790722	200.930
1464790792	201.470
1464790861	209.360
1464790930	209.400
1464790999	200.140
1464791069	199.320
1464791138	200.420
1464791207	202.070
1464791277	209.720
1464791346	208.690
1464791415	209.340
1464791484	208.660
1464791554	210.570
1464791623	200.180
1464791692	200.480
1464791762	201.240
1464791831	200.260
1464791900	210.340
1464791969	198.700
1464792039	200.140
1464792108	201.150
1464792177	210.010
1464792246	209.760
1464792316	207.970
1464792385	210.670
1464792454	203.590
1464792523	201.570
1464792593	210.620
1464792662	209.950
1464792731	199.140
1464792800	208.560
1464792870	199.840
1464792939	198.700
1464793008	200.240
1464793078	200.400
1464793147	200.360
1464793216	209.820
1464793285	198.950
1464793355	209.130
1464793424	209.060
1464793493	210.110
1464793563	200.610
1464793632	200.190
1464793701	199.080
1464793770	210.300
1464793840	202.320
1464793909	199.480
1464793978	207.820
1464794047	208.390
1464794117	199.190
1464794186	209.500
1464794255	209.150
1464794325	201.030
1464794394	200.590
1464794463	198.850
1464794533	200.160
1464794602	201.320
1464794671	209.630
1464794740	208.320
1464794810	199.880
1464794879	210.950
1464794948	210.180
