timestamp[s]	latency_value[ms]
1464788699	751.770
1464788773	561.920
1464788846	524.790
1464788919	522.680
1464788991	524.320
1464789064	545.620
1464789136	524.570
1464789209	520.870
1464789281	521.110
1464789354	521.000
1464789427	524.260
1464789499	531.410
1464789572	527.130
1464789644	524.820
1464789717	525.230
1464789789	520.990
1464789862	522.990
1464789934	520.750
1464790007	526.680
1464790079	524.880
1464790152	524.330
1464790224	526.530
1464790297	520.850
1464790369	529.790
1464790442	527.710
1464790514	539.790
1464790587	524.870
1464790660	526.550
1464790732	524.600
1464790805	527.710
1464790877	528.220
1464790950	525.720
1464791022	526.970
1464791095	525.370
1464791167	524.590
1464791240	520.630
1464791312	522.280
1464791385	526.050
1464791457	524.460
1464791530	524.310
1464791602	524.690
1464791675	521.060
1464791747	527.390
1464791820	524.380
1464791893	534.540
1464791965	520.850
1464792038	555.810
1464792110	524.230
1464792183	548.650
1464792257	525.240
1464792330	529.420
1464792402	522.100
1464792475	521.590
1464792548	524.640
1464792620	544.250
1464792693	521.970
1464792765	524.120
1464792838	526.370
1464792910	544.890
1464792983	526.150
1464793055	544.060
1464793128	524.890
1464793200	520.550
1464793273	524.850
1464793345	548.160
1464793418	520.970
1464793491	529.650
1464793563	601.870
1464793636	525.710
1464793709	525.120
1464793781	521.400
1464793854	524.240
1464793926	546.100
1464793999	520.830
1464794071	549.040
1464794144	524.410
1464794216	548.540
1464794289	525.150
1464794361	548.030
1464794434	549.520
1464794507	520.430
1464794579	558.390
1464794652	548.130
1464794724	525.940
1464794797	522.940
1464794869	544.770
1464794942	548.380
1464795014	548.570
1464795087	521.490
1464795160	548.430
1464795232	546.170
1464795305	544.500
1464795377	520.750
1464795450	524.490
1464795522	548.310
1464795595	521.040
1464795667	549.040
1464795740	521.570
1464795812	525.090
1464795885	548.750
1464795958	522.100
1464796030	526.300
1464796103	544.830
1464796175	549.280
1464796248	546.560
1464796321	520.820
1464796393	520.860
1464796466	521.380
1464796538	548.800
1464796611	521.510
1464796683	520.800
1464796756	548.510
1464796828	552.270
1464796901	524.830
1464796973	544.360
1464797046	548.480
1464797119	552.550
1464797191	524.740
1464797264	549.160
1464797336	524.120
1464797409	520.290
1464797481	550.370
1464797554	544.890
1464797626	528.580
1464797699	549.720
1464797772	549.010
1464797844	545.610
1464797917	524.210
1464797990	545.560
1464798062	521.690
1464798135	529.990
1464798207	550.680
1464798280	545.070
1464798352	526.530
1464798425	544.450
1464798498	533.870
1464798570	524.790
1464798643	548.580
1464798716	547.830
1464798788	522.260
1464798861	547.830
1464798934	554.590
1464799006	545.450
1464799079	544.780
1464799151	523.820
1464799224	544.720
1464799296	546.910
1464799369	645.560
1464799442	521.180
1464799514	548.190
1464799587	549.380
1464799659	548.340
1464799732	521.720
1464799804	545.280
1464799877	549.130
1464799949	524.960
1464800022	549.700
1464800095	546.060
1464800167	548.640
