timestamp[s]	latency_value[ms]
1464788700	775.870
1464788774	780.170
1464788847	791.290
1464788921	773.210
1464788994	781.120
1464789068	776.510
1464789141	798.600
1464789215	797.410
1464789289	773.350
1464789362	782.950
1464789437	794.710
1464789510	753.760
1464789584	766.730
1464789657	792.020
1464789731	772.640
1464789805	795.030
1464789878	789.010
1464789952	764.800
1464790025	779.850
1464790099	781.630
1464790172	785.350
1464790246	787.130
1464790319	769.520
1464790393	761.510
1464790467	761.080
1464790540	789.210
1464790614	766.770
1464790687	780.620
1464790761	769.890
1464790834	774.030
1464790908	846.760
1464790981	819.100
1464791055	791.100
1464791129	775.710
1464791202	800.010
1464791276	784.480
1464791349	754.700
1464791423	783.870
1464791496	767.190
1464791569	787.260
1464791643	780.530
1464791716	790.900
1464791790	772.880
1464791864	809.780
1464791937	776.770
1464792011	773.660
1464792084	781.170
1464792158	784.150
1464792232	778.620
1464792306	777.440
1464792380	761.690
1464792454	841.370
1464792528	781.600
1464792601	760.590
1464792675	776.120
1464792748	794.880
1464792822	776.180
1464792895	779.620
1464792969	770.210
1464793042	801.980
1464793116	796.830
1464793189	782.620
1464793263	795.720
1464793337	794.590
1464793410	2039.250
1464793485	804.260
1464793559	772.770
1464793632	764.140
1464793706	774.650
1464793779	784.900
1464793853	769.250
1464793926	756.810
1464794000	770.500
1464794073	794.810
1464794147	782.270
1464794220	768.490
1464794294	793.110
1464794367	773.440
1464794441	799.950
1464794514	807.320
1464794588	777.800
1464794661	768.550
1464794735	790.380
1464794808	792.660
1464794882	780.780
1464794955	751.620
1464795029	764.050
1464795102	782.480
1464795176	784.080
1464795249	769.750
1464795323	771.540
1464795396	767.700
1464795470	753.560
1464795544	763.880
1464795617	798.010
1464795691	774.560
1464795764	776.820
1464795838	773.130
1464795911	762.570
1464795985	755.100
1464796058	771.140
1464796132	788.270
1464796205	798.930
1464796279	786.940
1464796353	795.740
1464796426	771.360
1464796500	790.700
1464796573	775.140
1464796647	785.000
1464796720	813.410
1464796794	750.880
1464796867	748.080
1464796941	774.570
1464797015	785.100
1464797088	771.900
1464797162	769.200
1464797236	796.010
1464797310	830.230
1464797383	774.800
1464797457	778.210
1464797531	790.100
1464797604	776.100
1464797678	798.820
1464797751	772.810
1464797825	777.130
1464797898	757.070
1464797972	804.320
1464798045	788.770
1464798119	787.450
1464798192	791.480
1464798266	790.460
1464798339	787.340
1464798413	788.120
1464798487	798.630
1464798560	804.820
1464798634	757.820
1464798707	758.590
1464798781	773.330
1464798854	775.350
1464798928	784.730
1464799002	778.490
1464799075	790.960
1464799149	777.770
1464799222	788.440
1464799296	766.070
1464799369	778.470
1464799443	778.640
1464799516	785.020
1464799590	776.950
1464799664	804.980
1464799737	791.780
1464799811	792.080
1464799884	782.170
1464799958	766.060
1464800032	785.550
1464800105	789.060
1464800179	765.820
1464800252	780.880
1464800326	770.490
1464800399	776.870
1464800473	759.920
1464800546	797.720
1464800620	2122.320
1464800695	760.360
1464800768	809.060
1464800842	785.540
1464800916	772.090
1464800989	780.320
1464801063	806.830
1464801136	786.860
1464801211	789.890
1464801284	788.720
1464801358	799.030
1464801432	1948.750
1464801507	785.650
1464801580	782.740
1464801654	782.850
1464801727	803.210
1464801801	787.720
1464801875	788.530
1464801948	825.090
1464802022	785.200
1464802095	790.080
1464802169	772.370
1464802242	801.880
1464802316	773.690
1464802390	778.810
1464802464	805.310
1464802537	778.950
1464802611	782.880
1464802685	782.210
1464802758	788.160
1464802832	789.780
1464802905	804.570
1464802979	780.850
1464803052	787.950
1464803127	784.670
1464803201	796.180
1464803274	782.780
1464803348	798.100
1464803422	800.170
1464803495	791.640
1464803569	787.750
1464803642	810.840
1464803716	782.490
1464803789	784.260
1464803863	805.990
1464803937	781.700
1464804010	776.690
1464804084	1780.280
1464804159	779.190
