timestamp[s]	latency_value[ms]
1464788696	764.640
1464788768	755.120
1464788839	757.330
1464788911	785.290
1464788982	780.330
1464789053	759.260
1464789125	754.200
1464789196	771.630
1464789268	758.890
1464789339	752.700
1464789411	752.240
1464789482	754.290
1464789553	802.160
1464789625	754.340
1464789696	761.400
1464789767	760.350
1464789838	771.770
1464789910	752.890
1464789981	753.920
1464790053	750.420
1464790124	784.740
1464790195	754.620
1464790267	752.980
1464790338	753.160
1464790409	773.810
1464790481	743.830
1464790552	744.340
1464790624	758.430
1464790695	754.160
1464790766	754.260
1464790838	761.190
1464790909	757.940
1464790980	755.210
1464791052	753.590
1464791123	743.430
1464791194	752.970
1464791266	748.370
1464791337	746.580
1464791409	768.690
1464791480	761.950
1464791551	754.330
1464791623	743.280
1464791694	747.750
1464791765	744.000
1464791837	743.760
1464791908	756.630
1464791980	746.250
1464792051	755.800
1464792123	748.080
1464792196	757.450
1464792269	743.610
1464792341	754.580
1464792412	743.020
1464792483	746.650
1464792555	743.450
1464792626	754.490
1464792697	743.070
1464792769	747.310
1464792840	742.930
1464792911	747.130
1464792983	745.930
1464793054	743.810
1464793125	757.210
1464793197	758.420
1464793268	746.440
1464793339	758.100
1464793411	745.400
1464793482	754.660
1464793553	754.820
1464793625	743.250
1464793696	747.020
1464793767	755.710
1464793839	743.510
1464793910	758.230
1464793982	754.210
1464794053	743.540
1464794124	754.640
1464794196	761.570
1464794267	747.820
1464794338	744.140
1464794410	754.690
1464794481	754.190
1464794552	754.360
1464794624	743.520
1464794695	744.680
1464794766	740.750
1464794838	754.870
1464794909	743.330
1464794980	740.850
1464795052	754.340
1464795123	754.550
1464795194	740.510
1464795266	740.490
1464795337	744.300
1464795408	741.760
1464795480	741.110
1464795551	754.090
1464795622	742.590
1464795694	753.820
1464795765	754.810
1464795836	754.410
1464795908	743.500
1464795979	756.960
1464796051	786.510
1464796122	753.890
1464796193	754.260
1464796265	740.490
1464796336	748.760
1464796408	742.790
1464796479	835.190
1464796551	758.050
1464796622	743.220
1464796693	740.550
1464796765	755.820
1464796836	753.590
1464796908	748.590
1464796979	749.080
1464797050	741.810
1464797122	749.220
1464797193	749.030
1464797264	749.050
1464797336	749.790
1464797407	749.000
1464797478	749.430
1464797550	748.690
1464797621	748.160
1464797693	741.840
1464797764	740.840
1464797835	743.000
1464797907	743.430
1464797978	743.220
1464798049	749.370
1464798121	740.410
1464798192	741.810
1464798263	749.050
1464798335	741.810
1464798406	749.820
1464798477	740.540
1464798549	740.700
1464798620	744.320
1464798691	740.560
1464798763	790.550
1464798834	760.900
1464798906	748.240
1464798977	740.290
1464799048	740.520
1464799120	741.210
1464799191	749.930
1464799262	740.600
1464799334	748.610
1464799405	740.850
1464799476	749.730
1464799548	741.410
1464799619	740.430
1464799690	748.290
1464799762	740.660
1464799833	740.210
1464799904	740.710
1464799976	740.350
1464800047	740.140
1464800118	740.110
1464800190	740.380
1464800261	739.960
1464800332	748.440
1464800404	765.810
1464800475	740.130
1464800546	787.500
1464800618	741.030
1464800689	749.180
1464800760	751.590
1464800832	744.290
1464800903	749.110
1464800974	749.490
1464801046	741.020
1464801117	752.030
1464801188	768.860
1464801260	754.460
1464801331	756.770
1464801403	751.800
1464801474	759.830
1464801545	768.480
1464801617	754.250
1464801688	751.050
1464801760	751.280
1464801831	755.360
1464801902	752.790
1464801974	751.420
1464802045	752.060
1464802116	751.600
1464802188	751.590
1464802259	751.880
1464802331	751.840
1464802402	753.990
1464802473	751.840
1464802545	748.890
1464802616	751.020
1464802687	755.590
1464802759	751.770
1464802830	749.300
1464802901	753.020
1464802973	743.190
1464803044	754.320
1464803116	742.950
1464803187	741.080
1464803258	749.500
1464803330	749.150
1464803401	742.970
1464803473	749.300
1464803544	739.750
1464803615	753.230
1464803686	749.480
1464803758	739.930
1464803829	752.920
1464803901	749.550
1464803972	750.660
1464804043	754.410
1464804115	751.070
1464804186	756.320
1464804257	754.990
1464804329	749.260
1464804400	749.440
1464804471	749.650
1464804543	748.520
1464804614	763.570
1464804685	748.850
1464804757	742.660
1464804828	748.380
1464804899	743.190
1464804971	742.530
1464805042	752.010
1464805113	742.810
1464805185	744.820
1464805256	754.140
1464805328	743.400
1464805399	751.720
1464805470	753.950
1464805542	753.500
1464805613	749.710
1464805684	752.210
1464805756	746.350
1464805827	744.550
1464805898	743.720
1464805970	749.180
1464806041	753.300
1464806112	752.890
1464806184	752.320
1464806255	751.900
1464806326	749.280
1464806398	751.530
1464806469	753.040
1464806540	748.640
1464806612	749.270
1464806683	749.480
1464806755	751.770
1464806826	752.070
1464806897	748.640
1464806968	751.310
1464807040	753.260
1464807111	750.430
1464807182	748.510
1464807254	750.240
1464807325	749.330
1464807397	753.040
1464807468	748.640
1464807539	749.600
1464807611	749.100
1464807682	752.170
1464807753	752.370
1464807825	752.800
1464807896	751.500
1464807967	749.030
1464808039	748.560
1464808110	748.440
1464808181	749.070
1464808253	747.540
1464808324	748.830
1464808396	749.590
1464808467	749.130
1464808538	749.150
1464808610	750.320
1464808681	748.450
1464808752	748.440
1464808824	753.030
1464808895	753.230
1464808966	752.230
1464809038	751.520
1464809109	752.570
1464809181	751.830
1464809252	751.550
1464809324	752.590
1464809395	752.980
1464809466	751.810
1464809538	751.810
1464809609	751.700
1464809680	751.790
1464809752	750.510
1464809823	748.390
1464809894	752.190
1464809966	749.370
1464810037	748.610
1464810108	754.620
1464810180	749.020
1464810251	748.480
1464810323	753.220
1464810394	752.560
1464810465	751.490
1464810537	749.150
1464810608	752.350
1464810680	748.540
1464810751	752.660
1464810822	749.330
1464810894	749.550
1464810965	752.220
1464811037	748.800
1464811108	752.340
1464811179	752.230
1464811251	752.220
1464811322	752.420
1464811393	749.300
1464811465	750.670
1464811536	751.860
1464811607	751.330
1464811678	751.240
1464811750	753.620
1464811821	752.610
1464811893	752.450
1464811964	752.930
1464812036	751.850
1464812107	751.990
1464812178	752.110
1464812250	752.980
1464812321	751.510
1464812392	752.190
1464812464	752.600
1464812535	750.020
1464812607	752.250
1464812678	752.240
1464812749	751.780
1464812821	752.740
1464812892	752.210
1464812963	749.080
1464813035	749.690
1464813106	748.970
1464813178	749.360
1464813249	749.190
1464813320	751.840
1464813392	751.750
1464813463	752.120
1464813534	751.560
1464813606	754.860
1464813677	751.730
1464813748	752.120
1464813820	751.930
1464813891	751.480
1464813963	752.130
1464814034	751.640
1464814105	752.740
1464814177	751.110
1464814248	752.290
1464814320	749.290
1464814391	753.080
1464814462	749.080
1464814534	751.020
1464814605	750.030
1464814676	756.000
1464814748	752.000
1464814819	748.910
1464814891	751.850
1464814962	751.030
1464815033	752.040
1464815105	751.520
1464815176	751.180
1464815247	751.670
1464815319	754.740
1464815390	752.230
1464815462	751.540
1464815533	753.870
1464815604	752.130
1464815676	751.210
1464815747	752.860
1464815818	751.760
1464815890	751.120
1464815961	752.020
1464816033	751.740
1464816104	750.890
1464816175	752.240
1464816247	748.310
1464816318	752.130
1464816389	747.890
1464816461	751.510
1464816532	750.980
1464816603	750.010
1464816675	751.640
1464816746	748.500
1464816818	751.530
1464816889	749.030
1464816960	751.820
1464817032	752.800
1464817103	751.750
1464817174	752.880
1464817246	754.810
1464817317	753.770
1464817388	752.030
1464817460	751.970
1464817531	752.150
1464817603	752.450
1464817674	752.650
1464817745	755.200
1464817817	751.470
1464817888	750.920
1464817959	753.950
1464818031	760.750
1464818102	752.590
1464818174	751.660
1464818245	752.000
1464818316	751.500
1464818388	751.310
1464818459	750.880
1464818531	751.620
1464818602	751.000
1464818673	754.800
1464818745	752.020
1464818816	751.810
1464818887	751.800
1464818959	751.840
1464819030	750.940
1464819102	751.260
1464819173	759.660
1464819244	751.280
1464819316	751.510
1464819387	748.100
1464819458	748.450
1464819530	749.010
1464819601	745.760
1464819673	745.870
1464819744	747.810
1464819815	746.710
1464819887	749.810
1464819959	747.350
1464820030	747.390
1464820101	746.090
1464820173	746.570
1464820244	746.050
1464820316	748.220
1464820387	746.850
1464820458	746.540
1464820530	745.920
1464820601	753.260
1464820672	747.660
1464820744	746.700
1464820815	746.390
1464820886	746.690
1464820958	746.340
1464821029	746.210
1464821100	750.110
1464821172	746.840
1464821243	746.180
1464821314	762.240
1464821386	754.070
1464821457	746.920
1464821528	746.890
1464821600	747.030
1464821671	757.780
1464821742	746.450
1464821814	746.540
1464821885	745.190
1464821957	743.910
1464822028	745.700
1464822099	746.170
1464822171	743.560
1464822242	745.860
1464822313	742.710
1464822385	742.750
1464822456	746.540
1464822527	745.820
1464822599	749.540
1464822670	743.460
1464822741	743.640
1464822813	748.450
1464822884	745.950
1464822956	745.490
1464823027	743.800
1464823098	746.370
1464823170	746.440
1464823241	742.970
1464823312	743.200
1464823383	746.110
1464823455	743.400
1464823526	745.880
1464823597	743.730
1464823669	743.740
1464823740	746.290
1464823811	743.550
1464823883	746.320
1464823954	746.720
1464824025	743.340
1464824097	742.850
1464824168	745.370
1464824240	742.850
1464824311	743.030
1464824382	745.190
1464824454	743.560
1464824525	751.000
1464824596	746.410
1464824668	746.170
1464824739	745.660
1464824810	748.750
1464824882	743.360
1464824953	742.270
1464825024	745.590
1464825096	743.510
1464825167	748.030
1464825238	746.530
1464825310	743.160
1464825381	746.420
1464825452	743.190
1464825524	743.780
1464825595	745.440
1464825666	743.420
1464825738	742.290
1464825809	745.880
1464825880	748.930
1464825952	746.270
1464826023	745.250
1464826094	742.580
1464826166	743.400
1464826237	742.760
1464826308	742.400
1464826380	745.180
1464826451	743.490
1464826523	742.980
1464826594	741.890
1464826665	742.770
1464826736	747.190
1464826808	745.950
1464826879	742.980
1464826950	745.950
1464827022	742.270
1464827093	746.230
1464827165	743.010
1464827236	747.060
1464827307	746.100
1464827379	742.490
1464827450	746.170
1464827521	743.110
1464827593	745.950
1464827664	743.120
1464827735	742.840
1464827807	745.370
1464827878	753.360
1464827949	747.200
1464828021	745.430
1464828092	745.860
1464828164	747.320
1464828235	748.270
1464828306	745.610
1464828378	746.080
1464828449	748.140
1464828520	746.090
1464828592	754.530
1464828663	745.490
1464828734	746.110
1464828806	745.900
1464828877	745.970
1464828948	746.420
1464829020	745.860
1464829091	745.430
1464829162	742.890
1464829234	745.550
1464829305	742.660
1464829376	743.410
1464829448	745.870
1464829519	744.190
1464829590	743.090
1464829662	742.470
1464829733	742.710
1464829804	739.720
1464829876	742.250
1464829947	739.520
1464830018	740.110
1464830089	742.750
1464830161	739.980
1464830232	743.120
1464830303	740.480
1464830375	740.200
1464830446	743.530
1464830517	739.300
1464830589	739.880
1464830660	740.450
1464830731	743.310
1464830803	743.200
1464830874	743.530
1464830945	740.120
1464831017	743.520
1464831088	742.670
1464831159	744.340
1464831231	742.970
1464831303	747.810
1464831374	742.720
1464831446	742.590
1464831517	742.290
1464831588	742.970
1464831660	739.640
1464831731	743.750
1464831803	742.910
1464831874	740.200
1464831945	742.720
1464832017	752.890
1464832088	739.990
1464832159	742.610
1464832231	742.750
1464832302	746.170
1464832373	743.450
1464832445	745.810
1464832516	745.580
1464832587	743.670
1464832659	745.560
1464832730	757.760
1464832801	742.840
1464832873	742.870
1464832944	745.620
1464833015	745.450
1464833087	744.110
1464833158	742.750
1464833229	743.000
1464833301	742.630
1464833372	745.250
1464833443	743.480
1464833515	744.920
1464833586	742.970
1464833657	745.710
1464833729	745.550
1464833800	746.400
1464833872	743.130
1464833943	745.190
1464834014	742.940
1464834086	745.050
1464834157	743.810
1464834228	744.270
1464834300	744.990
1464834371	747.000
1464834443	745.470
1464834514	743.980
1464834585	742.750
1464834657	745.430
1464834728	745.100
1464834799	744.520
1464834871	745.340
1464834942	742.890
1464835013	745.620
1464835085	750.980
1464835156	745.840
1464835227	747.240
1464835299	745.220
1464835370	747.060
1464835442	742.730
1464835514	745.730
1464835586	751.160
1464835658	743.650
1464835729	742.240
1464835800	746.570
1464835872	739.860
1464835943	742.570
1464836014	745.670
1464836086	745.270
1464836157	742.150
1464836228	743.780
1464836299	782.820
1464836371	742.440
1464836442	744.500
1464836514	743.010
1464836585	741.870
1464836656	740.450
1464836728	760.310
1464836799	757.200
1464836870	755.030
1464836942	754.330
1464837013	756.900
1464837084	740.090
1464837156	740.360
1464837227	740.210
1464837298	742.110
1464837370	739.340
1464837441	740.420
1464837513	740.240
1464837584	741.400
1464837655	755.100
1464837726	741.580
1464837798	740.100
1464837869	739.960
1464837940	742.750
1464838011	743.390
1464838083	740.160
1464838154	740.410
1464838225	744.280
1464838296	739.680
1464838368	740.190
1464838439	740.490
1464838510	739.910
1464838581	742.260
1464838653	739.510
1464838724	740.300
1464838795	746.480
1464838867	740.110
1464838938	740.490
1464839009	739.580
1464839081	739.900
1464839152	741.310
1464839223	740.300
1464839294	740.710
1464839366	740.070
1464839437	741.110
1464839508	743.390
1464839580	740.330
1464839651	739.440
1464839722	742.000
1464839794	743.310
1464839865	742.610
1464839936	740.350
1464840007	743.430
1464840079	743.470
1464840150	760.950
1464840222	739.540
1464840293	744.610
1464840364	746.830
1464840435	742.920
1464840507	746.750
1464840578	742.930
1464840650	746.140
1464840721	743.160
1464840792	743.360
1464840864	745.860
1464840935	746.230
1464841006	744.060
1464841077	746.170
1464841149	758.880
1464841220	744.890
1464841291	739.450
1464841363	745.450
1464841434	739.950
1464841505	742.770
1464841577	740.280
1464841648	741.850
1464841719	742.770
1464841791	742.370
1464841862	740.110
1464841933	745.860
1464842005	740.240
1464842076	742.910
1464842147	742.830
1464842219	746.290
1464842290	742.700
1464842361	745.930
1464842433	743.070
1464842504	741.160
1464842575	757.900
1464842647	743.260
1464842718	743.380
1464842789	742.610
1464842860	743.360
1464842932	742.880
1464843003	747.850
1464843074	741.170
1464843146	739.990
1464843217	742.560
1464843288	745.740
1464843359	740.020
1464843431	744.590
1464843502	739.970
1464843573	743.000
1464843645	744.000
1464843716	743.340
1464843787	740.380
1464843859	744.600
1464843930	740.380
1464844001	741.760
1464844073	747.520
1464844144	743.550
1464844215	739.640
1464844287	740.360
