timestamp[s]	latency_value[ms]
1464788697	310.180
1464788767	311.830
1464788837	309.320
1464788907	309.550
1464788976	316.080
1464789046	311.490
1464789115	312.920
1464789185	311.390
1464789255	315.620
1464789324	323.410
1464789394	311.940
1464789464	335.740
1464789533	319.700
1464789603	313.160
1464789672	308.470
1464789742	309.000
1464789812	308.910
1464789881	309.350
1464789951	310.580
1464790021	308.750
1464790090	309.530
1464790160	308.370
1464790230	316.220
1464790299	308.830
1464790369	332.810
1464790438	325.490
1464790508	308.590
1464790578	308.690
1464790647	310.110
1464790717	308.310
1464790786	309.560
1464790856	343.010
1464790926	310.770
1464790996	313.440
1464791065	312.830
1464791135	308.740
1464791205	311.290
1464791274	308.000
1464791344	308.930
1464791413	317.310
1464791483	312.750
1464791553	310.690
1464791622	308.440
1464791692	324.830
1464791761	309.720
1464791831	308.340
1464791900	308.430
1464791970	307.670
1464792040	308.250
1464792109	309.880
1464792179	308.530
1464792249	309.910
1464792320	309.140
1464792389	309.530
1464792459	309.810
1464792529	314.580
1464792598	309.890
1464792668	310.090
1464792738	308.030
1464792807	309.020
1464792877	458.640
1464792947	308.140
1464793016	309.070
1464793086	308.000
1464793155	309.210
1464793225	318.140
1464793294	307.870
1464793364	311.140
1464793434	309.320
1464793503	309.060
1464793573	309.490
1464793643	308.240
1464793712	310.070
1464793782	309.380
1464793851	307.920
1464793921	397.280
1464793991	309.320
1464794060	308.880
1464794130	311.100
1464794200	308.640
1464794269	314.490
1464794339	310.140
1464794408	309.050
1464794478	309.790
1464794547	308.410
1464794617	308.210
1464794686	308.830
1464794756	309.010
1464794826	308.370
1464794895	320.530
1464794965	315.540
1464795035	308.220
1464795104	308.140
1464795174	309.530
1464795243	310.380
1464795313	310.950
1464795383	309.030
1464795452	308.610
1464795522	309.100
1464795591	309.020
1464795661	309.350
1464795731	339.430
1464795800	308.630
1464795870	310.460
1464795939	309.660
1464796009	308.390
1464796079	327.950
1464796148	308.510
1464796218	311.280
1464796288	309.460
1464796357	314.370
1464796427	438.110
1464796497	402.080
1464796567	351.720
1464796637	363.400
1464796707	320.240
1464796776	308.610
1464796846	309.770
1464796915	316.030
1464796985	309.700
1464797055	308.670
1464797124	310.720
1464797194	308.160
1464797263	309.710
1464797333	309.390
1464797402	308.420
1464797472	340.230
1464797542	309.040
1464797611	310.250
1464797681	311.010
1464797751	309.520
1464797820	309.250
1464797890	308.120
1464797960	310.730
1464798029	310.640
1464798099	309.760
1464798169	308.820
1464798238	309.210
1464798308	310.240
1464798377	310.450
1464798447	309.740
1464798517	311.020
1464798586	308.670
1464798656	309.650
1464798726	308.220
1464798795	344.290
1464798865	315.860
1464798934	329.040
1464799004	308.100
1464799074	309.080
1464799143	308.810
1464799213	308.100
1464799283	322.470
1464799352	308.630
1464799422	308.070
1464799491	309.100
1464799561	308.460
1464799631	308.750
1464799700	308.170
1464799770	308.140
1464799840	310.050
1464799909	309.000
1464799979	311.160
1464800049	308.690
1464800118	312.730
1464800188	308.120
1464800257	308.520
1464800327	316.460
1464800396	309.780
1464800466	314.550
1464800536	308.300
1464800605	312.660
1464800675	309.640
1464800745	310.770
1464800814	308.000
1464800884	307.440
1464800954	307.730
1464801023	309.550
1464801093	308.460
1464801163	309.800
1464801232	308.220
1464801302	309.330
1464801371	309.740
1464801441	309.610
1464801511	309.330
1464801580	308.380
1464801650	308.300
1464801720	307.930
1464801789	309.670
1464801859	308.630
1464801928	309.480
1464801998	309.340
1464802068	311.650
1464802137	309.750
1464802207	311.150
1464802276	311.190
1464802346	308.020
1464802416	311.800
1464802485	308.200
1464802555	307.820
1464802624	313.330
1464802694	308.540
1464802763	309.180
1464802833	308.790
1464802903	308.370
1464802972	308.350
1464803042	308.690
1464803111	308.790
1464803181	308.850
1464803251	308.220
1464803320	307.730
1464803390	310.640
1464803459	311.170
1464803529	308.390
1464803599	309.240
1464803668	309.160
1464803738	308.610
1464803807	308.650
1464803877	309.940
1464803947	308.390
1464804016	308.340
1464804086	308.140
1464804155	308.450
1464804225	308.890
1464804295	319.810
1464804364	308.510
1464804434	308.820
1464804503	308.850
1464804573	309.510
1464804643	308.940
1464804712	309.050
1464804782	309.270
1464804851	309.130
1464804921	309.140
1464804990	309.390
1464805060	308.470
1464805130	308.710
1464805199	308.100
1464805269	309.250
1464805338	309.680
1464805408	310.230
1464805477	308.220
1464805547	309.140
1464805617	308.410
1464805687	309.070
1464805756	308.620
1464805826	308.560
1464805895	307.790
1464805965	309.480
1464806035	309.130
1464806104	310.180
1464806174	309.780
1464806243	309.560
1464806313	308.150
1464806382	309.200
1464806452	309.620
1464806522	307.830
1464806591	308.830
1464806661	309.630
1464806731	307.820
1464806800	307.950
1464806870	308.360
1464806939	308.020
1464807009	308.350
1464807079	310.770
1464807148	308.350
1464807218	309.350
1464807287	319.770
1464807357	307.920
1464807427	310.790
1464807496	307.770
1464807566	308.290
1464807636	308.560
1464807705	309.120
1464807775	309.500
1464807844	310.270
1464807914	309.910
1464807984	308.850
1464808053	309.290
1464808123	308.480
1464808192	307.570
1464808262	308.640
1464808332	309.040
1464808401	309.840
1464808471	308.900
1464808541	307.370
1464808610	307.850
1464808680	309.650
1464808749	310.700
1464808819	310.900
1464808888	308.080
1464808958	313.060
1464809028	309.930
1464809097	317.480
1464809167	309.020
1464809236	336.930
1464809306	308.610
1464809376	308.890
1464809445	308.390
1464809515	308.510
1464809585	309.430
1464809654	307.830
1464809724	308.360
1464809793	307.580
1464809863	310.400
1464809933	307.750
1464810002	308.590
1464810072	310.440
1464810141	310.470
1464810211	308.170
1464810280	309.770
1464810350	308.790
1464810420	308.030
1464810489	308.080
1464810559	311.490
1464810628	308.590
1464810698	308.580
1464810767	310.120
1464810837	308.540
1464810907	309.740
1464810976	308.190
1464811046	308.120
1464811115	308.520
1464811185	308.480
1464811255	307.900
1464811324	308.140
1464811394	308.550
1464811463	308.610
1464811533	309.000
1464811603	309.880
1464811672	308.470
1464811742	309.460
1464811811	309.450
1464811881	308.900
1464811951	307.790
1464812020	308.130
1464812090	310.430
1464812159	308.840
1464812229	310.920
1464812299	309.320
1464812368	308.860
1464812438	309.280
1464812507	309.190
1464812577	308.780
1464812647	309.150
1464812716	308.550
1464812786	318.340
1464812856	307.970
1464812925	308.590
1464812995	307.930
1464813064	308.710
1464813134	307.470
1464813204	308.100
1464813273	309.120
1464813343	309.020
1464813412	308.630
1464813482	307.460
1464813552	308.330
1464813621	308.340
1464813691	307.900
1464813760	308.810
1464813830	308.200
1464813900	308.560
1464813969	308.660
1464814039	309.040
1464814108	308.970
1464814178	307.700
1464814248	308.330
1464814317	308.930
1464814387	310.300
1464814456	308.670
1464814526	309.880
1464814596	308.950
1464814665	309.260
1464814735	308.960
1464814804	309.300
1464814874	309.600
1464814944	308.510
1464815013	309.160
1464815083	309.050
1464815153	308.840
1464815222	307.820
1464815292	309.850
1464815361	310.050
1464815431	310.870
1464815501	307.700
1464815570	309.350
1464815640	308.370
1464815709	309.890
1464815779	308.290
1464815848	309.750
1464815918	309.250
1464815988	310.260
1464816057	309.480
1464816127	308.770
1464816196	307.890
1464816266	316.010
1464816336	308.180
1464816405	308.860
1464816475	309.300
1464816544	308.700
1464816614	307.880
1464816684	309.460
1464816753	307.980
1464816823	309.130
1464816893	308.300
1464816962	308.590
1464817032	308.720
1464817101	308.700
1464817171	309.170
1464817240	309.860
1464817310	321.670
1464817380	309.750
1464817449	308.760
1464817519	309.110
1464817589	308.570
1464817658	307.570
1464817728	311.130
1464817797	307.320
1464817867	308.580
1464817936	308.760
1464818006	308.600
1464818076	307.890
1464818145	308.920
1464818215	308.750
1464818284	308.740
1464818354	308.510
1464818424	308.800
1464818493	308.900
1464818563	308.310
1464818632	308.200
1464818702	308.670
1464818772	309.010
1464818841	309.670
1464818911	308.590
1464818980	311.210
1464819050	309.090
1464819120	309.190
1464819189	308.370
1464819259	309.490
1464819328	308.870
1464819398	308.070
1464819468	324.750
1464819537	308.050
1464819607	307.910
1464819676	307.980
1464819746	308.670
1464819816	311.020
1464819886	308.780
1464819956	309.420
1464820025	309.060
1464820095	309.980
1464820164	307.880
1464820234	307.970
1464820304	307.810
1464820373	309.670
1464820443	308.460
1464820512	308.840
1464820582	309.320
1464820652	309.090
1464820721	307.960
1464820791	308.650
1464820860	307.790
1464820930	309.300
1464821000	308.980
1464821069	309.270
1464821139	308.300
1464821208	308.550
1464821278	308.660
1464821347	307.870
1464821417	308.790
1464821487	308.860
1464821556	308.250
1464821626	308.830
1464821695	307.750
1464821765	308.850
1464821834	308.770
1464821904	308.730
1464821974	308.800
1464822043	309.010
1464822113	311.010
1464822182	307.850
1464822252	310.620
1464822321	308.990
1464822391	308.190
1464822461	308.480
1464822530	308.240
1464822600	308.690
1464822669	308.510
1464822739	308.960
1464822809	308.920
1464822878	307.440
1464822948	308.240
1464823018	308.800
1464823087	323.510
1464823157	308.610
1464823226	310.460
1464823296	308.160
1464823366	310.710
1464823435	312.120
1464823505	310.350
1464823574	307.730
1464823644	309.940
1464823714	307.940
1464823783	308.740
1464823853	309.360
1464823922	308.810
1464823992	308.570
1464824062	308.230
1464824131	308.780
1464824201	310.010
1464824271	308.310
1464824340	309.090
1464824410	308.200
1464824479	309.860
1464824549	309.150
1464824618	308.100
1464824688	307.820
1464824758	309.610
1464824827	307.760
1464824897	308.650
1464824966	310.550
1464825036	308.600
1464825106	308.850
1464825175	309.570
1464825245	310.570
1464825314	308.300
1464825384	308.870
1464825453	309.460
1464825523	308.140
1464825593	307.970
1464825662	308.370
1464825732	308.810
1464825802	308.540
1464825871	308.510
1464825941	308.840
1464826010	308.570
1464826080	308.880
1464826149	309.270
1464826219	322.550
1464826288	309.560
1464826358	309.040
1464826428	308.010
1464826497	307.800
1464826567	309.090
1464826637	308.080
1464826706	309.320
1464826776	308.520
1464826845	308.110
1464826915	308.740
1464826985	309.000
1464827054	308.880
1464827124	308.500
1464827193	307.640
1464827263	308.300
1464827333	309.010
1464827402	307.950
1464827472	308.660
1464827542	307.820
1464827611	309.230
1464827681	308.760
1464827750	310.230
1464827820	309.310
1464827890	308.290
1464827959	308.570
1464828029	310.100
1464828099	309.110
1464828168	310.150
1464828238	308.930
1464828308	308.130
1464828377	308.810
1464828447	308.430
1464828516	307.860
1464828586	311.290
1464828655	308.950
1464828725	308.470
1464828795	309.040
1464828864	308.900
1464828934	308.530
1464829004	308.880
1464829073	308.100
1464829143	307.980
1464829212	319.780
1464829282	325.600
1464829352	308.650
1464829421	309.510
1464829491	308.610
1464829560	309.100
1464829630	330.940
1464829700	307.830
1464829769	308.290
1464829839	309.020
1464829909	309.200
1464829978	308.920
1464830048	309.040
1464830117	307.800
1464830187	308.310
1464830257	309.570
1464830326	308.750
1464830396	308.710
1464830466	309.820
1464830535	308.450
1464830605	308.520
1464830674	310.240
1464830744	308.070
1464830814	308.040
1464830883	309.420
1464830953	309.900
1464831022	308.110
1464831092	308.820
1464831162	308.650
1464831231	309.000
1464831302	309.030
1464831372	307.440
