timestamp[s]	latency_value[ms]
1464775035	366.670
1464775590	371.170
1464775660	389.860
1464775730	462.210
1464775800	365.930
1464776008	370.160
1464776077	399.690
1464776147	390.340
1464776424	383.120
1464776702	363.550
1464777535	444.060
1464777605	365.830
1464777675	375.760
1464778576	409.280
1464778923	483.710
1464779546	368.500
1464780170	369.250
1464781071	376.850
1464781348	368.600
1464782248	608.740
1464782388	394.250
1464782527	372.100
1464782873	731.710
1464783568	368.880
1464783914	366.690
1464784329	367.890
1464784468	466.000
1464784954	382.540
1464785578	367.460
1464785648	385.930
1464786548	362.800
1464786825	424.240
1464787450	411.630
1464788004	362.340
1464789183	363.730
1464789599	461.500
1464790293	370.580
1464791540	385.650
1464793340	398.280
1464793755	369.800
1464793825	412.540
1464794310	364.360
1464795695	362.630
1464795765	501.530
1464795835	417.810
1464796529	416.430
1464797155	385.210
1464797294	362.340
1464797710	394.250
1464798126	671.900
1464798404	368.040
1464798890	486.890
1464798960	389.350
1464800001	400.500
1464802015	382.790
1464802501	367.080
1464803402	380.410
1464804653	385.570
1464804931	379.920
1464805001	424.600
1464805766	380.730
1464806044	392.140
1464806114	362.980
1464807224	396.940
1464807641	367.660
1464807851	367.610
1464807920	414.440
1464808060	417.130
1464808129	363.580
1464808199	363.140
1464808478	379.700
1464808824	391.100
1464808894	390.410
1464809034	365.900
1464809174	367.620
1464809383	391.800
1464809452	413.890
1464809522	384.670
1464809940	366.960
1464810010	372.690
1464810149	368.270
1464810498	367.530
1464810706	521.720
1464810847	388.530
1464811055	372.780
1464811610	410.220
1464812028	367.440
1464812098	367.060
1464812515	367.370
1464812794	383.170
1464813282	380.390
1464813422	370.900
1464813561	366.840
1464813631	376.100
1464813770	362.960
1464814050	370.300
1464814259	383.640
1464814329	400.590
1464814747	364.200
1464815095	389.240
1464815303	380.760
1464815581	366.540
1464815651	363.190
1464815721	400.330
1464816070	411.470
1464816417	426.360
1464816487	417.000
1464816626	436.450
1464816696	364.670
1464817324	382.520
1464817464	379.480
1464817673	413.340
1464817743	372.850
1464817951	364.090
1464818021	373.490
1464818090	370.890
1464818161	382.830
1464818231	362.730
1464818300	414.310
1464818650	369.700
1464818997	364.200
1464819137	402.640
1464819414	369.370
1464819623	372.530
1464819693	372.330
1464819833	410.240
