timestamp[s]	latency_value[ms]
1464774898	22.200
1464774967	21.650
1464775037	22.090
1464775106	22.290
1464775175	22.360
1464775245	22.210
1464775314	22.430
1464775383	22.320
1464775453	22.580
1464775522	22.230
1464775591	22.190
1464775660	21.920
1464775730	22.980
1464775799	22.130
1464775868	22.770
1464775938	21.870
1464776007	21.950
1464776076	22.200
1464776146	22.280
1464776215	21.810
1464776284	21.880
1464776353	21.750
1464776423	21.980
1464776492	22.160
1464776561	22.480
1464776631	22.100
1464776700	22.730
1464776769	22.140
1464776839	22.060
1464776908	22.180
1464776977	22.750
1464777046	22.390
1464777116	21.960
1464777185	22.170
1464777254	22.390
1464777324	22.300
1464777393	22.200
1464777462	22.430
1464777531	22.450
1464777601	22.340
1464777670	22.450
1464777739	22.360
1464777809	22.330
1464777878	22.750
1464777947	22.500
1464778017	22.170
1464778086	22.120
1464778155	22.300
1464778224	22.560
1464778294	21.800
1464778363	23.880
1464778432	22.190
1464778502	22.350
1464778571	22.310
1464778640	22.340
1464778710	22.360
1464778779	22.260
1464778848	22.470
1464778917	22.650
1464778987	22.450
1464779056	24.310
1464779125	22.070
1464779195	21.520
1464779264	21.800
1464779333	22.340
1464779403	22.230
1464779472	22.280
1464779541	22.240
1464779610	22.700
1464779680	22.160
1464779749	22.510
1464779818	22.930
1464779888	22.630
1464779957	22.370
1464780026	22.300
1464780096	22.170
1464780165	22.430
1464780234	22.450
1464780303	22.280
1464780373	22.750
1464780442	22.350
1464780511	22.550
1464780581	22.300
1464780650	21.950
1464780719	22.190
1464780789	22.310
1464780858	22.300
1464780927	22.370
1464780996	21.920
1464781066	21.960
1464781135	22.260
1464781204	22.300
1464781274	22.610
1464781343	22.450
1464781412	22.390
1464781482	22.880
1464781551	22.410
1464781620	22.400
1464781689	22.090
1464781759	22.100
1464781828	26.240
1464781897	22.430
1464781967	21.900
1464782036	22.290
1464782105	22.350
1464782175	22.420
1464782244	21.870
1464782313	22.320
1464782382	21.970
1464782452	22.080
1464782521	22.310
1464782590	22.260
1464782660	22.110
1464782729	21.680
1464782798	21.750
1464782867	21.810
1464782937	21.910
1464783006	21.920
1464783075	21.620
1464783145	22.440
1464783214	21.730
1464783283	22.150
1464783353	21.750
1464783422	22.300
1464783491	21.820
1464783560	21.750
1464783630	22.010
1464783699	21.900
1464783768	21.780
1464783838	21.980
1464783907	21.930
1464783976	21.950
1464784045	21.750
1464784115	22.060
1464784184	22.340
1464784253	21.940
1464784323	21.970
1464784392	21.760
1464784461	22.000
1464784531	21.770
1464784600	21.810
1464784669	21.950
1464784738	22.220
1464784808	23.940
1464784877	22.230
1464784946	21.850
1464785016	21.720
1464785085	21.880
1464785154	22.140
1464785224	21.920
1464785293	21.520
1464785362	21.790
1464785431	22.030
1464785501	22.200
1464785570	21.720
1464785639	21.790
1464785709	21.950
1464785778	22.030
1464785847	21.670
1464785917	22.870
1464785986	21.740
1464786055	21.550
1464786124	21.710
1464786194	21.990
1464786263	22.410
1464786332	21.940
1464786402	25.400
1464786471	21.740
1464786540	21.810
1464786610	21.670
1464786679	21.570
1464786748	21.740
1464786817	22.100
1464786887	21.850
1464786956	21.900
1464787025	22.770
1464787095	21.760
1464787164	21.880
1464787233	22.060
1464787302	22.130
1464787372	21.850
1464787441	22.210
1464787510	21.640
1464787580	21.710
1464787649	21.620
1464787718	21.760
1464787788	21.860
1464787857	22.100
1464787926	21.700
1464787995	21.640
1464788065	21.750
1464788134	21.890
1464788203	21.810
1464788273	21.810
1464788342	21.870
1464788411	21.790
1464788481	21.540
1464788550	21.790
1464788619	21.760
1464788688	21.670
1464788758	21.930
1464788827	22.010
1464788896	22.050
1464788966	21.790
1464789035	22.110
1464789104	21.800
1464789173	22.160
1464789243	21.880
1464789312	21.680
1464789381	21.920
1464789451	21.620
1464789520	21.700
1464789589	21.710
1464789659	22.080
1464789728	21.720
1464789797	21.590
1464789867	21.780
1464789936	21.510
1464790005	29.290
1464790074	21.830
1464790144	21.690
1464790213	21.720
1464790282	21.600
1464790352	21.450
1464790421	21.750
1464790490	21.650
1464790560	21.870
1464790629	21.750
1464790698	21.650
1464790767	21.880
1464790837	21.930
1464790906	21.760
1464790975	21.810
1464791045	21.550
1464791114	21.670
1464791183	22.130
1464791253	21.830
1464791322	22.070
1464791391	21.650
1464791460	21.610
1464791530	21.760
1464791599	21.910
1464791668	21.770
1464791738	21.790
1464791807	21.990
1464791876	21.540
1464791946	21.940
1464792015	21.630
1464792084	21.840
1464792153	21.820
1464792223	21.870
1464792292	21.600
1464792361	21.600
1464792431	21.660
1464792500	21.610
1464792569	21.920
1464792639	21.870
1464792708	21.660
1464792777	21.860
1464792846	21.740
1464792916	21.770
1464792985	21.770
1464793054	21.800
1464793124	22.070
1464793193	21.460
1464793262	21.790
1464793332	21.590
1464793401	21.810
1464793470	21.540
1464793539	21.920
1464793609	21.670
1464793678	21.780
1464793747	21.690
1464793817	21.760
1464793886	21.860
1464793955	21.650
1464794025	21.630
1464794094	21.540
1464794163	21.720
1464794232	21.880
1464794302	21.660
1464794371	22.240
1464794440	21.850
1464794510	21.680
1464794579	21.850
1464794648	21.740
1464794718	21.840
1464794787	21.780
1464794856	22.010
