timestamp[s]	latency_value[ms]
1464775120	3093.580
1464775210	1150.310
1464775290	95.620
1464775377	100.160
1464775591	9097.210
1464775712	9109.750
1464775833	3117.950
1464775939	9096.060
1464776027	3091.500
1464776142	1372.900
1464776218	3095.490
1464776300	1272.020
1464776617	1476.860
1464776730	9100.300
1464776830	96.630
1464776942	9093.920
1464777026	96.030
1464777122	1540.390
1464777299	95.360
1464777374	97.130
1464777594	5133.770
1464777927	13468.480
1464778165	9091.330
1464778268	1296.050
1464778369	5674.900
1464778466	5176.760
1464778555	99.770
1464778637	9095.380
1464778838	3094.420
1464779053	9102.390
1464779161	1103.830
1464779502	13562.260
1464779910	3100.280
1464780419	3099.470
1464780532	1468.970
1464780855	3097.270
1464780940	1298.770
1464781147	3100.630
1464781367	1483.210
1464781461	102.430
1464781573	9151.080
1464781913	1531.010
1464782115	13382.960
1464782447	13277.130
1464782776	3118.960
1464782865	102.240
1464783103	143.500
1464783295	5671.040
1464783625	3097.240
1464783810	5450.200
1464784175	1095.530
1464784288	3097.890
1464784403	13679.500
1464784866	1544.810
1464784968	1553.750
1464785175	9095.530
1464785277	96.220
1464785476	1495.020
1464785581	9096.650
1464785695	3093.590
1464785911	3095.680
1464785994	3091.590
1464786456	7095.250
1464786661	3103.480
1464786741	13321.530
1464786848	5561.540
1464786945	5502.710
1464787993	13344.640
1464788311	1294.490
1464788417	3103.500
1464788502	5488.120
1464789397	3143.530
1464789495	7091.390
1464789575	17091.180
1464789685	9122.270
1464789797	13097.150
1464790358	96.370
1464790555	3097.080
1464790670	3096.730
1464790858	92.720
1464790970	3101.150
1464791077	9095.950
1464791165	3097.120
1464791280	13156.240
1464791372	13302.960
1464791468	111.880
1464791573	100.680
1464791778	114.480
1464791883	149.630
1464792247	3095.890
1464792350	3139.800
1464792446	7101.400
1464792565	9092.200
1464792793	13100.630
1464792910	13126.680
1464793127	1285.470
1464793241	1343.600
1464793337	5278.670
1464793447	102.310
1464793546	3124.520
1464793754	5291.300
