timestamp[s]	latency_value[ms]
1464774793	546.930
1464774864	547.250
1464774936	537.490
1464775008	547.420
1464775080	537.640
1464775152	547.670
1464775224	546.680
1464775295	548.110
1464775367	537.820
1464775439	537.760
1464775511	546.690
1464775583	537.090
1464775655	538.960
1464775727	547.890
1464775798	547.260
1464775870	537.640
1464775942	547.900
1464776014	547.800
1464776086	540.550
1464776158	538.980
1464776230	546.710
1464776302	547.570
1464776374	546.690
1464776446	538.960
1464776518	548.560
1464776590	546.970
1464776662	540.080
1464776735	533.230
1464776806	541.380
1464776878	540.310
1464776950	533.430
1464777022	533.660
1464777094	540.720
1464777166	540.310
1464777238	540.530
1464777310	531.700
1464777381	532.000
1464777453	531.010
1464777525	547.390
1464777597	537.580
1464777669	545.650
1464777741	547.230
1464777813	538.110
1464777885	537.950
1464777958	537.050
1464778029	539.290
1464778101	548.530
1464778173	547.110
1464778245	537.420
1464778317	546.210
1464778389	532.750
1464778460	539.960
1464778532	537.580
1464778604	540.140
1464778676	537.700
1464778748	538.280
1464778819	539.470
1464778891	535.140
1464778963	539.610
1464779035	535.490
1464779107	534.330
1464779179	537.070
1464779251	535.630
1464779322	535.800
1464779394	541.270
1464779466	535.440
1464779538	537.560
1464779610	537.330
1464779682	536.050
1464779753	537.970
1464779825	539.080
1464779897	538.160
1464779969	535.270
1464780041	538.270
1464780112	537.640
1464780184	537.730
1464780256	537.380
1464780328	537.300
1464780400	539.510
1464780472	536.970
1464780543	540.900
1464780615	540.970
1464780687	538.270
1464780759	538.050
1464780831	537.540
1464780903	537.100
1464780975	541.490
1464781046	540.890
1464781118	531.270
1464781190	531.280
1464781262	531.780
1464781334	530.510
1464781406	541.430
1464781478	531.220
1464781549	532.410
1464781621	539.950
1464781693	538.890
1464781765	532.800
1464781837	531.660
1464781909	531.890
1464781980	540.880
1464782052	539.870
1464782124	541.370
1464782196	531.520
1464782267	532.950
1464782339	541.690
1464782411	540.980
1464782483	540.540
1464782555	540.070
1464782627	535.560
1464782699	532.900
1464782771	531.550
1464782843	533.810
1464782915	532.010
1464782987	541.040
1464783059	540.250
1464783131	542.140
1464783203	539.700
1464783274	541.790
1464783346	532.260
1464783418	532.090
1464783490	541.350
1464783561	531.680
1464783633	537.680
1464783705	539.740
1464783777	539.700
1464783849	540.820
1464783920	540.810
1464783992	538.450
1464784064	540.050
1464784136	538.440
1464784208	537.900
1464784280	539.820
1464784351	540.060
1464784423	542.330
1464784495	544.330
1464784567	543.840
1464784639	546.770
1464784711	547.090
1464784783	543.500
1464784854	546.190
1464784926	547.170
1464784998	544.930
1464785070	543.300
1464785142	544.460
1464785214	550.960
1464785286	546.740
1464785358	543.470
1464785430	546.890
1464785502	544.240
1464785574	549.890
1464785646	548.420
1464785718	549.050
1464785790	548.340
1464785861	546.280
1464785933	545.510
1464786005	546.780
1464786077	547.010
1464786149	544.750
1464786220	547.620
1464786292	543.780
1464786364	547.940
1464786437	547.770
1464786509	545.770
1464786580	546.480
1464786652	548.660
1464786724	544.530
1464786796	544.420
1464786868	547.390
1464786940	543.510
1464787011	543.430
1464787083	548.220
1464787155	544.220
1464787227	546.500
1464787298	547.060
1464787370	547.300
1464787442	545.920
1464787514	546.120
1464787586	546.890
1464787658	546.390
1464787730	546.790
1464787802	547.730
1464787874	546.470
1464787946	544.440
1464788018	545.000
1464788090	543.380
1464788162	547.610
1464788234	545.300
1464788306	545.270
1464788378	546.670
1464788450	537.260
1464788522	548.770
1464788593	548.490
1464788666	537.360
1464788739	547.010
1464788810	537.810
1464788882	540.300
1464788954	538.710
1464789026	537.360
1464789098	538.660
1464789170	540.330
1464789242	536.770
1464789314	536.880
1464789386	538.840
1464789457	536.420
1464789529	542.140
1464789601	541.340
1464789673	540.950
1464789746	537.790
1464789817	536.880
1464789889	541.300
1464789961	543.480
1464790033	541.490
1464790105	536.300
1464790177	537.570
1464790248	537.860
1464790320	537.150
1464790392	540.830
1464790464	537.950
1464790536	537.700
1464790608	541.310
1464790680	537.640
1464790751	544.630
1464790823	541.170
1464790895	545.300
1464790967	541.020
1464791039	543.950
1464791111	537.650
1464791183	540.440
1464791254	542.270
1464791326	541.680
1464791398	539.920
1464791470	546.980
1464791542	546.730
1464791614	547.250
1464791685	537.890
1464791757	538.650
1464791829	537.380
1464791901	539.600
1464791972	547.900
1464792044	538.210
1464792116	537.270
1464792188	538.900
1464792260	546.510
1464792331	543.970
1464792403	545.980
1464792475	544.490
1464792547	547.570
1464792619	546.530
1464792691	541.150
1464792763	540.990
1464792835	537.430
1464792906	549.310
1464792978	540.390
1464793050	540.810
1464793122	540.580
1464793193	541.330
1464793266	540.480
1464793338	541.410
1464793409	540.590
1464793481	541.780
1464793553	540.540
1464793625	536.810
1464793697	538.300
1464793769	540.290
1464793840	540.540
1464793912	539.980
1464793984	537.450
1464794056	540.700
1464794128	536.970
1464794200	538.890
1464794271	536.650
1464794343	542.920
1464794415	537.430
1464794487	537.620
1464794559	538.380
1464794631	536.710
1464794703	537.770
1464794775	540.240
1464794847	536.960
1464794918	541.440
1464794990	538.430
1464795062	536.770
1464795134	537.780
1464795206	538.420
1464795278	538.620
1464795350	540.530
1464795422	542.220
1464795494	540.860
1464795565	538.470
1464795637	540.700
1464795709	539.270
1464795781	538.810
1464795853	537.190
1464795925	534.930
1464795996	536.980
1464796068	534.340
1464796140	537.790
1464796213	538.550
1464796285	536.700
1464796356	535.570
1464796428	537.410
1464796500	535.760
1464796572	538.460
1464796644	536.980
1464796716	538.550
1464796788	538.720
1464796860	538.020
1464796932	541.020
1464797004	536.890
1464797075	543.290
1464797147	532.200
1464797219	530.960
1464797291	530.550
1464797363	541.050
1464797435	540.470
1464797506	534.250
1464797578	531.890
1464797650	540.480
1464797722	533.820
1464797794	531.170
1464797866	540.420
1464797938	531.230
1464798010	535.430
1464798082	530.260
1464798154	530.560
1464798225	536.720
1464798297	536.000
1464798369	536.040
1464798441	530.500
1464798513	534.970
1464798584	533.150
1464798656	530.870
1464798728	534.330
1464798800	1268.810
1464798873	536.290
1464798944	534.670
1464799017	536.930
1464799089	534.800
1464799160	536.890
1464799232	534.740
1464799304	534.710
1464799376	531.850
1464799448	532.810
1464799520	531.270
1464799592	532.070
1464799663	536.430
1464799735	536.300
1464799807	537.980
1464799879	534.910
1464799951	532.040
1464800022	532.240
1464800094	531.210
1464800166	534.390
1464800238	534.520
1464800310	535.180
1464800381	532.640
1464800453	535.030
1464800525	531.940
1464800597	530.350
1464800669	532.650
1464800741	532.440
1464800812	531.330
1464800884	531.580
1464800956	530.700
1464801028	540.170
1464801100	531.530
1464801171	540.870
1464801244	540.800
1464801316	542.210
1464801387	540.200
1464801459	539.280
1464801532	537.420
1464801604	540.090
1464801675	539.140
1464801748	537.260
1464801821	540.820
1464801893	540.810
1464801964	536.690
1464802036	538.350
1464802108	536.440
1464802180	540.730
1464802252	536.210
1464802324	540.800
1464802396	539.450
1464802467	541.000
1464802539	540.880
1464802611	538.700
1464802683	539.490
1464802755	537.200
1464802827	540.440
1464802899	537.270
1464802971	538.320
1464803043	537.490
1464803115	538.080
1464803187	539.810
1464803259	541.810
1464803331	540.980
1464803403	540.210
1464803475	542.980
1464803547	536.840
1464803619	546.820
1464803691	544.330
1464803763	543.290
1464803835	548.100
1464803907	547.040
1464803979	546.090
1464804051	546.750
1464804123	544.410
1464804195	543.410
1464804267	544.680
1464804339	547.430
1464804411	543.730
1464804483	544.220
1464804554	545.060
1464804626	546.400
1464804698	543.540
1464804770	543.280
1464804842	544.390
1464804914	548.130
1464804986	546.440
1464805058	545.400
1464805129	543.380
1464805202	546.270
1464805273	546.700
1464805345	548.710
1464805417	544.430
1464805489	547.800
1464805561	543.260
1464805633	546.770
1464805705	544.540
1464805777	544.020
1464805849	543.890
1464805921	545.740
1464805993	544.040
1464806064	543.650
1464806136	546.970
1464806208	544.920
1464806280	547.020
1464806352	545.700
1464806424	543.530
1464806496	547.840
1464806568	547.020
1464806640	546.480
1464806712	548.660
1464806784	546.820
1464806855	547.570
1464806927	547.290
1464806999	545.270
1464807071	543.670
1464807143	544.660
1464807215	545.170
1464807287	547.380
1464807359	547.250
1464807431	543.760
1464807503	548.590
1464807575	543.980
1464807647	544.650
1464807719	543.930
1464807791	544.010
1464807863	543.460
1464807935	547.260
1464808007	548.820
1464808078	547.580
1464808150	546.630
1464808222	543.120
1464808294	544.680
1464808366	547.750
1464808438	545.930
1464808509	545.430
1464808581	546.370
1464808653	540.540
1464808725	542.730
1464808797	543.960
1464808869	541.140
1464808941	541.360
1464809012	542.160
1464809084	541.090
1464809156	542.640
1464809228	541.780
1464809300	544.010
1464809372	542.050
1464809444	541.220
1464809516	544.200
1464809587	543.170
1464809659	545.890
1464809732	543.110
1464809803	544.060
1464809875	543.520
1464809947	543.080
1464810019	543.010
1464810091	541.060
1464810163	541.960
1464810235	544.400
1464810307	545.230
1464810379	541.160
1464810451	541.920
1464810523	544.180
1464810595	548.120
1464810667	541.310
1464810739	543.120
1464810810	544.270
1464810882	540.850
1464810954	551.130
1464811026	541.130
1464811098	543.700
1464811170	540.430
1464811242	543.370
1464811314	536.700
1464811385	546.490
1464811457	536.540
1464811529	546.830
1464811602	546.560
1464811674	547.450
1464811745	538.700
1464811817	539.340
1464811889	546.500
1464811961	547.600
1464812034	539.040
1464812105	540.760
1464812177	538.780
1464812249	548.000
1464812321	548.510
1464812392	546.090
1464812464	538.340
1464812536	539.070
1464812608	537.780
1464812680	547.000
1464812752	548.110
1464812824	548.960
1464812895	537.140
1464812967	538.070
