timestamp[s]	latency_value[ms]
1464774789	603.910
1464774859	603.320
1464774930	606.530
1464775001	591.390
1464775072	600.930
1464775143	616.720
1464775213	610.460
1464775284	604.570
1464775355	606.400
1464775426	606.940
1464775497	604.010
1464775568	590.100
1464775638	615.130
1464775709	605.800
1464775780	605.230
1464775851	606.920
1464775921	605.010
1464775992	592.590
1464776063	604.900
1464776133	591.110
1464776204	603.770
1464776275	604.400
1464776346	603.670
1464776417	591.030
1464776488	614.750
1464776558	590.760
1464776629	601.570
1464776700	615.780
1464776770	604.560
1464776841	614.640
1464776912	615.370
1464776983	590.360
1464777054	601.550
1464777124	604.520
1464777195	615.370
1464777266	605.500
1464777336	604.880
1464777407	600.210
1464777478	593.370
1464777548	593.240
1464777619	601.150
1464777690	593.220
1464777761	601.090
1464777831	593.350
1464777902	603.100
1464777973	604.180
1464778044	615.430
1464778115	614.350
1464778185	615.240
1464778256	604.210
1464778327	603.900
1464778397	614.360
1464778468	601.440
1464778539	604.450
1464778610	614.870
1464778681	605.430
1464778751	590.030
1464778822	604.090
1464778894	614.730
1464778965	601.260
1464779035	593.120
1464779106	616.470
1464779177	591.300
1464779248	604.230
1464779319	614.270
1464779389	603.960
1464779460	605.270
1464779531	593.730
1464779602	603.320
1464779673	603.450
1464779744	617.220
1464779815	589.970
1464779885	601.170
1464779956	614.800
1464780027	603.860
1464780097	604.330
1464780168	590.100
1464780239	601.100
1464780310	614.620
1464780380	600.960
1464780451	607.750
1464780522	593.460
1464780593	615.720
1464780663	600.370
1464780734	604.730
1464780805	603.800
1464780876	614.630
1464780947	604.110
1464781018	604.880
1464781088	590.700
1464781159	615.080
1464781230	593.180
1464781300	602.230
1464781371	589.960
1464781442	614.820
1464781513	603.710
1464781584	604.180
1464781654	616.660
1464781725	591.520
1464781796	590.470
1464781866	604.040
1464781937	590.640
1464782008	601.930
1464782079	614.180
1464782150	603.410
1464782221	615.100
1464782291	604.260
1464782362	600.790
1464782433	622.810
1464782504	615.090
1464782575	600.540
1464782646	605.080
1464782716	614.270
1464782787	614.490
1464782858	614.600
1464782929	612.080
1464782999	614.510
1464783070	592.580
1464783141	601.030
1464783212	615.080
1464783283	602.120
