timestamp[s]	latency_value[ms]
1464774794	675.310
1464774866	670.220
1464774939	657.850
1464775011	660.890
1464775084	655.410
1464775156	659.320
1464775229	653.680
1464775301	653.870
1464775373	661.000
1464775446	659.320
1464775518	655.030
1464775591	655.400
1464775663	665.920
1464775735	663.900
1464775808	656.100
1464775880	678.500
1464775952	659.330
1464776025	659.330
1464776097	671.830
1464776169	662.570
1464776242	658.700
1464776314	658.320
1464776387	660.780
1464776459	656.060
1464776532	661.160
1464776604	668.900
1464776676	677.000
1464776749	652.100
1464776821	662.560
1464776894	678.370
1464776966	659.580
1464777038	665.290
1464777110	649.870
1464777183	659.950
1464777255	677.350
1464777327	660.610
1464777400	667.570
1464777472	670.060
1464777544	666.470
1464777616	673.930
1464777689	653.200
1464777762	649.270
1464777834	658.390
1464777907	663.890
1464777979	663.140
1464778052	651.710
1464778124	655.540
1464778196	660.990
1464778269	666.910
1464778341	670.160
1464778413	644.690
1464778486	661.230
1464778558	644.790
1464778631	652.740
1464778703	651.060
1464778775	663.660
1464778848	665.110
1464778920	669.560
1464778993	655.920
1464779065	668.970
1464779138	662.970
1464779210	665.670
1464779283	652.200
1464779355	679.210
1464779428	659.030
1464779500	656.520
1464779572	657.640
1464779645	668.710
1464779717	653.720
1464779789	655.630
1464779862	666.920
1464779935	660.140
1464780007	667.020
1464780080	675.520
1464780152	652.840
1464780224	663.350
1464780296	670.340
1464780369	653.230
1464780441	659.160
1464780514	669.220
1464780586	681.710
1464780659	661.700
1464780731	684.350
1464780803	667.700
1464780876	650.410
1464780949	661.860
1464781021	667.640
1464781093	662.690
1464781166	662.150
1464781238	657.250
1464781311	651.940
1464781383	652.100
1464781456	655.580
1464781528	673.540
1464781600	658.130
1464781672	668.350
1464781745	655.870
1464781817	667.070
1464781889	665.950
1464781962	649.060
1464782034	648.370
1464782107	663.250
1464782179	656.800
1464782252	656.050
1464782324	656.290
1464782397	656.590
1464782469	656.740
1464782541	674.530
1464782614	661.150
1464782686	680.270
1464782759	666.430
1464782831	644.730
1464782903	669.370
1464782976	664.940
1464783048	665.090
1464783121	658.440
1464783193	656.570
1464783265	668.860
1464783338	657.790
1464783410	666.170
1464783483	662.000
1464783555	663.650
1464783628	670.580
1464783700	665.120
1464783772	661.070
1464783845	665.340
1464783917	659.490
1464783990	670.430
1464784062	668.360
1464784135	661.570
1464784208	668.070
1464784280	655.820
1464784352	649.980
1464784425	679.480
1464784497	659.760
1464784570	661.920
1464784642	663.100
1464784715	651.680
1464784787	663.970
1464784859	679.920
1464784932	658.030
1464785004	659.200
1464785076	654.560
1464785148	657.570
1464785221	659.900
1464785293	659.540
1464785366	651.760
1464785438	644.680
1464785511	666.170
1464785583	656.510
1464785656	660.490
1464785728	667.720
1464785801	674.180
1464785873	663.520
1464785945	659.860
1464786018	666.470
1464786090	667.850
1464786163	657.230
1464786235	660.430
1464786308	692.180
1464786380	659.710
1464786452	654.150
1464786525	677.040
1464786598	662.360
1464786670	657.750
1464786742	653.080
1464786815	668.400
1464786887	671.070
1464786959	665.470
1464787032	669.860
1464787104	652.610
1464787177	668.310
1464787249	672.590
1464787322	644.930
1464787394	677.960
1464787466	660.200
1464787538	668.400
1464787611	661.860
1464787683	649.600
1464787755	657.380
1464787828	664.570
1464787900	669.090
1464787972	659.580
1464788045	658.800
1464788117	664.500
1464788190	656.850
1464788262	667.380
1464788335	664.430
1464788407	670.370
1464788480	656.510
1464788552	653.280
1464788624	676.840
1464788696	664.790
1464788769	656.800
1464788841	645.120
1464788914	650.510
1464788986	666.720
1464789058	652.620
1464789131	669.410
1464789203	667.290
1464789276	655.710
1464789348	657.560
1464789420	656.200
1464789493	654.970
1464789565	657.030
1464789637	657.050
1464789710	664.320
1464789782	665.570
1464789854	671.440
1464789927	658.990
1464789999	665.840
1464790072	654.770
1464790144	662.750
1464790216	654.090
1464790289	664.570
1464790362	673.010
1464790434	664.180
1464790507	704.890
1464790579	661.220
1464790651	652.120
1464790724	653.410
1464790796	659.780
1464790868	658.440
1464790941	655.460
1464791013	712.570
1464791086	663.000
1464791158	701.180
1464791230	701.680
1464791303	666.590
1464791375	673.400
1464791448	657.910
1464791520	663.200
1464791592	672.690
