timestamp[s]	latency_value[ms]
1464774790	639.090
1464774861	640.350
1464774932	640.150
1464775003	640.560
1464775074	639.650
1464775145	640.020
1464775216	654.400
1464775287	641.000
1464775358	640.880
1464775428	640.090
1464775499	639.940
1464775570	640.390
1464775641	641.900
1464775712	639.230
1464775783	640.630
1464775854	640.830
1464775926	641.010
1464775996	641.060
1464776067	639.880
1464776138	639.470
1464776209	641.700
1464776280	641.750
1464776352	639.520
1464776423	640.490
1464776493	640.140
1464776564	639.520
1464776635	642.710
1464776706	640.400
1464776777	640.820
1464776848	639.890
1464776919	640.430
1464776991	641.590
1464777061	640.090
1464777132	640.350
1464777203	642.280
1464777274	641.370
1464777345	640.090
1464777416	640.780
1464777487	639.870
1464777558	642.580
1464777629	642.000
1464777700	638.620
1464777771	639.560
1464777842	640.800
1464777913	638.510
1464777984	640.510
1464778055	640.800
1464778126	639.640
1464778197	639.780
1464778267	640.910
1464778338	641.940
1464778409	640.060
1464778480	639.940
1464778551	640.700
1464778622	641.240
1464778693	641.920
1464778763	643.340
1464778834	642.490
1464778905	640.330
1464778976	642.520
1464779047	641.010
1464779118	640.090
1464779189	640.930
1464779260	641.790
1464779331	641.030
1464779402	638.640
1464779472	639.940
1464779543	641.100
1464779614	640.710
1464779685	638.990
1464779756	640.760
1464779827	641.240
1464779898	640.740
1464779969	643.020
1464780040	642.670
1464780111	641.710
1464780182	640.140
1464780253	640.060
1464780324	640.540
1464780395	641.990
1464780466	639.220
1464780537	641.830
1464780608	642.380
1464780678	640.510
1464780749	640.240
1464780820	640.910
1464780891	640.710
1464780962	642.830
1464781033	639.950
1464781104	639.550
1464781175	684.360
1464781246	640.060
1464781317	640.890
1464781388	639.640
1464781459	639.380
1464781530	640.730
1464781601	640.260
1464781672	638.850
1464781743	639.540
1464781814	641.570
1464781885	640.020
1464781956	640.200
1464782027	640.770
1464782097	640.250
1464782168	640.170
1464782239	644.590
1464782310	639.340
1464782381	640.670
1464782452	643.500
1464782523	640.210
1464782594	640.430
1464782665	643.180
1464782735	641.280
1464782806	640.340
1464782877	640.070
1464782948	640.750
1464783019	641.350
1464783090	640.280
1464783161	641.070
1464783232	642.390
1464783303	639.550
1464783374	639.000
1464783445	640.530
1464783515	639.390
1464783587	642.090
1464783657	640.530
1464783728	640.730
1464783799	640.390
1464783870	639.640
1464783941	641.110
1464784012	640.890
1464784083	639.980
1464784154	641.170
1464784225	646.070
1464784296	641.400
1464784367	638.960
1464784437	641.220
1464784509	639.770
1464784579	639.720
1464784650	641.140
1464784721	640.600
1464784792	638.290
1464784863	641.040
1464784934	642.380
1464785005	640.350
1464785076	640.330
1464785147	641.800
1464785218	641.180
1464785289	641.630
1464785360	641.730
1464785430	640.020
1464785501	639.990
1464785572	639.440
1464785644	640.040
1464785714	640.570
1464785785	642.330
1464785856	641.520
1464785927	641.520
1464785998	639.920
1464786069	640.180
1464786140	639.540
1464786211	641.360
1464786282	640.460
1464786353	638.970
1464786424	642.200
1464786495	639.770
1464786566	639.640
1464786637	641.500
1464786708	641.040
1464786779	639.630
1464786850	639.670
1464786920	640.250
1464786991	641.360
1464787062	640.010
1464787133	639.070
1464787204	639.310
1464787275	640.390
1464787346	639.690
1464787417	640.060
1464787487	641.020
1464787559	640.960
1464787629	642.720
1464787701	639.440
1464787772	650.160
1464787843	649.580
1464787914	642.390
1464787985	639.730
1464788056	639.550
1464788127	650.000
1464788198	639.390
1464788269	639.810
1464788340	643.110
1464788411	638.620
1464788482	660.340
1464788553	659.000
1464788624	639.770
1464788695	650.570
1464788766	651.030
1464788837	642.810
1464788908	653.890
1464788979	645.630
1464789050	639.700
1464789121	653.170
1464789192	643.050
1464789263	644.920
1464789334	649.920
1464789405	661.170
1464789476	651.840
1464789547	650.270
1464789617	649.710
1464789688	661.860
1464789760	643.910
1464789831	654.220
1464789902	644.170
1464789973	643.190
1464790044	650.160
1464790115	650.530
1464790185	647.480
1464790256	652.370
1464790327	638.410
1464790399	644.340
1464790470	642.560
1464790540	640.130
1464790612	649.290
1464790683	644.320
1464790754	649.870
1464790825	642.740
1464790896	660.130
1464790967	639.850
1464791038	654.300
1464791109	644.540
1464791180	649.420
1464791251	651.010
1464791322	649.810
1464791393	648.860
1464791464	643.980
1464791535	643.380
1464791606	653.460
1464791677	640.360
1464791748	640.440
1464791819	640.220
1464791890	649.390
1464791961	660.140
1464792032	643.990
1464792103	659.850
1464792174	661.200
1464792245	639.210
1464792316	639.850
1464792386	640.100
1464792457	660.070
1464792529	650.340
1464792599	654.210
1464792670	649.640
1464792741	639.250
1464792812	650.840
1464792883	649.290
1464792954	650.370
1464793025	649.160
1464793096	640.390
1464793167	649.930
1464793238	653.850
1464793309	649.690
1464793380	649.180
1464793451	649.100
1464793522	650.560
1464793593	661.300
1464793664	639.300
1464793735	655.600
1464793806	647.130
1464793877	647.540
1464793948	640.900
1464794019	659.690
1464794090	638.810
1464794161	653.800
1464794232	643.200
1464794302	659.950
1464794373	649.410
1464794444	649.400
1464794515	653.980
1464794586	653.790
1464794657	642.040
1464794728	638.980
1464794799	640.390
1464794870	663.950
1464794941	653.340
1464795012	645.890
1464795083	661.250
1464795154	649.960
1464795225	650.410
1464795296	653.770
1464795367	639.180
1464795439	640.060
1464795510	647.230
1464795581	643.540
1464795652	652.260
1464795723	660.130
1464795794	643.070
1464795864	643.330
1464795935	639.140
1464796006	643.310
1464796077	649.920
1464796148	653.210
1464796219	650.890
1464796290	645.140
1464796361	659.930
1464796432	642.790
1464796503	662.380
1464796574	651.070
1464796645	654.630
1464796716	649.370
1464796787	642.490
1464796858	642.410
1464796929	643.420
1464797000	654.500
1464797071	643.370
1464797142	642.470
1464797213	650.650
1464797284	653.400
1464797355	639.560
1464797426	661.190
1464797496	640.600
1464797567	647.310
1464797638	649.610
1464797709	650.020
1464797780	638.690
1464797852	650.770
1464797923	643.120
1464797993	651.720
1464798064	639.370
1464798135	637.990
1464798206	643.170
1464798277	649.320
1464798348	649.730
1464798419	643.830
1464798490	650.920
1464798561	640.410
1464798632	638.900
1464798703	651.310
1464798774	640.050
1464798845	648.500
1464798916	660.070
1464798987	650.120
1464799058	660.330
1464799129	641.060
1464799200	655.240
1464799271	652.480
1464799342	649.290
1464799413	642.330
1464799484	639.440
1464799555	638.900
1464799626	647.190
1464799697	643.550
1464799768	640.930
1464799839	651.570
1464799910	641.870
1464799981	650.830
1464800052	642.720
1464800123	639.050
1464800193	649.720
1464800264	644.190
1464800335	642.610
1464800406	642.590
1464800477	640.070
1464800548	652.370
1464800619	651.000
1464800690	649.730
1464800761	650.240
1464800832	640.030
1464800903	652.430
1464800974	644.170
1464801045	650.440
1464801116	639.680
1464801187	654.230
1464801257	649.960
1464801328	644.610
1464801399	638.900
1464801470	639.000
1464801541	650.230
1464801612	653.360
1464801683	651.330
1464801754	650.070
1464801825	642.850
1464801896	653.160
1464801967	647.390
1464802038	655.430
1464802109	653.350
1464802180	659.950
1464802251	649.160
1464802322	644.010
1464802393	642.780
1464802464	649.840
