timestamp[s]	latency_value[ms]
1464774795	542.490
1464774866	520.940
1464774938	514.070
1464775010	512.640
1464775082	516.850
1464775153	521.260
1464775226	533.920
1464775297	519.600
1464775369	520.890
1464775441	513.050
1464775512	515.310
1464775584	533.280
1464775655	511.590
1464775727	524.760
1464775799	515.050
1464775871	514.360
1464775943	528.160
1464776014	535.930
1464776086	511.460
1464776158	517.550
1464776230	518.050
1464776302	512.750
1464776373	519.340
1464776445	513.050
1464776517	540.870
1464776589	514.140
1464776660	512.440
1464776732	522.040
1464776804	544.050
1464776876	518.060
1464776947	513.160
1464777019	513.900
1464777091	519.780
1464777163	511.600
1464777234	512.980
1464777306	518.650
1464777378	512.200
1464777450	521.360
1464777521	512.000
1464777593	536.090
1464777665	540.810
1464777737	543.370
1464777808	562.750
1464777880	535.490
1464777952	528.160
1464778023	513.640
1464778096	524.110
1464778168	525.080
1464778239	543.480
1464778311	533.190
1464778383	521.600
1464778455	526.820
1464778527	518.180
1464778599	532.660
1464778670	512.050
1464778742	512.190
1464778814	514.240
1464778886	518.180
1464778957	532.720
1464779029	540.930
1464779101	510.910
1464779173	520.060
1464779245	511.060
1464779316	512.490
1464779388	511.840
1464779460	510.660
1464779531	519.700
1464779603	512.520
1464779675	511.210
1464779746	513.080
1464779818	540.730
1464779890	516.260
1464779962	541.640
1464780033	511.340
1464780105	510.890
1464780177	512.630
1464780249	526.090
1464780321	518.810
1464780392	524.670
1464780464	544.270
1464780536	520.140
1464780607	525.230
1464780679	541.050
1464780751	517.640
1464780823	510.750
1464780894	516.440
1464780966	534.890
1464781038	510.170
1464781110	531.600
1464781182	536.790
1464781253	534.190
1464781325	518.400
1464781397	524.730
1464781468	534.970
1464781540	512.850
1464781612	524.000
1464781684	534.500
1464781756	511.880
1464781827	524.330
1464781899	521.520
1464781971	518.240
1464782043	534.810
1464782114	532.480
1464782186	525.940
1464782258	541.470
1464782330	541.300
1464782401	521.770
1464782473	542.520
1464782545	511.190
1464782617	512.570
1464782689	523.950
1464782761	516.490
1464782833	512.720
1464782905	524.530
1464782977	540.550
1464783049	511.860
1464783120	518.720
1464783192	513.200
1464783264	522.300
1464783336	518.490
1464783408	520.180
1464783479	513.930
1464783551	513.820
1464783623	542.200
1464783695	518.100
1464783767	512.640
1464783839	519.260
1464783911	516.300
1464783983	512.890
1464784055	521.380
1464784127	544.270
1464784199	513.460
1464784270	511.370
1464784342	522.250
1464784414	512.650
1464784486	520.360
1464784558	534.530
1464784629	519.470
1464784701	526.760
1464784773	519.870
1464784844	518.310
1464784916	517.980
1464784988	510.980
1464785060	521.110
1464785131	517.650
1464785203	513.870
1464785275	511.380
1464785346	521.000
1464785418	535.110
