timestamp[s]	latency_value[ms]
1464774791	260.220
1464774860	261.360
1464774930	262.170
1464774999	260.600
1464775069	262.890
1464775138	262.660
1464775207	277.160
1464775277	260.520
1464775346	263.530
1464775415	260.760
1464775485	259.970
1464775555	260.940
1464775624	261.800
1464775693	262.230
1464775763	262.140
1464775832	261.400
1464775901	261.780
1464775971	262.400
1464776040	261.020
1464776109	262.820
1464776179	261.370
1464776248	261.480
1464776317	260.220
1464776387	260.510
1464776456	261.920
1464776525	263.710
1464776595	260.940
1464776664	261.660
1464776734	261.820
1464776803	263.240
1464776872	262.540
1464776942	261.140
1464777011	262.880
1464777080	262.910
1464777150	262.040
1464777220	261.820
1464777289	260.510
1464777358	261.820
1464777428	260.270
1464777497	261.060
1464777566	262.310
1464777636	262.940
1464777705	261.650
1464777774	260.710
1464777844	262.390
1464777914	261.880
1464777983	260.700
1464778052	262.460
1464778122	262.110
1464778191	261.690
1464778260	264.050
1464778330	260.590
1464778399	261.970
1464778469	265.710
1464778538	263.000
1464778607	261.530
1464778677	262.020
1464778746	262.190
1464778816	262.900
1464778885	260.830
1464778954	262.130
1464779024	261.670
1464779093	262.060
1464779162	263.720
1464779232	262.570
1464779301	260.790
1464779370	260.760
1464779440	262.360
1464779509	261.310
1464779578	261.670
1464779648	262.220
1464779717	263.830
1464779786	261.100
1464779856	263.570
1464779925	261.180
1464779994	262.170
1464780064	263.920
1464780133	262.050
1464780203	260.810
1464780273	261.360
1464780342	259.880
1464780411	262.810
1464780481	261.150
1464780550	264.240
1464780620	261.940
1464780689	261.760
1464780759	260.960
1464780828	262.450
1464780898	261.360
1464780967	260.620
1464781036	260.510
1464781106	261.590
1464781175	262.000
1464781245	261.010
1464781314	261.790
1464781384	263.930
1464781453	262.290
1464781523	263.410
1464781592	262.410
1464781661	261.250
1464781731	261.100
1464781800	260.980
1464781869	261.500
1464781939	260.870
1464782008	261.550
1464782077	261.350
1464782147	262.560
1464782216	261.040
1464782286	263.960
1464782355	265.140
1464782425	261.540
1464782494	262.170
1464782563	260.680
1464782633	261.920
1464782703	261.260
1464782772	261.790
1464782841	261.160
1464782911	260.720
1464782980	262.600
1464783049	261.330
1464783119	261.370
1464783189	261.970
1464783258	262.150
1464783327	260.740
1464783397	262.570
1464783466	262.990
1464783536	262.200
1464783605	260.770
1464783675	262.140
1464783744	260.700
1464783813	261.970
1464783883	260.490
1464783952	263.080
1464784022	261.410
1464784091	260.720
1464784161	262.370
1464784230	259.790
1464784299	259.560
1464784369	262.140
1464784438	261.580
1464784507	260.360
1464784578	260.650
1464784647	261.490
1464784716	261.550
1464784786	261.080
1464784855	260.690
1464784924	262.270
1464784994	262.280
1464785063	263.720
1464785133	261.770
1464785202	263.530
1464785272	261.170
1464785341	260.130
1464785410	259.490
1464785480	266.370
1464785549	262.690
1464785618	261.220
1464785688	261.860
1464785757	261.030
1464785826	260.770
1464785896	261.500
1464785965	261.910
1464786035	261.640
1464786104	259.460
1464786173	262.190
1464786243	261.660
1464786312	262.450
1464786382	263.880
1464786451	263.610
1464786520	263.110
1464786590	262.170
1464786659	261.600
1464786729	261.850
1464786798	261.570
1464786868	263.050
1464786937	261.840
1464787007	261.290
1464787076	260.520
1464787146	262.370
1464787215	261.270
1464787285	262.970
1464787354	260.710
1464787423	263.260
1464787493	262.430
1464787562	261.210
1464787631	262.390
1464787701	262.010
1464787770	260.470
1464787840	266.430
1464787909	266.960
1464787978	275.500
1464788048	274.960
1464788117	260.960
1464788186	262.380
1464788256	263.700
1464788326	261.540
1464788395	263.270
1464788464	263.110
1464788534	263.440
1464788603	262.220
1464788672	263.440
1464788742	263.360
1464788811	261.630
1464788881	261.700
1464788950	260.480
1464789019	262.850
1464789089	261.500
1464789158	261.170
1464789228	261.020
1464789297	262.200
1464789367	263.060
1464789436	262.050
1464789505	261.800
1464789575	259.970
1464789644	267.890
1464789714	261.380
1464789783	261.580
1464789853	261.770
1464789922	261.030
1464789991	260.930
1464790061	262.350
1464790130	261.860
1464790200	261.530
1464790269	260.580
1464790339	260.180
1464790408	262.130
1464790477	259.920
1464790547	261.770
1464790616	262.940
1464790686	262.530
1464790755	261.640
1464790824	260.760
1464790894	263.520
1464790963	260.390
1464791032	263.670
1464791102	260.790
1464791171	262.330
1464791241	260.700
1464791310	260.670
1464791380	259.900
1464791449	262.480
1464791519	265.050
1464791588	262.370
1464791657	263.720
1464791727	260.550
1464791796	261.660
1464791866	262.390
1464791935	262.310
1464792005	262.680
1464792074	260.280
1464792144	267.890
1464792213	264.320
1464792283	262.040
1464792352	261.480
1464792422	259.960
1464792491	262.380
1464792561	262.240
1464792630	262.490
1464792699	259.960
1464792769	263.030
1464792838	259.850
1464792908	261.930
1464792977	261.210
1464793046	263.310
1464793116	263.400
1464793185	261.140
1464793255	261.660
1464793324	260.410
1464793393	263.340
1464793463	260.880
1464793532	261.620
1464793601	259.550
1464793671	261.140
1464793740	263.020
1464793809	262.090
1464793879	259.710
1464793949	259.550
1464794018	260.670
1464794087	260.550
1464794157	261.220
1464794226	262.840
1464794295	261.050
1464794365	260.860
1464794434	260.540
1464794504	261.540
1464794573	260.640
1464794642	261.630
1464794711	263.600
1464794781	259.840
1464794850	260.630
1464794920	265.020
1464794989	259.660
1464795058	261.860
1464795128	263.210
1464795197	260.500
1464795266	261.410
1464795336	261.530
1464795405	260.650
1464795474	260.630
1464795544	261.100
1464795613	262.000
1464795683	261.430
1464795752	262.390
1464795822	260.180
1464795891	262.050
1464795960	261.820
1464796030	260.100
1464796099	260.580
1464796168	261.220
1464796238	261.700
1464796307	259.390
1464796376	261.140
1464796446	262.270
1464796515	260.250
1464796585	263.490
1464796654	260.600
1464796724	260.450
1464796793	260.450
1464796863	259.690
1464796932	260.300
1464797002	261.170
1464797072	261.540
1464797141	261.610
1464797210	261.770
1464797280	261.620
1464797349	260.490
1464797418	262.370
1464797488	264.100
1464797557	260.570
1464797627	262.670
1464797696	263.670
1464797766	263.220
1464797835	260.650
1464797904	263.370
1464797974	261.070
1464798043	259.240
1464798112	260.970
1464798182	260.930
1464798251	259.950
1464798321	261.730
1464798390	260.610
1464798460	265.770
1464798529	262.580
1464798598	261.110
1464798668	261.820
1464798737	261.900
1464798806	260.500
1464798876	260.720
1464798945	260.050
1464799014	266.070
1464799084	261.470
1464799153	261.310
1464799223	261.170
1464799292	261.260
1464799361	262.670
1464799431	260.200
1464799500	260.500
1464799570	260.610
1464799639	260.890
1464799709	261.270
1464799778	260.720
1464799847	260.680
1464799917	260.310
1464799986	262.900
1464800055	261.200
1464800125	260.980
1464800194	260.320
1464800264	265.590
1464800334	260.650
1464800404	262.020
1464800473	260.420
1464800542	260.530
1464800611	260.530
1464800681	261.130
1464800750	260.590
1464800820	264.050
1464800889	261.370
1464800959	260.420
1464801029	259.870
1464801098	268.230
1464801167	261.950
1464801237	260.570
1464801306	261.520
1464801376	259.380
1464801445	261.550
1464801514	262.500
1464801584	260.660
1464801653	261.950
1464801723	263.030
1464801792	263.260
1464801861	259.370
1464801931	259.530
1464802001	261.270
1464802070	259.570
1464802140	261.020
1464802209	261.950
1464802279	261.380
1464802348	263.660
1464802417	261.600
1464802487	260.860
1464802556	261.730
1464802625	262.620
1464802695	261.840
1464802764	261.850
1464802834	260.710
1464802904	260.180
1464802973	262.330
1464803042	260.190
1464803112	260.140
1464803181	259.880
1464803251	260.350
1464803320	260.030
1464803389	262.240
1464803459	261.250
1464803528	261.890
1464803598	261.510
1464803667	261.360
1464803737	260.630
1464803806	261.510
1464803875	263.060
1464803945	262.000
1464804014	261.950
1464804084	261.780
1464804153	262.680
1464804222	261.020
1464804292	260.420
1464804361	260.390
1464804431	262.340
1464804500	262.880
1464804569	261.640
1464804639	261.220
1464804708	261.050
1464804778	261.620
1464804847	262.280
1464804916	262.250
1464804986	261.840
1464805055	260.800
1464805125	261.340
1464805194	262.110
1464805264	261.710
1464805333	261.670
1464805403	262.740
1464805472	260.990
1464805542	261.650
1464805611	262.800
1464805681	260.890
1464805750	261.260
1464805820	261.720
1464805889	260.980
1464805959	261.470
1464806028	261.180
1464806098	261.740
1464806167	261.350
1464806237	260.360
1464806306	260.350
1464806375	260.450
1464806445	262.630
1464806514	260.690
1464806583	261.350
1464806653	261.250
1464806722	260.820
1464806792	262.250
1464806861	261.720
1464806931	259.010
1464807000	262.690
1464807070	261.440
1464807139	260.800
