timestamp[s]	latency_value[ms]
1464774796	377.870
1464774867	381.430
1464774938	379.590
1464775009	377.500
1464775080	379.000
1464775152	379.330
1464775223	382.330
1464775294	379.760
1464775365	379.550
1464775436	379.320
1464775507	384.630
1464775578	382.740
1464775650	379.590
1464775721	377.110
1464775792	381.880
1464775863	377.660
1464775934	379.890
1464776005	379.610
1464776076	377.460
1464776147	381.190
1464776219	379.030
1464776290	381.200
1464776361	382.300
1464776432	377.830
1464776503	378.010
1464776574	377.680
1464776645	378.720
1464776716	382.750
1464776787	379.380
1464776859	377.950
1464776930	380.080
1464777001	383.240
1464777072	378.410
1464777143	378.620
1464777215	381.000
1464777286	383.460
1464777357	378.830
1464777428	380.170
1464777499	378.410
1464777570	377.720
1464777641	377.480
1464777712	378.930
1464777783	378.900
1464777854	379.390
1464777925	378.710
1464777996	379.580
1464778068	382.310
1464778139	379.620
1464778210	378.740
1464778281	380.400
1464778352	381.410
1464778423	378.810
1464778494	379.670
1464778565	378.600
1464778636	379.330
1464778707	379.250
1464778779	380.170
1464778850	383.100
1464778921	377.970
1464778993	378.900
1464779064	378.770
1464779135	380.810
1464779206	381.180
1464779277	380.330
1464779348	378.610
1464779419	1376.970
1464779491	377.780
1464779562	380.980
1464779633	378.820
1464779704	378.880
1464779775	380.640
1464779847	378.790
1464779918	379.320
1464779989	381.930
1464780060	378.680
1464780131	380.180
1464780202	378.430
1464780274	380.360
1464780345	380.440
1464780416	378.560
1464780487	378.810
1464780558	380.300
1464780629	382.480
1464780701	378.890
1464780772	379.500
1464780843	380.030
1464780914	378.850
1464780985	378.190
1464781056	378.670
1464781127	380.090
1464781198	379.510
1464781269	377.200
1464781341	380.040
1464781412	379.920
1464781483	377.580
1464781554	383.630
1464781626	381.540
1464781697	379.930
1464781768	377.250
1464781839	381.890
1464781910	377.410
1464781981	380.390
1464782052	377.890
1464782124	380.040
1464782195	382.220
1464782266	377.560
1464782337	378.780
1464782408	381.330
1464782479	381.360
1464782550	380.800
1464782621	381.180
1464782692	380.230
1464782764	380.250
1464782835	377.190
1464782906	378.830
1464782977	379.550
1464783048	379.050
1464783119	380.120
1464783190	381.700
1464783261	381.940
1464783332	380.820
1464783403	381.390
1464783474	378.460
1464783545	378.720
1464783617	378.740
1464783688	378.900
1464783759	380.470
1464783830	384.140
1464783901	379.260
1464783973	378.390
1464784044	380.230
1464784115	379.210
1464784186	381.190
1464784257	380.470
1464784329	379.150
1464784400	378.720
1464784472	380.680
1464784543	380.450
1464784614	383.410
1464784685	379.420
1464784756	378.050
1464784827	379.070
1464784898	380.860
1464784970	381.550
1464785041	378.520
1464785112	379.150
1464785183	379.320
1464785254	379.530
1464785325	379.240
1464785396	381.580
1464785468	378.580
1464785539	379.280
1464785610	377.270
1464785681	378.530
1464785752	378.530
1464785823	379.630
1464785894	377.270
1464785966	380.780
1464786037	380.340
1464786108	377.950
1464786179	381.390
1464786250	378.090
1464786322	379.460
1464786393	379.780
1464786464	379.400
1464786535	381.200
1464786606	381.870
1464786677	380.250
1464786748	380.510
1464786819	379.540
1464786890	378.170
1464786961	378.820
1464787032	377.980
1464787104	379.870
1464787175	377.250
1464787246	381.120
1464787317	380.570
1464787388	378.950
1464787459	379.580
1464787530	378.810
1464787601	380.710
1464787672	380.950
1464787743	377.890
1464787815	379.810
1464787886	378.610
1464787957	380.020
1464788028	378.620
1464788100	380.110
1464788171	381.470
1464788242	379.370
1464788313	380.200
1464788384	379.460
1464788455	378.670
1464788526	378.890
1464788598	377.560
1464788669	380.100
1464788740	377.820
1464788811	379.020
1464788882	379.310
1464788954	379.170
1464789025	379.060
1464789096	379.630
1464789167	379.410
1464789238	381.230
1464789309	377.990
1464789380	379.140
1464789451	377.740
1464789522	379.850
1464789593	379.830
1464789664	378.760
1464789736	382.820
1464789807	380.420
1464789878	378.180
1464789949	379.920
1464790021	380.340
1464790092	377.450
1464790163	380.420
1464790234	377.270
1464790305	379.200
1464790376	378.670
1464790447	379.960
1464790518	379.660
1464790589	379.360
1464790660	379.990
1464790731	378.000
1464790803	379.870
1464790874	378.470
1464790945	378.120
1464791016	379.370
1464791087	380.350
1464791158	380.770
1464791229	382.430
1464791300	378.660
1464791372	379.530
1464791443	382.410
1464791514	379.410
1464791586	380.020
1464791657	377.920
1464791728	381.520
1464791799	380.280
1464791870	378.610
1464791941	378.490
1464792012	381.130
1464792083	378.480
1464792154	378.890
1464792225	378.250
1464792296	382.490
1464792367	380.390
1464792439	379.550
1464792510	381.250
1464792582	380.630
1464792653	380.390
1464792724	381.460
1464792795	378.190
1464792866	380.950
1464792937	379.700
1464793008	381.170
1464793079	378.570
1464793151	378.460
1464793222	382.180
1464793293	382.900
1464793364	380.390
1464793435	379.160
1464793506	378.610
1464793577	382.360
1464793649	380.170
1464793720	381.010
1464793792	378.380
1464793863	380.940
1464793934	384.000
1464794005	382.730
1464794076	379.400
1464794148	382.150
1464794219	379.180
1464794290	381.130
1464794361	379.840
1464794432	381.010
1464794503	377.600
1464794574	381.400
1464794645	378.340
1464794717	382.060
1464794788	379.500
1464794859	380.750
1464794930	379.380
1464795001	378.970
1464795072	380.800
1464795143	380.830
1464795214	380.890
1464795285	383.190
1464795356	378.530
1464795428	380.620
1464795499	376.770
1464795570	378.000
1464795641	381.480
1464795712	381.580
1464795783	378.690
1464795854	378.170
1464795926	382.560
1464795997	379.270
1464796068	380.140
1464796139	380.500
1464796210	379.710
1464796281	379.920
1464796352	379.260
1464796423	382.070
1464796494	380.270
1464796566	379.450
1464796637	379.920
1464796708	378.450
1464796779	379.370
1464796850	381.560
1464796921	378.790
1464796992	382.520
1464797063	379.700
1464797134	379.220
1464797205	379.060
1464797276	382.150
1464797347	381.390
1464797419	380.840
1464797490	383.750
1464797561	377.310
1464797632	377.380
1464797703	380.060
1464797774	378.130
1464797845	378.560
1464797916	381.740
1464797987	381.750
1464798058	381.400
1464798130	378.850
1464798201	378.720
1464798272	381.970
1464798343	378.650
1464798414	381.350
1464798485	381.510
1464798557	382.780
1464798628	379.060
1464798699	377.940
1464798771	380.490
1464798842	380.250
1464798913	378.340
1464798984	381.670
1464799055	385.030
1464799127	378.560
1464799198	380.440
1464799269	379.470
1464799341	382.280
1464799412	381.160
1464799483	378.220
1464799554	383.130
1464799625	378.840
1464799697	378.980
1464799768	378.700
1464799839	382.690
1464799910	382.750
1464799982	378.520
1464800053	378.670
1464800124	380.840
1464800196	378.290
1464800267	379.020
1464800338	377.710
1464800409	381.170
1464800480	380.010
1464800551	377.720
1464800623	381.520
1464800694	378.020
1464800766	377.950
1464800837	380.950
1464800908	380.580
1464800979	377.520
1464801050	379.670
1464801121	378.140
1464801192	380.700
1464801263	381.050
1464801335	377.230
1464801406	382.710
1464801477	379.940
1464801548	379.550
1464801619	379.280
1464801690	382.000
1464801762	379.270
1464801833	381.990
1464801904	380.390
1464801975	377.800
1464802047	378.890
1464802118	379.330
