timestamp[s]	latency_value[ms]
1464774792	424.060
1464774862	424.530
1464774932	425.970
1464775002	425.030
1464775072	425.590
1464775142	425.190
1464775212	442.780
1464775282	424.280
1464775352	426.810
1464775422	424.630
1464775492	424.720
1464775562	424.530
1464775632	427.900
1464775703	422.960
1464775773	424.370
1464775843	424.500
1464775913	423.820
1464775983	423.330
1464776053	425.520
1464776124	423.300
1464776194	425.200
1464776264	430.510
1464776334	425.990
1464776404	424.970
1464776474	427.360
1464776544	424.270
1464776615	424.720
1464776685	423.750
1464776755	425.930
1464776825	424.800
1464776895	423.180
1464776965	423.110
1464777035	424.420
1464777106	424.430
1464777176	428.370
1464777246	424.480
1464777316	427.970
1464777386	425.640
1464777456	424.820
1464777526	426.130
1464777596	427.540
1464777667	423.880
1464777737	427.460
1464777807	424.490
1464777877	425.180
1464777946	424.970
1464778017	423.380
1464778087	425.600
1464778157	423.410
1464778227	428.970
1464778297	424.440
1464778367	423.840
1464778437	426.810
1464778507	428.310
1464778577	423.460
1464778647	427.540
1464778717	423.550
1464778787	426.970
1464778857	426.890
1464778927	424.790
1464778997	424.070
1464779067	428.480
1464779138	427.880
1464779208	424.000
1464779278	426.470
1464779348	425.860
1464779418	427.820
1464779489	426.060
1464779559	425.030
1464779629	425.170
1464779699	427.730
1464779769	424.020
1464779839	424.370
1464779909	424.540
1464779979	423.810
1464780050	425.740
1464780120	428.410
1464780190	424.000
1464780260	428.000
1464780330	423.670
1464780400	427.250
1464780470	428.100
1464780541	427.340
1464780611	437.650
1464780681	425.560
1464780751	424.180
1464780821	426.490
1464780891	425.430
1464780961	424.650
1464781031	425.720
1464781102	423.610
1464781171	425.340
1464781241	426.620
1464781311	428.660
1464781381	424.250
1464781452	428.180
1464781522	424.930
1464781592	423.480
1464781662	424.470
1464781732	423.780
1464781802	424.250
1464781872	425.930
1464781942	428.850
1464782012	427.050
1464782082	425.070
1464782153	423.490
1464782223	425.920
1464782293	427.530
1464782363	426.690
1464782433	440.390
1464782504	428.350
1464782574	427.180
1464782644	428.500
1464782714	424.010
1464782784	426.920
1464782855	424.640
1464782925	425.760
1464782995	424.710
1464783065	423.800
1464783135	424.630
1464783205	424.440
1464783275	427.630
1464783345	426.060
1464783415	425.190
1464783485	427.650
1464783556	423.130
1464783626	429.670
1464783696	427.810
1464783766	424.770
1464783836	427.080
1464783906	429.890
1464783976	424.570
1464784047	424.890
1464784117	423.520
1464784187	428.460
1464784257	424.590
1464784328	424.080
1464784398	427.850
1464784468	426.870
1464784538	429.470
1464784608	428.590
1464784678	425.620
1464784749	423.960
1464784819	425.120
1464784889	430.710
