timestamp[s]	latency_value[ms]
1464774784	68.350
1464774853	67.960
1464774922	69.830
1464774990	69.150
1464775059	68.340
1464775128	68.770
1464775196	68.960
1464775265	68.450
1464775334	68.810
1464775402	69.210
1464775471	68.220
1464775540	68.920
1464775608	68.650
1464775677	68.910
1464775745	68.880
1464775814	68.570
1464775883	69.900
1464775951	68.480
1464776020	68.450
1464776089	68.350
1464776157	68.730
1464776226	68.830
1464776295	68.430
1464776363	68.520
1464776432	69.190
1464776501	68.350
1464776569	69.250
1464776638	69.440
1464776707	68.610
1464776776	68.980
1464776844	68.640
1464776913	68.500
1464776982	69.210
1464777050	68.570
1464777119	69.340
1464777188	68.420
1464777256	69.580
1464777325	69.300
1464777394	68.700
1464777462	68.710
1464777531	68.300
1464777599	68.870
1464777668	69.410
1464777737	68.760
1464777806	69.110
1464777875	69.320
1464777943	70.250
1464778012	68.780
1464778081	69.600
1464778149	68.060
1464778218	68.490
1464778287	68.750
1464778355	70.580
1464778424	68.500
1464778493	68.540
1464778561	68.600
1464778630	68.700
1464778699	68.630
1464778767	68.290
1464778836	68.350
1464778905	68.520
1464778973	69.310
1464779042	68.210
1464779110	71.070
1464779180	68.870
1464779249	68.800
1464779318	69.080
1464779386	68.470
1464779455	69.410
1464779524	68.670
1464779592	68.260
1464779661	68.040
1464779730	68.310
1464779798	68.630
1464779867	68.920
1464779936	69.160
1464780004	69.770
1464780073	68.530
1464780142	69.080
1464780210	68.910
1464780279	69.150
1464780348	68.380
1464780417	68.500
1464780485	68.650
1464780554	69.760
1464780623	69.210
1464780691	69.430
1464780760	68.820
1464780829	71.340
1464780897	73.240
1464780966	68.480
1464781035	69.390
1464781104	68.610
1464781172	69.030
1464781241	69.230
1464781310	68.500
1464781379	68.880
1464781447	68.220
1464781516	69.080
1464781585	68.980
1464781653	68.630
1464781722	68.490
1464781791	68.290
1464781860	68.920
1464781928	69.070
1464781997	68.200
1464782066	68.650
1464782134	68.150
1464782203	68.770
1464782272	69.420
1464782340	68.520
1464782409	68.590
1464782478	69.220
1464782547	68.550
1464782615	68.640
1464782684	68.450
1464782753	69.420
1464782822	68.480
1464782890	68.970
1464782959	69.330
1464783028	69.240
1464783096	68.600
1464783165	68.400
1464783234	68.910
1464783302	68.830
1464783371	69.090
1464783440	68.810
1464783509	68.780
1464783578	68.820
1464783646	68.500
1464783715	69.020
1464783784	68.800
1464783852	71.340
1464783921	69.370
1464783990	68.740
