timestamp[s]	latency_value[ms]
1464774789	479.080
1464774861	462.380
1464774932	481.380
1464775004	462.690
1464775075	477.440
1464775147	474.320
1464775219	475.010
1464775290	461.670
1464775362	463.300
1464775433	462.200
1464775505	480.160
1464775577	462.510
1464775648	476.300
1464775720	480.560
1464775791	474.950
1464775863	478.330
1464775934	461.520
1464776006	478.860
1464776077	474.040
1464776149	475.480
1464776221	479.830
1464776292	477.680
1464776364	476.780
1464776435	474.680
1464776507	478.560
1464776578	475.430
1464776650	475.240
1464776721	471.020
1464776793	474.470
1464776864	477.990
1464776936	465.580
1464777008	472.040
1464777079	478.390
1464777151	476.910
1464777223	480.950
1464777294	464.740
1464777366	467.180
1464777437	479.790
1464777509	478.420
1464777580	469.290
1464777652	479.560
1464777724	474.810
1464777795	478.060
1464777867	463.220
1464777938	477.030
1464778010	478.170
1464778082	465.740
1464778153	472.540
1464778225	478.420
1464778296	480.570
1464778368	475.760
1464778439	479.030
1464778511	478.490
1464778582	462.670
1464778654	465.980
1464778725	462.690
1464778797	475.200
1464778868	462.010
1464778940	480.610
1464779011	475.190
1464779083	465.390
1464779154	477.840
1464779226	479.580
1464779298	477.720
1464779369	476.980
1464779441	481.000
1464779512	479.140
1464779584	474.020
1464779655	478.200
1464779727	467.580
1464779798	471.330
1464779870	477.440
1464779941	465.110
1464780013	479.580
1464780084	480.480
1464780156	479.560
1464780227	480.190
1464780299	465.720
1464780371	482.220
1464780443	478.290
1464780514	478.730
1464780586	478.480
1464780657	473.640
1464780729	477.680
1464780800	473.930
1464780872	462.040
1464780943	468.940
1464781015	478.620
1464781086	473.090
1464781158	478.880
1464781229	479.420
1464781301	477.980
1464781373	461.650
1464781444	461.990
1464781516	479.040
1464781587	478.190
1464781659	478.940
1464781731	478.000
1464781802	463.030
1464781874	462.410
1464781946	461.390
1464782017	479.310
1464782089	468.370
1464782160	468.320
1464782232	463.770
1464782304	470.630
1464782375	473.110
1464782447	467.230
1464782518	473.960
1464782590	462.330
1464782661	471.830
1464782733	484.850
1464782805	476.350
1464782876	472.210
1464782948	487.000
1464783019	481.120
1464783091	480.340
1464783162	477.620
1464783234	473.600
1464783306	474.430
1464783378	475.840
1464783449	484.290
1464783521	479.390
1464783592	472.640
1464783664	478.320
1464783736	465.130
1464783807	476.460
1464783879	481.720
1464783950	465.760
1464784022	483.550
1464784093	465.290
1464784165	476.880
1464784237	473.480
1464784308	479.810
1464784380	480.400
1464784452	466.230
1464784523	461.800
1464784595	466.000
1464784666	461.850
1464784738	474.000
1464784809	476.250
1464784881	479.390
1464784953	461.660
1464785025	476.860
1464785096	476.880
1464785168	478.740
1464785240	480.640
1464785311	479.620
1464785383	466.110
1464785455	478.490
1464785526	466.250
1464785598	462.660
1464785669	466.170
1464785741	461.390
1464785812	534.160
1464785884	476.860
1464785955	465.100
1464786027	466.920
1464786099	474.330
1464786170	475.710
1464786242	464.190
1464786314	490.020
1464786385	478.510
1464786457	461.390
1464786528	477.070
1464786600	463.110
1464786672	478.770
1464786743	467.560
1464786815	469.740
1464786886	463.230
1464786958	466.910
1464787029	479.850
1464787101	486.330
1464787173	465.630
1464787244	474.240
1464787316	490.400
1464787387	509.600
1464787459	477.540
1464787530	463.380
1464787602	474.600
1464787674	481.890
1464787745	506.380
1464787817	467.200
1464787889	475.930
1464787961	467.060
1464788032	476.460
1464788104	464.790
1464788175	492.120
1464788247	481.260
1464788319	460.910
1464788391	520.950
1464788463	465.580
1464788534	504.050
1464788606	461.590
1464788678	476.140
1464788750	475.910
1464788821	482.790
1464788893	497.170
1464788965	487.380
1464789037	502.520
1464789108	489.320
1464789180	476.130
1464789252	566.070
1464789324	479.260
1464789395	480.160
1464789467	480.020
1464789539	475.820
1464789611	481.340
1464789682	510.830
1464789754	475.110
1464789826	462.920
1464789898	469.180
1464789970	477.560
1464790042	477.750
1464790113	472.730
1464790185	473.080
1464790257	477.930
1464790329	463.970
1464790400	474.610
1464790472	467.350
1464790543	474.090
1464790615	539.610
1464790687	480.270
1464790759	482.790
1464790831	481.290
1464790903	480.090
1464790974	474.430
1464791046	475.670
1464791118	466.220
1464791190	667.140
1464791262	516.950
1464791334	483.600
1464791405	462.490
1464791477	467.830
1464791549	609.360
1464791621	466.330
1464791693	475.490
1464791765	467.500
1464791836	508.610
1464791908	485.320
1464791980	482.060
1464792051	461.950
1464792123	477.320
1464792195	642.440
1464792267	530.720
1464792338	481.620
1464792410	473.630
1464792482	480.750
1464792553	474.290
1464792625	477.140
1464792697	465.490
1464792768	476.600
1464792840	544.620
1464792912	479.970
1464792984	478.430
1464793055	461.650
1464793127	478.730
1464793199	480.780
1464793271	478.190
1464793343	481.270
1464793414	478.330
1464793486	481.920
1464793558	462.740
1464793629	466.350
1464793701	479.520
1464793773	540.410
1464793845	482.340
1464793916	484.690
1464793988	477.720
1464794060	475.200
1464794131	464.390
1464794203	476.990
1464794275	477.180
1464794346	474.930
1464794418	471.100
1464794490	475.750
1464794562	480.610
1464794633	461.430
1464794705	463.940
1464794777	462.400
1464794849	479.170
1464794920	477.260
1464794992	474.670
1464795064	477.090
1464795136	483.730
1464795207	478.790
1464795279	480.690
1464795351	481.260
1464795422	469.220
1464795494	495.420
1464795566	533.190
1464795638	464.600
1464795709	480.540
1464795781	461.420
1464795853	462.980
1464795924	480.050
1464795996	482.260
1464796068	468.280
1464796139	478.250
1464796211	488.910
1464796283	495.960
1464796355	556.950
1464796427	488.150
1464796499	483.020
1464796571	505.390
1464796643	473.690
1464796715	461.830
1464796787	467.150
1464796858	478.860
1464796930	465.190
1464797002	468.740
1464797073	476.320
1464797145	490.850
1464797217	480.480
1464797289	479.030
1464797361	480.200
1464797432	480.590
1464797504	465.300
1464797576	472.700
1464797648	515.810
1464797719	519.920
1464797791	519.170
1464797863	475.920
1464797935	471.260
1464798007	486.880
1464798079	481.500
1464798150	477.050
1464798222	484.990
1464798294	490.790
1464798366	554.480
1464798438	488.940
1464798509	461.450
1464798581	475.600
1464798653	472.990
1464798724	483.880
1464798796	477.030
1464798868	475.920
1464798940	477.980
1464799011	502.890
1464799083	480.390
1464799155	500.110
1464799227	479.840
1464799299	475.170
1464799370	479.170
1464799442	485.600
1464799514	476.940
1464799585	468.190
1464799657	475.890
1464799729	467.260
1464799800	542.490
1464799873	530.890
1464799944	479.850
1464800016	524.340
1464800088	462.660
1464800160	567.020
1464800231	502.090
1464800303	462.750
1464800375	464.000
1464800447	500.370
1464800518	490.580
1464800590	482.060
1464800662	475.360
1464800733	545.390
1464800805	482.140
1464800877	481.120
1464800949	481.650
1464801020	462.090
1464801092	482.570
1464801164	471.950
1464801235	466.580
1464801307	482.140
1464801379	480.200
1464801451	467.670
1464801522	482.720
1464801594	465.350
1464801666	487.150
1464801738	478.690
1464801810	477.840
1464801882	467.250
1464801954	476.640
1464802025	562.760
1464802097	480.910
1464802169	467.010
1464802240	480.240
1464802312	480.550
1464802384	475.220
1464802456	476.670
1464802527	465.290
1464802599	484.440
1464802671	478.800
1464802742	475.400
1464802814	465.200
1464802886	476.770
1464802957	484.800
1464803029	483.400
1464803101	480.040
1464803173	483.150
1464803245	478.000
1464803316	477.970
1464803388	479.260
1464803460	480.470
1464803531	471.630
1464803603	479.370
1464803675	493.170
1464803747	567.330
1464803819	468.960
1464803890	479.650
1464803962	475.260
1464804034	477.110
1464804106	477.230
1464804177	466.280
1464804249	471.140
1464804321	477.220
1464804392	481.780
1464804464	465.400
1464804536	472.550
1464804607	479.160
1464804680	479.680
1464804751	466.240
1464804823	478.860
1464804895	482.470
1464804967	474.870
1464805039	481.140
1464805110	480.830
1464805182	478.080
1464805254	464.580
1464805326	477.660
1464805397	474.900
1464805469	468.040
1464805541	516.750
1464805613	498.090
1464805684	480.900
1464805756	479.270
1464805828	480.940
1464805899	474.720
1464805971	548.640
1464806043	475.510
1464806115	469.720
1464806186	477.940
1464806258	462.000
1464806330	485.190
1464806401	483.610
1464806473	489.520
1464806545	474.800
1464806617	482.560
1464806689	471.270
1464806760	487.530
1464806832	469.880
1464806904	471.390
1464806975	465.910
1464807047	472.940
1464807119	478.980
1464807191	482.340
1464807262	479.470
1464807334	481.980
1464807406	557.680
1464807478	479.930
1464807549	463.010
1464807621	482.940
1464807693	476.310
1464807764	479.710
1464807836	484.300
1464807908	495.920
1464807980	482.320
1464808052	490.970
1464808123	475.450
1464808195	476.740
1464808267	480.570
1464808339	464.860
1464808410	494.420
1464808482	476.050
1464808554	475.650
1464808625	478.550
1464808697	468.980
1464808769	481.100
1464808841	475.380
1464808912	468.630
1464808984	477.130
1464809056	474.550
1464809127	477.860
1464809199	484.350
1464809271	483.290
1464809342	479.220
1464809414	480.220
1464809486	478.700
1464809558	475.820
1464809629	485.360
1464809701	480.860
1464809773	480.950
1464809845	471.080
1464809916	486.520
1464809988	481.150
1464810060	466.840
1464810132	479.430
1464810203	466.610
1464810275	498.180
1464810347	483.890
1464810418	465.650
1464810490	485.150
1464810562	482.760
1464810634	483.380
1464810705	475.470
1464810777	490.270
1464810849	484.060
1464810920	483.590
1464810992	467.370
1464811064	480.010
1464811136	573.530
1464811207	476.480
1464811279	494.770
1464811351	480.850
1464811423	472.380
1464811494	494.540
1464811566	482.510
1464811638	479.090
1464811710	492.880
1464811782	466.280
1464811853	476.180
1464811925	475.780
1464811997	480.470
1464812069	467.600
1464812140	466.050
1464812212	467.500
1464812284	481.050
1464812355	465.440
1464812427	481.020
1464812499	465.300
1464812570	466.820
1464812643	484.560
1464812714	477.460
1464812786	477.040
1464812858	492.340
1464812930	471.120
1464813002	476.890
1464813074	480.080
1464813146	467.210
1464813218	484.320
1464813290	479.460
1464813362	497.190
1464813434	480.330
1464813505	475.290
1464813577	475.760
1464813649	477.120
1464813721	461.720
1464813793	475.180
1464813865	465.230
1464813937	467.010
1464814009	466.270
1464814081	475.470
1464814153	487.530
1464814225	483.640
1464814297	482.120
1464814369	480.450
1464814441	544.340
1464814513	463.950
1464814585	464.930
1464814657	481.280
1464814729	462.160
1464814800	469.400
1464814873	462.090
1464814944	477.740
1464815016	475.550
1464815088	480.120
1464815160	465.740
1464815231	482.460
1464815303	480.360
1464815375	468.270
1464815447	480.170
1464815518	475.360
