timestamp[s]	latency_value[ms]
1464774790	652.080
1464774863	662.640
1464774935	669.360
1464775007	663.820
1464775080	678.600
1464775152	657.830
1464775225	658.910
1464775298	645.950
1464775370	637.370
1464775442	661.940
1464775515	681.310
1464775588	645.390
1464775663	666.330
1464775735	672.870
1464775808	657.300
1464775880	666.170
1464775953	671.960
1464776025	661.480
1464776098	636.120
1464776170	674.680
1464776243	611.730
1464776315	678.460
1464776387	672.670
1464776460	665.880
1464776532	661.560
1464776604	650.970
1464776677	662.050
1464776749	658.500
1464776822	702.630
1464776894	649.600
1464776967	686.250
1464777039	675.240
1464777111	665.160
1464777184	659.980
1464777256	660.020
1464777330	658.740
1464777402	671.170
1464777474	692.300
1464777547	660.950
1464777619	672.260
1464777692	690.610
1464777764	649.640
1464777836	674.760
1464777909	665.230
1464777982	690.150
1464778054	658.700
1464778126	671.160
1464778199	657.870
1464778271	670.780
1464778344	668.780
1464778416	651.890
1464778489	669.450
1464778561	662.110
1464778633	672.650
1464778706	660.580
1464778778	678.430
1464778854	669.390
1464778926	656.830
1464778998	676.580
1464779071	653.810
1464779143	646.660
1464779216	688.160
1464779288	656.140
1464779360	672.660
1464779433	644.730
1464779505	641.520
1464779577	639.200
1464779650	634.960
1464779722	663.810
1464779794	628.830
1464779867	678.970
1464779939	661.730
1464780012	639.630
1464780084	674.600
1464780156	661.310
1464780229	650.750
1464780301	649.710
1464780374	648.810
1464780446	660.450
1464780519	630.770
1464780591	665.370
1464780663	691.100
1464780736	621.720
1464780808	663.060
1464780880	664.790
1464780953	647.170
1464781025	665.770
1464781098	643.600
1464781170	677.970
1464781242	665.510
1464781315	645.470
1464781387	691.200
1464781460	651.490
1464781532	672.390
1464781604	651.720
1464781677	635.300
1464781749	640.900
1464781822	661.610
1464781894	668.350
1464781967	630.670
1464782039	637.480
1464782112	660.150
1464782184	667.690
1464782257	661.790
1464782329	650.660
1464782402	676.420
1464782474	674.250
1464782547	637.860
1464782622	659.630
1464782694	678.770
1464782767	681.490
1464782840	686.190
1464782912	653.410
1464782984	686.170
1464783057	626.680
1464783129	638.270
1464783202	654.380
1464783274	672.010
1464783346	638.830
1464783419	649.940
1464783492	643.680
1464783564	682.630
1464783636	662.160
1464783709	656.870
1464783781	675.800
1464783854	678.030
1464783926	676.610
1464783999	643.620
1464784071	619.400
1464784144	672.300
1464784216	677.410
1464784288	658.240
1464784361	658.660
1464784433	665.810
1464784506	655.270
1464784579	666.790
1464784651	667.690
1464784723	672.630
1464784796	670.390
1464784869	635.970
1464784941	668.050
1464785014	676.200
1464785086	664.790
1464785158	654.350
1464785231	629.820
1464785303	657.510
1464785376	690.340
1464785448	643.950
1464785520	691.530
1464785593	681.750
1464785665	672.540
1464785738	668.220
1464785810	663.320
1464785883	691.630
1464785956	642.940
1464786028	681.410
1464786101	659.510
1464786173	661.170
1464786246	671.090
1464786318	651.840
1464786391	631.410
1464786463	687.630
1464786536	655.430
1464786608	659.770
1464786681	663.510
1464786754	638.260
1464786826	641.670
1464786899	673.140
1464786971	672.430
1464787044	670.840
1464787116	634.400
1464787190	659.090
1464787263	676.030
1464787335	674.420
1464787407	630.740
1464787480	670.860
1464787552	632.870
1464787624	665.860
1464787697	676.820
1464787769	628.990
1464787842	627.880
1464787914	682.240
1464787987	669.820
1464788059	696.010
1464788131	651.920
1464788204	683.100
1464788276	638.680
1464788349	648.020
1464788421	645.830
1464788494	664.340
1464788566	640.890
1464788639	657.410
1464788711	672.840
1464788784	672.430
1464788858	655.030
1464788930	662.420
1464789003	676.600
1464789076	667.700
1464789148	651.550
1464789221	683.200
1464789293	664.530
1464789366	664.410
1464789439	658.700
1464789511	672.580
1464789584	654.490
1464789656	696.920
1464789729	669.980
1464789801	672.050
1464789875	671.120
1464789948	653.540
1464790020	670.600
1464790093	674.340
1464790165	668.570
1464790238	657.740
1464790311	657.390
1464790383	647.650
1464790456	665.030
1464790528	668.010
1464790601	658.000
1464790673	670.680
1464790746	640.760
1464790819	657.530
1464790891	666.050
1464790964	669.030
1464791036	650.820
1464791109	678.950
1464791182	645.800
1464791254	656.300
1464791327	700.790
1464791400	685.910
1464791473	692.180
1464791545	645.650
1464791618	685.460
1464791690	659.770
1464791763	678.000
1464791835	626.460
1464791908	688.200
1464791980	669.880
1464792053	685.960
1464792125	661.400
1464792198	684.080
1464792270	664.860
1464792343	679.860
1464792415	1698.910
1464792489	3671.600
1464792564	672.550
1464792637	677.270
1464792710	708.740
1464792782	635.980
1464792855	693.950
1464792927	641.180
1464793000	658.110
1464793072	659.610
1464793145	670.710
1464793217	653.640
1464793290	669.600
1464793362	648.490
1464793435	3665.680
1464793510	706.200
1464793583	668.130
1464793656	667.100
1464793729	666.810
1464793801	674.420
1464793874	678.510
1464793947	665.950
1464794019	646.500
1464794092	630.210
1464794165	667.210
1464794237	697.840
1464794310	677.030
1464794383	656.710
1464794455	663.080
1464794528	667.600
1464794601	650.500
1464794673	657.410
1464794746	646.980
1464794818	687.720
1464794891	673.070
1464794963	677.950
1464795036	665.150
1464795108	648.860
1464795181	666.440
1464795253	1715.160
1464795327	672.370
1464795399	671.290
1464795472	668.800
1464795545	665.710
1464795617	696.280
1464795690	673.280
1464795762	669.930
1464795835	655.760
1464795908	679.930
1464795981	664.500
1464796054	662.640
1464796126	636.490
1464796200	657.680
1464796273	649.510
1464796345	636.400
1464796417	658.130
1464796490	648.510
1464796563	672.490
1464796635	628.580
1464796708	696.940
1464796781	678.980
1464796853	670.240
1464796926	689.530
1464796998	640.240
1464797071	663.590
1464797143	671.250
1464797216	635.260
1464797289	655.550
1464797361	678.860
1464797434	680.580
1464797506	685.110
1464797579	668.890
1464797651	681.790
1464797724	672.310
1464797796	665.340
1464797869	660.310
1464797942	680.820
1464798014	652.000
1464798087	658.800
1464798159	649.500
1464798232	665.200
1464798305	670.170
1464798378	663.030
1464798454	677.410
1464798526	676.040
1464798599	668.140
1464798672	665.710
1464798744	678.890
1464798817	658.110
1464798889	672.830
1464798962	656.170
1464799034	654.180
1464799107	679.860
1464799179	672.750
1464799252	660.520
1464799324	663.580
1464799397	645.550
1464799469	662.110
1464799542	650.410
1464799614	675.920
1464799687	671.720
1464799759	656.730
1464799832	626.240
1464799904	649.640
1464799977	643.580
1464800050	678.180
1464800122	664.580
1464800195	697.180
1464800267	669.600
1464800340	675.040
1464800412	684.940
1464800485	669.500
1464800557	627.620
1464800630	637.020
1464800702	639.440
1464800775	648.130
1464800848	672.810
1464800920	681.030
1464800993	669.830
1464801066	644.430
1464801138	629.270
1464801211	671.030
1464801283	652.980
1464801356	633.890
1464801428	611.950
