timestamp[s]	latency_value[ms]
1464774787	191.710
1464774857	191.880
1464774927	192.200
1464774996	191.930
1464775065	191.630
1464775134	191.650
1464775203	190.800
1464775273	190.460
1464775342	192.090
1464775411	191.570
1464775480	191.430
1464775549	198.380
1464775618	190.920
1464775687	192.870
1464775757	190.470
1464775826	192.540
1464775895	190.820
1464775964	191.550
1464776033	191.630
1464776102	191.110
1464776172	191.280
1464776241	191.020
1464776310	192.200
1464776379	191.340
1464776448	191.560
1464776517	191.590
1464776586	191.380
1464776656	190.770
1464776725	190.540
1464776794	191.170
1464776863	190.470
1464776932	191.490
1464777001	192.220
1464777071	191.300
1464777140	191.200
1464777209	191.080
1464777278	190.080
1464777347	190.920
1464777416	190.840
1464777486	190.760
1464777555	190.950
1464777624	189.990
1464777693	191.570
1464777762	190.980
1464777831	191.040
1464777901	190.490
1464777970	190.850
1464778039	190.430
1464778108	191.640
1464778177	190.880
1464778247	191.490
1464778316	190.380
1464778385	191.430
1464778454	191.180
1464778523	192.070
1464778592	192.060
1464778662	190.540
1464778731	190.900
1464778800	192.250
1464778869	191.800
1464778938	191.920
1464779007	191.790
1464779077	191.240
1464779146	192.240
1464779215	191.130
1464779284	191.640
1464779353	190.870
1464779422	194.210
1464779492	191.810
1464779561	190.650
1464779630	190.680
1464779699	190.700
1464779768	191.340
1464779838	191.390
1464779907	192.080
1464779976	191.190
1464780045	191.380
1464780114	192.450
1464780183	191.260
1464780252	192.960
1464780322	193.180
1464780391	190.860
1464780460	191.640
1464780529	191.200
1464780598	192.010
1464780668	190.450
1464780737	191.790
1464780806	192.170
1464780875	190.650
1464780944	190.650
1464781013	191.190
1464781083	191.160
1464781152	192.450
1464781221	191.600
1464781290	191.260
1464781359	192.330
1464781429	191.880
1464781498	191.600
1464781567	192.440
1464781636	190.840
1464781705	192.130
1464781775	191.190
1464781844	193.000
1464781913	191.380
1464781982	191.600
1464782051	193.220
1464782120	191.790
1464782190	191.680
1464782259	193.560
1464782328	192.170
1464782397	190.500
1464782467	192.260
1464782536	191.940
1464782605	191.020
1464782674	191.380
1464782744	191.260
1464782813	191.600
1464782882	191.300
1464782951	192.520
1464783020	190.950
1464783089	191.020
1464783159	193.800
1464783228	192.340
1464783297	191.660
1464783366	190.830
1464783440	190.270
1464783509	191.040
1464783578	191.810
1464783647	193.370
1464783716	192.540
1464783786	191.970
1464783855	192.190
1464783924	190.790
1464783993	192.310
1464784062	190.920
1464784132	192.740
1464784201	190.820
1464784270	191.740
1464784339	190.710
1464784408	192.460
1464784478	191.960
1464784547	192.660
1464784616	190.720
1464784685	192.910
1464784754	192.410
1464784824	191.430
1464784893	191.450
1464784962	190.820
1464785031	190.510
1464785101	193.300
1464785170	191.680
1464785239	192.080
1464785308	190.580
1464785378	192.670
1464785447	191.230
1464785516	190.470
1464785585	190.430
1464785654	191.230
1464785723	192.120
1464785792	192.440
1464785862	193.090
1464785931	192.880
1464786000	190.910
1464786069	190.930
