timestamp[s]	latency_value[ms]
1464774791	291.380
1464774861	292.930
1464774932	292.050
1464775002	291.170
1464775073	292.740
1464775143	291.560
1464775214	292.660
1464775285	292.450
1464775355	292.510
1464775426	292.480
1464775496	292.090
1464775567	293.200
1464775637	315.980
1464775708	292.370
1464775778	291.480
1464775849	291.990
1464775919	291.960
1464775990	292.200
1464776060	292.650
1464776131	291.260
1464776201	292.280
1464776272	292.470
1464776342	291.540
1464776413	292.260
1464776483	291.720
1464776554	292.260
1464776624	291.350
1464776695	299.980
1464776765	292.040
1464776836	292.150
1464776906	291.170
1464776977	292.610
1464777047	292.710
1464777118	291.610
1464777188	291.550
1464777259	292.340
1464777329	292.870
1464777400	292.290
1464777470	291.720
1464777541	291.300
1464777612	292.530
1464777682	292.070
1464777753	292.700
1464777823	293.040
1464777894	292.400
1464777964	292.930
1464778035	292.320
1464778105	292.770
1464778176	292.990
1464778246	292.670
1464778317	291.140
1464778387	291.650
1464778458	292.360
1464778528	292.210
1464778599	292.620
1464778669	292.150
1464778740	292.330
1464778810	292.830
1464778881	292.090
1464778951	292.480
1464779022	292.670
1464779092	294.280
1464779163	291.200
1464779233	291.190
1464779304	291.590
1464779374	293.190
1464779445	291.360
1464779515	300.800
1464779586	317.100
1464779657	292.940
1464779727	292.400
1464779798	292.670
1464779868	292.340
1464779939	291.410
1464780009	292.690
1464780080	292.970
1464780150	293.010
1464780221	291.860
1464780291	293.320
1464780362	312.280
1464780432	292.390
1464780503	292.290
1464780573	291.100
1464780644	292.300
1464780714	291.420
1464780785	292.420
1464780855	292.270
1464780926	293.450
1464780996	291.970
1464781067	291.160
1464781137	291.390
1464781208	328.970
1464781278	292.110
1464781349	290.980
1464781419	293.530
1464781490	292.870
1464781560	292.110
1464781631	292.150
1464781701	292.100
1464781772	292.440
1464781843	291.190
1464781913	293.240
1464781984	291.070
1464782054	292.230
1464782125	292.040
1464782195	292.740
1464782266	292.990
1464782336	293.480
1464782407	292.270
1464782477	292.880
1464782548	291.620
1464782618	292.430
1464782689	314.750
1464782759	292.180
1464782830	291.500
1464782900	293.510
1464782971	291.600
1464783041	292.820
1464783112	291.170
1464783182	293.270
1464783253	292.330
1464783323	292.020
1464783394	292.960
1464783464	293.600
1464783535	292.390
1464783605	293.440
1464783676	291.830
1464783747	292.450
1464783817	291.880
1464783888	293.590
1464783958	293.170
1464784029	292.470
1464784099	291.020
1464784170	293.480
1464784240	292.590
1464784311	291.520
1464784381	292.820
1464784452	291.870
1464784522	292.710
1464784593	292.760
1464784663	293.630
1464784734	291.950
1464784804	292.470
1464784875	293.080
1464784945	293.290
1464785016	292.650
1464785086	292.860
1464785157	292.740
1464785227	292.840
1464785298	294.140
1464785368	291.890
1464785439	292.340
1464785510	293.080
1464785580	293.270
1464785651	292.650
1464785721	291.920
1464785792	292.190
1464785862	292.730
1464785933	292.910
1464786003	292.020
1464786074	291.400
1464786144	293.360
1464786215	298.800
1464786285	291.810
1464786356	293.110
1464786426	291.310
1464786497	293.020
1464786567	292.880
1464786638	292.820
1464786708	291.670
1464786779	292.700
1464786849	329.380
1464786920	292.130
1464786991	293.420
1464787061	290.900
1464787132	293.150
1464787202	292.600
1464787273	292.300
1464787343	292.520
1464787414	291.910
1464787484	292.860
1464787555	292.770
1464787625	292.170
1464787696	293.610
1464787766	330.000
1464787837	292.550
1464787907	293.030
1464787978	292.080
1464788049	293.490
1464788119	311.820
1464788190	292.920
1464788260	291.200
1464788331	291.320
1464788401	291.520
1464788472	292.080
1464788542	293.160
1464788613	292.420
1464788684	291.110
1464788755	314.210
1464788826	292.620
1464788896	292.490
1464788967	323.040
1464789037	291.430
1464789108	291.670
1464789178	292.990
1464789249	292.380
1464789319	292.770
1464789390	292.200
1464789460	293.110
1464789531	293.000
1464789601	292.410
1464789672	296.410
1464789743	296.040
1464789813	295.530
1464789884	296.890
1464789954	332.190
1464790025	296.850
1464790095	297.530
1464790166	296.250
1464790236	292.160
1464790307	292.180
1464790377	307.660
1464790448	292.660
1464790519	292.670
1464790589	292.910
1464790660	292.010
1464790730	291.610
1464790801	293.470
1464790871	292.430
1464790942	293.250
1464791012	291.870
1464791083	292.930
1464791153	292.740
1464791224	292.520
1464791294	292.950
1464791365	292.830
1464791435	292.650
1464791506	292.330
1464791576	291.790
1464791647	292.230
1464791718	292.540
1464791788	293.230
1464791859	303.410
1464791929	292.640
1464792000	290.990
1464792070	292.490
1464792141	292.880
1464792211	291.690
1464792282	292.460
1464792353	291.550
1464792423	291.190
1464792494	292.380
1464792564	292.270
1464792635	325.000
1464792705	291.060
1464792776	297.360
1464792846	292.800
1464792917	290.860
1464792987	292.620
1464793058	293.250
1464793128	292.650
1464793199	292.620
1464793270	329.840
1464793340	293.010
1464793411	291.570
1464793481	291.270
1464793552	292.280
1464793622	293.440
1464793693	293.110
1464793763	292.090
1464793834	292.190
1464793904	292.790
1464793975	291.300
1464794045	292.350
1464794116	292.270
1464794187	292.630
1464794257	291.890
1464794328	292.980
1464794398	293.770
1464794469	293.030
1464794539	293.350
1464794610	292.280
1464794680	291.760
1464794751	291.010
1464794821	296.500
1464794892	296.890
1464794963	295.580
1464795033	296.640
1464795104	297.330
1464795174	296.870
1464795245	296.210
1464795315	297.400
1464795386	296.470
1464795456	296.940
1464795527	335.790
1464795598	296.020
1464795668	292.850
1464795739	305.970
1464795809	292.040
1464795880	291.830
1464795950	331.850
1464796021	291.170
1464796092	290.830
1464796162	292.190
1464796233	290.640
1464796303	292.140
1464796374	292.250
1464796444	292.410
1464796515	331.850
1464796585	292.360
1464796656	292.070
1464796726	292.360
1464796797	292.890
1464796868	292.160
1464796938	292.910
1464797009	297.720
1464797079	292.720
1464797150	290.720
1464797220	292.090
1464797291	290.970
1464797361	290.830
1464797432	290.790
1464797502	291.760
1464797573	292.380
1464797644	292.140
1464797714	292.560
1464797785	290.810
1464797856	292.680
1464797926	292.320
1464797997	292.950
1464798067	291.610
1464798138	292.450
1464798208	292.030
1464798279	290.950
1464798349	292.130
1464798420	292.590
1464798490	293.210
1464798561	292.470
1464798631	291.410
1464798702	291.840
1464798772	292.320
1464798843	291.160
1464798914	292.170
1464798984	292.120
1464799055	290.470
1464799125	291.100
1464799196	294.490
1464799266	292.500
1464799337	291.030
1464799407	291.370
1464799478	292.210
1464799548	292.380
1464799619	290.870
1464799689	291.310
1464799760	292.480
1464799830	291.360
1464799901	291.690
1464799971	292.450
1464800042	290.600
1464800113	293.240
1464800183	291.920
1464800254	292.310
1464800324	290.600
1464800395	292.880
1464800465	291.680
1464800536	292.050
1464800606	292.160
1464800677	291.700
1464800747	292.100
1464800818	291.660
1464800889	290.890
1464800959	291.230
1464801030	292.520
1464801100	290.690
1464801171	292.230
1464801241	293.150
1464801312	291.930
1464801382	292.520
1464801453	291.720
1464801523	292.270
1464801594	292.490
1464801664	291.870
1464801735	292.370
1464801806	292.870
1464801876	290.710
1464801947	290.540
1464802017	292.960
1464802088	293.080
1464802158	298.240
1464802229	290.950
1464802299	330.330
1464802370	301.900
1464802441	360.610
1464802511	292.610
1464802582	327.120
1464802652	375.050
1464802723	365.680
1464802794	338.550
1464802865	366.470
1464802936	359.990
1464803007	388.820
1464803078	388.070
1464803149	366.560
1464803219	382.830
1464803290	386.100
1464803361	367.710
1464803432	428.010
1464803503	312.360
1464803574	388.490
1464803645	399.650
1464803716	361.670
1464803787	368.250
1464803858	362.030
1464803929	370.520
1464803999	373.070
1464804070	390.270
1464804142	386.720
1464804213	385.420
1464804284	393.360
1464804355	375.610
1464804425	384.740
1464804496	369.590
1464804567	389.110
1464804638	371.050
1464804709	391.990
1464804780	372.800
1464804851	393.660
