timestamp[s]	latency_value[ms]
1464774787	303.260
1464774857	306.080
1464774926	303.650
1464774995	306.230
1464775065	348.060
1464775134	306.190
1464775204	303.390
1464775273	317.140
1464775343	316.560
1464775412	303.360
1464775481	303.630
1464775551	316.810
1464775620	306.300
1464775690	316.570
1464775759	317.580
1464775829	316.790
1464775898	306.520
1464775967	316.980
1464776037	316.980
1464776106	317.060
1464776176	309.110
1464776245	316.670
1464776315	317.080
1464776384	316.800
1464776454	305.860
1464776523	306.360
1464776592	306.410
1464776662	317.110
1464776731	303.250
1464776801	316.840
1464776870	306.320
1464776940	318.610
1464777009	317.290
1464777078	317.100
1464777148	317.040
1464777217	317.480
1464777287	303.390
1464777356	306.030
1464777426	303.620
1464777495	306.010
1464777565	316.780
1464777634	306.290
1464777703	303.300
1464777773	318.140
1464777842	303.300
1464777912	316.850
1464777981	316.910
1464778050	305.950
1464778120	316.830
1464778189	306.050
1464778259	303.330
1464778328	303.120
1464778398	316.750
1464778467	316.810
1464778536	316.640
1464778606	316.950
1464778675	317.070
1464778745	306.370
1464778814	317.130
1464778884	319.520
1464778953	316.940
1464779022	303.000
1464779092	306.070
1464779161	306.190
1464779231	306.140
1464779300	306.330
1464779369	317.070
1464779439	303.310
1464779508	318.070
1464779578	302.890
1464779647	317.120
1464779717	316.930
1464779786	302.980
1464779856	317.030
1464779925	303.200
1464779994	316.650
1464780064	306.210
1464780133	305.810
1464780203	354.000
1464780272	306.180
1464780342	317.250
1464780411	317.050
1464780480	317.400
1464780550	316.690
1464780619	316.990
1464780689	303.060
1464780758	317.070
1464780827	317.300
1464780897	327.210
1464780967	303.170
1464781036	317.010
1464781106	305.830
1464781175	305.990
1464781244	340.280
1464781314	303.130
1464781383	316.750
1464781453	316.840
1464781522	317.120
1464781592	303.040
1464781661	316.640
1464781730	316.710
1464781800	306.360
1464781869	316.840
1464781939	316.910
1464782008	330.500
1464782078	302.850
1464782147	316.800
1464782216	306.430
1464782286	316.770
1464782355	302.890
1464782425	317.130
1464782494	303.250
1464782564	331.110
1464782633	303.550
1464782702	303.480
1464782772	317.170
1464782841	316.670
1464782911	305.900
1464782980	316.830
1464783049	306.050
1464783119	306.320
1464783188	305.380
1464783258	317.160
1464783327	306.610
1464783397	317.110
1464783466	316.860
1464783535	305.890
1464783605	317.210
1464783674	317.270
1464783744	306.250
1464783813	319.190
1464783883	306.230
1464783952	316.730
1464784021	305.810
1464784091	317.390
1464784160	316.870
1464784230	316.680
1464784299	304.960
1464784369	343.590
1464784438	316.860
1464784507	306.350
1464784577	303.290
1464784646	303.370
1464784716	317.120
1464784785	316.910
1464784855	306.020
1464784924	317.210
1464784993	306.190
1464785063	305.970
1464785132	316.830
1464785202	316.960
1464785271	302.990
1464785340	306.140
1464785410	317.130
1464785479	302.900
1464785549	316.680
1464785618	316.990
1464785688	306.540
1464785757	303.170
1464785827	317.140
1464785896	317.050
1464785965	316.690
1464786035	317.220
1464786104	316.880
1464786174	316.750
1464786243	303.010
1464786313	303.500
1464786382	302.710
1464786451	336.650
1464786521	327.180
1464786590	303.160
1464786660	316.890
1464786729	303.250
1464786798	323.610
1464786868	317.400
1464786937	316.810
1464787007	306.030
1464787076	303.030
1464787146	305.950
1464787215	316.810
1464787284	317.340
1464787354	317.270
1464787423	316.830
1464787493	316.730
1464787562	316.950
1464787632	303.250
1464787701	316.770
1464787770	316.810
1464787840	306.170
1464787909	316.770
1464787979	317.080
1464788048	317.200
1464788118	317.210
1464788187	317.110
1464788257	317.270
1464788326	302.930
1464788396	316.890
1464788465	317.140
1464788535	317.080
1464788604	306.030
1464788674	316.860
1464788743	303.120
1464788812	306.260
1464788882	317.200
1464788951	317.400
1464789021	316.980
1464789090	306.170
1464789160	303.460
1464789229	317.000
1464789299	303.490
1464789368	316.760
1464789438	306.440
1464789507	306.060
1464789576	316.850
1464789646	316.720
1464789715	303.260
1464789785	305.850
1464789854	317.110
1464789924	303.230
1464789993	303.180
1464790062	306.100
1464790132	316.680
1464790201	317.090
1464790271	316.970
1464790340	317.020
1464790410	317.120
1464790479	339.190
1464790549	317.170
1464790618	317.140
1464790688	317.330
1464790758	316.750
1464790827	305.990
1464790897	306.270
1464790966	316.660
1464791036	316.710
1464791105	306.010
1464791175	316.960
1464791244	317.100
1464791313	317.080
1464791383	306.160
1464791452	303.050
1464791522	317.130
1464791591	303.120
1464791661	303.080
1464791730	326.280
1464791800	304.490
