timestamp[s]	latency_value[ms]
1464774788	325.160
1464774857	326.260
1464774927	325.720
1464774996	325.100
1464775066	324.580
1464775135	325.780
1464775205	325.700
1464775274	326.770
1464775344	336.940
1464775413	325.840
1464775483	324.380
1464775552	324.750
1464775622	363.490
1464775691	328.000
1464775761	326.340
1464775830	325.180
1464775900	326.190
1464775969	325.030
1464776039	325.260
1464776108	324.480
1464776178	325.450
1464776247	325.930
1464776317	326.450
1464776386	326.030
1464776456	325.380
1464776525	326.050
1464776595	325.640
1464776664	326.900
1464776734	325.390
1464776803	324.990
1464776873	325.490
1464776942	324.710
1464777012	326.750
1464777081	324.300
1464777151	325.060
1464777220	327.380
1464777290	325.760
1464777359	324.940
1464777429	326.350
1464777498	326.100
1464777568	331.850
1464777637	325.420
1464777707	326.250
1464777776	326.610
1464777846	326.280
1464777915	325.610
1464777985	326.740
1464778054	326.030
1464778123	325.470
1464778193	326.850
1464778262	326.130
1464778332	327.230
1464778401	325.500
1464778471	326.240
1464778540	324.680
1464778610	325.400
1464778679	326.170
1464778749	326.320
1464778818	325.430
1464778888	362.390
1464778957	325.290
1464779027	365.100
1464779096	325.010
1464779166	326.400
1464779235	326.760
1464779305	325.150
1464779374	324.410
1464779444	325.060
1464779513	325.130
1464779583	353.980
1464779652	325.770
1464779722	324.600
1464779791	326.600
1464779861	325.710
1464779930	325.830
1464780000	325.620
1464780069	326.980
1464780139	326.600
1464780208	362.280
1464780278	326.380
1464780347	329.600
1464780417	325.660
1464780486	325.690
1464780556	326.870
1464780625	326.270
1464780695	324.630
1464780764	365.140
1464780834	324.780
1464780903	326.220
1464780973	330.140
1464781042	326.160
1464781112	325.690
1464781181	325.930
1464781251	325.440
1464781320	325.740
1464781390	324.080
1464781459	325.870
1464781529	325.410
1464781598	326.030
1464781668	325.540
1464781737	325.180
1464781807	329.470
1464781876	325.830
1464781946	326.030
1464782015	326.400
1464782085	325.550
1464782154	325.210
1464782224	324.860
1464782293	326.610
1464782362	325.270
1464782432	325.500
1464782501	326.220
1464782571	329.860
1464782641	326.100
1464782710	326.200
1464782779	324.930
1464782849	326.310
1464782918	325.680
1464782988	328.120
1464783057	325.840
1464783127	325.970
1464783196	324.610
1464783266	327.040
1464783335	325.490
1464783405	324.580
1464783474	326.230
1464783544	325.970
1464783613	325.330
1464783683	325.850
1464783752	325.230
1464783822	325.220
1464783891	326.300
1464783961	326.060
1464784030	326.090
1464784100	325.830
1464784169	325.600
1464784239	325.510
1464784308	325.840
1464784378	361.290
1464784447	325.330
1464784517	325.180
1464784586	325.680
1464784656	325.670
1464784725	326.620
1464784795	325.870
1464784864	324.970
1464784934	325.630
1464785003	325.210
1464785073	325.230
1464785142	326.080
1464785212	325.460
1464785281	324.780
1464785351	330.910
1464785420	357.030
1464785490	324.940
1464785559	324.470
1464785629	326.290
1464785698	326.340
1464785768	326.380
1464785837	324.570
1464785907	326.480
1464785976	324.940
1464786046	325.160
1464786115	325.130
1464786185	325.440
1464786254	325.870
1464786324	325.080
1464786393	325.600
1464786462	324.990
1464786532	325.300
1464786602	323.920
1464786671	325.840
1464786741	325.820
1464786810	325.320
1464786879	325.320
1464786949	326.510
1464787018	325.750
1464787088	327.770
1464787157	328.400
1464787227	325.560
1464787296	327.980
1464787366	324.890
1464787435	325.760
1464787505	325.460
1464787574	326.390
1464787644	334.390
1464787713	325.820
1464787783	326.530
1464787852	326.180
1464787922	324.410
1464787991	326.200
1464788061	324.330
1464788130	335.560
1464788200	328.570
1464788269	334.830
1464788339	363.070
1464788408	345.650
1464788478	331.980
1464788548	324.620
1464788617	332.640
1464788687	324.960
1464788756	339.080
1464788826	325.320
1464788895	339.780
1464788965	329.080
1464789034	334.590
1464789104	325.880
1464789173	339.120
1464789243	324.680
1464789312	335.180
1464789382	325.190
