timestamp[s]	latency_value[ms]
1464774789	332.220
1464774858	366.550
1464774928	364.770
1464774998	333.020
1464775067	358.980
1464775137	362.540
1464775206	359.080
1464775276	375.310
1464775346	332.010
1464775415	366.770
1464775485	333.320
1464775554	363.500
1464775624	359.720
1464775694	363.710
1464775763	359.290
1464775833	365.290
1464775902	333.360
1464775972	371.050
1464776041	364.750
1464776111	332.650
1464776181	359.600
1464776250	370.160
1464776320	363.780
1464776389	365.830
1464776459	363.380
1464776529	364.060
1464776598	364.480
1464776668	333.560
1464776737	363.190
1464776807	331.750
1464776876	364.420
1464776946	367.150
1464777016	331.590
1464777085	331.610
1464777155	363.610
1464777224	332.180
1464777294	332.140
1464777363	365.300
1464777433	364.260
1464777503	332.160
1464777572	332.120
1464777642	332.350
1464777711	331.820
1464777781	361.390
1464777851	332.400
1464777920	331.880
1464777990	361.370
1464778059	360.720
1464778129	361.590
1464778198	331.870
1464778268	331.830
1464778337	360.810
1464778407	361.430
1464778477	361.160
1464778546	332.410
1464778616	332.720
1464778685	361.420
1464778755	331.820
1464778824	362.360
1464778894	361.640
1464778964	331.620
1464779033	331.670
1464779103	331.970
1464779172	364.030
1464779242	331.730
1464779311	332.180
1464779381	331.870
1464779451	331.380
1464779520	332.200
1464779590	360.970
1464779659	331.830
1464779729	359.770
1464779798	362.040
1464779868	357.880
1464779938	331.810
1464780007	360.910
1464780077	331.680
1464780146	369.530
1464780216	359.290
1464780285	362.980
1464780355	333.370
1464780425	364.510
1464780494	351.790
1464780564	331.920
1464780633	348.010
1464780703	332.220
1464780773	331.830
1464780842	358.710
1464780912	359.460
1464780981	366.660
1464781051	361.760
1464781120	362.870
1464781190	358.220
1464781260	358.360
1464781329	361.620
1464781399	332.950
1464781468	332.820
1464781538	332.180
1464781607	362.200
1464781677	361.710
1464781747	358.460
1464781816	361.400
1464781886	358.530
1464781955	345.520
1464782025	362.220
1464782095	331.910
1464782164	332.070
1464782234	359.740
1464782303	331.350
1464782373	332.080
1464782442	359.350
1464782512	362.890
1464782581	361.970
1464782651	361.540
1464782721	380.100
1464782790	359.020
1464782860	359.620
1464782929	362.550
1464782999	358.040
1464783069	358.480
1464783138	332.200
1464783208	331.860
1464783277	331.740
1464783347	331.780
1464783416	331.800
1464783486	358.450
1464783556	360.630
1464783625	353.690
1464783695	340.640
1464783764	360.970
1464783834	360.330
1464783904	331.550
1464783973	331.730
1464784043	360.890
1464784112	332.040
1464784182	377.220
1464784252	358.550
1464784321	336.230
1464784391	332.330
1464784460	361.090
1464784530	334.960
1464784599	373.730
1464784669	358.620
1464784739	331.750
1464784808	332.190
1464784878	331.750
1464784947	358.300
1464785017	364.490
1464785087	358.470
1464785156	368.690
1464785226	359.830
1464785295	400.010
1464785365	358.370
1464785435	358.220
1464785504	331.980
1464785574	332.260
1464785643	395.120
1464785713	358.890
1464785783	331.830
1464785852	331.170
1464785922	331.790
1464785991	342.540
1464786061	376.380
1464786130	358.340
1464786200	397.660
1464786270	362.080
1464786339	368.540
1464786409	358.410
1464786478	331.250
1464786548	331.990
1464786617	362.420
1464786687	360.950
1464786757	362.390
1464786826	336.100
1464786896	332.810
1464786965	361.800
1464787035	343.000
1464787105	333.750
1464787174	331.870
1464787244	332.070
1464787313	331.780
1464787383	343.030
1464787452	361.140
1464787522	331.950
1464787592	358.780
1464787661	357.960
1464787731	358.290
1464787800	360.800
1464787870	361.380
1464787939	331.220
1464788009	331.430
1464788079	331.340
1464788148	331.750
1464788218	359.120
1464788287	358.050
1464788357	331.480
1464788426	332.830
1464788496	331.650
1464788565	332.210
1464788635	332.200
1464788705	331.090
1464788774	331.370
1464788844	331.950
1464788913	358.930
1464788983	358.450
1464789053	358.110
1464789122	331.870
1464789192	332.290
1464789261	331.760
1464789331	331.050
1464789400	358.040
1464789470	358.210
1464789540	372.760
1464789609	332.580
1464789679	358.400
1464789748	331.450
1464789818	331.750
1464789888	331.710
1464789957	357.880
1464790027	331.910
1464790096	336.690
1464790166	360.140
1464790235	332.260
1464790305	358.650
1464790375	332.150
1464790444	358.370
1464790514	357.790
1464790583	358.150
1464790653	358.630
1464790722	331.920
1464790792	332.320
1464790862	358.670
1464790931	394.900
1464791001	357.800
1464791070	331.870
1464791140	331.170
1464791210	359.540
1464791279	358.320
1464791349	358.940
1464791418	330.630
1464791488	377.430
1464791558	332.330
1464791627	358.480
1464791697	347.790
1464791767	332.220
1464791836	358.030
1464791906	369.060
1464791976	358.010
1464792045	331.660
1464792115	358.430
1464792184	358.760
1464792254	331.530
1464792324	357.990
1464792393	331.500
1464792463	358.800
1464792532	331.580
1464792602	358.810
1464792671	331.660
1464792741	359.360
1464792811	342.010
1464792880	358.920
1464792950	358.570
1464793019	347.320
1464793089	357.990
1464793159	370.290
1464793228	331.370
1464793298	331.920
1464793367	333.460
1464793437	331.470
1464793507	331.770
1464793576	331.870
1464793646	337.090
1464793715	332.170
1464793785	331.400
1464793854	358.730
1464793924	332.840
1464793994	397.440
1464794063	331.480
1464794133	331.790
1464794202	358.770
1464794272	359.150
1464794342	332.240
1464794411	331.690
1464794481	358.680
1464794550	332.210
1464794620	359.460
1464794690	358.340
1464794759	331.600
1464794829	359.180
1464794898	358.140
1464794968	358.740
1464795038	358.530
1464795107	332.320
1464795177	358.870
1464795246	343.140
1464795316	333.690
1464795386	359.380
1464795455	358.870
1464795525	358.880
1464795594	358.330
1464795664	358.800
1464795734	332.340
1464795803	358.970
1464795873	358.660
1464795942	333.530
1464796012	358.090
1464796081	331.360
1464796151	332.550
1464796221	332.190
1464796290	331.330
1464796360	331.750
1464796429	359.680
1464796499	331.250
1464796569	331.300
1464796638	359.020
1464796708	358.620
1464796777	334.510
1464796847	358.330
1464796917	359.080
1464796986	331.830
1464797056	373.260
1464797125	332.080
1464797195	359.920
1464797265	358.270
1464797334	358.870
1464797404	343.380
1464797474	331.260
1464797543	331.700
1464797613	358.480
1464797682	358.290
1464797752	359.200
1464797821	330.940
1464797891	358.390
1464797961	358.960
1464798030	359.150
1464798100	342.180
1464798169	331.890
1464798239	332.270
1464798308	399.710
1464798378	358.650
1464798448	349.120
1464798517	358.850
1464798587	359.240
1464798657	359.830
1464798726	372.270
1464798796	331.880
1464798865	331.910
1464798935	358.740
1464799004	360.430
1464799074	370.920
1464799144	400.340
1464799213	331.820
1464799283	359.040
1464799353	375.000
1464799422	360.570
1464799492	331.570
1464799561	360.860
1464799631	358.720
1464799701	331.520
1464799770	332.360
1464799840	358.810
1464799909	359.780
1464799979	332.580
1464800048	358.890
1464800118	358.660
1464800188	331.470
1464800257	331.850
1464800327	332.590
1464800396	333.150
1464800466	400.210
1464800536	373.360
1464800605	331.170
1464800675	331.790
1464800744	364.250
1464800814	331.800
1464800884	331.980
1464800953	330.970
1464801023	332.630
1464801092	359.050
1464801162	331.640
1464801231	358.040
1464801301	335.440
1464801371	331.910
1464801440	358.620
1464801510	333.460
1464801579	332.040
1464801649	332.150
1464801719	358.640
1464801788	380.250
1464801858	358.550
1464801927	358.300
1464801997	331.690
1464802067	358.390
1464802136	358.490
1464802206	332.500
1464802275	358.810
1464802345	373.900
1464802415	350.080
1464802484	358.160
1464802554	358.450
1464802624	394.460
1464802693	358.600
1464802763	358.840
1464802833	391.670
1464802902	358.490
1464802972	427.670
1464803042	409.640
1464803112	379.030
1464803181	359.630
1464803251	359.300
1464803321	417.920
1464803391	424.420
1464803460	362.690
1464803530	358.980
1464803600	372.760
1464803670	370.420
1464803739	358.230
1464803809	359.440
1464803879	359.180
1464803949	374.730
1464804018	426.120
1464804088	368.930
1464804158	408.060
1464804227	359.000
1464804297	412.680
1464804367	429.540
1464804437	358.860
1464804507	438.890
1464804577	359.370
1464804646	358.340
1464804716	446.730
1464804786	358.710
1464804855	450.520
1464804925	433.090
1464804995	361.910
1464805065	433.450
1464805135	409.170
1464805204	428.210
1464805274	363.200
1464805344	413.180
1464805414	429.610
1464805484	359.570
1464805553	450.730
1464805623	416.090
1464805693	359.370
1464805763	428.540
1464805833	358.460
1464805902	359.140
1464805972	411.740
1464806042	414.990
1464806112	359.510
1464806181	358.320
1464806251	358.270
1464806321	413.190
1464806391	359.510
1464806461	361.020
1464806531	411.950
1464806600	362.980
1464806670	481.540
1464806740	432.640
1464806810	416.920
1464806879	471.510
1464806949	359.270
1464807019	426.540
1464807089	359.520
1464807158	359.200
1464807228	412.460
1464807298	432.510
1464807368	414.640
1464807438	414.290
1464807507	413.700
1464807577	359.250
1464807647	359.160
1464807717	413.790
1464807787	437.950
1464807856	358.540
1464807926	412.760
1464807996	359.750
1464808066	357.400
1464808136	429.490
1464808205	359.040
1464808275	409.680
1464808345	408.850
1464808415	359.100
1464808485	434.280
1464808555	432.290
1464808625	431.940
1464808694	417.750
1464808764	360.610
1464808834	359.220
1464808903	358.340
1464808973	339.400
1464809043	358.870
1464809112	359.210
1464809182	395.560
1464809252	359.120
1464809321	334.050
1464809391	333.400
1464809461	331.770
1464809530	332.270
1464809600	359.160
1464809669	358.460
1464809739	331.940
1464809809	358.210
1464809878	358.690
1464809948	358.690
1464810017	405.750
1464810087	369.280
1464810157	357.460
1464810226	331.370
1464810296	375.220
1464810366	358.970
1464810435	358.860
1464810505	359.330
1464810575	332.150
1464810644	359.440
1464810714	332.750
1464810783	376.610
1464810853	359.670
1464810923	331.850
1464810992	358.730
1464811062	359.280
1464811131	343.960
1464811201	362.990
1464811271	331.520
1464811340	378.520
1464811410	331.180
1464811480	373.570
1464811549	331.860
1464811619	331.960
1464811688	377.870
1464811758	358.810
1464811828	358.970
1464811897	359.040
1464811967	359.380
1464812036	358.960
1464812106	360.400
1464812176	357.410
1464812245	332.180
1464812315	332.430
1464812384	383.230
1464812454	358.230
1464812524	332.090
1464812593	405.400
1464812663	359.200
1464812733	370.570
1464812802	359.670
1464812872	359.120
1464812942	331.420
1464813011	331.680
1464813081	332.300
1464813150	359.630
1464813220	331.980
1464813289	334.560
1464813359	358.950
1464813429	359.850
1464813498	358.880
1464813568	331.900
1464813637	331.860
1464813707	359.170
1464813777	331.560
1464813846	331.750
1464813916	331.430
1464813986	331.280
1464814055	358.330
1464814125	358.570
1464814194	331.530
1464814264	359.690
1464814334	331.940
1464814403	359.620
1464814473	331.210
1464814543	331.270
1464814612	359.570
1464814682	331.770
1464814751	359.600
1464814821	359.420
1464814891	331.030
1464814960	368.190
1464815030	358.010
1464815099	359.220
1464815169	346.860
1464815239	331.550
1464815308	342.800
1464815378	332.320
1464815448	331.730
1464815517	364.540
1464815587	350.440
1464815657	370.660
1464815726	358.320
1464815796	358.370
1464815865	331.460
1464815935	333.510
1464816004	333.080
1464816074	358.590
1464816144	358.600
1464816213	365.480
1464816283	360.230
1464816353	331.850
1464816422	332.170
1464816492	332.020
1464816561	374.050
1464816631	358.070
1464816701	346.230
1464816770	331.830
1464816840	332.000
1464816909	331.330
1464816979	332.260
1464817049	358.450
1464817118	331.680
1464817188	358.520
1464817257	357.820
1464817327	331.250
1464817397	358.910
1464817466	360.770
1464817536	347.290
1464817605	403.620
1464817675	358.020
1464817745	331.500
1464817814	331.140
1464817884	331.490
1464817954	332.700
1464818023	358.200
1464818093	331.240
1464818162	349.980
1464818232	359.990
1464818301	358.030
1464818371	332.240
1464818441	332.110
1464818510	333.130
1464818580	360.070
1464818650	332.460
1464818719	332.460
1464818789	332.790
1464818858	331.230
1464818928	358.350
1464818998	359.030
1464819067	330.820
1464819137	358.060
1464819206	332.430
1464819276	332.510
1464819346	331.450
1464819415	332.110
1464819485	331.450
1464819555	359.160
1464819624	405.430
1464819694	374.910
1464819763	359.350
1464819833	331.300
1464819903	331.750
1464819972	331.320
1464820042	358.940
1464820111	332.000
1464820181	352.030
1464820251	358.430
1464820320	331.770
1464820390	348.930
1464820459	332.450
1464820529	331.010
1464820599	331.590
1464820668	380.000
1464820738	359.550
1464820808	331.750
1464820877	331.410
1464820947	377.040
1464821016	332.550
1464821086	345.400
1464821156	374.160
1464821230	331.660
1464821300	358.980
1464821370	358.540
1464821439	331.660
1464821509	359.000
1464821578	405.270
1464821648	331.080
1464821718	345.230
1464821787	331.290
1464821857	358.980
1464821926	332.070
1464821996	337.580
1464822066	332.260
1464822135	331.970
1464822205	330.940
1464822275	332.200
1464822344	332.800
1464822414	331.820
1464822483	332.660
1464822553	358.240
1464822622	332.110
1464822692	375.780
1464822762	358.160
1464822831	331.550
1464822901	334.190
1464822971	332.220
1464823040	358.470
1464823110	374.770
1464823179	359.300
1464823249	373.070
1464823319	358.950
1464823388	359.190
1464823458	363.420
1464823528	359.230
1464823597	332.440
1464823667	332.950
1464823736	359.550
1464823806	332.520
1464823876	359.280
1464823945	332.910
1464824015	359.310
1464824084	332.060
1464824154	333.050
1464824224	359.810
1464824293	333.130
1464824363	359.390
1464824432	331.850
1464824502	331.740
1464824572	358.310
1464824641	332.440
1464824711	332.290
1464824780	332.470
1464824850	332.330
1464824920	373.930
1464824989	331.910
1464825059	333.430
1464825128	331.430
1464825198	333.770
1464825267	358.910
1464825337	332.770
1464825407	332.200
1464825476	401.600
1464825546	333.020
1464825616	359.020
1464825685	332.500
1464825755	403.960
1464825824	378.810
1464825894	358.210
1464825964	332.910
1464826033	348.380
1464826103	332.500
1464826173	359.070
1464826242	336.800
1464826312	358.350
1464826381	358.880
1464826451	401.050
1464826521	331.190
1464826590	359.660
1464826660	371.590
1464826730	358.700
1464826799	331.110
1464826869	336.120
1464826938	332.480
1464827008	332.120
1464827078	331.180
1464827147	370.310
1464827217	359.130
1464827286	357.920
1464827356	369.950
1464827426	358.660
1464827495	332.100
1464827565	331.760
1464827635	332.330
1464827704	359.650
1464827774	359.620
1464827844	357.950
1464827913	359.180
1464827983	332.390
1464828052	358.360
1464828122	358.340
1464828192	359.190
1464828261	337.000
1464828331	332.360
