timestamp[s]	latency_value[ms]
1464774794	135.670
1464774864	132.770
1464774933	135.050
1464775003	132.410
1464775073	132.160
1464775143	172.480
1464775213	132.800
1464775283	132.650
1464775352	132.320
1464775422	159.620
1464775492	132.650
1464775562	134.290
1464775632	133.270
1464775701	132.320
1464775771	132.890
1464775841	132.590
1464775911	132.700
1464775981	132.720
1464776050	133.130
1464776120	133.330
1464776190	132.760
1464776260	132.890
1464776330	132.640
1464776399	132.640
1464776469	132.650
1464776539	132.590
1464776609	132.930
1464776679	132.700
1464776748	132.480
1464776818	132.960
1464776888	132.950
1464776958	132.620
1464777027	132.540
1464777097	132.610
1464777167	132.740
1464777237	133.070
1464777307	132.930
1464777376	132.710
1464777446	132.390
1464777516	132.490
1464777586	132.730
1464777656	134.880
1464777725	132.690
1464777795	133.010
1464777865	132.630
1464777935	132.940
1464778005	133.560
1464778074	132.640
1464778144	131.950
1464778214	132.780
1464778284	132.900
1464778354	132.630
1464778423	132.700
1464778493	133.140
1464778563	132.540
1464778633	132.920
1464778703	132.440
1464778772	132.510
1464778842	132.480
1464778912	132.710
1464778982	132.530
1464779051	133.100
1464779121	141.520
1464779191	132.670
1464779261	135.240
1464779331	166.840
1464779401	133.040
1464779471	132.810
1464779540	132.520
1464779610	132.680
1464779680	133.060
1464779750	132.620
1464779819	133.010
1464779889	132.580
1464779959	132.340
1464780029	132.690
1464780099	132.670
1464780169	132.530
1464780238	132.940
1464780308	169.200
1464780378	132.880
1464780448	132.650
1464780518	132.800
1464780587	132.640
1464780657	132.500
1464780727	132.460
1464780797	133.120
1464780867	132.750
1464780936	169.340
1464781006	132.540
1464781076	133.170
1464781146	132.660
1464781216	132.450
1464781285	132.960
1464781355	132.570
1464781425	170.420
1464781495	132.420
1464781565	132.530
1464781634	170.880
1464781704	169.270
1464781774	132.740
1464781844	132.690
1464781914	132.830
1464781984	132.500
1464782054	132.690
1464782123	132.780
1464782193	132.920
1464782263	132.440
1464782333	132.380
1464782402	132.990
1464782472	132.520
1464782542	132.940
1464782612	132.760
1464782682	132.670
1464782752	132.960
1464782821	132.730
1464782891	132.560
1464782961	132.700
1464783031	166.300
1464783101	132.810
1464783170	132.790
1464783240	167.860
1464783310	132.530
1464783380	134.520
1464783450	133.680
1464783520	132.560
1464783589	132.310
1464783659	132.430
1464783729	132.410
1464783799	132.490
1464783868	132.760
1464783938	133.110
