timestamp[s]	latency_value[ms]
1464774787	320.520
1464774857	320.160
1464774927	321.380
1464774996	319.870
1464775066	321.100
1464775136	320.380
1464775205	320.790
1464775275	324.500
1464775345	320.120
1464775415	320.980
1464775484	319.910
1464775554	321.750
1464775624	321.770
1464775693	319.740
1464775763	319.690
1464775833	320.290
1464775902	320.210
1464775972	319.930
1464776041	320.340
1464776111	319.570
1464776181	319.790
1464776250	320.690
1464776320	319.790
1464776390	319.970
1464776459	319.740
1464776529	319.850
1464776599	320.310
1464776668	319.890
1464776738	319.920
1464776808	319.910
1464776877	319.960
1464776947	320.160
1464777017	320.110
1464777086	320.110
1464777156	319.940
1464777226	320.020
1464777295	320.240
1464777365	319.620
1464777435	319.930
1464777504	320.060
1464777574	320.400
1464777644	319.930
1464777713	320.330
1464777783	319.970
1464777853	320.630
1464777922	320.380
1464777992	320.400
1464778062	320.000
1464778131	324.250
1464778201	323.240
1464778271	319.160
1464778340	320.210
1464778410	319.720
1464778480	319.970
1464778550	320.010
1464778619	320.010
1464778689	319.760
1464778758	321.220
1464778828	320.670
1464778898	320.060
1464778967	319.880
1464779037	320.130
1464779107	320.170
1464779176	320.950
1464779246	320.730
1464779316	320.080
1464779385	319.740
1464779455	320.370
1464779525	319.980
1464779594	319.680
1464779664	320.040
1464779734	320.070
1464779803	319.940
1464779873	319.760
1464779943	320.230
1464780012	320.080
1464780082	322.170
1464780152	320.020
1464780221	319.820
1464780291	319.420
1464780361	319.590
1464780430	319.870
1464780500	319.600
1464780569	320.850
1464780639	319.790
1464780709	320.150
1464780778	320.440
1464780848	319.700
1464780918	320.090
1464780989	320.270
1464781058	320.260
1464781128	320.860
1464781198	319.780
1464781268	320.610
1464781337	320.390
1464781407	319.300
1464781476	319.700
1464781546	320.090
1464781616	319.990
1464781685	320.970
1464781755	320.630
1464781825	319.690
1464781894	320.040
1464781964	319.850
1464782034	319.820
1464782103	320.150
1464782173	319.700
1464782243	320.260
1464782313	320.360
1464782382	319.800
1464782452	320.320
1464782521	320.240
1464782591	320.050
1464782661	321.610
1464782730	320.450
1464782800	320.440
1464782870	320.460
1464782939	320.430
1464783009	320.500
1464783079	320.060
1464783148	319.890
1464783218	320.600
1464783288	319.740
1464783357	325.060
1464783427	320.270
1464783497	319.980
1464783566	320.200
1464783636	319.650
1464783706	320.220
1464783775	319.810
1464783845	320.690
1464783915	320.130
1464783984	320.240
1464784054	319.820
1464784124	320.260
1464784193	320.160
1464784263	319.990
1464784333	320.300
1464784402	320.060
1464784472	320.310
1464784542	320.310
1464784612	319.360
1464784681	321.010
1464784751	319.990
1464784821	322.000
1464784890	320.790
1464784960	319.610
1464785029	320.000
1464785099	320.160
1464785169	319.890
1464785239	320.040
1464785308	321.850
1464785378	319.850
1464785448	320.790
1464785517	320.310
1464785587	319.900
1464785657	319.880
1464785726	319.930
1464785796	319.660
1464785865	320.320
1464785935	320.230
1464786005	320.510
1464786075	319.520
1464786144	320.460
1464786214	321.140
1464786284	320.060
1464786353	320.400
1464786423	320.260
1464786493	319.360
1464786562	320.020
1464786632	320.170
1464786702	319.530
1464786771	320.510
1464786841	319.780
1464786911	320.020
1464786980	320.230
1464787050	319.910
1464787120	319.530
1464787189	319.630
1464787259	319.930
1464787329	320.100
1464787398	319.970
1464787468	320.140
1464787538	320.150
1464787607	320.160
1464787677	320.040
1464787747	320.760
1464787816	320.720
1464787886	319.650
1464787956	319.940
1464788025	320.120
1464788095	320.550
1464788165	320.060
1464788234	319.810
1464788304	320.400
1464788374	319.960
1464788443	320.000
1464788513	320.880
1464788583	320.360
1464788653	320.150
1464788723	320.400
1464788792	320.870
1464788862	319.790
1464788932	320.610
1464789002	320.130
1464789071	321.630
1464789141	319.990
1464789211	320.290
1464789281	321.350
1464789350	320.320
1464789420	320.240
1464789492	319.800
1464789562	320.570
1464789631	320.040
1464789701	320.380
1464789771	320.430
1464789840	319.570
1464789910	320.170
1464789980	320.360
1464790050	320.930
1464790119	320.030
1464790189	320.640
1464790260	320.390
1464790330	321.380
1464790400	320.760
1464790469	320.540
1464790539	320.370
1464790609	319.600
1464790679	320.260
1464790748	319.860
1464790818	320.190
1464790888	320.250
1464790958	319.900
1464791027	320.710
1464791097	320.630
1464791167	320.230
1464791237	320.460
1464791306	320.170
1464791376	320.210
1464791446	320.110
1464791516	320.210
1464791585	320.720
1464791655	320.730
1464791725	320.470
1464791795	320.080
1464791864	320.440
1464791934	320.810
1464792006	322.290
1464792075	320.390
1464792145	320.550
1464792215	320.520
1464792285	320.120
1464792354	320.090
1464792424	320.380
1464792494	320.220
1464792564	320.050
1464792633	320.330
1464792703	319.890
1464792773	320.500
1464792843	319.890
1464792912	320.170
1464792982	320.040
1464793052	320.370
1464793121	320.140
1464793191	320.150
1464793261	320.200
1464793331	320.380
1464793400	320.400
1464793470	323.730
1464793540	321.130
1464793610	319.880
1464793679	319.970
1464793749	320.510
1464793819	320.400
1464793889	320.180
1464793958	320.260
1464794028	319.980
1464794098	320.950
1464794168	320.080
1464794237	319.910
1464794307	320.170
1464794377	320.530
1464794447	320.500
1464794516	320.910
1464794586	320.710
1464794656	320.050
1464794726	319.800
1464794795	320.090
1464794865	320.200
1464794935	321.820
1464795005	320.390
1464795074	324.690
1464795144	320.730
1464795214	320.160
1464795283	320.720
1464795353	320.460
1464795423	320.320
1464795493	320.670
1464795562	320.260
1464795632	320.440
1464795702	320.020
1464795772	320.570
1464795841	320.380
1464795911	319.660
1464795981	320.120
1464796050	321.030
