timestamp[s]	latency_value[ms]
1464774790	172.310
1464774859	172.850
1464774928	168.890
1464774997	169.160
1464775067	178.630
1464775136	167.640
1464775205	173.300
1464775274	173.280
1464775343	177.120
1464775412	173.620
1464775481	177.270
1464775550	173.210
1464775619	172.520
1464775688	177.720
1464775758	173.590
1464775827	169.500
1464775896	176.670
1464775965	175.010
1464776034	173.330
1464776103	176.240
1464776172	173.110
1464776241	174.170
1464776310	173.770
1464776379	170.240
1464776448	173.220
1464776517	168.770
1464776587	173.140
1464776656	174.590
1464776725	176.160
1464776794	170.900
1464776863	173.910
1464776932	170.160
1464777001	177.410
1464777070	176.320
1464777139	170.620
1464777208	173.220
1464777278	178.010
1464777347	172.680
1464777416	173.050
1464777485	173.420
1464777554	172.390
1464777623	176.940
1464777692	172.400
1464777761	172.450
1464777830	172.640
1464777899	174.710
1464777968	176.800
1464778037	168.200
1464778107	173.450
1464778176	174.430
1464778245	177.660
1464778314	170.550
1464778383	173.330
1464778452	174.870
1464778521	175.850
1464778590	169.740
1464778659	172.970
1464778728	169.290
1464778797	178.420
1464778866	169.840
1464778936	168.570
1464779005	176.360
1464779074	173.880
1464779143	170.100
1464779212	173.970
1464779281	173.960
1464779350	173.630
1464779419	173.110
1464779488	169.180
1464779557	177.330
1464779626	176.880
1464779695	168.910
1464779765	170.670
1464779834	171.540
1464779903	177.510
1464779972	169.130
1464780041	174.120
1464780110	175.470
1464780179	172.730
1464780248	173.630
1464780317	169.660
1464780386	176.740
1464780455	173.560
1464780524	176.320
1464780594	173.140
1464780663	174.610
1464780732	173.840
1464780801	176.850
1464780870	173.490
1464780939	172.660
1464781008	171.510
1464781077	173.190
1464781146	168.580
1464781215	168.830
1464781284	173.960
1464781353	174.090
1464781422	173.220
1464781491	173.090
1464781560	172.480
1464781630	173.080
1464781699	177.390
1464781768	177.190
1464781837	173.260
1464781906	177.210
1464781975	175.580
1464782044	176.260
1464782113	179.200
1464782182	176.450
1464782251	175.010
1464782321	169.430
1464782390	172.980
1464782459	173.330
1464782528	177.280
1464782597	172.940
1464782666	179.690
1464782735	172.390
1464782804	177.660
1464782873	176.860
1464782942	169.080
1464783011	178.230
1464783080	174.130
1464783150	173.570
1464783219	176.660
1464783288	177.610
1464783357	173.260
1464783426	170.130
1464783495	173.520
1464783564	172.100
1464783633	169.820
1464783702	172.180
1464783771	178.960
1464783840	177.020
1464783910	176.640
1464783979	170.300
1464784048	174.900
1464784117	170.070
1464784186	176.060
1464784255	174.130
1464784324	170.550
1464784393	169.010
1464784462	172.550
1464784531	170.670
1464784600	172.390
1464784669	173.040
1464784738	169.030
1464784807	178.090
1464784877	176.640
1464784946	177.600
1464785015	176.370
1464785084	173.310
1464785153	173.020
1464785222	171.710
1464785291	175.110
1464785360	177.130
1464785429	177.480
1464785499	173.080
1464785568	175.010
1464785637	169.610
1464785706	174.650
1464785775	168.570
1464785844	173.980
1464785913	172.920
1464785982	178.430
1464786051	173.600
1464786120	170.330
1464786190	174.130
1464786259	168.580
1464786328	169.450
1464786397	174.340
1464786466	173.980
1464786535	169.710
1464786604	173.380
1464786673	169.330
1464786742	178.030
1464786811	173.180
1464786881	179.470
1464786950	169.270
1464787019	177.940
1464787088	169.220
1464787157	176.100
1464787226	174.110
1464787295	177.190
1464787364	173.130
1464787433	170.090
1464787502	173.860
1464787572	176.570
1464787641	177.430
1464787710	177.950
1464787779	173.780
1464787849	178.590
1464787918	173.120
1464787987	170.430
1464788056	173.890
1464788125	169.470
1464788194	174.090
1464788263	173.380
1464788332	171.610
1464788401	171.240
1464788471	169.920
1464788540	170.390
1464788609	173.580
1464788678	170.590
1464788747	170.150
1464788817	172.430
1464788886	171.870
1464788955	173.960
1464789024	173.490
1464789093	174.000
1464789162	169.570
1464789231	174.140
1464789301	174.370
1464789370	174.270
1464789439	169.440
1464789508	171.080
1464789577	173.680
1464789647	169.570
1464789716	173.100
1464789785	171.740
1464789854	175.410
1464789923	173.000
1464789992	175.890
1464790061	174.890
1464790131	174.600
1464790200	177.490
1464790269	174.260
1464790338	174.710
1464790407	172.020
1464790476	168.870
1464790546	178.320
1464790615	178.370
1464790684	178.210
1464790753	174.400
1464790822	177.260
1464790892	178.850
1464790961	173.930
1464791030	169.490
1464791099	177.450
1464791168	169.270
