timestamp[s]	latency_value[ms]
1464774793	440.460
1464774866	439.950
1464774938	441.030
1464775010	440.960
1464775082	440.050
1464775155	442.930
1464775226	440.890
1464775299	441.350
1464775372	440.360
1464775443	440.780
1464775515	440.790
1464775586	439.100
1464775658	440.540
1464775730	439.600
1464775801	444.080
1464775873	440.440
1464775945	440.770
1464776016	441.300
1464776087	440.290
1464776158	441.020
1464776230	440.950
1464776302	441.730
1464776373	439.700
1464776446	442.900
1464776518	440.830
1464776589	441.560
1464776660	440.280
1464776732	440.860
1464776805	440.730
1464776878	440.560
1464776951	458.710
1464777022	442.910
1464777094	441.820
1464777168	444.290
1464777239	440.410
1464777311	442.800
1464777383	441.300
1464777455	440.590
1464777526	440.340
1464777598	440.370
1464777670	441.570
1464777741	441.520
1464777812	441.690
1464777885	441.000
1464777958	441.300
1464778029	441.490
1464778102	440.140
1464778174	440.610
1464778245	440.870
1464778317	441.430
1464778390	441.660
1464778462	442.560
1464778534	440.300
1464778605	442.910
1464778677	440.490
1464778749	441.340
1464778821	441.780
1464778893	441.420
1464778965	441.880
1464779037	444.800
1464779110	441.110
1464779181	441.350
1464779253	440.850
1464779327	441.860
1464779398	442.370
1464779470	441.770
1464779543	441.130
1464779614	441.670
1464779686	442.120
1464779758	441.270
1464779830	441.740
1464779902	440.490
1464779974	441.010
1464780045	444.210
1464780117	440.560
1464780189	441.070
1464780261	442.540
1464780333	441.130
1464780406	441.070
1464780477	440.840
1464780549	441.710
1464780622	440.890
1464780693	440.830
1464780766	440.940
1464780838	440.960
1464780910	440.560
1464780982	441.510
1464781055	440.840
1464781126	441.550
1464781198	440.880
1464781271	441.110
1464781342	440.810
1464781415	440.770
1464781487	440.920
1464781559	441.220
1464781630	441.630
1464781702	442.130
1464781774	443.780
1464781847	440.790
1464781918	440.870
1464781990	441.700
1464782062	441.900
1464782133	439.970
1464782205	443.370
1464782276	442.000
1464782348	440.360
1464782421	440.650
1464782492	440.980
1464782564	441.750
1464782636	444.010
1464782708	442.340
1464782779	440.470
1464782851	441.990
1464782924	441.830
1464782995	441.560
1464783067	441.490
1464783139	440.900
