timestamp[s]	latency_value[ms]
1464774790	623.690
1464774861	621.440
1464774934	623.780
1464775005	621.500
1464775076	623.120
1464775148	621.530
1464775219	620.290
1464775291	621.690
1464775362	625.270
1464775433	621.700
1464775504	621.450
1464775576	621.430
1464775646	624.780
1464775718	621.800
1464775789	622.490
1464775860	622.650
1464775931	620.000
1464776002	623.190
1464776074	621.430
1464776145	624.170
1464776215	624.120
1464776287	622.810
1464776358	621.680
1464776429	622.360
1464776500	622.800
1464776571	620.390
1464776642	623.390
1464776713	621.700
1464776784	620.590
1464776855	620.260
1464776926	622.990
1464776997	621.800
1464777068	624.530
1464777139	621.380
1464777209	620.380
1464777281	619.760
1464777352	620.780
1464777425	623.320
1464777496	620.610
1464777566	619.670
1464777638	620.310
1464777710	621.770
1464777782	620.660
1464777853	622.530
1464777924	623.090
1464777996	621.610
1464778067	623.100
1464778138	624.340
1464778210	621.420
1464778281	623.190
1464778351	621.570
1464778423	623.400
1464778494	622.790
1464778566	621.470
1464778637	622.340
1464778708	621.980
1464778779	620.050
1464778849	621.450
1464778920	624.190
1464778992	622.040
1464779063	621.920
1464779133	623.390
1464779205	623.750
1464779276	622.450
1464779347	623.460
1464779418	624.460
1464779489	622.170
1464779560	620.960
1464779632	620.770
1464779702	624.800
1464779774	623.750
1464779845	623.290
1464779916	623.410
1464779987	623.130
1464780059	624.090
1464780129	621.950
1464780200	620.290
1464780272	622.690
1464780343	621.940
1464780414	620.530
1464780485	623.420
1464780557	621.610
1464780627	621.190
1464780699	623.480
1464780770	620.800
1464780841	623.420
1464780912	620.830
1464780983	619.960
1464781053	620.270
1464781125	624.240
1464781196	621.570
1464781269	622.190
1464781340	622.120
1464781410	621.010
1464781482	622.180
1464781553	623.690
1464781625	619.580
1464781696	622.450
1464781767	624.110
1464781838	620.880
1464781909	624.170
1464781980	620.010
1464782051	619.920
1464782122	622.550
1464782195	621.810
1464782266	620.820
1464782337	620.060
1464782407	621.120
1464782479	621.390
1464782550	620.560
1464782621	622.440
1464782692	623.700
1464782764	622.380
1464782834	621.900
1464782905	620.830
1464782977	622.900
1464783048	622.040
1464783121	622.130
1464783191	624.890
1464783262	620.130
1464783334	621.410
1464783405	621.040
1464783476	622.350
1464783547	621.040
1464783618	622.780
1464783689	624.440
1464783760	623.900
1464783831	622.670
1464783902	620.790
1464783973	623.300
1464784045	624.610
1464784117	621.440
1464784188	623.070
1464784258	621.920
1464784329	622.360
1464784401	621.310
1464784472	620.700
1464784543	620.980
1464784613	623.990
1464784685	622.610
1464784756	624.410
1464784827	623.710
1464784898	622.290
1464784968	622.460
1464785041	622.060
1464785111	623.710
1464785182	624.610
1464785254	624.380
1464785325	620.690
1464785396	622.490
1464785467	621.430
1464785538	621.900
1464785609	621.890
1464785680	622.340
1464785752	621.720
1464785823	625.200
1464785894	622.010
1464785965	622.020
1464786035	622.960
1464786106	622.080
1464786178	623.540
1464786248	624.600
1464786319	622.780
1464786390	621.370
1464786461	621.710
1464786533	622.390
1464786604	622.430
1464786675	623.710
1464786746	624.080
1464786817	623.090
1464786888	621.930
1464786958	624.940
1464787030	623.530
1464787101	623.230
1464787173	623.450
1464787244	625.700
1464787315	620.960
1464787386	625.140
1464787458	619.010
1464787529	620.170
1464787601	632.690
1464787672	623.610
1464787743	634.050
1464787813	633.140
1464787884	621.480
1464787955	631.380
1464788027	630.580
1464788098	640.670
1464788170	620.610
1464788241	620.860
1464788312	631.020
1464788382	625.470
1464788454	641.140
1464788525	626.730
1464788598	635.580
1464788668	620.580
1464788739	625.880
1464788810	621.270
1464788882	640.960
1464788954	623.020
1464789025	635.680
1464789096	623.250
1464789167	631.150
1464789239	633.110
1464789310	627.800
1464789382	631.730
1464789454	621.810
1464789525	642.310
1464789597	621.790
1464789668	621.510
1464789739	623.500
1464789811	622.080
1464789882	636.860
1464789955	630.140
1464790025	636.240
1464790096	624.700
1464790167	630.030
1464790239	622.260
1464790309	631.500
1464790382	633.290
1464790453	636.560
1464790524	642.680
1464790596	625.860
1464790667	636.340
1464790737	629.480
1464790809	621.580
1464790880	624.460
1464790951	629.250
1464791023	631.580
1464791094	632.060
1464791166	624.600
1464791237	630.640
1464791308	636.480
1464791379	628.430
1464791451	630.110
1464791522	619.820
1464791594	622.140
1464791665	635.910
1464791736	633.510
1464791808	624.470
1464791879	621.140
1464791950	621.360
1464792020	625.710
1464792092	635.600
1464792163	642.840
1464792234	620.220
1464792305	635.660
1464792376	632.440
1464792447	621.870
1464792518	629.510
1464792590	627.010
1464792661	625.980
1464792732	632.220
1464792804	625.270
1464792875	635.730
1464792947	628.190
1464793018	631.540
1464793089	620.330
1464793159	625.250
1464793231	636.490
1464793302	619.420
1464793374	626.260
1464793445	631.870
1464793516	630.030
1464793587	632.480
1464793659	625.140
1464793730	627.090
1464793802	630.050
