timestamp[s]	latency_value[ms]
1464774795	75.830
1464774866	76.040
1464774936	75.930
1464775007	76.670
1464775077	76.110
1464775148	75.630
1464775218	75.880
1464775289	76.590
1464775359	76.010
1464775429	75.810
1464775500	75.950
1464775570	77.030
1464775640	78.760
1464775710	76.140
1464775782	77.050
1464775852	79.260
1464775922	75.910
1464775993	75.820
1464776063	82.720
1464776134	77.140
1464776204	77.900
1464776274	76.260
1464776345	77.050
1464776415	77.690
1464776485	77.600
1464776557	79.160
1464776627	75.830
1464776697	76.190
1464776767	76.810
1464776837	75.940
1464776907	75.810
1464776978	76.670
1464777048	76.240
1464777119	75.940
1464777190	77.440
1464777261	76.210
1464777330	76.700
1464777401	76.190
1464777472	76.070
1464777543	76.770
1464777613	76.570
1464777683	76.770
1464777754	76.330
1464777825	76.550
1464777897	80.180
1464777967	80.700
1464778038	76.590
1464778109	76.260
1464778179	95.030
1464778249	77.580
1464778319	75.550
1464778389	75.740
1464778460	76.150
1464778531	76.110
1464778601	75.850
1464778671	76.680
1464778742	75.850
1464778813	76.060
1464778883	77.310
1464778954	76.380
1464779024	75.990
1464779094	76.170
1464779165	75.890
1464779235	75.820
1464779306	77.020
1464779376	77.630
1464779446	76.490
1464779517	75.870
1464779587	75.950
1464779658	77.920
1464779729	77.720
1464779799	77.740
1464779870	76.900
1464779940	76.840
1464780010	76.780
1464780080	81.550
1464780150	77.470
1464780219	76.040
1464780289	76.700
1464780360	75.700
1464780431	75.790
1464780501	76.310
1464780571	77.390
1464780642	76.740
1464780713	77.960
1464780782	78.710
1464780853	75.990
1464780924	76.530
1464780994	76.850
1464781064	75.900
1464781135	76.430
1464781205	75.810
1464781276	78.430
1464781347	75.960
1464781417	76.350
1464781487	76.630
1464781557	76.530
1464781628	76.660
1464781698	76.010
1464781769	76.530
1464781839	77.590
1464781909	76.670
1464781980	77.080
1464782051	76.070
1464782122	78.790
1464782192	76.710
1464782263	77.610
1464782333	75.890
1464782403	76.010
1464782474	78.110
1464782544	76.280
1464782615	76.740
1464782685	77.860
1464782755	75.790
1464782826	76.790
1464782896	76.060
1464782967	77.730
1464783037	79.220
1464783108	77.700
1464783178	76.450
1464783249	76.940
1464783319	78.600
1464783389	76.630
1464783460	76.390
1464783531	76.260
1464783601	75.710
1464783671	77.240
1464783742	75.830
1464783812	75.900
1464783883	77.980
1464783953	75.850
1464784023	76.950
1464784094	75.630
1464784164	76.810
1464784234	75.710
1464784305	76.880
1464784376	78.630
1464784446	76.380
1464784517	77.470
1464784587	77.560
1464784657	115.420
1464784727	77.400
1464784798	81.020
1464784870	76.400
1464784939	76.120
1464785010	77.490
1464785080	76.050
1464785151	75.640
1464785221	77.160
1464785292	76.670
1464785362	75.810
1464785433	76.410
1464785503	76.670
1464785573	75.760
1464785644	76.090
1464785714	76.010
1464785785	76.640
1464785855	75.400
1464785925	79.060
1464785996	76.550
1464786066	78.780
1464786136	76.010
1464786206	76.240
1464786276	75.790
1464786347	77.420
1464786417	78.770
1464786487	76.590
1464786557	76.550
1464786628	75.710
1464786698	77.700
1464786769	76.590
1464786839	77.040
1464786909	76.450
1464786980	77.160
1464787050	75.850
1464787120	75.830
1464787190	77.050
