timestamp[s]	latency_value[ms]
1464774791	66.780
1464774860	66.010
1464774931	65.910
1464775001	65.010
1464775070	68.800
1464775140	67.400
1464775210	66.960
1464775279	66.560
1464775349	66.500
1464775418	66.550
1464775487	66.820
1464775555	68.660
1464775625	68.970
1464775693	65.730
1464775764	67.070
1464775833	65.980
1464775901	67.000
1464775970	66.470
1464776039	67.840
1464776108	65.380
1464776176	67.040
1464776245	67.390
1464776315	67.740
1464776384	69.690
1464776453	65.520
1464776522	65.730
1464776591	66.610
1464776661	66.640
1464776729	68.430
1464776800	77.150
1464776870	66.570
1464776938	66.770
1464777007	66.420
1464777076	65.100
1464777144	67.690
1464777213	66.160
1464777283	67.810
1464777353	67.930
1464777422	68.310
1464777491	67.510
1464777560	67.580
1464777628	69.810
1464777698	68.690
1464777769	68.330
1464777839	67.210
1464777908	65.640
1464777977	68.090
1464778045	67.740
1464778116	65.770
1464778184	65.670
1464778254	66.110
1464778324	67.800
1464778392	65.530
1464778462	67.060
1464778531	70.220
1464778600	65.730
1464778669	67.310
1464778737	64.910
1464778806	66.330
1464778875	66.370
1464778943	67.610
1464779012	67.190
1464779082	66.640
1464779152	67.630
1464779220	67.730
1464779289	67.710
1464779358	66.730
1464779427	65.520
1464779497	66.950
1464779568	66.520
1464779638	68.640
1464779706	67.070
1464779776	65.940
1464779845	68.910
1464779915	68.020
1464779985	66.890
1464780054	66.150
1464780123	67.560
1464780194	67.290
1464780263	66.910
1464780332	67.110
1464780401	66.660
1464780470	71.970
1464780539	67.900
1464780609	65.250
1464780677	70.730
1464780747	65.830
1464780816	67.470
1464780886	66.120
1464780955	65.620
1464781024	67.230
1464781095	66.180
1464781164	67.650
1464781233	68.420
1464781304	68.640
1464781374	66.750
1464781444	67.000
1464781512	67.290
1464781581	68.070
1464781650	71.390
1464781718	66.580
1464781789	68.090
1464781859	67.520
1464781927	67.610
1464781998	66.470
1464782066	67.070
1464782136	65.760
1464782204	66.630
1464782273	68.780
1464782342	66.980
1464782411	66.730
1464782480	66.030
1464782549	66.650
1464782619	66.900
1464782687	64.890
1464782756	66.900
1464782826	69.420
1464782895	64.730
1464782964	66.370
1464783033	67.820
1464783102	67.910
1464783172	67.580
1464783241	67.080
1464783311	66.470
1464783380	67.950
1464783449	65.980
1464783518	65.660
1464783586	67.570
1464783656	68.360
1464783726	65.810
1464783795	67.060
1464783864	66.600
1464783933	66.080
1464784003	66.070
1464784073	65.650
1464784144	66.790
1464784213	68.110
1464784282	65.800
1464784353	66.210
1464784421	67.200
1464784490	66.360
1464784559	70.280
1464784628	65.300
1464784698	67.290
1464784767	68.130
1464784837	66.390
1464784907	67.010
1464784975	66.660
1464785044	69.110
1464785113	67.420
1464785182	68.420
1464785251	66.520
1464785320	67.650
1464785389	66.950
1464785458	65.820
1464785528	66.510
1464785598	66.650
1464785667	69.050
1464785737	69.000
1464785806	66.780
1464785875	67.470
1464785946	67.130
1464786016	70.140
1464786084	66.550
1464786153	67.730
1464786223	66.600
1464786291	67.750
1464786361	66.890
1464786429	67.090
1464786499	66.620
1464786567	67.270
1464786637	66.770
1464786705	67.150
1464786774	66.460
1464786844	67.260
1464786914	67.380
1464786982	65.510
1464787052	66.670
1464787121	67.030
1464787189	66.640
1464787259	65.030
1464787327	66.780
1464787396	65.790
1464787465	66.160
1464787535	66.730
1464787606	65.930
1464787674	67.830
1464787744	66.380
1464787812	67.610
1464787883	66.600
1464787953	66.920
1464788021	65.970
1464788091	65.270
1464788160	68.700
1464788230	68.360
1464788300	67.840
1464788368	66.680
1464788439	66.360
1464788509	66.540
1464788579	67.330
1464788648	66.400
1464788717	65.200
1464788786	67.150
1464788856	66.590
1464788925	65.660
1464788994	65.940
1464789063	66.390
1464789132	66.620
1464789201	66.990
1464789269	65.170
1464789338	66.740
1464789408	66.340
1464789477	65.190
1464789546	66.820
1464789615	66.670
1464789684	67.530
1464789753	65.160
1464789823	67.400
1464789893	65.910
1464789961	66.490
1464790031	67.390
1464790101	64.850
1464790170	65.060
1464790238	69.520
1464790307	67.310
1464790377	66.900
1464790447	66.830
1464790515	65.750
1464790585	66.590
1464790654	69.250
1464790723	66.990
1464790792	70.040
1464790862	66.800
1464790930	68.010
1464790999	68.170
1464791068	65.730
1464791137	66.550
1464791206	64.810
1464791274	65.930
1464791344	65.530
1464791414	68.230
1464791483	66.800
1464791551	68.180
1464791621	65.320
1464791692	67.930
1464791761	68.400
1464791830	66.830
1464791899	67.330
1464791968	68.320
1464792037	74.680
1464792108	66.430
1464792177	66.850
1464792246	67.970
1464792316	65.240
1464792386	65.520
1464792456	69.760
1464792525	66.060
1464792595	67.330
1464792663	69.540
1464792733	66.920
1464792803	65.420
1464792873	67.050
1464792942	69.320
1464793010	66.460
1464793080	65.580
1464793150	66.820
1464793219	66.880
1464793288	66.960
1464793357	69.020
1464793426	65.550
1464793495	66.200
1464793565	66.010
1464793633	66.320
1464793703	67.790
1464793773	66.540
1464793842	64.790
1464793910	67.920
1464793980	67.660
1464794049	66.660
1464794118	67.210
1464794187	66.920
1464794256	65.690
1464794324	66.870
1464794393	65.660
1464794462	67.510
1464794531	67.140
1464794599	66.980
1464794668	65.870
1464794737	66.280
1464794805	66.340
1464794876	66.700
1464794945	65.870
1464795014	66.210
1464795084	65.230
1464795153	70.750
1464795222	68.230
1464795291	67.030
1464795361	65.780
1464795430	68.410
1464795501	66.090
1464795570	66.590
1464795639	75.470
1464795709	75.310
1464795779	75.090
1464795848	66.570
1464795917	67.620
1464795986	65.260
1464796055	67.040
1464796124	74.500
1464796192	65.760
1464796261	75.550
1464796330	74.920
1464796398	66.700
1464796468	66.570
1464796537	67.480
1464796607	75.450
1464796675	68.610
1464796745	73.920
1464796815	75.010
1464796884	65.140
1464796953	75.750
1464797022	64.680
1464797092	66.760
1464797163	66.930
1464797232	65.630
1464797301	65.770
1464797370	74.840
1464797438	65.940
1464797508	68.420
1464797577	66.810
1464797646	75.390
1464797715	66.760
1464797784	66.580
1464797854	70.820
1464797923	67.130
1464797992	76.400
1464798061	73.910
1464798131	67.910
1464798201	75.440
1464798270	66.800
1464798339	66.210
1464798410	66.770
1464798480	67.630
1464798548	64.960
1464798619	68.040
1464798690	66.750
1464798759	67.060
1464798828	66.770
1464798897	67.070
1464798968	66.020
1464799036	65.720
1464799106	67.270
1464799175	68.310
1464799244	67.820
1464799313	66.120
1464799382	67.330
1464799451	67.260
1464799521	66.820
1464799590	67.420
1464799660	68.380
1464799728	71.740
1464799798	67.250
1464799866	68.910
1464799935	66.510
1464800004	67.590
1464800073	68.050
1464800143	68.850
1464800213	68.190
1464800284	67.770
1464800355	66.560
1464800425	69.300
1464800494	66.730
1464800563	66.800
1464800633	67.640
1464800703	65.470
1464800774	66.630
1464800843	66.170
1464800912	67.370
1464800980	66.620
1464801050	66.900
1464801121	67.790
1464801190	67.960
1464801260	65.520
1464801330	66.210
1464801398	67.020
1464801468	67.130
1464801539	65.860
1464801609	66.670
1464801677	68.010
