timestamp[s]	latency_value[ms]
1464774796	433.380
1464774868	421.720
1464774940	414.290
1464775012	416.550
1464775084	415.880
1464775155	421.810
1464775226	429.990
1464775299	435.060
1464775372	430.010
1464775443	426.580
1464775515	441.120
1464775586	418.310
1464775658	430.390
1464775729	439.530
1464775801	429.710
1464775873	428.980
1464775945	412.710
1464776016	422.150
1464776087	429.030
1464776159	412.620
1464776230	434.030
1464776302	413.970
1464776373	413.900
1464776446	417.280
1464776518	413.370
1464776590	412.790
1464776662	413.730
1464776733	414.270
1464776805	429.000
1464776878	430.090
1464776951	420.530
1464777022	414.740
1464777093	413.790
1464777166	435.020
1464777237	434.940
1464777309	428.730
1464777382	429.590
1464777455	431.160
1464777526	415.780
1464777598	434.790
1464777669	415.650
1464777741	430.250
1464777812	414.590
1464777885	432.370
1464777958	430.170
1464778029	419.390
1464778102	417.990
1464778174	429.670
1464778245	418.450
1464778317	426.720
1464778390	432.170
1464778461	435.720
1464778534	431.730
1464778605	429.920
1464778677	430.300
1464778748	435.610
1464778821	419.180
1464778893	413.960
1464778964	419.630
1464779036	413.380
1464779108	433.280
1464779180	436.270
1464779251	412.690
1464779322	433.950
1464779395	439.750
1464779466	414.380
1464779538	421.270
1464779609	415.870
1464779681	433.170
1464779752	432.970
1464779824	420.480
1464779895	434.830
1464779966	429.290
1464780039	438.290
1464780111	427.890
1464780182	421.100
1464780255	430.410
1464780328	420.730
1464780399	432.100
1464780471	422.970
1464780544	432.160
1464780615	432.140
1464780688	432.280
1464780760	440.490
1464780831	434.950
1464780903	414.710
1464780977	430.780
1464781048	417.680
1464781120	416.450
1464781193	414.640
1464781264	431.590
1464781337	431.490
1464781408	494.550
1464781480	422.500
1464781552	433.560
1464781625	434.920
1464781696	419.460
1464781767	434.780
1464781839	429.860
1464781911	435.010
1464781983	430.240
1464782054	413.970
1464782126	420.740
1464782200	413.760
1464782271	422.250
1464782343	415.740
1464782416	431.740
1464782487	423.360
1464782559	415.120
1464782631	433.960
1464782702	415.620
1464782774	423.120
1464782846	416.730
1464782919	414.300
1464782990	435.230
1464783062	423.390
1464783135	429.750
1464783206	416.740
1464783279	413.960
1464783350	432.490
1464783422	433.780
1464783493	415.510
1464783565	414.870
1464783637	435.900
1464783709	432.970
1464783781	485.300
1464783853	412.480
1464783925	447.160
1464783996	429.110
1464784069	429.480
1464784140	431.180
1464784212	433.060
1464784283	420.320
1464784354	435.820
1464784426	442.120
1464784499	433.820
1464784570	415.710
1464784642	429.310
1464784716	415.220
1464784787	430.260
1464784859	421.280
1464784930	433.890
1464785002	412.580
1464785073	419.670
1464785144	424.960
1464785217	438.330
1464785288	435.730
1464785360	433.430
1464785431	433.070
1464785503	419.940
1464785574	421.080
1464785646	435.360
1464785718	433.070
1464785790	426.420
1464785861	431.150
1464785934	424.130
1464786005	414.690
1464786077	426.490
1464786148	434.630
1464786219	432.690
1464786291	418.520
1464786364	436.220
1464786435	420.580
1464786507	412.840
1464786578	421.460
1464786650	432.600
1464786721	434.480
1464786792	415.610
1464786864	434.660
1464786937	431.540
1464787008	413.670
1464787080	419.400
1464787151	422.070
1464787223	433.580
1464787294	429.130
1464787366	433.020
1464787438	433.460
1464787509	414.350
1464787581	435.880
1464787652	435.280
1464787724	419.810
1464787796	424.280
1464787868	552.510
1464787939	438.010
1464788011	435.860
1464788084	414.290
1464788156	432.270
1464788228	432.890
1464788300	439.610
1464788372	425.080
1464788444	430.040
1464788517	435.640
1464788588	434.240
1464788660	424.480
1464788733	428.530
1464788804	424.390
1464788876	431.780
1464788948	435.370
1464789020	423.690
1464789091	431.020
1464789163	418.260
1464789235	432.550
1464789306	435.170
1464789377	428.460
1464789450	418.350
1464789521	417.420
1464789592	424.830
1464789665	432.650
1464789738	435.500
1464789809	435.190
1464789882	418.250
1464789955	433.490
1464790027	429.090
1464790100	417.590
1464790171	435.290
1464790243	416.750
1464790316	434.000
1464790388	414.840
1464790460	417.980
1464790532	420.710
1464790603	415.100
1464790674	420.220
1464790747	419.800
1464790819	432.180
1464790891	432.440
1464790963	415.020
1464791035	516.890
1464791106	418.020
1464791178	435.470
1464791252	414.990
1464791325	418.900
1464791396	433.420
1464791468	426.390
1464791539	433.390
1464791611	440.660
1464791683	419.680
1464791755	440.460
1464791828	417.840
1464791900	416.370
1464791971	417.110
1464792043	428.750
1464792115	428.170
1464792187	415.360
1464792258	434.550
1464792330	418.270
1464792401	440.020
1464792475	499.780
1464792548	416.340
1464792619	414.890
1464792690	435.320
1464792762	429.480
1464792834	432.680
1464792907	416.570
1464792980	431.060
1464793051	423.120
1464793123	577.360
1464793196	431.430
1464793269	414.510
1464793340	417.590
1464793412	436.100
1464793483	444.940
1464793555	418.150
1464793626	414.850
1464793699	432.880
1464793771	436.590
1464793842	422.950
1464793914	423.530
1464793986	417.520
1464794058	416.410
1464794130	435.230
1464794202	414.890
1464794274	432.140
1464794346	424.500
1464794417	429.590
1464794489	414.060
1464794561	430.630
1464794632	415.390
1464794703	432.180
1464794775	436.300
1464794848	418.550
1464794919	419.010
1464794992	430.460
1464795063	414.690
1464795134	415.600
1464795206	429.510
1464795277	415.850
1464795349	415.320
1464795421	420.990
1464795492	414.800
1464795566	418.780
1464795637	432.350
1464795709	418.140
1464795782	429.890
1464795853	429.520
1464795926	414.420
1464795998	431.600
1464796070	432.490
1464796142	431.300
1464796214	432.570
1464796285	415.180
1464796358	415.500
1464796430	432.430
1464796502	413.000
1464796573	433.170
1464796645	433.610
1464796717	431.080
1464796788	413.860
1464796859	426.770
1464796932	421.230
1464797004	435.410
1464797075	429.080
1464797146	432.740
1464797219	419.690
1464797291	433.220
1464797362	419.830
1464797434	438.880
1464797507	419.620
1464797578	413.940
1464797651	430.320
1464797723	416.550
1464797794	430.600
1464797866	431.820
1464797938	423.080
1464798010	422.670
1464798082	418.160
1464798154	412.390
1464798225	429.200
1464798297	414.710
1464798370	414.890
1464798443	435.150
1464798514	422.500
1464798586	429.670
1464798659	435.060
1464798730	416.810
1464798802	415.430
1464798874	435.430
1464798946	435.850
1464799017	416.110
1464799089	436.690
1464799162	430.140
1464799233	422.260
1464799305	419.450
1464799377	431.180
1464799449	415.750
1464799522	432.600
1464799593	415.870
1464799665	414.220
1464799737	429.850
1464799809	416.370
1464799882	414.130
1464799953	432.040
1464800025	429.630
1464800097	429.380
1464800168	413.950
1464800240	416.150
1464800312	415.110
1464800384	414.550
1464800456	428.430
1464800528	429.810
1464800599	432.440
1464800671	417.490
1464800742	427.980
1464800815	416.500
1464800887	429.910
1464800958	420.460
1464801029	430.020
1464801101	413.800
1464801174	413.160
1464801245	415.300
1464801317	429.590
1464801390	414.430
1464801462	427.610
1464801534	435.160
1464801607	433.690
1464801678	415.360
1464801750	432.710
1464801823	414.410
1464801894	431.610
1464801967	433.120
1464802040	419.900
1464802111	419.790
1464802183	429.690
1464802256	415.380
1464802327	430.190
1464802400	419.600
1464802471	413.590
1464802542	434.380
1464802613	416.010
1464802685	428.390
1464802756	413.160
1464802828	415.930
1464802899	413.400
1464802971	433.110
1464803042	419.580
1464803113	430.360
1464803185	416.910
1464803259	414.370
1464803331	427.670
1464803404	420.080
1464803475	433.330
1464803548	419.480
1464803620	414.540
1464803692	412.720
1464803764	414.340
1464803835	419.880
1464803906	428.260
1464803978	421.590
1464804050	430.230
1464804123	415.430
1464804194	413.100
1464804266	413.930
1464804339	414.260
1464804411	432.890
1464804482	417.420
1464804556	432.250
1464804629	434.770
1464804702	431.610
1464804775	414.110
1464804848	414.280
1464804920	419.610
1464804992	414.660
1464805064	433.200
1464805135	414.060
1464805207	434.770
1464805280	412.690
1464805352	419.470
1464805426	412.460
1464805498	435.620
1464805572	415.010
1464805644	413.450
1464805717	422.160
1464805788	420.220
1464805861	433.680
1464805933	412.500
1464806004	414.360
1464806077	421.760
1464806149	434.790
1464806220	419.980
1464806293	435.130
1464806366	421.310
1464806439	420.440
1464806511	421.440
1464806582	413.730
1464806655	416.300
1464806727	413.540
1464806798	432.620
1464806871	434.290
1464806944	415.740
1464807015	436.240
1464807088	433.690
1464807160	413.950
1464807233	431.240
1464807305	435.240
1464807377	413.760
1464807450	429.960
1464807522	412.660
1464807593	414.580
1464807665	414.250
1464807736	415.710
1464807809	429.480
1464807882	431.240
1464807955	429.330
1464808027	431.290
1464808101	420.010
1464808172	414.240
1464808244	413.700
1464808317	414.460
1464808390	430.470
1464808462	414.040
1464808533	429.190
1464808606	414.530
1464808678	412.200
1464808749	413.510
1464808822	426.600
1464808895	426.920
1464808966	431.140
1464809038	433.000
1464809111	413.610
1464809182	433.480
1464809255	420.330
1464809327	434.920
1464809398	433.940
1464809471	428.480
1464809544	412.180
1464809615	430.460
1464809686	431.010
1464809759	414.100
1464809832	427.510
1464809905	413.950
1464809977	429.590
1464810048	432.770
1464810121	414.260
1464810193	412.410
1464810264	419.290
1464810335	414.270
1464810408	419.650
1464810480	413.460
1464810552	415.820
1464810624	429.770
1464810696	432.860
1464810767	434.630
1464810839	415.630
1464810912	420.980
1464810983	429.700
1464811055	413.390
1464811127	439.750
1464811199	430.910
1464811271	419.520
1464811344	430.060
1464811415	414.910
1464811487	420.940
1464811558	433.060
1464811631	433.410
1464811704	429.680
1464811777	413.840
1464811850	414.410
1464811922	413.400
1464811995	413.680
1464812066	430.660
1464812139	430.370
1464812211	412.360
1464812283	412.360
1464812356	429.890
1464812428	429.640
1464812501	415.420
1464812574	414.430
1464812646	433.890
1464812718	429.300
1464812789	429.910
1464812861	429.630
1464812933	414.650
1464813004	412.830
1464813076	430.700
1464813147	433.770
1464813221	430.360
1464813293	433.030
1464813364	432.480
1464813437	429.140
1464813509	413.180
1464813581	413.510
1464813652	433.480
1464813725	426.540
1464813797	414.340
1464813868	432.790
1464813940	414.150
1464814011	430.090
1464814083	419.280
1464814155	433.510
1464814228	419.910
1464814301	414.200
1464814373	430.010
1464814446	412.610
1464814517	413.290
1464814589	413.900
1464814661	412.440
1464814735	430.650
1464814806	416.980
1464814879	413.080
1464814951	413.040
1464815024	415.240
1464815095	433.410
1464815167	427.610
1464815240	437.120
1464815312	429.770
1464815386	427.030
1464815457	430.530
1464815529	414.420
1464815600	413.540
1464815672	429.340
1464815744	412.750
1464815816	426.450
1464815889	412.650
1464815961	434.140
1464816034	415.880
1464816106	433.660
1464816179	413.720
1464816252	414.270
1464816323	432.720
1464816395	433.370
1464816466	433.100
1464816538	413.870
1464816610	432.010
1464816683	420.960
1464816754	420.600
1464816826	433.250
1464816900	415.370
1464816974	429.490
1464817047	430.230
1464817119	429.420
1464817190	432.570
1464817263	429.970
1464817335	433.650
1464817409	427.530
1464817482	416.250
1464817554	415.120
1464817627	429.450
1464817700	434.370
1464817771	414.560
1464817844	431.800
1464817916	430.070
1464817989	414.490
1464818062	435.330
1464818133	415.450
1464818206	412.720
1464818278	429.660
1464818350	433.430
1464818422	413.540
1464818494	427.060
1464818566	433.220
1464818638	413.480
1464818710	435.510
1464818781	426.670
1464818853	430.020
1464818924	433.740
1464818996	420.660
1464819068	426.340
1464819140	413.600
1464819211	419.900
1464819284	419.640
1464819357	420.210
1464819430	413.030
1464819503	430.060
1464819576	433.530
1464819647	414.050
1464819719	415.500
1464819790	427.600
1464819863	434.260
1464819934	420.060
1464820006	434.490
1464820077	435.400
1464820149	426.920
1464820222	414.430
1464820293	433.590
1464820366	434.950
1464820438	429.760
1464820509	412.920
1464820580	426.920
1464820653	429.490
1464820726	414.460
1464820798	431.450
1464820870	430.190
1464820942	415.170
1464821014	429.800
1464821086	412.450
1464821158	413.200
1464821229	436.190
1464821302	412.560
1464821375	419.810
1464821448	421.060
1464821520	427.460
1464821591	413.840
1464821664	415.260
1464821737	429.540
1464821810	429.430
1464821881	430.370
1464821953	415.020
1464822026	438.570
1464822098	419.410
1464822169	429.760
1464822242	414.750
1464822314	430.780
1464822385	427.800
1464822458	434.020
1464822530	432.470
1464822601	432.530
1464822672	416.170
1464822745	432.970
1464822816	429.740
1464822888	429.590
1464822961	426.830
1464823032	415.410
1464823104	421.530
1464823177	421.250
1464823249	433.530
1464823322	421.550
1464823394	431.490
1464823465	420.420
1464823538	412.360
1464823610	418.910
1464823682	413.350
1464823754	430.780
1464823825	413.580
1464823896	435.250
1464823968	430.960
1464824041	430.600
1464824114	414.020
1464824187	415.270
1464824259	428.520
1464824331	433.880
1464824403	415.900
1464824477	431.220
1464824549	435.460
1464824621	421.720
1464824693	431.910
1464824765	420.180
1464824837	430.940
1464824909	435.510
1464824982	416.990
1464825055	432.110
1464825128	433.880
1464825200	419.810
1464825271	412.330
1464825344	434.970
1464825415	432.200
1464825487	417.390
1464825560	414.380
1464825633	431.670
1464825705	412.590
1464825778	431.790
1464825850	416.810
1464825922	431.100
1464825994	507.720
1464826067	421.940
1464826139	429.720
1464826211	429.570
1464826282	435.100
1464826355	413.320
1464826428	430.470
1464826500	435.390
1464826571	416.450
1464826643	430.990
1464826717	434.990
1464826790	413.300
1464826862	418.420
1464826933	415.620
1464827006	413.930
1464827078	428.950
1464827151	414.410
1464827224	426.280
1464827296	432.600
1464827369	414.580
1464827441	435.010
1464827514	430.320
1464827585	430.540
1464827658	414.900
1464827730	434.650
1464827802	426.790
1464827875	413.360
1464827947	427.430
1464828018	422.110
1464828091	430.020
1464828164	419.600
1464828236	430.400
1464828309	422.480
1464828380	422.110
1464828453	428.250
1464828526	438.280
1464828598	423.100
1464828670	427.330
1464828742	415.150
1464828814	417.390
1464828887	429.900
1464828958	420.700
1464829029	415.790
1464829101	415.570
1464829174	432.210
1464829246	430.240
1464829318	422.050
1464829389	415.550
1464829462	431.390
1464829535	434.930
1464829608	415.610
1464829681	414.290
1464829754	420.970
1464829826	414.070
1464829899	414.310
1464829972	415.060
1464830045	420.910
1464830117	422.210
1464830191	432.340
1464830263	412.380
1464830336	413.500
1464830408	415.540
1464830480	421.340
1464830552	415.620
1464830624	414.470
1464830695	430.110
1464830768	435.200
1464830841	432.740
1464830913	416.500
1464830986	432.560
1464831059	416.760
1464831131	429.660
1464831202	432.060
1464831276	418.310
1464831348	471.650
1464831421	415.990
1464831494	428.020
1464831566	430.180
1464831638	421.700
1464831709	414.300
1464831782	432.950
1464831855	433.280
1464831927	414.140
1464832000	414.770
1464832073	426.850
1464832146	414.230
1464832219	432.250
1464832292	434.490
1464832364	435.510
1464832437	429.700
1464832510	414.420
1464832582	428.930
1464832653	414.280
1464832726	433.390
1464832798	414.670
1464832869	413.520
1464832942	430.160
1464833014	427.150
1464833085	429.450
1464833158	433.450
1464833230	431.620
1464833303	443.920
1464833375	415.720
1464833449	419.590
1464833520	450.760
1464833592	428.350
1464833664	433.450
1464833737	433.890
1464833808	419.160
1464833880	430.670
1464833952	419.730
1464834024	436.160
1464834096	431.030
1464834169	413.310
1464834242	431.980
1464834314	432.460
1464834385	420.410
1464834457	423.180
1464834530	417.280
1464834601	432.670
1464834674	415.230
1464834746	432.080
1464834819	474.360
1464834891	432.650
1464834964	454.840
1464835037	423.650
1464835110	420.380
1464835182	430.060
1464835255	420.140
1464835328	432.270
1464835401	434.210
1464835473	432.220
1464835544	413.670
1464835617	429.670
1464835690	413.050
1464835762	434.140
1464835835	415.370
1464835908	429.770
1464835981	429.280
1464836054	416.050
1464836126	433.580
1464836198	413.680
1464836269	413.110
1464836342	415.890
1464836415	429.040
1464836486	414.260
1464836558	414.470
1464836631	414.890
1464836702	429.800
1464836774	432.890
1464836847	416.160
1464836918	414.350
1464836991	420.820
1464837063	415.540
1464837134	416.120
1464837207	420.820
1464837279	433.000
1464837351	430.340
1464837425	415.370
1464837498	413.000
1464837570	413.740
1464837642	414.850
1464837713	432.590
1464837786	424.110
1464837858	417.310
1464837931	434.490
1464838005	423.340
1464838077	432.700
1464838148	415.870
1464838220	429.210
1464838293	414.310
1464838365	431.660
1464838439	420.500
1464838511	435.400
1464838584	433.090
1464838657	429.660
1464838729	414.490
1464838800	439.170
1464838872	424.730
1464838944	412.750
1464839016	420.970
1464839088	430.280
1464839160	415.430
1464839231	415.060
1464839304	416.590
1464839375	419.650
1464839447	425.560
1464839519	431.020
1464839592	416.350
1464839665	415.810
1464839738	429.740
1464839811	432.990
