timestamp[s]	latency_value[ms]
1464774793	410.260
1464774863	408.350
1464774934	410.080
1464775004	408.410
1464775074	409.930
1464775145	403.500
1464775215	403.920
1464775286	409.630
1464775357	403.710
1464775427	409.680
1464775497	409.700
1464775567	411.360
1464775638	409.260
1464775708	411.850
1464775779	411.040
1464775849	404.710
1464775920	405.180
1464775990	409.760
1464776060	409.760
1464776131	413.580
1464776201	409.020
1464776272	408.080
1464776343	405.860
1464776413	407.680
1464776483	407.680
1464776554	406.470
1464776624	409.660
1464776694	404.990
1464776764	407.250
1464776835	405.750
1464776905	408.430
1464776975	406.580
1464777045	407.840
1464777115	407.810
1464777185	413.290
1464777256	410.650
1464777326	407.750
1464777397	404.150
1464777467	409.530
1464777537	412.350
1464777608	404.750
1464777678	412.260
1464777749	408.450
1464777819	407.810
1464777890	414.050
1464777960	411.050
1464778031	408.350
1464778102	410.950
1464778171	405.460
1464778242	409.690
1464778312	410.640
1464778383	408.610
1464778454	406.790
1464778524	409.750
1464778594	407.760
1464778665	406.970
1464778735	404.870
1464778806	406.740
1464778876	408.400
1464778946	408.650
1464779017	413.260
1464779088	411.090
1464779158	413.380
1464779228	406.370
1464779299	412.690
1464779369	410.230
1464779440	403.380
1464779510	409.430
1464779581	408.600
1464779651	409.690
1464779721	408.670
1464779791	404.850
1464779861	409.960
1464779932	407.470
1464780003	409.110
1464780073	409.500
1464780144	405.400
1464780214	406.380
1464780285	410.150
1464780355	407.550
1464780425	410.420
1464780496	409.660
1464780566	409.070
1464780637	406.190
1464780708	408.390
1464780778	405.610
1464780848	407.730
1464780919	405.280
1464780989	404.840
1464781060	412.860
1464781130	411.750
1464781201	407.710
1464781271	408.410
1464781341	408.850
1464781412	405.800
1464781482	406.420
1464781553	408.430
1464781623	413.230
1464781693	407.810
1464781764	410.870
1464781835	406.950
1464781905	408.440
1464781975	408.850
1464782045	408.560
1464782116	408.860
1464782187	409.910
1464782257	410.070
1464782328	410.050
1464782398	410.720
1464782469	408.660
1464782539	404.310
1464782610	403.970
1464782680	406.730
1464782750	410.510
1464782821	412.000
1464782892	409.440
1464782962	409.160
1464783032	409.810
1464783102	411.080
1464783173	405.430
1464783243	404.830
1464783314	407.750
1464783385	404.510
1464783455	406.220
1464783526	408.410
1464783596	405.870
1464783666	409.720
1464783736	409.930
1464783807	409.030
1464783878	405.920
1464783948	406.210
1464784018	409.200
1464784089	408.560
1464784159	404.220
1464784230	410.900
1464784300	408.900
1464784370	409.700
1464784441	412.340
1464784512	408.880
1464784582	408.630
1464784653	409.950
1464784723	408.330
1464784793	409.510
1464784864	405.480
1464784934	407.360
1464785005	409.190
1464785076	410.220
1464785146	409.980
1464785217	408.150
1464785287	406.640
1464785357	412.850
1464785428	411.820
1464785498	407.890
1464785568	412.190
1464785639	406.870
1464785709	402.960
1464785780	410.810
1464785850	405.880
1464785921	406.400
1464785992	410.410
1464786062	414.150
1464786132	409.350
1464786203	411.700
1464786274	412.410
1464786344	408.030
1464786415	408.140
1464786485	408.290
1464786555	408.360
1464786625	407.720
1464786696	405.410
1464786766	406.550
1464786836	408.280
1464786907	409.890
1464786978	406.490
1464787048	408.740
1464787118	407.370
1464787188	406.180
1464787259	409.910
1464787329	408.390
1464787399	406.930
1464787470	411.280
1464787540	408.150
1464787611	408.120
1464787681	414.520
1464787752	404.460
1464787835	411.010
1464787906	410.710
1464787976	406.570
1464788046	410.420
1464788117	406.500
1464788187	411.330
1464788257	407.630
1464788328	409.170
1464788399	412.320
1464788469	410.580
1464788539	411.940
1464788610	410.110
1464788680	407.560
1464788750	406.220
1464788820	406.500
1464788892	409.570
1464788962	407.330
1464789032	406.810
1464789103	405.720
1464789173	407.190
1464789244	408.340
1464789314	409.420
1464789385	406.680
1464789455	408.740
1464789525	412.440
1464789597	411.310
1464789667	413.400
1464789738	409.520
1464789808	410.520
1464789880	408.800
1464789949	411.350
1464790019	409.460
1464790090	408.270
1464790160	411.230
1464790230	410.290
1464790301	409.770
1464790372	408.080
1464790442	409.650
1464790512	409.740
1464790583	411.690
1464790653	409.160
1464790724	410.500
1464790794	410.950
1464790865	409.870
1464790935	407.390
1464791006	413.230
1464791076	406.610
1464791146	407.210
1464791216	409.900
1464791287	404.760
1464791358	412.110
1464791428	408.560
1464791498	415.380
1464791568	413.140
1464791639	408.950
1464791710	409.290
1464791780	407.590
1464791850	413.870
1464791921	409.110
1464791991	411.150
1464792062	408.510
1464792133	410.970
1464792203	411.970
1464792273	410.930
1464792344	413.160
1464792414	408.880
1464792485	407.810
1464792555	408.830
1464792625	406.950
1464792696	409.610
1464792766	410.830
1464792836	408.050
1464792907	409.530
1464792977	415.360
1464793047	410.040
1464793118	407.570
1464793188	407.660
1464793259	407.170
1464793329	408.760
1464793400	409.880
1464793470	406.020
1464793540	406.530
1464793610	404.590
1464793680	411.120
1464793751	410.250
1464793822	408.430
1464793892	411.590
1464793963	415.510
1464794033	409.580
